rank,target,english,part_of_speech
65,نفس,self; same; soul; breath (depending on vocalization),noun
66,يفعل,does; performs,imperfect / present verb
67,يعتقد,believes; thinks,imperfect / present verb
68,يستطيع,can; is able to,imperfect / present verb
69,كما,as; just as; as well as,particle
70,رجل,man; leg/foot (depending on vocalization),noun
71,عندما,when,adverb
72,كيف,how?,interrogative noun/adverbial (اسم استفهام مبني)
73,نحن,we,pronoun
74,أول,first; foremost,elative / ordinal form (اسم تفضيل)
75,جيد,good; well,adjective
76,يقول,says; tells,imperfect / present verb
77,يرى,sees; considers,imperfect / present verb
78,غير,other than; not; except; changed (غَيْر / غَيَّر),noun / adjective / perfect / past verb (غَيْر / غَيَّر)
79,واحد,one; single,numeral / quantifying noun
80,جديد,new,adjective
81,أكثر,more; most,elative / comparative form (اسم تفضيل)
82,مثل,like; similar to; example; proverb,noun
83,جدا,very; very much,adverb
84,آخر,other; another (آخَر); last; final (آخِر),noun / adjective (آخَر / آخِر)
85,سوف,will; shall (future marker),particle
86,كبير,big; large; great,adjective
87,فريق,team; group,noun
88,كثير,many; much; a lot,adjective / quantifying adjective
89,أيضا,also; too,adverb
90,تلك,that (feminine singular),demonstrative
91,مجلس,council; board; assembly,noun
92,لماذا,why?,interrogative expression (لِ preposition + ماذا “what”)
93,أم,or (أَمْ); mother (أُمّ),particle / noun
94,فعل,act/action; verb (grammar); did/performed,noun / perfect / past verb (فِعْل / فَعَلَ)
95,عدد,number; count,noun
96,يذهب,goes,imperfect / present verb
97,أخرى,other; another (feminine),adjective
98,كذلك,likewise; also; in that way,prepositional/adverbial expression (كَ + ذلك)
99,شخص,person,noun
100,مرة,time; occasion; once,noun
101,أمس,yesterday,adverb
102,حيث,where; in which; whereas,adverb
103,حياة,life,noun
104,منذ,since; for (a period); ago,adverb
105,ربما,perhaps; maybe,particle
106,أين,where?,interrogative/conditional place adverb (ظرف مكان)
107,جميع,all; everyone; entire,noun
108,مكان,place; location,noun
109,هيا,come on!; let’s go!,exhortative particle / expression (كلمة حثّ)
110,لو,if; if only; even if (لَوْ),particle
111,يبدو,seems; appears,imperfect / present verb
112,شكرا,thanks; thank you,thanks expression / verbal noun
113,سبب,reason; cause; caused,noun / perfect / past verb
114,ابن,son,noun
115,عند,at; near; with/in the possession of,temporal/spatial adverbial noun
116,أفضل,better; best; preferable,elative / comparative-superlative (اسم تفضيل)
117,تم,was completed; took place; became complete,perfect / past verb
118,دولة,state; country,noun
119,يعلم,knows; teaches (depending on vocalization),imperfect / present verb
120,عالم,world; scholar; scientist (depending on vocalization),noun
121,ماضي,past; previous,adjective
122,أب,father,noun
123,دون,without; below; short of; recorded/wrote down (دُون / دَوَّن),adverb / perfect / past verb
124,يحب,loves; likes,imperfect / present verb
125,يعني,means; signifies; concerns,imperfect / present verb
126,يقوم,stands; gets up; carries out; performs,imperfect / present verb
127,مرحبا,hello; welcome,greeting expression
128,يعمل,works; operates,imperfect / present verb
129,خير,good; goodness; better/best in some expressions,noun
130,خاصة,special; particular; especially (خاصة),adjective; adverbial expression in the sense “especially”
131,أمام,in front of; before,adverb
132,شركة,company; firm,noun
133,حول,around; about; concerning; changed/converted (حَوْل / حَوَّل),adverb / perfect / past verb
134,أخبر,told; informed; tell!/inform!,perfect / past verb / imperative verb
135,طريق,road; way; path,noun
136,إلا,except; unless; only (إلّا),exceptive / restrictive particle
137,حال,condition; state; situation,noun
138,نسبة,ratio; percentage; proportion,noun
139,أكد,confirmed; affirmed,perfect / past verb
140,ثم,then; afterwards,conjunction
141,تاريخ,date; history,noun
142,حقا,really; truly,noun / verbal-noun form used adverbially (“really; truly”)
143,أيها,O...! (formal masculine vocative introducer),vocative expression
144,منطقة,region; area; zone,noun
145,وضع,situation; status; position; placed/put,noun / perfect / past verb
146,شكل,shape; form; appearance; formed/shaped,noun / perfect / past verb
147,صحيح,correct; true; valid,adjective
148,آسف,sorry; regretful,adjective / apology expression
149,حكومة,government,noun
150,يحتاج,needs; requires,imperfect / present verb
151,جانب,side; aspect; flank,noun
152,اسم,name,noun
153,أخير,last; final; recent,adjective
154,رائع,wonderful; excellent; great,adjective
155,دولي,international,adjective
156,ناس,people,noun
157,إدارة,administration; management,noun
158,نشر,publication; publishing; spreading; published/spread,noun / perfect / past verb
159,ثانية,second; a second (unit of time); feminine ordinal second,noun / ordinal adjective
160,الذين,who; those who (masculine plural relative pronoun),relative pronoun (اسم موصول)
161,كلا,"no; certainly not (كَلَّا); both (masculine, كِلَا)",particle (كَلَّا “no/certainly not”) / dual noun-pronominal form (كِلَا “both”)
162,حق,right; truth; entitlement,noun
163,مدينة,city,noun
164,عدم,absence; nonexistence; lack,noun
165,حدث,happened; occurred,perfect / past verb
166,اتحاد,union; federation,noun
167,أولى,"first (feminine); more worthy; more entitled; more fitting; granted or bestowed (verb, depending on vocalization/use)",ordinal adjective / elative adjective / perfect-past verb
168,ليلة,night,noun
169,مدير,director; manager,noun
170,سيارة,car; automobile,noun
171,أضاف,added,perfect / past verb
172,صغير,small; little; young,adjective
173,وزير,minister,noun
174,نادي,club,noun
175,قتل,killing; murder; killed,noun / perfect / past verb
176,دور,role; turn; function,noun
177,بدأ,began; started,perfect / past verb
178,شأن,matter; affair; concern,noun
179,قام,stood; got up; carried out,perfect / past verb
180,مباراة,match; game,noun
181,يأتي,comes; arrives,imperfect / present verb
182,خارج,outside; external to,adverb
183,منزل,house; home; residence,noun
184,يوجد,exists; is present; there is,imperfect / present verb
185,مركز,center; centre,noun
186,لجنة,committee; commission,noun
187,سياسي,politician; political figure; political,noun / adjective
188,داخل,inside; within,adverb
189,قدم,foot; antiquity/oldness; presented/offered (depending on vocalization/form),noun / perfect-past verb
190,سنة,year; Sunnah/tradition (depending on vocalization),noun
191,يتم,is completed; takes place; is carried out,imperfect / present verb
192,أمن,security; safety; was or felt safe; secured or made safe,noun / perfect-past verb
193,شرطة,police,noun
194,لذا,therefore; thus; for that reason,prepositional/adverbial expression (لِ + ذا)
195,عربية,Arabic; Arab (feminine adjective/noun use),adjective / noun
196,يتحدث,speaks; talks,imperfect / present verb
197,مقبل,next; coming; forthcoming,adjective
198,دع,leave!; let!; allow! (دع),imperative verb
199,يحدث,happens; occurs; updates/tells (depending on vocalization),imperfect / present verb
200,كرة,ball; sphere,noun
201,يعود,returns; goes back,imperfect / present verb
202,رأى,saw,perfect / past verb
203,حقيقة,truth; fact; reality,noun
204,الله,Allah; God,noun
205,سعيد,happy; pleased,adjective
206,يظن,thinks; supposes,imperfect / present verb
207,فترة,period; interval,noun
208,رجال,men,noun
209,نسوة,women; group of women,collective noun / plural noun
210,أعمال,works; businesses; actions,noun
211,مشكلة,problem; issue,noun
212,حالة,state; condition; case,noun
213,حزب,party; political party; group,noun
214,مليون,million,noun
215,حصل,happened/occurred; obtained/got; collected (depending on form),perfect / past verb
216,يشعر,feels; senses,imperfect / present verb
217,طلب,request; demand; order; requested/asked,noun / perfect / past verb
218,تحقيق,investigation; achievement/realization (context-dependent),noun
219,جميل,beautiful; nice,adjective
220,بيت,house; home,noun
221,هم,they; concern; worry (هُمْ / هَمّ),personal pronoun / noun
222,وزارة,ministry,noun
223,قرار,decision; resolution,noun
224,رغم,despite; in spite of (رغم),noun
225,ساعة,hour; watch; clock,noun
226,جاء,came; arrived,perfect / past verb
227,أرض,earth; land; ground,noun
228,يحاول,tries; attempts,imperfect / present verb
229,عين,eye; spring; individual/notable; appointed/designated (depending on vocalization),noun / perfect / past verb
230,كي,so that; in order that,particle
231,كم,how many?; how much?; many/a great many (interrogative or declarative كَمْ),quantitative noun; interrogative or declarative (اسم مبني)
232,أيام,days,noun
233,أصبح,became; came to be,perfect / past verb
234,حسب,according to; enough/sufficient; calculated/count(ed); considered/thought (depending on vocalization/use),noun / adverbial-relational expression / perfect-past verb
235,دائما,always,adverb
236,انظر,look!; see!,imperative verb
237,طريقة,way; method; manner,noun
238,فيما,"in what; in which; concerning what/which; while/insofar as, depending on context","preposition + ma (relative, interrogative, or subordinating element depending on context)"
239,صديق,friend,noun
240,عرض,offer; presentation or display; width; symptom; presented or offered or displayed,noun / perfect-past verb
241,أبدا,ever; never (with negation); at all,adverb
242,هدف,goal; target; objective,noun
243,يعد,counts/enumerates; prepares; is considered (يَعُدّ / يُعِدّ / يُعَدّ),imperfect verb; active or passive depending on vocalization
244,وجود,existence; presence,noun
245,نهاية,end; ending; conclusion,noun
246,مجموعة,group; collection; set,noun
247,دول,countries; states,noun
248,فقد,lost; loss/absence; so/then + already/may (فَقَدَ / فَقْد / فَ + قَدْ),perfect-past verb / noun / conjunction + particle sequence
249,مختلف,different; various,adjective
250,ألف,thousand; authored/composed/compiled (أَلْف / أَلَّفَ),numeral/noun / perfect-past verb
251,نائب,deputy; vice-president; representative,noun
252,أسبوع,week,noun
253,قانون,law,noun
254,مستوى,level; standard,noun
255,قطاع,sector,noun
256,نظام,system; regime,noun
257,مازال,still is or was; continues or continued to be,"negative particle + defective verb (ma + zala), fixed continuative construction"
258,مساعدة,help; assistance,noun
259,يحصل,gets; obtains; happens; collects/achieves (depending on form),imperfect / present verb
260,شهر,month,noun
261,فني,technician; technical/specialized (depending on use),noun / adjective
262,صفحة,page,noun
263,عامة,general; public; in general,adjective; adverbial expression in “in general”
264,تحت,under; below,adverb
265,حين,when; while; time,adverb
266,قليل,little; few; small amount,adjective
267,نحو,toward; about; approximately,adverb / preposition
268,أطفال,children,noun
269,لابد,must; necessarily; inevitably (لا بُدَّ),fixed modal expression
270,نوع,type; kind; form,noun
271,منتخب,team; national/select team; elected/selected (context-dependent),noun / adjective / passive participle
272,شيخ,sheikh; elder; senior man,noun
273,مشروع,project; plan,noun
274,أشياء,things,noun
275,وحيد,only; lone; unique; lonely,adjective
276,صباح,morning; in the morning,noun; adverbial time expression in context
277,شعب,people; nation; populace,noun
278,يأخذ,takes; receives,imperfect / present verb
279,يجد,finds,imperfect / present verb
280,توقف,stopped; halted; stop!,perfect / past verb / imperative verb
281,لأن,because; because of the fact that (لأن),particle
282,بطولة,championship; tournament,noun
283,هيئة,body; authority; commission; organization,noun
284,عملية,process; operation,noun
285,طويل,long; tall,adjective
286,بل,rather; but; instead,particle
287,تأكيد,confirmation; emphasis,noun
288,إذن,then; therefore; in that case (إذن),particle
289,أمور,matters; affairs; things,noun
290,فوز,victory; winning,noun
291,أقل,less; least; fewer,elative / comparative-superlative (اسم تفضيل)
292,ألا,attention/emphasis particle; also unvocalized form of أَلَّا 'that not',particle
293,شباب,youth; young people,noun
294,حقيقي,real; genuine; true,adjective
295,كامل,complete; full; entire,adjective
296,لاعب,player; sport/game player,noun / active participle
297,انتظر,waited; wait!,perfect / past verb / imperative verb
298,شركات,companies,noun
299,مما,"from/of what; from/of which; from what/that which, depending on context",preposition min + ma (relative or subordinating element depending on context)
300,سابق,previous; former; preceding; competed/raced (depending on vocalization),adjective / perfect / past verb
301,غرفة,room; chamber,noun
302,مال,money; wealth; leaned/inclined (depending on vocalization),noun / perfect / past verb
303,يجعل,makes; renders; causes,imperfect / present verb
304,مشاركة,participation; sharing,noun
305,عزيز,dear; precious; respected,adjective
306,إله,god; deity,noun
307,رؤية,vision; seeing; view,noun
308,وجه,face; direction; aspect; directed,noun / perfect / past verb
309,ضد,against; opposite,noun
310,خاص,special; private; particular,adjective
311,يبقى,remains; stays,imperfect / present verb
312,لقاء,meeting; encounter,noun
313,عودة,return; comeback,noun
314,أكبر,bigger; larger; greatest; largest,elative / comparative-superlative (ism tafdil)
315,قوات,forces; troops,noun
316,نقل,transfer; transport; transmission; transferred/moved,noun / perfect / past verb
317,يصل,arrives; reaches,imperfect / present verb
318,إضافة,addition; adding,noun
319,رأس,head; top; headed/presided,noun / perfect / past verb
320,حسن,good/fine; goodness/beauty; became good/beautiful (depending on vocalization),adjective / noun / perfect-past verb
321,فكرة,idea; thought,noun
322,أخذ,taking; took,noun / perfect / past verb
323,أشار,indicated; pointed out; referred to,perfect / past verb
324,فتاة,girl; young woman,noun
325,حركة,movement; motion,noun
326,هكذا,like this; thus; in this way,adverbial demonstrative expression
327,قوة,strength; force; power,noun
328,برنامج,program; programme,noun
329,حصول,occurrence; obtaining; acquisition,noun
330,ذهب,gold; went (depending on vocalization),noun / perfect / past verb
331,يبدأ,begins; starts,imperfect / present verb
332,ذات,self/same; possessing (in constructions such as ذات),noun
333,تحدث,speaking; conversation; spoke/talked,noun / perfect / past verb
334,وصل,arrived; reached; connected,perfect / past verb
335,علم,knowledge; science; flag; knew/recognized; taught/instructed (depending on vocalization/form),noun / perfect-past verb
336,أما,as for; whereas; as regards (أَمَّا),particle
337,أعلن,announced; declared,perfect / past verb
338,إطلاقا,at all; absolutely,verbal noun / adverbial expression
339,تماما,completely; entirely; exactly,verbal noun / adverbial expression
340,فرصة,opportunity; chance,noun
341,بحث,research; search; searched/researched,noun / perfect / past verb
342,يخرج,goes out; exits; leaves,imperfect / present verb
343,حكم,judgment; ruling; government; ruled/judged,noun / perfect / past verb
344,طفل,child,noun
345,قضية,case; issue; cause,noun
346,أعلى,higher; highest; upper,comparative / superlative adjective
347,ما,how...!; what a...! (exclamative ma in the ma afala pattern),exclamative noun in the traditional ma afala analysis
348,دعم,support; backing; supported,noun / perfect / past verb
349,حاجة,need; necessity,noun
350,تعال,come!,imperative verb
351,مجرد,mere; abstract/bare; simply/once in bi-mujarrad constructions,adjective / noun; adverbial expression with bi-
352,وزراء,ministers,noun
353,هؤلاء,these,demonstrative pronoun
354,عقد,contract/agreement; decade; necklace; held/concluded/tied (depending on vocalization),noun / perfect-past verb
355,دقيقة,minute; precise/fine (context-dependent),noun / adjective
356,طبع,printing; nature/character; printed,noun / perfect / past verb
357,صورة,picture; image; form,noun
358,تقدم,progress; advance; advanced/progressed,noun / perfect / past verb
359,جامعة,university,noun
360,عبر,through; via; across; crossed or passed through; expressed,relational or adverbial noun / perfect-past verb
361,اذهب,go!,imperative verb
362,وجد,found,perfect / past verb
363,قادم,coming; next,adjective
364,يجري,runs; proceeds; takes place,imperfect / present verb
365,أسعار,prices,noun
366,حرب,war,noun
367,نقطة,point; dot,noun
368,انتخابات,elections,noun
369,سوق,market,noun
370,بناء,building; construction,noun
371,تعلم,learning; learned,noun / perfect / past verb
372,يصبح,becomes,imperfect / present verb
373,خصوصا,especially; particularly,verbal noun / adverbial expression
374,نصف,half,noun
375,ذهاب,going; departure,noun
376,رأي,opinion; view,noun
377,يفكر,thinks; considers,imperfect / present verb
378,وطني,national; patriotic,adjective
379,اجتماع,meeting; assembly,noun
380,قيمة,value; worth,noun
381,بلاد,lands; countries,noun
382,بداية,beginning; start,noun
383,ذو,possessor of; having; with (ذو),possessive noun / relational word
384,مدرسة,school; female teacher (depending on vocalization),noun
385,سرعة,speed; rapidity,noun
386,لما,when (لَمَّا); not yet (لَمَّا); for what / to what (لِمَا),particle / adverb / interrogative expression
387,أعضاء,members,noun
388,عمر,age; lifetime,noun
389,إسلامي,Islamic,adjective
390,مرحلة,stage; phase,noun
391,بعيد,far; distant,adjective
392,يخبر,tells; informs,imperfect / present verb
393,أوضح,clearer; clearest; clarified; explained; made clear,elative adjective / perfect-past verb
394,حب,love,noun
395,مالية,financial; fiscal,adjective
396,علاقة,relationship; relation,noun
397,يد,hand,noun
398,ينظر,looks; considers; examines,imperfect / present verb
399,مستقبل,future,noun
400,زوجة,wife,noun
401,جيش,army,noun
402,مدة,duration; period,noun
403,أهل,family; people; inhabitants; people of,noun
404,يعيش,lives; resides,imperfect / present verb
405,قول,saying; speech; statement,noun
406,رقم,number; figure,noun
407,كتاب,book,noun
408,اقتصادي,economic,adjective
409,مكتب,office; desk,noun
410,نظر,view; consideration; looked/considered,noun / perfect / past verb
411,زيادة,increase; addition,noun
412,حل,solution; solving; solved,noun / perfect / past verb
413,بلد,country; town; land,noun
414,عائلة,family,noun
415,إعادة,return; repetition; redoing,noun
416,حد,limit; boundary; extent,noun
417,يرجو,hopes; wishes; asks/request politely (يرجو),imperfect / present verb
418,مؤتمر,conference,noun
419,باب,door; gate,noun
420,يفهم,understands,imperfect / present verb
421,موضوع,subject; topic,noun
422,واقع,reality; actual situation; occurring/present,noun / adjective / active participle
423,مقابل,opposite; counterpart; in exchange for; versus,noun / relational expression
424,محكمة,court; tribunal,noun
425,كلمة,word,noun
426,يتمنى,wishes; hopes,imperfect / present verb
427,جهاز,device; apparatus,noun
428,سمع,hearing; heard/listened,noun / perfect / past verb
429,اسمع,listen!; hear!,imperative verb
430,ترك,leaving; abandonment; left,noun / perfect / past verb
431,عربي,Arab; Arabic,noun / adjective
432,قيادة,leadership; driving,noun
433,فضل,merit; virtue; favor; preferred,noun / perfect / past verb
434,انتهى,ended; finished,perfect / past verb
435,طالب,student; seeker; demanded/claimed,noun / perfect / past verb
436,رفض,rejection; refusal; refused,noun / perfect / past verb
437,صاحب,companion; owner; accompanied,noun / perfect / past verb
438,بلغ,reached; amounted to; informed/notified (depending on form),perfect / past verb
439,وصول,arrival; access,noun
440,دخول,entry; entrance,noun
441,عالمية,global; international (feminine),adjective
442,مهمة,task; mission; assignment; important in the feminine adjective reading,noun / adjective
443,مزيد,more; additional amount; further,noun
444,رئاسة,presidency; chairmanship,noun
445,مجتمع,society; community,noun
446,قلب,heart; core or center; turned; overturned; reversed,noun / perfect-past verb
447,ينتظر,waits,imperfect / present verb
448,تعاون,cooperation; collaborated/cooperated,noun / perfect / past verb
449,عبد,servant; slave; worshipped,noun / perfect / past verb
450,جزء,part; portion,noun
451,موسم,season,noun
452,صوت,voice; sound; vote,noun
453,يود,would like; wants,imperfect / present verb
454,قيام,standing; undertaking; carrying out,noun
455,خارجية,foreign; external; exterior (feminine adjective/noun use),noun / adjective
456,ذكر,masculine being; mention or remembrance; mentioned or recalled,noun / perfect-past verb
457,حديث,modern; recent; new; speech or talk or report; Hadith,adjective / noun
458,ظهر,back; noon or midday; appeared or became visible,noun / perfect-past verb
459,عديد,many; numerous,quantifier / adjective
460,كأن,as if; as though,particle
461,لحظة,moment,noun
462,حوار,dialogue; conversation,noun
463,ارتفاع,rise; increase; elevation,noun
464,نار,fire,noun
465,حاول,tried; attempted; try!,perfect / past verb / imperative verb
466,دين,religion; debt (depending on vocalization),noun
467,دوري,league; round/periodic competition; periodic (depending on use),noun / adjective
468,يبحث,searches; researches; looks for,imperfect / present verb
469,يعطي,gives,imperfect / present verb
470,غاية,goal; purpose; utmost extent,noun
471,تقديم,presentation; submission; provision,noun
472,دفع,payment; pushing; paid/pushed,noun / perfect / past verb
473,دعا,called; invited; prayed,perfect / past verb
474,موقف,position; stance; situation,noun
475,مشيرا,indicating; pointing out; noting (mushiran),active participle used adverbially/circumstantially
476,تنفيذ,implementation; execution,noun
477,يقصد,means; intends; aims,imperfect / present verb
478,يذكر,mentions; remembers,imperfect / present verb
479,سالم,safe; sound; intact; unharmed,adjective / active participle
480,أصدقاء,friends,noun
481,وحدة,unit; unity,noun
482,قديم,old; ancient,adjective
483,أزمة,crisis,noun
484,تقرير,report,noun
485,معلومات,information,noun
486,إمكان,possibility; potential,noun
487,نتيجة,result; outcome,noun
488,موقع,site; location; position,noun
489,سماء,sky; heaven,noun
490,مجال,field; domain; area,noun
491,وسط,middle; center; among,noun
492,جميعا,all together; altogether; everyone,adverb
493,موت,death,noun
494,شعر,poetry; hair; felt/perceived (شِعْر / شَعْر / شَعَرَ),noun / perfect-past verb
495,دفاع,defense; defence,noun
496,درجة,degree; grade; level,noun
497,اتصال,contact; communication,noun
498,عشر,ten; one tenth (depending on vocalization),numeral / quantifying noun
499,سؤال,question,noun
500,كلام,speech; talk; words,noun
501,كأس,cup; trophy,noun
502,جعل,made; rendered; caused,perfect / past verb
503,طوال,throughout; during; all through,adverb
504,خطة,plan,noun
505,متى,when?,interrogative particle
506,ضبط,control; regulation; adjustment; to control / adjust,noun / verb
507,أثناء,during; while,adverb
508,وطنية,national; patriotic (feminine adjective),adjective
509,معرفة,knowledge; knowing,noun
510,بيان,statement; declaration; data/itemization (context-dependent),noun
511,قرر,decided; determined,perfect / past verb
512,عيد,holiday; feast; festival,noun
513,زوج,spouse; pair; married off,noun / perfect / past verb
514,تعليم,education; teaching,noun
515,خطأ,error; mistake,noun
516,تطوير,development; improvement,noun
517,عدة,several; a number of; waiting period; equipment/gear (depending on vocalization),noun
518,عضو,member; organ,noun
519,فتح,opening; conquest; opened,noun / perfect / past verb
520,مات,died,perfect / past verb
521,غدا,tomorrow,adverb
522,عظيم,great; magnificent; enormous,adjective
523,كشف,discovery; exposure; revealed/uncovered,noun / perfect / past verb
524,طاقة,energy; capacity,noun
525,يعتبر,is considered; regards/considers,imperfect / present verb
526,عاد,returned; came back,perfect / past verb
527,خلف,succeeded/followed; came after,perfect / past verb
528,شرق,east,noun
529,داخلية,internal; domestic; interior (feminine),adjective
530,ضمن,within; among; included/guaranteed (depending on vocalization),adverb / perfect / past verb
531,اتفاق,agreement; accord,noun
532,مياه,water; waters,noun
533,مستشفى,hospital,noun
534,إنسان,human being; person,noun
535,أعطى,gave,perfect / past verb
536,ألم,pain (أَلَم); did...not? / interrogative combination أَلَمْ depending on vocalization,noun / particle
537,منظمة,organization; organisation,noun
538,كتب,books; wrote,noun / perfect / past verb
539,حضور,attendance; presence,noun
540,رفع,raising; lifting; raised,noun / perfect / past verb
541,لعب,play; playing; played,noun / perfect / past verb
542,خروج,exit; departure,noun
543,جهة,side; direction; entity/party,noun
544,رسالة,message; letter,noun
545,استخدام,use; usage,noun
546,سلطة,authority; power; government; salad (different vocalization),noun
547,ضرورة,necessity; need,noun
548,يدخل,enters,imperfect / present verb
549,ممكن,possible; feasible,adjective
550,نتائج,results; consequences,noun
551,مدرب,coach; trainer,noun
552,يترك,leaves; abandons,imperfect / present verb
553,فهم,understood,perfect / past verb
554,أساسي,basic; fundamental,adjective
555,أشخاص,people; persons,noun
556,جنوب,south,noun
557,يسمع,hears; listens,imperfect / present verb
558,سجن,prison; imprisonment,noun
559,تحديد,determination; specification; identification,noun
560,وطن,homeland; nation; country,noun
561,ظل,shade; shadow; remained/continued,noun / perfect / past verb
562,ولد,boy; son; gave birth,noun / perfect / past verb
563,إعلان,announcement; advertisement,noun
564,شارع,street,noun
565,جولة,tour; round; trip,noun
566,ينتهي,ends; finishes,imperfect / present verb
567,تغيير,change; alteration,noun
568,أمين,trustworthy; honest; faithful,adjective
569,قدر,fate / destiny; amount / value; ability,noun / verb
570,يحمل,carries; bears; loads/imposes (depending on form),imperfect / present verb
571,يلعب,plays,imperfect / present verb
572,يضع,puts; places,imperfect / present verb
573,يساعد,helps; assists,imperfect / present verb
574,يموت,dies,imperfect / present verb
575,خط,line; route,noun
576,هاتف,telephone; phone; telephoned,noun / perfect / past verb
577,علاقات,relations; relationships,noun
578,عرف,knew; recognized,perfect / past verb
579,أخ,brother,noun
580,مواجهة,confrontation; facing,noun
581,بنك,bank,noun
582,حرية,freedom; liberty,noun
583,خدمة,service,noun
584,حدود,borders; limits,noun
585,مدى,extent; range,noun
586,ليل,night,noun
587,يملك,owns; possesses,imperfect / present verb
588,إعلام,media; information/publicity,noun
589,أية,any; whichever; which (feminine form أية),noun
590,زيارة,visit,noun
591,مرأة,woman,noun
592,صحة,health; correctness,noun
593,مناسبة,occasion; event; suitable/appropriate (feminine),noun / adjective
594,قسم,section; department; oath; divided (depending on vocalization),noun / perfect / past verb
595,قائمة,list; menu,noun
596,مشاكل,problems,noun
597,غريب,strange; foreign; odd,adjective
598,حقوق,rights,noun
599,جمعية,association; society; organization,noun
600,بيع,sale; selling,noun
601,حاليا,currently; at present,adverb
602,رجاء,request; hope; please (as a polite formula),noun
603,أحضر,brought; brought in; supplied/presented (depending on vocalization/context),verb
604,سيء,bad; poor,adjective
605,سلاح,weapon; arms,noun
606,يطلب,asks for; requests; demands,imperfect / present verb
607,مناطق,regions; areas,noun
608,شخصية,personality; character,noun
609,رياضي,sporting; athletic,adjective
610,يتذكر,remembers,imperfect / present verb
611,أداء,performance; execution,noun
612,مؤسسة,institution; organization,noun
613,سعر,price; priced,noun / perfect / past verb
614,تراجع,decline; retreat; retreated/declined,noun / perfect / past verb
615,أهمية,importance,noun
616,واضح,clear; obvious,adjective
617,أحيان,times; occasions (commonly in أحيانًا = sometimes),noun
618,جريمة,crime,noun
619,مؤكدا,confirmed; certain; confirming/emphasizing (context-dependent),adjective / noun
620,أتى,came; arrived,perfect / past verb
621,حالي,current; present,adjective
