language,kind,rank,target,english,adjudicated_status
french,sentence,774,"Tout ce que vous avez à faire, c'est l'écrire noir sur blanc.",All you have to do is put it in writing.,UNRESOLVED
french,sentence,806,Je peux te ramener chez toi si tu veux.,I can give you a lift if you like.,UNRESOLVED
french,sentence,869,Je ne l'aime pas plus que vous.,I don't like it any more than you do.,UNRESOLVED
french,sentence,996,Je veux que chacun de vous me dise exactement ce qu'il a fait le week-end dernier.,I want each of you to tell me exactly what you did last weekend.,CLEARED_VALID_VARIANT
urdu,vocabulary,24,لئے,taken; for (in کے لیے),UNRESOLVED
urdu,vocabulary,37,تھے,were (masculine plural/honorific),UNRESOLVED
urdu,vocabulary,44,کوئی,someone; anyone; some; any,UNRESOLVED
urdu,vocabulary,50,تھی,was (feminine singular),UNRESOLVED
urdu,vocabulary,54,زیادہ,"more, very many, excessive; more, much, a lot, excessively",UNRESOLVED
urdu,vocabulary,70,سی,like; as; -like (feminine resemblance/comparative form),UNRESOLVED
urdu,vocabulary,71,طور,"hill, mount; manner, way; state, condition",UNRESOLVED
urdu,vocabulary,87,احمد,"an epithet for Prophet Muhammad; a male surname, Ahmed or Ahmad, from Arabic; a male given name, Ahmed or Ahmad, from Arabic",CLEARED_VALID_VARIANT
urdu,vocabulary,95,دور,"far, far off; distant, remote; period, era, age",UNRESOLVED
urdu,vocabulary,103,استعمال,"use, usage, utilisation, employment",UNRESOLVED
urdu,vocabulary,127,حسین,"a handsome man; beautiful, handsome; a male given name, Hussain or Husain, from Arabic",CLEARED_VALID_VARIANT
urdu,vocabulary,163,موقع,"chance, opportunity",UNRESOLVED
urdu,vocabulary,185,بار,"time, turn, occasion, instance, occurrence",UNRESOLVED
urdu,vocabulary,189,نظام,"system, order; institution, foundation (network)",UNRESOLVED
urdu,vocabulary,191,کبھی,ever; sometime; sometimes; never (with negation),UNRESOLVED
urdu,vocabulary,202,نئی,new (feminine),UNRESOLVED
urdu,vocabulary,203,بعض,"some, certain, few, several",UNRESOLVED
urdu,vocabulary,205,اجلاس,"the sitting of a court of justice; session, official meeting, assembly session",CLEARED_VALID_VARIANT
urdu,vocabulary,225,پہلی,first (feminine),UNRESOLVED
urdu,vocabulary,231,چند,"a few, some, several",UNRESOLVED
urdu,vocabulary,240,حل,"solution, resolution",UNRESOLVED
urdu,vocabulary,290,جان,life; soul; spirit; vitality; dear/beloved (affectionate use),CLEARED_VALID_VARIANT
urdu,vocabulary,321,دس,ten,UNRESOLVED
urdu,vocabulary,334,سات,seven (۷ (7)),UNRESOLVED
urdu,vocabulary,340,تم,you (familiar / informal),UNRESOLVED
urdu,vocabulary,347,واضح,"evident, manifest, elaborate, clear, apparent",UNRESOLVED
urdu,vocabulary,352,کتاب,"book, manuscript, volume",UNRESOLVED
urdu,vocabulary,414,دنوں,days (oblique plural),UNRESOLVED
urdu,vocabulary,450,صحیح,"right, correct, accurate",UNRESOLVED
urdu,vocabulary,495,فیصل,"a male given name, Faisal, from Arabic",UNRESOLVED
urdu,vocabulary,501,درست,"correct, accurate; faultless, without defect; appropriate, fitting, proper",UNRESOLVED
urdu,vocabulary,533,ہاتھوں,hands (oblique plural),UNRESOLVED
urdu,vocabulary,539,سپر,"a shield, a handheld defensive armour",UNRESOLVED
urdu,vocabulary,547,مثال,"example, instance, specimen, model, precedent",UNRESOLVED
urdu,vocabulary,572,محکمہ,department; bureau; office,UNRESOLVED
urdu,vocabulary,579,رن,run (especially in cricket/sports),UNRESOLVED
urdu,vocabulary,604,کاروبار,"occupation; business, trade",UNRESOLVED
urdu,vocabulary,622,نتیجہ,"result, consequence, end, outcome",CLEARED_VALID_VARIANT
urdu,vocabulary,627,قوت,"food; strength, power, force",UNRESOLVED
urdu,vocabulary,630,جھوٹ,"lie, fib, falsehood, fabrication",UNRESOLVED
urdu,vocabulary,637,شہروں,cities (oblique plural),UNRESOLVED
urdu,vocabulary,664,مجھ,"me (oblique form, used before postpositions)",UNRESOLVED
urdu,vocabulary,682,مسئلے,"problems; issues; problem/issue (oblique/vocative singular, context-dependent)",UNRESOLVED
urdu,vocabulary,751,منصوبہ,"plan, design, scheme, project",UNRESOLVED
urdu,vocabulary,759,کاشت,"cultivation, agriculture",UNRESOLVED
urdu,vocabulary,795,تیسرے,third (masculine plural/oblique),UNRESOLVED
urdu,vocabulary,818,بل,force; might; power,UNRESOLVED
urdu,vocabulary,828,آمد,arrival,UNRESOLVED
urdu,vocabulary,944,مطالعہ,"study, reading, perusal; considering, inspecting, contemplation",CLEARED_VALID_VARIANT
urdu,vocabulary,970,عموما,"generally, usually",UNRESOLVED
urdu,sentence,31,مجھے کاپی چاہیے۔,I need the notebook.,UNRESOLVED
urdu,sentence,32,مجھے کاپی نہیں چاہیے۔,I don't need the notebook.,UNRESOLVED
urdu,sentence,33,کیا آپ کو کاپی چاہیے؟,Do you need the notebook?,UNRESOLVED
urdu,sentence,34,ہمیں کاپی چاہیے۔,We need the notebook.,UNRESOLVED
urdu,sentence,35,کاپی کہاں ہے؟,Where is the notebook?,UNRESOLVED
urdu,sentence,36,کیا کاپی یہاں ہے؟,Is the notebook here?,UNRESOLVED
urdu,sentence,39,میرے پاس کاپی ہے۔,I have the notebook.,UNRESOLVED
urdu,sentence,66,کیا ٹکٹ یہاں ہے؟,Is the ticket here?,UNRESOLVED
urdu,sentence,84,ہمیں شناختی کارڈ چاہیے۔,We need the ID card.,UNRESOLVED
urdu,sentence,131,مجھے کیمرہ چاہیے۔,I need the camera.,UNRESOLVED
urdu,sentence,141,مجھے گھڑی چاہیے۔,I need the watch.,UNRESOLVED
urdu,sentence,144,ہمیں گھڑی چاہیے۔,We need the watch.,UNRESOLVED
urdu,sentence,145,گھڑی کہاں ہے؟,Where is the watch?,UNRESOLVED
urdu,sentence,146,کیا گھڑی یہاں ہے؟,Is the watch here?,UNRESOLVED
urdu,sentence,148,براہِ کرم مجھے گھڑی دیجیے۔,Please give me the watch.,UNRESOLVED
urdu,sentence,149,میرے پاس گھڑی ہے۔,I have the watch.,UNRESOLVED
urdu,sentence,174,ہمیں بٹوہ چاہیے۔,We need the wallet.,UNRESOLVED
urdu,sentence,224,ہمیں تکیہ چاہیے۔,We need the pillow.,UNRESOLVED
urdu,sentence,276,کیا کپ یہاں ہے؟,Is the cup here?,UNRESOLVED
urdu,sentence,341,مجھے کافی چاہیے۔,I need the coffee.,UNRESOLVED
urdu,sentence,342,مجھے کافی نہیں چاہیے۔,I don't need the coffee.,UNRESOLVED
urdu,sentence,343,کیا آپ کو کافی چاہیے؟,Do you need the coffee?,UNRESOLVED
urdu,sentence,344,ہمیں کافی چاہیے۔,We need the coffee.,UNRESOLVED
urdu,sentence,345,کافی کہاں ہے؟,Where is the coffee?,UNRESOLVED
urdu,sentence,346,کیا کافی یہاں ہے؟,Is the coffee here?,UNRESOLVED
urdu,sentence,349,میرے پاس کافی ہے۔,I have the coffee.,UNRESOLVED
urdu,sentence,410,چلیے، ہوٹل چلیں۔,Let's go to the hotel.,UNRESOLVED
urdu,sentence,428,بس اسٹیشن کتنی دور ہے؟,How far is the bus station?,UNRESOLVED
urdu,sentence,429,ہمیں بس اسٹیشن جانا ہے۔,We need to go to the bus station.,UNRESOLVED
urdu,sentence,440,چلیے، ہوائی اڈا چلیں۔,Let's go to the airport.,UNRESOLVED
urdu,sentence,537,کیا مال قریب ہے؟,Is the shopping mall nearby?,UNRESOLVED
urdu,sentence,583,ہم بتی بند کر سکتے ہیں۔,We can turn off the light.,UNRESOLVED
urdu,sentence,763,وہ کافی ہے۔,That is enough.,UNRESOLVED
urdu,sentence,778,وہ تیز ہے۔,That is fast.,UNRESOLVED
urdu,sentence,798,وہ بہتر ہے۔,That is better.,UNRESOLVED
urdu,sentence,866,میں آج شام فارغ ہوں۔,I am free this evening.,UNRESOLVED
urdu,sentence,917,ہم ہفتے کو فارغ ہیں۔,We are free on Saturday.,UNRESOLVED
urdu,sentence,918,کیا آپ ہفتے کو فارغ ہیں؟,Are you free on Saturday?,UNRESOLVED
urdu,sentence,919,کیا ہم ہفتے کو ملیں؟,Shall we meet on Saturday?,UNRESOLVED
urdu,sentence,920,ہم ہفتے کو بات کر سکتے ہیں۔,We can talk on Saturday.,UNRESOLVED
urdu,sentence,956,میں چار بجے فارغ ہوں۔,I am free at four.,UNRESOLVED
urdu,sentence,997,ابھی وقت ہے۔,There is still time.,UNRESOLVED
