rank,front,meaning,frequency,cle_wordnet,cle_closed_class,kaikki_meaning,readurdu_meaning,word2word_meaning,kaikki_readurdu_agreement,kaikki_word2word_agreement,readurdu_word2word_agreement,semantic_basis
1036,ڈر,awe; fear; dread; apprehension; alarm,657,True,False,"awe; fear, dread; apprehension, alarm, terror","fear, dread; apprehension, alarm, terror; awe",afraid; scared; fear; really; jitters,True,True,True,kaikki+readurdu+word2word
1037,لال,red,655,True,False,"red; darling; a surname, Lal",,find; gonna; never; red; golden,False,True,False,kaikki+word2word
1038,دوپہر,afternoon; noon; midday,654,False,True,"afternoon, noon, midday","afternoon, noon, midday",afternoon; lunch; Lunch; noon; Provide,True,True,True,kaikki+readurdu+word2word
1039,مرے,to be dead),648,False,True,,"plural perfective of مَرْنا (marnā — to die, to be dead)",dead; interesting; Tortured; less; Not,False,False,True,readurdu+word2word
1040,نیز,also,641,False,True,"again; likewise; also, even","also, moreover",,True,False,False,kaikki+readurdu
1041,ہائے,alas!; an exclamation of distress; a sigh,638,False,True,alas!; an exclamation of distress; a sigh,interj. alas! | n. an exclamation of distress; a sigh,stakes; played; rules; painstakingly; combed,True,False,False,kaikki+readurdu
1042,سترہ,seventeen,566,False,True,seventeen,,SIGNALS; SEVENTEEN; MONITORS; VE; GOT,False,True,False,kaikki+word2word
1043,تمہارا,grammatically plural: yours; Early Modern English yours; grammatically plural: your; Early Modern English your,541,False,True,"second-person possessive pronoun, grammatically plural: yours; Early Modern English yours; second-person possessive determiner, grammatically plural: your; Early Modern English your",,yours; travel; mine; brother; job,False,True,False,kaikki+word2word
1044,شمال,north,528,False,True,north,north,north; blackouts; reports; total; getting,True,True,True,kaikki+readurdu+word2word
1045,چوبیس,twenty-four,499,False,True,twenty-four,,2.6; LAST; TWENTY-FOUR; HOURS; 2.0,False,True,False,kaikki+word2word
1046,نوے,ninety,477,False,True,ninety,ninety,Ninety; NINETY; ABOUT; JUST; MINUTES,True,True,True,kaikki+readurdu+word2word
1047,سیکنڈ,second (time),433,False,True,,second (time),seconds; second; Seconds; -Ten; sec,False,False,True,readurdu+word2word
1048,تہائی,third,425,False,True,third,,third; force; Reiser; heads; steel,False,True,False,kaikki+word2word
1049,کاش,I wish; if only,404,False,True,"I wish, if only","interj. I wish, if only | Platts: conj. Would to heaven, would that, I wish to heaven: — kāsh-ki, or kāsh-ke, Idem",Wish; wish; closed; WISH; wits,True,True,True,kaikki+readurdu+word2word
1050,دال,lentil,393,True,False,"bean; lentil, dal",,lentils; chores; pick; darling; may,False,True,False,kaikki+word2word
1051,مانند,prep. & postpn. Like,390,False,True,,"prep. & postpn. Like, resembling, after the likeness (of, -ke; — if mānind is used as a postpn., the governed…",early; Like; as; caterpillars; beasts,False,False,True,readurdu+word2word
1052,فلاں,so-and-so; a certain thing or person; a designation for something unknown,350,False,True,so-and-so; a certain thing or person; a designation for something unknown,a designation for something unknown; so-and-so; a certain thing or person,,True,False,False,kaikki+readurdu
1053,گرما,summer,337,False,True,"summer, the hot season",,summer; might; talk; vacation; guys,False,True,False,kaikki+word2word
1054,آرزو,wish; desire,333,True,False,wish; desire; longing,"desire, wish",,True,False,False,kaikki+readurdu
1055,رزق,daily bread,326,True,False,"allowance; income, wages; daily bread, sustenance","livelihood, daily bread",Palestinian; soil; lie; Do; go,True,False,False,kaikki+readurdu
1056,ڈاک,dak; mail; post,318,True,False,"dak; mail, post","mail, post; dak",stamps; check; visa; You; can,True,False,False,kaikki+readurdu
1057,واہ,"wow, whoa; Wah (a city in Rawalpindi district; Punjab; Pakistan)",312,True,True,"wow, whoa; Wah (a city in Rawalpindi district, Punjab, Pakistan)","name: Wah (a city in Rawalpindi district, Punjab, Pakistan) | Platts: (P. wāh; A. wāh, wāha, wāhi, wāhā), intj. O! bravo! well done; excellent! — how strange! you don't say so!…",Wow; Whoa; wow; WHOA; WOW,True,True,False,kaikki+readurdu+word2word
1058,سرما,winter,301,False,True,winter,,winter; Even; PREACHER; LIKES; COLD,False,True,False,kaikki+word2word
1059,سراسر,totally; completely; entirely; through-and-through,291,False,True,"totally, completely, entirely, through-and-through","totally, completely, entirely, through-and-through",Sheer; drops; Utter; side; every,True,False,False,kaikki+readurdu
1060,اڑ,infinitive of اُڑْنا (uṛnā — to fly,276,True,False,,"infinitive of اُڑْنا (uṛnā — to fly, glide)",fly; breach; YOU; FLY; ANYWHERE,False,False,True,readurdu+word2word
