rank,source_front,front,paper_pos,camel_pos,camel_roots,camel_glosses,repair_method,confidence,note
139,أكد,أكد,V\VP,verb,,affirm;assure;confirm;guarantee+he;it <verb>,exact,high,
140,ثم,لم,P\CO,part_neg,,not,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
141,تاريخ,تاريخ,N\CN,noun,,date;history+[def.gen.],exact,high,
142,حقا,حق,N\CN,noun,ح ق ق,rights;law+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
143,أيها,أيها,P\PO,part_voc,,O! [voc.masc.],exact,high,
144,منطقة,منطقة,N\CN,noun,ن ط ق,area;zone;territory+[fem.sg.],exact,high,
145,وضع,وضع,N\CN | V\VP,noun | verb,,situation;status+[def.gen.] | put;place+it;they;she <verb>,exact,high,
146,شكل,شكل,N\CN | V\VP,noun | verb,ش ك ل,by;with+manner;form;configuration+[indef.gen.] | it;they;she+constitute;form;compose,exact,high,
147,صحيح,صحيح,ADJ,adj,ص ح ح,true;correct+[indef.nom.],exact,high,
148,آسف,أسف,N\CN,noun,,to;for + the+regret;sorry+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
149,حكومة,حكومة,N\CN,noun,ح ك م,the+government;administration+[fem.sg.],exact,high,
150,يحتاج,يحتاج,V\VI,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
151,جانب,جانب,ADV,noun,ج ن ب,side;aspect+[def.gen.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
152,اسم,قسم,N\CN,noun,ق س م,portion+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
153,أخير,أخير,ADJ,adj,,the+last;latest;recent;latter+[fem.sg.],exact,high,
154,رائع,رائع,ADJ,adj,,splendid;marvelous;magnificent+[fem.sg.],exact,high,
155,دولي,دولي,ADJ,adj,,the+international;world+[def.gen.],exact,high,
156,ناس,ناس,N\CN,noun,,the+people+[def.gen.],exact,high,
157,إدارة,إدارة,N\CN,noun,,administration;management;bureau+[fem.sg.],exact,high,
158,نشر,نشر,N\CN | V\VP,noun | verb,ن ش ر,spreading;propagation+[def.gen.] | be published;be announced;be spread+it;they;she <verb>,exact,high,
159,ثانية,ثانية,N\CN,noun,,seconds (time span)+[indef.gen.],exact,high,
160,الذين,الدين,N\RP,noun,,the+religion+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
161,كلا / كال,كلا/كال,P\PO,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs. Final front is not a single Arabic-script word.
162,حق,حق,N\CN,noun,ح ق ق,rights;law+[def.gen.],exact,high,
163,مدينة,مدينة,N\CN,noun,م د ن,city+[fem.sg.],exact,high,
164,عدم,عدم,N\CN,noun,ع د م,absence of;lack of;non-+[def.gen.],exact,high,
165,حدث,حدث,V\VP,verb,ح د ث,happen;take place+he;it <verb>,exact,high,
166,اتحاد,الحاد,N\CN,noun,,sharp;intense+[fem.sg.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
167,أولى,أولى,N\CNU,adj | verb,,the+first | he;it+devote;apply,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
168,ليلة,ليلة,N\CN,noun,,night;evening+[fem.sg.],exact,high,
169,مدير,مدير,N\CN,noun,,director;manager;chief+[def.nom.],exact,high,
170,سيارة,سيارة,N\CN,noun,,the+cars;automobiles;vehicles+[fem.pl.],exact,high,
171,أضاف,أضاف,V\VP,verb,,and+add+he;it <verb>,exact,high,
172,صغير,صغير,ADJ,noun,ص غ ر,small;young+[fem.sg.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
173,وزير,وزير,N\CN,noun,,minister+[def.nom.],exact,high,
174,نادي,نادي,N\CN,noun,,club;association,exact,high,
175,قتل,قتل,N\CN | V\VP,verb | noun,ق ت ل,be killed+he;it <verb> | the+murder;killing+[def.gen.],exact,high,
176,دور,دور,N\CN,noun,,role;part+[def.gen.],exact,high,
177,بدأ,بدأ,V\VP,verb,,start;begin+it;they;she <verb>,exact,high,
178,شأن,شأن,N\CN,noun,,by;with+matter;affair+[def.gen.],exact,high,
179,قام,قام,V\VP,verb,,it;they;she+undertake;carry out,exact,high,
180,مباراة,مباراة,N\CN,noun,,match;game;competition+[fem.sg.],exact,high,
181,يأتي,يأتي,V\VI,verb,,he;it+arrive;come;reach,exact,high,
182,خارج,خارج,ADV,noun,خ ر ج,outside;exterior;outer part+[def.acc.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
183,منزل,منزل,N\CN,noun,ن ز ل,the+house;residence+[def.gen.],exact,high,
184,يوجد,يوجد,V\VI,verb,,he;it+be found;exist,exact,high,
185,مركز,مركز,N\CN,noun,ر ك ز,ranking;position+[def.gen.],exact,high,
186,لجنة,لجنة,N\CN,noun,ل ج ن,the+council;committee;commission+[fem.sg.],exact,high,
187,سياسي,سياسي,N\CN,noun,,the+politician;statesman+[masc.pl.],exact,high,
188,داخل,داخل,ADV,noun,د خ ل,interior;inside+[def.acc.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
189,قدم,قدم,N\CN | V\VP,verb | noun,ق د م,offer;present;introduce+he;it <verb> | the+foot+[def.gen.],exact,high,
190,سنة,سنة,N\CN,noun,,the+year+[fem.sg.],exact,high,
191,يتم,يتم,V\VI,verb,ت م م,conclude;take place+he;it <verb>,exact,high,
192,أمن,أمن,V\VP,verb,,he;it+insure;guarantee;secure,exact,high,
193,شرطة,شرطة,N\CN,noun,ش ر ط,the+police+[fem.sg.],exact,high,
194,لذا,لذا,N\DE,noun,ل ذ ذ,pleasant;delightful+[acc.indef.],exact,high,
195,عربية,عربية,ADJ,adj,ع ر ب,the+Arab+[fem.sg.],exact,high,
196,يتحدث,يتحدث,V\VI,verb,ح د ث,speak;discuss+he;it <verb>,exact,high,
197,مقبل,مقبل,ADJ,adj,ق ب ل,the+next;coming;approaching+[def.gen.],exact,high,
198,دع,دع,V\VR,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
199,يحدث,يحدث,V\VI,verb,ح د ث,happen;take place+he;it <verb>,exact,high,
200,كرة,كرة,N\CN,noun,,globe;sphere;ball+[fem.sg.],exact,high,
201,يعود,يعود,V\VI,verb,,he;it+no longer,exact,high,
202,رأى,رأى,V\VP,verb,,see;think;believe+he;it <verb>,exact,high,
203,حقيقة,حقيقة,N\CN,noun,ح ق ق,the+truth;reality+[fem.sg.],exact,high,
204,الله,الله,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
205,سعيد,سعيد,ADJ,adj,س ع د,the+happy+[def.gen.],exact,high,
206,يظن,يظن,V\VI,verb,ظ ن ن,he;it+think;believe;presume,exact,high,
207,فترة,فترة,N\CN,noun,ف ت ر,the+phase;time period;interval+[fem.sg.],exact,high,
208,رجال,رجال,N\CN,noun,ر ج ل,the+man+[def.acc.],exact,high,
209,نسوات,سنوات,N\CN,noun,,the+year+[fem.sg.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
210,أعمال,أعمال,N\CN,noun,ع م ل,the+work;action+[def.gen.],exact,high,
211,مشكلة,مشكلة,N\CN,noun,ش ك ل,problems;inconveniences;issues+[def.acc.],exact,high,
212,حالة,حالة,N\CN,noun,,condition;case;situation+[fem.sg.],exact,high,
213,حزب,حزب,N\CN,noun,ح ز ب,party;band+[def.gen.],exact,high,
214,مليون,مليون,N\CN,noun,م ل ن,million+[def.gen.],exact,high,
215,حصل,حصل,V\VP,verb,ح ص ل,obtain;acquire;get+he;it <verb>,exact,high,
216,يشعر,يشعر,V\VI,verb,ش ع ر,feel;be aware+he;it <verb>,exact,high,
217,طلب,طلب,N\CN | V\VP,noun | verb,ط ل ب,requests;demands+[fem.pl.] | request+he;it <verb>,exact,high,
218,تحقيق,تحقيق,N\CN,noun,ح ق ق,achievement;realization+[def.gen.],exact,high,
219,جميل,جميل,ADJ,noun,ج م ل,the+beautiful;nice,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
220,بيت,بيت,N\CN,noun,,the+house+[def.gen.],exact,high,
221,هم,هم,N\CN,noun,ه م م,concerns;interests+[def.acc.],exact,high,
222,وزارة,وزارة,N\CN,noun,,ministry+[fem.sg.],exact,high,
223,قرار,قرار,N\CN,noun,ق ر ر,decision;resolution+[def.gen.],exact,high,
224,رغم,رغم,N\CN,noun,ر غ م,in spite of;despite+[def.acc.],exact,high,
225,ساعة,ساعة,N\CN,noun,,the+hour;time+[fem.sg.],exact,high,
226,جاء,جاء,V\VP,verb,,arrive;come;occur+he;it <verb>,exact,high,
227,أرض,أرض,N\CN,noun,,the+earth;territory+[def.gen.],exact,high,
228,يحاول,يحاول,V\VI,verb,,it;they;she+attempt,exact,high,
229,عين,عين,N\CN | V\VP,noun | verb,,to;for + the+eyes+[def.gen.] | and+appoint;assign+he;it <verb>,exact,high,
230,كي,كي,P\PO,conj,,in order to,exact,high,
231,كم,كم,P\QU,pron_rel | noun,ك م م,how many;much | the+amount;quantity+[def.gen.],exact,unresolved,Multiple equally plausible same-POS MSA repairs.
232,أيام,أيام,N\CN,noun,,the+day+[def.acc.],exact,high,
233,أصبح,أصبح,V\VP,verb,ص ب ح,become;begin;start+he;it <verb>,exact,high,
234,حسب,حسب,V\VP,verb,ح س ب,he;it+regard;consider,exact,high,
235,دائما,دائما,ADV,adj,,permanent;lasting;constant+[acc.indef.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
236,انرظ,انظر,V\VR,verb,ن ظ ر,he;it+look;observe;see,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
237,طريقة,طريقة,N\CN,noun,ط ر ق,method;procedure+[fem.sg.],exact,high,
238,فيما,فيما,N\RP,conj_sub,,while;during which,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
239,صديق,صديق,N\CN,noun,ص د ق,the+friend+[def.nom.],exact,high,
240,عرض,عرض,V\VP,verb,ع ر ض,exhibit;present;review;inspect+he;it <verb>,exact,high,
241,أبدا,أبدا,ADV,verb,,start;begin+it;they;she <verb>,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
242,هدف,هدف,N\CN,noun,ه د ف,by;with+goal;objective;intention+[def.gen.],exact,high,
243,يعد,يعد,V\VI,verb,,he;it+no longer,exact,high,
244,وجود,وجود,N\CN,noun,,presence;existence+[def.gen.],exact,high,
245,نهاية,نهاية,N\CN,noun,,end;termination+[fem.sg.],exact,high,
246,مجموع / ة,مجموعة,N\CN,noun,ج م ع,collection;group;bloc+[fem.sg.],concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
247,دول,دول,N\CN,noun,,the+state;country+[fem.sg.],exact,high,
248,فقد,فقد,N\CN,part_verb | verb,ف ق د,(has;have) | lose+it;they;she <verb>,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
249,مختفل,مختفل,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
250,ألف,ألف,V\VP,verb,,he;it+compose;constitute,exact,high,
251,نائب,نائب,N\CN,noun,,the+deputy;delegate;vice-+[def.nom.],exact,high,
252,أسبوع,أسبوع,N\CN,noun,س ب ع,the+week+[def.acc.],exact,high,
253,قانون,قانون,N\CN,noun,ق ن ن,law;statutes;regulations+[def.gen.],exact,high,
254,مستوى,مستوى,N\CN,noun,,level;standard,exact,high,
255,قطاع,قطاع,N\CN,noun,ق ط ع,sector;section+[def.gen.],exact,high,
256,نظام,نظام,N\CN,noun,ن ظ م,the+methodology;system;order+[def.gen.],exact,high,
257,مازال,مازال,V\VP,verb,,he;it+cease;stop being;stop doing,exact,high,
258,مساعدة,مساعدة,N\CN,noun,س ع د,the+assistance;support+[fem.sg.],exact,high,
259,يحصل,يحصل,V\VI,verb,ح ص ل,obtain;acquire;get+he;it <verb>,exact,high,
260,شهر,شهر,N\CN,noun,ش ه ر,month+[indef.gen.],exact,high,
261,فني,فني,N\CN,adj | verb,ف ن ن,the+technical;artistic+[def.gen.] | I+perish;disappear,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
262,صفحة,صفحة,N\CN,noun,ص ف ح,the+page;leaf+[fem.sg.],exact,high,
263,عامة,عامة,ADJ,adj,ع م م,the+general;common;public+[def.gen.],exact,high,
264,تحت,تحت,ADV,noun,ت ح ت,under,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
265,حين,حين,ADV,adv,,sometimes;occasionally+[acc.indef.],exact,high,
266,قليل,قليل,ADJ,adj,ق ل ل,little;few+[fem.sg.],exact,high,
267,حو,حق,ADV,adv,ح ق ق,really;truly+[acc.indef.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
268,أطفال,أطفال,N\CN,noun,ط ف ل,the+children;infants+[def.gen.],exact,high,
269,لابد,لابد,N\CN,noun,,for;to+non-migratory;sedentary+[indef.gen.],exact,high,
270,وع,وع,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
271,منتخب,منتخب,N\CN,noun,ن خ ب,the+elected candidate;elect+[def.gen.],exact,high,
272,شيخ,شيخ,N\CN,noun,,sheikh;chieftain+[def.nom.],exact,high,
273,مشروع,مشروع,N\CN,noun,ش ر ع,project;enterprise+[def.gen.],exact,high,
274,أشياء,أشياء,N\CN,noun,,something,exact,high,
275,وحيد,وحيد,ADJ,adj,,the+only;sole;alone;exclusive+[def.nom.],exact,high,
276,صباح,صباح,ADV,noun,ص ب ح,morning+[def.acc.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
277,شعب,شعب,N\CN,noun,ش ع ب,the+people;nation+[def.gen.],exact,high,
278,يأخذ,يأخذ,V\VI,verb,,take;begin+he;it <verb>,exact,high,
279,يجد,يجد,V\VI,verb,,he;it+be found;exist,exact,high,
280,توقف,توقف,V\VP | V\VR,verb,,he;it+stop;halt;depend on,exact,high,
281,ألن,أن,P\PO,conj_sub,,that,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
282,بطولة,بطولة,N\CN,noun,ب ط ل,championship;starring role;heroism+[fem.sg.],exact,high,
283,هيئة,هيئة,N\CN,noun,,organization;agency+[fem.sg.],exact,high,
284,عملية,عملية,N\CN,noun,ع م ل,operation;mission;process+[fem.sg.],exact,high,
285,طويل,طويل,ADJ,adj,,tall;long+[fem.sg.],exact,high,
286,بل,بل,P\PO,conj,,but rather;in fact,exact,high,
287,تأكيد,تأكيد,N\CN,noun,,confirmation;affirmation;guarantee+[def.gen.],exact,high,
