front,meaning,pos,frequency,lexique_cgram,kaikki_pos,kaikki_meaning,source,rank
marié,married; groom (husband to be),adjective / noun,57.849000,ADJ|NOM,adj|noun,married; groom (husband to be),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1042
énerver,"to be excited; to unnerve, to make nervous; to vex, to get on one's nerves",verb,57.845000,VER,verb,"to be excited; to unnerve, to make nervous; to vex, to get on one's nerves",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1043
info,contraction of information; contraction of informatique,noun,57.718000,NOM,noun,contraction of information; contraction of informatique,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1044
couteau,knife; razor clam; any bivalve in the genus Solen,noun,57.500000,NOM,noun,knife; razor clam; any bivalve in the genus Solen,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1045
réalité,"reality; actuality; truth; realia, entity in the world",noun,57.484000,NOM,noun,"reality; actuality; truth; realia, entity in the world",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1046
importance,importance; significance,noun,57.399000,NOM,noun,importance; significance,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1047
partenaire,partner,noun,57.291000,NOM,noun,partner,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1048
français,French; Franco-American or Francophone,adjective / noun,57.067000,ADJ|NOM,adj|noun,French; Franco-American or Francophone,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1049
maladie,"illness, disease",noun,57.057000,NOM,noun,"illness, disease",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1050
annuler,"to cancel (to invalidate, to annul)",verb,56.983000,VER,verb,"to cancel (to invalidate, to annul)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1051
piste,piste; runway; racecourse,noun,56.965000,NOM,noun|verb,piste; runway; racecourse,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1052
frais,"cost, charge; fresh (well-rested); fresh, recent (just happened)",adjective / noun,56.810000,ADJ|NOM,adj|noun,"cost, charge; fresh (well-rested); fresh, recent (just happened)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1053
taper,"to put up with; to fuck (have sex); to slap, knock, beat",verb,56.787000,VER,verb,"to put up with; to fuck (have sex); to slap, knock, beat",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1054
rechercher,"to search for, seek, to look for; to search again, to look for again",verb,56.636000,VER,verb,"to search for, seek, to look for; to search again, to look for again",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1055
déposer,"to deposit (money); to drop off (someone); to put down (set down), lay down",verb,56.626000,VER,verb,"to deposit (money); to drop off (someone); to put down (set down), lay down",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1056
juger,"to judge, to try; to judge, to deem",verb,56.614000,VER,verb,"to judge, to try; to judge, to deem",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1057
faible,"weak; low, small (amount, degree, percentage)",adjective / noun,56.434000,ADJ|NOM,adj|noun,"weak; low, small (amount, degree, percentage)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1058
pression,"pressure; popper (UK), snap (US) (fastener)",noun,56.281000,NOM,noun,"pressure; popper (UK), snap (US) (fastener)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1059
salope,slovenly woman; bitch (mean woman); slut (promiscuous woman),noun,56.222000,NOM,adj|noun|verb,slovenly woman; bitch (mean woman); slut (promiscuous woman),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1060
fil,"yarn, thread, wire; grain (of wood etc.); edge (of blade, razor etc.)",noun,56.177000,NOM,name|noun,"yarn, thread, wire; grain (of wood etc.); edge (of blade, razor etc.)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1061
éloigner,"to remove; to distance, to draw or pull away from; to distance oneself, to pull oneself away from",verb,55.929000,VER,verb,"to remove; to distance, to draw or pull away from; to distance oneself, to pull oneself away from",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1062
produire,"to produce, to yield; to perform (of a singer, etc.); to happen, take place (of an event)",verb,55.888000,VER,verb,"to produce, to yield; to perform (of a singer, etc.); to happen, take place (of an event)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1063
éteindre,"to die out, fade; to put out, to extinguish (a fire); to turn off (a switch, device, etc.)",verb,55.833000,VER,verb,"to die out, fade; to put out, to extinguish (a fire); to turn off (a switch, device, etc.)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1064
sortie,exit; way out; act of exiting; output; connector,noun,55.791000,NOM,noun|verb,exit; way out; act of exiting; output; connector,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1065
refaire,"to get reaccustomed to; to freshen up, to recuperate; to redo, to do over, to do again, to repeat",verb,55.562000,VER,verb,"to get reaccustomed to; to freshen up, to recuperate; to redo, to do over, to do again, to repeat",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1066
suivant,"next, following; follower, attendant",adjective / noun,55.487000,ADJ|NOM,adj|noun|verb,"next, following; follower, attendant",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1067
justice,justice,noun,55.409000,NOM,noun,justice,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1068
entrée,"ticket; mudroom; entrance, way in",noun,55.393000,NOM,noun|verb,"ticket; mudroom; entrance, way in",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1069
énergie,"energy, motivation; energy (quantity that denotes the ability to do work)",noun,55.364000,NOM,noun,"energy, motivation; energy (quantity that denotes the ability to do work)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1070
sexuel,sexual,adjective,55.319000,ADJ,adj,sexual,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1071
vert,green,adjective / noun,55.317000,ADJ|NOM,adj|noun,green,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1072
cible,"target; aim, goal",noun,55.300000,NOM,noun|verb,"target; aim, goal",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1073
fantôme,ghost,noun,55.282000,NOM,noun,ghost,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1074
espace,space,noun,55.262000,NOM,noun|verb,space,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1075
unité,unit; ones (in arithmetic),noun,55.231000,NOM,noun,unit; ones (in arithmetic),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1076
vacance,"vacancy; holidays, vacation",noun,55.228000,NOM,noun,"vacancy; holidays, vacation",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1077
entraîner,"to drag (along); to coach, to train; to carry, pull, drive",verb,55.221000,VER,verb,"to drag (along); to coach, to train; to carry, pull, drive",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1078
intention,intention,noun,55.010000,NOM,noun,intention,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1079
sexy,sexy,adjective,54.987000,ADJ,adj,sexy,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1080
blessure,wound; injury,noun,54.936000,NOM,noun,wound; injury,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1081
plaindre,to pity; to complain,verb,54.908000,VER,verb,to pity; to complain,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1082
gâcher,"to mess up, botch, bungle; to ruin, spoil, mar, wreck, waste",verb,54.872000,VER,verb,"to mess up, botch, bungle; to ruin, spoil, mar, wreck, waste",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1083
vent,"wind; flatulence; empty words, hot air",noun,54.835000,NOM,noun,"wind; flatulence; empty words, hot air",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1084
représenter,"to represent (to show, as a replacement); to represent (to be the representative of); to represent; to re-present; to present again",verb,54.831000,VER,verb,"to represent (to show, as a replacement); to represent (to be the representative of); to represent; to re-present; to present again",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1085
costume,a suit worn by a man; an outfit or a disguise worn as fancy dress; a set of clothes appropriate for a particular occasion or task,noun,54.829000,NOM,noun|verb,a suit worn by a man; an outfit or a disguise worn as fancy dress; a set of clothes appropriate for a particular occasion or task,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1086
contacter,to contact (all senses),verb,54.773000,VER,verb,to contact (all senses),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1087
bouteille,"alcohol; experience; bottle (container, typically made of glass or plastic and having a tapered neck, used primarily for holding liquids)",noun,54.605000,NOM,noun,"alcohol; experience; bottle (container, typically made of glass or plastic and having a tapered neck, used primarily for holding liquids)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1088
conseiller,"to advise; to counsel; counsellor, advisor",noun / verb,54.579000,NOM|VER,noun|verb,"to advise; to counsel; counsellor, advisor",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1089
finalement,finally; last; lastly; finally; eventually; after all,adverb,54.478000,ADV,adv,finally; last; lastly; finally; eventually; after all,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1090
stop,stop sign; hitchhiking; brake lights; stop lights,noun,54.468000,NOM,intj|noun,stop sign; hitchhiking; brake lights; stop lights,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1091
série,"series; serial, television program in installments",noun,54.446000,NOM,noun,"series; serial, television program in installments",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1092
rouler,"to roll; to revolve; to dupe, to trick",verb,54.438000,VER,verb,"to roll; to revolve; to dupe, to trick",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1093
dépendre,"to unhang; to remove from a gallows; to belong to, to be part of",verb,54.405000,VER,verb,"to unhang; to remove from a gallows; to belong to, to be part of",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1094
crise,"crisis; attack, fit; tantrum, scene, fit of anger",noun,54.386000,NOM,noun,"crisis; attack, fit; tantrum, scene, fit of anger",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1095
nouvelle,"novella, short story; news, a piece of information",noun,54.383000,NOM,adj|noun,"novella, short story; news, a piece of information",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1096
voie,"way, track; lane (of a highway); calling, path in life",noun,54.263000,NOM,noun|verb,"way, track; lane (of a highway); calling, path in life",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1097
transformer,to transform,verb,54.165000,VER,verb,to transform,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1098
sacré,"religious; sacred, holy; sacrum, sacral",adjective,54.096000,ADJ,adj|verb,"religious; sacred, holy; sacrum, sacral",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1099
différence,difference,noun,54.095000,NOM,noun,difference,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1100
court,court; short,adjective / noun,54.038000,ADJ|NOM,adj|noun|verb,court; short,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1101
policier,police,adjective / noun,54.021000,ADJ|NOM,adj|noun,police,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1102
accrocher,"to cling onto, hold on to; to get hooked, get addicted; to pick up, become attached to",verb,53.991000,VER,verb,"to cling onto, hold on to; to get hooked, get addicted; to pick up, become attached to",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1103
fatiguer,"to tire; to bore, to annoy; to wear out, to drain",verb,53.985000,VER,verb,"to tire; to bore, to annoy; to wear out, to drain",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1104
église,church,noun,53.950000,NOM,name|noun,church,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1105
cousin,cranefly; mosquito; cousin (male),noun,53.933000,NOM,noun,cranefly; mosquito; cousin (male),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1106
champ,an area of study; a wide open space; the background of a shield's design,noun,53.892000,NOM,noun,an area of study; a wide open space; the background of a shield's design,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1107
gâteau,"a cookie; a sponge cake, i.e. a cake made with a chemical leavening agent (e.g. baking powder), making it light and airy (as opposed to a denser torte)",noun,53.864000,NOM,noun,"a cookie; a sponge cake, i.e. a cake made with a chemical leavening agent (e.g. baking powder), making it light and airy (as opposed to a denser torte)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1108
menacer,"to threaten; to endanger, to jeopardise",verb,53.760000,VER,verb,"to threaten; to endanger, to jeopardise",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1109
placer,to place (to put in a specific location); to place (to earn a given spot in a competition); to seat (to put an object into a place where it will rest),verb,53.755000,VER,verb,to place (to put in a specific location); to place (to earn a given spot in a competition); to seat (to put an object into a place where it will rest),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1110
mémoire,"memo; brief; bill, invoice",noun,53.754000,NOM,noun,"memo; brief; bill, invoice",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1111
cesser,to cease; to stop; to break up (e.g. a relationship),verb,53.680000,VER,verb,to cease; to stop; to break up (e.g. a relationship),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1112
enfermer,"to enclose, contain; to imprison, entrap; to lock up, lock in, lock away",verb,53.546000,VER,verb,"to enclose, contain; to imprison, entrap; to lock up, lock in, lock away",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1113
chier,"to shit, defecate",verb,53.518000,VER,verb,"to shit, defecate",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1114
nature,"nature; lexical category; plain, unseasoned",adjective / noun,53.481000,ADJ|NOM,adj|noun,"nature; lexical category; plain, unseasoned",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1115
île,island,noun,52.994000,NOM,noun,island,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1116
étage,"zone; stage; floor, storey",noun,52.912000,NOM,noun|verb,"zone; stage; floor, storey",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1117
immédiatement,immediately,adverb,52.864000,ADV,adv,immediately,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1118
restaurant,restaurant,noun,52.836000,NOM,noun|verb,restaurant,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1119
acteur,actor,noun,52.691000,NOM,noun,actor,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1120
envers,back; inside; toward,noun / preposition,52.646000,NOM|PRE,noun|prep,back; inside; toward,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1121
lune,"the Moon; any natural satellite of a planet; a month, particularly a lunar month",noun,52.550000,NOM,noun,"the Moon; any natural satellite of a planet; a month, particularly a lunar month",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1122
star,star (celebrity),noun,52.456000,NOM,noun,star (celebrity),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1123
université,university (institution of higher education),noun,52.430000,NOM,noun,university (institution of higher education),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1124
entreprise,"company, business; enterprise, project",noun,52.367000,NOM,noun,"company, business; enterprise, project",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1125
habiller,to dress; to get dressed,verb,52.331000,VER,verb,to dress; to get dressed,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1126
étudiant,student; studying (in the process of studying),adjective / noun,52.297000,ADJ|NOM,adj|noun|verb,student; studying (in the process of studying),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1127
grand-père,grandfather,noun,52.243000,NOM,noun,grandfather,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1128
parti,drunk; parti; party,adjective / noun,52.215000,ADJ|NOM,adj|noun|verb,drunk; parti; party,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1129
week-end,weekend; synonym of fin de semaine,noun,52.057000,NOM,noun,weekend; synonym of fin de semaine,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1130
salaud,"slob; vile, base; bastard, wretch",adjective / noun,51.909000,ADJ|NOM,adj|noun,"slob; vile, base; bastard, wretch",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1131
remplacer,to replace,verb,51.842000,VER,verb,to replace,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1132
carrière,career; quarry; racecourse,noun,51.813000,NOM,name|noun,career; quarry; racecourse,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1133
langue,tongue; language (system of communication using written or spoken words),noun,51.725000,NOM,noun,tongue; language (system of communication using written or spoken words),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1134
charmant,charming,adjective,51.624000,ADJ,adj|verb,charming,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1135
nerveux,"nerve; nervous; nervous, anxious",adjective,51.528000,ADJ,adj,"nerve; nervous; nervous, anxious",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1136
voleur,"robber, thief; thieving, thievish; flier (one who flies)",adjective / noun,51.512000,ADJ|NOM,adj|noun,"robber, thief; thieving, thievish; flier (one who flies)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1137
invité,invited,adjective / noun,51.270000,ADJ|NOM,adj|noun|verb,invited,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1138
poche,pocket (cavity); pouch (of a marsupial); pocket (part of the clothing),noun,51.102000,NOM,adj|noun|verb,pocket (cavity); pouch (of a marsupial); pocket (part of the clothing),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1139
principal,"main, key, principal; principal (school administrator); principal (the money originally invested or loaned)",adjective / noun,51.052000,ADJ|NOM,adj|noun,"main, key, principal; principal (school administrator); principal (the money originally invested or loaned)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1140
privé,private,adjective,51.044000,ADJ,adj|verb,private,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1141
repas,"meal, repast",noun,51.038000,NOM,noun,"meal, repast",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1142
laver,to wash,verb,50.987000,VER,verb,to wash,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1143
enterrer,"to hide; to outlive, to survive (someone); to bury (put underground); to inter",verb,50.870000,VER,verb,"to hide; to outlive, to survive (someone); to bury (put underground); to inter",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1144
