rank,front,meaning,camel_analysis_count,flags
685,صحيفة,newspaper; journal,7,
686,استمرار,continuation; persistence,6,
687,شمال,north; left side (depending on vocalization),12,
688,فكر,thought; thinking; thought/considered,14,
689,شراء,purchase; buying,4,
690,نيابة,prosecution; representation; deputyship (context-dependent),14,
691,موعد,appointment; date; scheduled time,6,
692,ماء,water,4,
693,يتعلق,relates to; concerns; is connected with,1,
694,اجتماعي,social,11,
695,امرأة,woman,16,
696,أسهم,shares; stocks; contributed/participated,22,
697,أجهزة,devices; equipment,18,
698,بدء,beginning; start,1,
699,جلسة,session; meeting,8,
700,لايزال,still is; continues to be (لا يزال),1,
701,رسمي,official; formal,8,
702,تأثير,effect; influence; impact,6,
703,لقب,title; nickname; titled/nicknamed,13,
704,فرق,teams/groups; differences,33,
705,هجوم,attack; assault,6,
706,ابنة,daughter,17,
707,يستمر,continues; persists,1,
708,لطيف,nice; kind; gentle; pleasant,17,
709,يهتم,cares about; is interested in,1,
710,إذ,"when; since; as; because (إذ, context-dependent)",2,
711,أبناء,sons; children,4,
712,غرب,west,8,
713,تأمين,insurance; securing; guarantee,8,
714,يعرض,presents; displays; offers; exposes (depending on form),5,
715,عرب,Arabs,13,
716,صالح,valid; suitable; righteous; good,20,
717,ملابس,clothes; clothing,4,
718,تحرك,movement; activity; moved,19,
719,بدل,substitute; instead of; changed/replaced,17,
720,طائرة,airplane; aircraft,11,
721,جماعة,group; community,11,
722,مصدر,source,24,
723,معظم,most; majority of,18,
724,أهال,welcome!; hello! (أهلًا),4,
725,قطع,pieces; parts; cut,32,
726,موافقة,approval; agreement; agreeing/suitable (feminine adjective use),18,
727,أخبار,news; reports,12,
728,محافظة,governorate/province; conservative/preserving (feminine adjective use),25,
729,خطر,danger; risk,15,
730,صندوق,box; fund,12,
731,جزيرة,island,8,
732,يصدق,believes; confirms; tells the truth (depending on vocalization),2,
733,قوى,forces; powers; strengths,10,
734,دم,blood,13,
735,جائزة,prize; award,18,
736,حكومي,governmental; government,6,
737,يظهر,appears; shows; demonstrates (depending on form),5,
738,وراء,behind; beyond; after,25,
739,حادث,incident; accident; event; spoke/conversed with (verb reading),13,
740,نقاط,points; dots,6,
741,انتظار,waiting; expectation,6,
742,قاعدة,rule; base; foundation,32,
743,حظ,luck; fortune,7,
744,مهم,important,6,
745,تعامل,dealing; interaction; dealt/interacted,9,
746,ثقافة,culture,7,
747,إجراءات,procedures; measures; actions,14,
748,قضايا,issues; cases; causes,8,
749,طعام,food,6,
750,سواء,equal; alike; whether...or; equally,8,
751,يسمح,allows; permits,3,
752,أهداف,goals; objectives,12,
753,يسأل,asks; questions,3,
754,ملعب,stadium; playing field,6,
755,دقائق,minutes,4,
756,فعلا,really; indeed; actually,6,
757,عسكرية,military,22,
758,معرض,exhibition; display; fair,18,
759,بقاء,remaining; survival; staying,4,
760,اتصالات,communications; contacts,14,
761,حفل,ceremony; party; event,8,
762,شؤون,affairs; matters,6,
763,حجم,size; volume,7,
