rank,front,meaning,pos,root,frequency,calima_exact_analyses,source
1053,أهم,more; most important,noun,ه م م,4514692,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1054,عسكري,military; army,adj,ع س ك ر,4474132,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1055,صلى,pray; worship,verb,,4455049,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1056,تربية,education; pedagogy; breeding,noun,,4447840,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1057,محلي,local,adj,ح ل ل,4433011,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1058,ال,the,part_det,,4381056,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1059,لبناني,Lebanese,adj,,4366954,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1060,صيانة,maintenance; preservation,noun,,4352966,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1061,سوري,Syrian,adj,,4247971,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1062,رسول,messenger (Muhammad),noun,ر س ل,4206989,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1063,متوسط,middle; central; average,adj,,4187769,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1064,أجنبي,foreign,adj,ج ن ب,4165760,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1065,إداري,administrative; management; departmental; officer,adj,,4156204,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1066,أغنية,song; melody,noun,,4148596,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1067,ملفة,dossier; letter file,noun,ل ف ف,4105613,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1068,طب,medicine; medical treatment,noun,ط ب ب,4098693,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1069,كاتب,clerk,noun,ك ت ب,4035031,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1070,مخالف,divergent; violating,adj,خ ل ف,4025066,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1071,فرنسي,French,adj,,3886702,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1072,قرني,centenary,adj,ق ر ن,3873852,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1073,عراقي,Iraqi,adj,ع ر ق,3870971,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1074,طبي,medical,adj,ط ب ب,3864666,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1075,تقني,technical,adj,ت ق ن,3825950,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1076,فن,art; specialty; variety,noun,ف ن ن,3802178,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1077,ملتقى,meeting place; juncture,noun,,3775116,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1078,شبكة,network; system,noun,ش ب ك,3747709,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1079,ضرر,damage; injury; harm,noun,ض ر ر,3679191,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1080,تجاري,commercial; business,adj,ت ج ر,3676807,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1081,بنت,daughter; girl,noun,ب ن ت,3653799,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1082,شب,youth,noun,ش ب ب,3634771,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1083,زال,cease; stop being; stop doing,verb,,3632496,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1084,أوربي,European,adj,,3609780,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1085,جمهوري,multitude; public,noun,ج م ه ر,3604376,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1086,ريال,"riyal (S.Ar.=100 halala, Qatar=100 dirham, Yemen=100 fils)",noun,,3579451,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1087,صف,line; row; class,noun,ص ف ف,3568765,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1088,طرف,party; side,noun,ط ر ف,3543429,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1089,جوال,itinerant; wandering,adj,,3521258,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1090,شعبي,popular; national; people's,adj,ش ع ب,3520486,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1091,تبليغ,conveyance; notification; informing,noun,ب ل غ,3511346,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1092,أ,A; 1st,abbrev,,3482764,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1093,مدني,civilian,adj,م د ن,3399993,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1094,مقال,article; essay,noun,,3398664,8,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1095,نشاط,activity; active,noun,ن ش ط,3398209,18,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1096,ثقافي,cultural; intellectual,adj,ث ق ف,3391931,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1097,جمع,gather; assemble,verb,ج م ع,3376968,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1098,وظيفة,job; position; function,noun,,3369203,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1099,رابع,fourth,adj,ر ب ع,3350561,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1100,منتج,product; production,noun,ن ت ج,3316408,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1101,صحي,health; healthy; sanitary,adj,ص ح ح,3313815,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1102,وكالة,agency,noun,,3295058,28,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1103,درس,lesson; study,noun,د ر س,3278520,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1104,أمير,prince,noun,,3202180,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1105,أمني,security; safety,adj,,3191524,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1106,أرشيف,archive,noun,ر ش ف,3162238,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1107,فنان,artist,noun,ف ن ن,3148996,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1108,عامل,worker,noun,ع م ل,3130684,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1109,مسلم,Muslim,adj,س ل م,3123499,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1110,قائم,remaining; existing,adj,,3117226,18,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1111,رواية,story; novel,noun,,3102427,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1112,أستاذ,professor,noun,س ت ذ,3099691,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1113,إنجليزي,English,adj,,3075632,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1114,شاعر,poet,noun,ش ع ر,3062789,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1115,أزرق,blue,noun,ز ر ق,3056614,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1116,وفق,according to; in accordance with,adv,,3056172,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1117,جهد,exertion; endeavor,noun,ج ه د,3042937,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1118,ختر,betray; deceive,verb,خ ت ر,3031577,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1119,مساء,evening,noun,,3002004,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1120,دائم,permanent; lasting; constant,adj,,2987293,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1121,صلاة,prayer; salat,noun,,2972237,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1122,تعديل,adjustment; change; modification; amendment,noun,ع د ل,2957189,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1123,ديني,religious,adj,,2956387,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1124,سياحة,tourism,noun,,2956153,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1125,تعالى,come!,verb,,2950096,3,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1126,وسيلة,means; device; instrument,noun,,2935517,28,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1127,أمارة,sign; indication,noun,,2934532,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1128,تعليق,comment; remark; commentary,noun,ع ل ق,2924915,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1129,أدب,literature; good manners; etiquette,noun,,2895031,18,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1130,خصوص,matter; issue; regard; respect,noun,خ ص ص,2881666,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1131,تواصل,continuity; continuation,noun,,2846694,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1132,تفصيل,detailing; elaboration; giving details,noun,ف ص ل,2825690,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1133,تركي,Turkish,adj,ت ر ك,2815245,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1134,سبت,basket,noun,س ب ت,2809563,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1135,ورى,kindle; light,verb,,2803737,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1136,أدبي,literary,adj,,2800151,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1137,تعليمي,educational; pedagogical; instructional,adj,ع ل م,2781516,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1138,تعريف,identification; notification,noun,ع ر ف,2781373,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1139,إطلاق,firing,noun,ط ل ق,2771077,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1140,غربي,west; western; westerner,adj,غ ر ب,2756831,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1141,مباشر,direct; immediate,noun,ب ش ر,2737557,10,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1142,عنى,mean; signify; concern,verb,,2729774,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1143,د,D; 4th; Dr.; (minute); (dinar); (dirham),abbrev,,2717681,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1144,جنيه,pound,noun,ج ن ه,2716414,28,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1145,شرط,precondition; stipulation,noun,ش ر ط,2710321,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1146,شارك,participate; share,verb,ش ر ك,2710100,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1147,فرقة,groups; teams,noun,ف ر ق,2705739,36,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1148,زائر,visitor; tourist,noun,,2688317,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1149,قانوني,legitimate; licit; allowed; legal,adj,ق ن ن,2684349,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1150,تنظيف,cleaning,noun,ن ظ ف,2679700,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1151,جرى,occur; happen; take place; flow,verb,,2675315,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1152,بقي,remain; last,verb,,2674840,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1153,ديكور,decor; interior decoration,noun,,2669450,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1154,مشترك,common; joint; collective,adj,ش ر ك,2650541,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1155,تكليف,cost; expense; charge,noun,ك ل ف,2645182,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1156,حر,free; independent,adj,ح ر ر,2643663,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1157,ديموقراطي,democratic,adj,,2635754,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1158,معلم,teacher,noun,ع ل م,2610014,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1159,مشاهدة,viewer; spectator; witness,noun,ش ه د,2600062,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1160,زاد,increase; exceed; add,verb,,2593829,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1161,أحدث,newer; newest; more; most recent,noun,ح د ث,2590460,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1162,أقام,install; establish; erect,verb,,2561218,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1163,مطبخ,kitchen,noun,ط ب خ,2541608,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1164,رسم,drawing; sketch; illustration,noun,ر س م,2536570,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1165,إعلامي,information; media,adj,ع ل م,2536093,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1166,دار,house; home,noun,,2510934,8,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1167,شخصي,private; personal,adj,ش خ ص,2500800,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1168,مخروطي,conical,adj,خ ر ط,2500288,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1169,مهندس,engineer; technician,noun,ه ن د س,2489574,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1170,نبي,prophet,adj,,2474828,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1171,خمس,five,adj,خ م س,2473427,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1172,خامس,fifth,adj,خ م س,2464709,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1173,أظهر,show; manifest; demonstrate,verb,ظ ه ر,2455097,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1174,تعلق,be connected with; pertain to,verb,ع ل ق,2450944,5,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1175,أثاث,furniture; equipment,noun,,2441268,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1176,مغربي,of; from the Maghrib (northwest Africa),adj,غ ر ب,2420203,28,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1177,تعرض,be exposed to; encounter,verb,ع ر ض,2411287,11,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1178,لوحة,painting; picture,noun,,2373573,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1179,قرن,century; age,noun,ق ر ن,2361570,24,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1180,نجم,star; constellation,noun,ن ج م,2356161,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1181,جودة,excellence; high quality,noun,,2349089,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1182,أليس,valiant,noun,,2338481,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1183,لون,color; tint,noun,,2320411,17,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1184,تصريح,declaration; statement,noun,ص ر ح,2319633,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1185,ترحيب,welcoming; greeting,noun,ر ح ب,2314355,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1186,ه,H; (Hijrah); 5th,abbrev,,2306782,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1187,مليار,billion,noun,م ل ر,2297529,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1188,داخلي,interior; inside,noun,د خ ل,2295194,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1189,مستخدم,employee,noun,خ د م,2291676,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
