rank,front,meaning,pos,root,frequency,calima_raw_meaning,kaikki_meaning,semantic_basis,source
1027,مملكة,kingdom,noun,م ل ك,5389691,kingdom,kingdom,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1028,محتوى,content,noun,,5359784,content,content; passive participle of اِحْتَوَى (iḥtawā),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1029,مالي,financial; monetary,adj,,5283007,financial;monetary,"monetary; financial; of, from or relating to Mali",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1030,ثلاث,three,adj,ث ل ث,5239361,three,"three at a time, in a group of three, in threes",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1031,خارجي,outer; foreign,adj,خ ر ج,5128529,outer;foreign;outside,"Kharijite; outer, external, extraneous, foreign, nonresident; resembling or compared to historical Khawarij, i.e. prone to treating people as non-Muslims, a takfirist",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1032,تصحيح,correction,noun,ص ح ح,4964256,correction,"reducing a fraction; correction, rectification; authentication (of a Hadith)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1033,وجب,be necessary; be incumbent,verb,,4914109,be necessary;be incumbent,"to impose (something) on; to be one's duty; to be incumbent, imposed, enjoined: followed by عَلَى (ʕalā, “on”); to be necessary, have to be; must: followed by عَلَى (ʕalā, “on”) or by أَنْ (ʔan) and the subjunctive with a personal subject",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1034,فلسطيني,Palestinian,adj,,4871669,Palestinian,Palestinian,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1035,كمبيوتر,computer,noun,,4795367,computer,computer,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1036,مكتبة,library,noun,ك ت ب,4705443,library;bookstore,desk; library; bookcase,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1037,ثانوي,secondary,adj,,4696857,secondary,"secondary, minor",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1038,أمة,nation; people,noun,,4695919,nation;people,"slave-girl; community, people, nation",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1039,علمي,scientific; scholarly; academic,adj,ع ل م,4688359,scientific;scholarly;academic,"laity; related to knowledge; scientific, academic, scholarly",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1040,إسرائيلي,Israeli,adj,,4651605,Israeli,Israeli,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1041,أهم,more; most important,noun,ه م م,4514692,more;most important,"more important; most important; elative degree of هَامّ (hāmm):; to grieve, to distress, to concern, to worry",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1042,عسكري,military,adj,ع س ك ر,4474132,military;army,private; soldier; military,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1043,صلى,pray,verb,,4455049,pray;worship,to burn; to pray; to supplicate,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1044,تربية,education,noun,,4447840,education;pedagogy;breeding,increase; progress; education,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1045,محلي,local,adj,ح ل ل,4433011,local,"local, regional, native, national",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1046,لبناني,Lebanese,adj,,4366954,Lebanese,Lebanese,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1047,سوري,Syrian,adj,,4247971,Syrian,Syrian,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1048,رسول,messenger (Muhammad),noun,ر س ل,4206989,messenger (Muhammad),"angel; messenger, apostle; Muhammad (the Messenger)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1049,متوسط,middle; central; average,adj,,4187769,middle;central;average,"medium; mean, average; middle, central",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1050,أجنبي,foreign,adj,ج ن ب,4165760,foreign,"foreigner; strange, unfamiliar; foreign, from outside the land",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1051,إداري,administrative,adj,,4156204,administrative;management;departmental;officer,"administrative, managerial",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1052,أغنية,song; melody,noun,,4148596,song;melody,"song, melody, tune",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1053,ملفة,dossier; letter file,noun,ل ف ف,4105613,dossier;letter file,"file, dossier, chart",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1054,طب,medicine; medical treatment,noun,ط ب ب,4098693,medicine;medical treatment,to treat medically; medicine (field of study); verbal noun of طَبَّ (ṭabba) (form I),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1055,كاتب,clerk,noun,ك ت ب,4035031,clerk,clerk; copyist; secretary,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1056,فرنسي,French,adj,,3886702,French,French,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1057,عراقي,Iraqi,adj,ع ر ق,3870971,Iraqi,Iraqi,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1058,طبي,medical,adj,ط ب ب,3864666,medical,medical,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1059,تقني,technical,adj,ت ق ن,3825950,technical,technical; technological,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1060,فن,art,noun,ف ن ن,3802178,art;specialty;variety,"art; genre; sort, species, type",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1061,ملتقى,meeting place,noun,,3775116,meeting place;juncture,"met, encountered; passive participle of اِلْتَقَى (iltaqā); gathering place, congregation, forum, assemblage",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1062,شبكة,network,noun,ش ب ك,3747709,network;system,grid; noose; network,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1063,ضرر,evil,noun,ض ر ر,3679191,evil;sin,narrow; brink or edge of a cave; an evil state or condition,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1064,تجاري,commercial,adj,ت ج ر,3676807,commercial;business,"related to trade, mercantile, commercial",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1065,بنت,daughter; girl,noun,ب ن ت,3653799,daughter;girl,girl; daughter; female descendant,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1066,شب,alum,noun,ش ب ب,3634771,alum,alum; vitriol; to break out,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1067,زال,disappear,verb,,3632496,disappear,to die down; to separate; to disappear,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1068,ريال,"riyal (S.Ar.=100 halala, Qatar=100 dirham, Yemen=100 fils)",noun,,3579451,"riyal (S.Ar.=100 halala, Qatar=100 dirham, Yemen=100 fils)","real (the official currency of Brazil); rial (the official currency of Oman, Yemen, and Iran); riyal (the official currency of Saudi Arabia and Qatar)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1069,صف,class,noun,ص ف ف,3568765,line;row;class,class; setting in type; to park (a car),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1070,طرف,side,noun,ط ر ف,3543429,party;side,limb; side; to blink,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1071,شعبي,popular; national,adj,ش ع ب,3520486,popular;national;people's,"national, people’s; popular, folk-, folksy",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1072,نشاط,activity,noun,ن ش ط,3398209,activity;active,"(concrete) activity; verbal noun of نَشِطَ (našiṭa) (form I); briskness, liveliness, activity, agileness, promptness, quickness, energy",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1073,ثقافي,cultural; intellectual,adj,ث ق ف,3391931,cultural;intellectual,cultural; educational; intellectual,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1074,وظيفة,function,noun,,3369203,job;position;function,aim; business; function,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1075,رابع,fourth,adj,ر ب ع,3350561,fourth,fourth,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1076,منتج,product,noun,ن ت ج,3316408,product;production,product,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1077,صحي,sanitary,adj,ص ح ح,3313815,health;healthy;sanitary,hygienic; sanitary; to wake up,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1078,وكالة,agency,noun,,3295058,agency,proxy; agency,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1079,درس,lesson,noun,د ر س,3278520,lesson;study,tail; lesson; lecture,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1080,أمير,prince,noun,,3202180,prince,prince; commander,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1081,أرشيف,archive,noun,ر ش ف,3162238,archive,archive,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1082,فنان,artist,noun,ف ن ن,3148996,artist,artist,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1083,مسلم,Muslim,adj,س ل م,3123499,Muslim,"Muslim; a male given name; submitting, accepting, believing",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1084,قائم,upright,adj,,3117226,standing;upright,"perpendicular; vertical, erect, upright; active participle of قَامَ (qāma)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1085,رواية,story; novel,noun,,3102427,story;novel,"narration; novel, story; verbal noun of رَوَى (rawā) (form I)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1086,أستاذ,professor,noun,س ت ذ,3099691,professor,"professor; teacher at a grammar school or similar institution; title of courtesy commonly given to individuals of high education or learning, best translated simply as mister",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1087,إنجليزي,English,adj,,3075632,English,Englishman; English language; Pertaining to England,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1088,شاعر,poet,noun,ش ع ر,3062789,poet,bard; poet,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1089,أزرق,blue,noun,ز ر ق,3056614,blue,"blue, blue-coloured; flickering, glinting",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1090,جهد,exertion,noun,ج ه د,3042937,exertion;endeavor,"power, ability; strain, exertion, effort; labour, toil, exertion, effort",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1091,مساء,evening,noun,,3002004,evening,"evening; verbal noun of سَاءَ (sāʔa) (form I); p.m., after noon (often shortened as م (m))",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1092,دائم,lasting,adj,,2987293,permanent;lasting;constant,"durable; perennial; lasting, enduring",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1093,صلاة,prayer; salat,noun,,2972237,prayer;salat,"prayer; salat, namaz; supplication",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1094,تعديل,adjustment; change,noun,ع د ل,2957189,adjustment;change;modification;amendment,change; adjustment; modulation,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1095,ديني,religious,adj,,2956387,religious,"religious, related to religion",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1096,سياحة,tourism,noun,,2956153,tourism,"tourism; pilgrimage; long journey, trip",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1097,تعالى,come!,verb,,2950096,come!,to come; to resound; to be exalted,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1098,وسيلة,means,noun,,2935517,means;device;instrument,"media; means, medium; measure, step, provision",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1099,تعليق,comment; commentary,noun,ع ل ق,2924915,comment;remark;commentary,"hanging, suspension; comment, commentary, notation; a comment, caption (on Facebook, etc)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1100,تفصيل,detailing; giving details,noun,ف ص ل,2825690,detailing;elaboration;giving details,detail; inventory; explicitness,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1101,أدبي,literary,adj,,2800151,literary,"literary; ethical, moral",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1102,تعليمي,educational,adj,ع ل م,2781516,educational;pedagogical;instructional,"educational, instructive",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1103,غربي,western,adj,غ ر ب,2756831,west;western;westerner,western,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1104,عنى,mean; signify,verb,,2729774,mean;signify;concern,"to produce; to be a captive; to mean, to signify",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1105,جنيه,pound,noun,ج ن ه,2716414,pound,pound (unit of currency),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1106,شارك,participate; share,verb,ش ر ك,2710100,participate;share,"to sympathize; to share, to participate; to form a partnership, to join, to merge",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1107,زائر,visitor,noun,,2688317,visitor;tourist,"visitor, guest, caller",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1108,قانوني,allowed,adj,ق ن ن,2684349,legitimate;licit;allowed;legal,canonical; allowed or prescribed by law,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1109,تنظيف,cleaning,noun,ن ظ ف,2679700,cleaning,cleaning; verbal noun of نَظَّفَ (naẓẓafa) (form II),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1110,جرى,flow,verb,,2675315,occur;happen;take place;flow,"to make flow; to blow (wind); to conduct, to carry out",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1111,بقي,remain; last,verb,,2674840,remain;last,"to last, to endure; to stay, to remain",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1112,ديكور,decor; interior decoration,noun,,2669450,decor;interior decoration,"decor, decoration",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1113,مشترك,common; joint,adj,ش ر ك,2650541,common;joint;collective,"joint; shared; common, mutual",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1114,تكليف,commissioning,noun,ك ل ف,2645182,charging;commissioning,"responsibility, obligation; verbal noun of كَلَّفَ (kallafa) (form II); an act of entrusting or giving authority, commission",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1115,حر,free,adj,ح ر ر,2643663,free;independent,free; heat; unmixed,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1116,مشاهدة,viewer; spectator,noun,ش ه د,2600062,viewer;spectator;witness,"observation; viewing; inspection; verbal noun of شَاهَدَ (šāhada) (form III); female equivalent of مُشَاهِد (mušāhid, “spectator, viewer, onlooker”)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1117,زاد,increase; add,verb,,2593829,increase;exceed;add,"to add; to increase; to supply, provide",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1118,أحدث,newer; newest; more; most recent,noun,ح د ث,2590460,newer;newest;more;most recent,newer; newest; more modern; most modern; more recent; most recent,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1119,مطبخ,kitchen,noun,ط ب خ,2541608,kitchen,"kitchen; cuisine, style of cooking",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1120,إعلامي,media,adj,ع ل م,2536093,information;media,media; informative; journalistic,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1121,دار,house,noun,,2510934,house;home,"house; profitable; land, country",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1122,شخصي,personal,adj,ش خ ص,2500800,private;personal,own; personal,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1123,مخروطي,conical,adj,خ ر ط,2500288,conical,conical,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
