rank,front,lemma_undiac,pos,root,english_gloss,frequency,surface_types,top_surfaces
25,قَدْ,قد,part_verb,,(has;have),25835941,6,قد:11557151 | وقد:7419330 | فقد:3663218 | لقد:2674524 | ولقد:411074 | فلقد:110644
26,بَيِّن,بين,noun,,clear;evident;explicit+[def.acc.],24270433,20,بين:18504379 | بينهم:1615926 | وبين:1439367 | بينها:895430 | بينهما:654064 | بيننا:301236
27,عَرَبِيّ,عربي,adj,ع ر ب,the+Arab+[fem.sg.],23108850,20,العربية:12362363 | العربي:5191087 | عربية:1744001 | عربي:1178170 | العربيه:559898 | العربى:497053
28,رَئِيس,رئيس,noun,,president;head;chairman+[def.nom.],22516764,26,رئيس:10918601 | الرئيس:7073982 | ورئيس:873731 | رئيسا:517339 | للرئيس:472730 | رؤساء:444825
29,عَمَل,عمل,noun,ع م ل,the+work;action+[def.gen.],22444981,49,العمل:6634148 | عمل:4024909 | الأعمال:2154290 | أعمال:1720388 | اعمال:941773 | للعمل:717559
30,بِ,ب,prep,,with;by + it;them;her,21420096,13,بها:7760700 | به:7347576 | بنا:4113626 | بهم:954429 | بكم:598389 | بى:184604
31,خاصّ,خاص,adj,خ ص ص,the+special;specific+[fem.sg.],20159434,12,الخاصة:7806223 | خاصة:4284203 | خاص:3648574 | الخاص:3153953 | الخاصه:443840 | خاصا:200916
32,لَم,لم,part_neg,,not,19934813,3,لم:15632965 | ولم:3589834 | فلم:712014
33,مَوْقِع,موقع,noun,,position;location+[def.gen.],19878197,33,موقع:6050114 | الموقع:4943751 | مواقع:2727365 | المواقع:2669526 | موقعنا:539253 | والموقع:292822
34,عَمَلِيَّة,عملية,noun,ع م ل,operation;mission;process+[fem.sg.],18641242,21,عملية:11702570 | عمليات:2915517 | العملية:1464485 | العمليات:773179 | لعملية:542530 | بعملية:243000
35,تَمّ,تم,verb,ت م م,conclude;take place+he;it <verb>,18639671,24,تم:8030626 | يتم:5193152 | وتم:1263307 | سيتم:1159247 | تمت:729067 | تتم:576655
36,بَرْنامَج,برنامج,noun,ب ر م ج,programs+[def.gen.],18361718,24,برامج:6315630 | برنامج:4116387 | البرامج:3368124 | البرنامج:1675595 | والبرامج:763830 | وبرامج:473249
37,شَرِكَة,شركة,noun,ش ر ك,company;corporation+[fem.sg.],18160115,27,شركة:8681441 | الشركة:2806648 | شركات:1946536 | الشركات:1945264 | لشركة:588447 | للشركة:264206
38,سَنَة,سنة,noun,,the+year+[fem.sg.],17781773,26,السنة:4917689 | سنة:4306638 | سنوات:2810146 | لسنة:1400754 | للسنة:1374406 | السنوات:910338
39,عالَم,عالم,noun,ع ل م,the+world+[def.gen.],17635463,26,العالم:8875378 | عالم:5137999 | العلماء:935737 | علماء:608728 | والعالم:390718 | العالمين:277644
40,خِلالَ,خلال,prep,,during;through,17234393,5,خلال:15347837 | خلالها:990349 | خلاله:501364 | وخلال:373833 | فخلال:21010
41,جَدِيد,جديد,adj,ج د د,new;modern+[fem.sg.],17222044,14,جديدة:4611401 | جديد:3733039 | الجديد:3509080 | الجديدة:3291670 | الجدد:1014841 | جديدا:542373
42,أَوَّل,أول,adj,,the+first+[def.gen.],17204166,28,الأول:6116877 | أول:3520341 | الاول:2545055 | اول:1491185 | أولا:1199001 | لأول:497558
43,غَيْر,غير,noun,,not;other+[def.gen.],17167699,24,غير:11208667 | وغيرها:1490718 | وغير:972666 | غيره:540112 | الغير:539136 | غيرها:484508
44,هِيَ,هي,pron,,it;they;she,17152000,6,هي:9182805 | وهي:5227551 | فهي:1208305 | هى:837848 | وهى:569655 | فهى:125836
45,آخَر,آخر,adj,,other;another;latest+[def.gen.],17015236,33,آخر:10122102 | الآخر:1314131 | اخر:1302045 | الآخرين:874113 | آخرين:617565 | أخر:403387
46,دَوْلَة,دولة,noun,,the+state;country+[fem.sg.],16899088,29,الدولة:4896118 | الدول:3609986 | دولة:3361815 | دول:2312505 | للدولة:442289 | لدول:224835
47,عَيْن,عين,noun,,to;for + the+eyes+[def.gen.],16720275,35,للعيون:5554342 | العيون:3784547 | عيون:3271868 | بالعين:1338992 | للعين:841843 | العينين:282886
48,عِنْد,عند,noun,ع ن د,with;at,16620434,17,عند:9349562 | عندما:4186890 | وعندما:679364 | عنده:428988 | وعند:369333 | عندي:304308
49,مَجْلِس,مجلس,noun,ج ل س,council;board;Majlis+[def.gen.],15562660,18,مجلس:9303013 | المجلس:3452349 | مجالس:610675 | لمجلس:481053 | المجالس:405940 | للمجلس:324529
50,عام,عام,noun,,year+[def.acc.],15251319,18,عام:9494225 | عاما:2798596 | لعام:812252 | للعام:635198 | عامين:327824 | أعوام:280935
51,كَما,كما,conj,,and;as;also,15111331,3,كما:14623356 | وكما:408807 | فكما:79168
52,لٰكِنَّ,لكن,conj,,however,15111222,18,لكن:5487790 | ولكن:5419319 | لكنه:1079358 | لكنها:732899 | ولكنه:634755 | ولكنها:488112
53,ماء,ماء,noun,,the+water;waters+[def.gen.],14556960,19,المياه:5503948 | الماء:5453849 | ماء:1428275 | مياه:812069 | المياة:239530 | بالماء:206682
54,مَوْضُوع,موضوع,noun,,the+subjects;themes;issues+[def.gen.],14104639,27,المواضيع:3895122 | الموضوع:3391774 | مواضيع:2367610 | موضوع:2088992 | الموضوعات:643855 | والمواضيع:434891
55,مِنْطَقَة,منطقة,noun,ن ط ق,area;zone;territory+[fem.sg.],14021124,27,منطقة:4222254 | المنطقة:4163565 | المناطق:1730543 | مناطق:1376080 | بمنطقة:600559 | بالمنطقة:356097
56,جَمِيع,جميع,noun,ج م ع,all of;every one of+[def.gen.],13779090,17,جميع:7720260 | الجميع:1710326 | لجميع:1141536 | جميعا:1001664 | للجميع:655728 | بجميع:572963
57,طِفْل,طفل,noun,ط ف ل,the+children;infants+[def.gen.],13430099,38,الاطفال:4871806 | الأطفال:1944777 | الطفل:1802719 | اطفال:748375 | أطفال:562204 | والطفل:507044
58,ثانِي,ثاني,adj,,the+second;next,13278290,15,الثاني:5442812 | الثانية:3924466 | الثانى:875152 | ثانية:843134 | ثاني:786949 | ثانيا:371121
59,إِسْلامِيّ,إسلامي,adj,س ل م,the+Islamic;Islamist;Muslim+[fem.sg.],13234863,29,الإسلامية:3407647 | الاسلامية:2190220 | الإسلامي:2173647 | الاسلامي:1606714 | اسلامية:636752 | إسلامية:514224
60,عُضْو,عضو,noun,,the+organs+[def.gen.],13210239,35,الأعضاء:2397593 | الاعضاء:1982047 | العضو:1767634 | عضو:1712395 | أعضاء:1617427 | اعضاء:696903
61,قِبَل,قبل,noun,ق ب ل,(on the) part of+[def.acc.],13140250,8,قبل:12344370 | وقبل:427388 | قبله:154862 | قبلها:108743 | فقبل:36699 | وقبلها:29052
62,حَتَّى,حتى,prep,,until;up to,13074751,5,حتى:10866326 | وحتى:1488532 | حتي:607132 | وحتي:73335 | فحتى:39426
63,مَدِينَة,مدينة,noun,م د ن,city+[fem.sg.],13053654,29,مدينة:5118691 | المدينة:3091149 | بالمدينة:896854 | بمدينة:875801 | المدن:873361 | مدن:649872
64,نَظَر,نظر,noun,ن ظ ر,the+view;look;seeing+[def.gen.],13020452,20,النظر:9690651 | نظر:1290497 | نظرا:838644 | بالنظر:169859 | للنظر:139434 | ونظرا:125280
65,قام,قام,verb,,it;they;she+undertake;carry out,12844456,42,تقوم:2808103 | قام:2089873 | يقوم:1967775 | قامت:1205731 | تقم:651545 | نقوم:632896
66,نَفْس,نفس,noun,ن ف س,soul+its;his,12783565,43,نفسه:2981984 | نفس:2079414 | نفسها:1245893 | النفس:1058857 | بنفسك:959217 | نفسك:583505
67,خَبَر,خبر,noun,خ ب ر,news;reports+[def.nom.],12755221,30,أخبار:3809279 | اخبار:3596369 | الأخبار:1919871 | الاخبار:1273829 | خبر:595119 | وأخبار:191628
68,حَيْثُ,حيث,conj,,where;whereby;since;given that,12716306,3,حيث:11584382 | بحيث:1017013 | وحيث:114911
69,أَحَد,أحد,noun,,one;someone+[def.nom.],12713720,31,أحد:4634254 | الأحد:1623767 | احد:1434625 | إحدى:1169867 | الاحد:787684 | لأحد:663659
70,إِذا,إذا,conj,,if;whether,12665078,7,إذا:7620399 | اذا:2406185 | وإذا:1143625 | فإذا:912357 | واذا:409047 | فاذا:136657
71,حَوْل,حول,noun,,power+[def.acc.],12042867,6,حول:9275201 | الحول:1862025 | وحول:308950 | حوله:292811 | حولها:229984 | حولنا:73896
72,أَمْكَن,أمكن,verb,م ك ن,he;it+be possible;make possible for,11733867,22,يمكن:6716440 | يمكنك:2218129 | ويمكن:839413 | يمكننا:279925 | يمكنه:252166 | يمكنكم:246590
73,إِن,إن,abbrev,,N.,11728530,1,إن:11728530
74,عَدَد,عدد,noun,ع د د,number;quantity;issue+[indef.gen.],11721256,21,عدد:7292481 | العدد:1000037 | عددا:795021 | وعدد:670525 | بعدد:322020 | لعدد:287400
75,وَزِير,وزير,noun,,minister+[def.nom.],11684579,21,وزير:5003779 | الوزراء:3016585 | الوزير:1325847 | وزراء:669088 | وزيرة:439119 | ووزير:299879
76,جِهاز,جهاز,noun,ج ه ز,apparatus;equipment;appliances+[fem.sg.],11654687,38,أجهزة:2543431 | اجهزة:1519740 | جهاز:1390559 | الجهاز:1276974 | الأجهزة:1090605 | الاجهزة:746471
77,إِنَّ,إن,verb_pseudo,,and;so+that;indeed,11494475,22,فإن:4147346 | إنه:2061890 | فان:1137285 | فإنه:1027536 | إنها:974943 | فإنها:334600
78,صُورَة,صورة,noun,,the+pictures;photographs;illustrations;photos+[def.gen.],11293271,27,الصور:4072359 | صورة:1766696 | الصورة:1520235 | بالصور:1085916 | بصورة:841493 | والصور:429994
79,خِدْمَة,خدمة,noun,خ د م,service;assistance+[fem.sg.],11259101,28,خدمة:2811790 | خدمات:1957511 | الخدمات:1938159 | الخدمة:1450506 | والخدمات:907866 | لخدمة:432563
80,قُوَّة,قوة,noun,,the+armed forces+[fem.pl.],11226042,37,القوات:2125264 | قوات:1856378 | قوة:1332155 | القوى:1132486 | القوة:839191 | قوى:624426
81,أَكْثَر,أكثر,adj,ك ث ر,more;most+[def.acc.],11147437,16,أكثر:6478162 | اكثر:2235235 | الأكثر:879951 | وأكثر:390104 | لأكثر:264733 | بأكثر:227844
82,أَيّ,أي,pron_interrog,,which,11116065,5,أي:9881372 | لأي:743645 | واي:284967 | وأي:174581 | أيهما:31500
83,أُخْرَى,أخرى,adj,,other;another,10538237,17,أخرى:4889458 | الأخرى:2189050 | اخرى:1595069 | الاخرى:794597 | وأخرى:232011 | أخري:208696
84,كَبِير,كبير,adj,ك ب ر,large;great;important+[fem.sg.],10464893,13,كبيرة:3309146 | كبير:3158380 | الكبير:1649792 | كبيرا:1100739 | الكبيرة:966267 | كبيره:97564
85,عَضّ,عض,noun,ع ض ض,by;with+biting+[def.gen.],10419743,9,بعض:8295665 | بعضهم:623035 | بعضها:566625 | وبعض:535575 | بعضنا:107959 | وبعضها:99285
86,حَقّ,حق,noun,ح ق ق,rights;law+[def.gen.],10383506,36,حقوق:2261602 | حق:1715826 | الحق:1417063 | الحقوق:1106708 | لحقوق:818481 | بحق:742518
87,أَمْر,أمر,noun,,the+matter;issue+[def.nom.],10345522,53,الأمر:3214350 | أمر:1512148 | الأمور:1140664 | الامر:852963 | الامور:436799 | أمور:362396
88,مَطار,مطار,noun,,airport;airfield+[def.gen.],10229592,9,مطار:9550866 | المطار:388145 | المطارات:87984 | بمطار:66292 | مطارات:56137 | بالمطار:25366
89,أَمْرِيكِيّ,أمريكي,adj,م ر ك,the+American+[fem.sg.],9755129,33,الأمريكية:2180217 | الأمريكي:1247222 | الأميركية:1232789 | الاميركية:896741 | الأميركي:855421 | الاميركي:732525
90,سَعُودِيّ,سعودي,adj,س ع د,the+Saudi+[fem.sg.],9645048,14,السعودية:6107520 | السعودي:2204464 | سعودي:358369 | سعودية:242144 | السعوديين:216421 | السعوديه:168253
91,شَكْل,شكل,noun,ش ك ل,by;with+manner;form;configuration+[indef.gen.],9625037,25,بشكل:5883108 | شكل:1447986 | الشكل:471998 | أشكال:328831 | الأشكال:312771 | وبشكل:234997
92,حُكُومَة,حكومة,noun,ح ك م,the+government;administration+[fem.sg.],9606759,21,الحكومة:5897591 | حكومة:1947824 | للحكومة:382846 | الحكومات:306031 | والحكومة:214708 | حكومته:145376
93,بَلَد,بلد,noun,ب ل د,the+country;countries+[def.gen.],9594332,41,البلاد:2589621 | البلد:1266413 | البلدين:835352 | بلاده:747767 | بلد:634814 | البلدان:576537
94,إِلّا,إلا,part,,however;except,9579765,4,إلا:6851369 | الا:2303112 | وإلا:282944 | والا:142340
95,مَجّانِيّ,مجاني,adj,م ج ن,free;gratis,9560377,10,مجاني:5551772 | مجانية:1349845 | مجانيا:1017904 | المجاني:902012 | المجانية:509400 | المجانيه:69149
96,إِدارَة,إدارة,noun,,administration;management;bureau+[fem.sg.],9553886,33,إدارة:3302243 | الإدارة:1962746 | ادارة:1075003 | الادارة:922527 | لإدارة:345668 | وإدارة:341274
97,لُغَة,لغة,noun,,the+language+[fem.sg.],9542963,25,اللغة:5035231 | لغة:1098287 | اللغات:1043297 | باللغة:595605 | لغات:572678 | للغة:161582
98,دَوْلِيّ,دولي,adj,,the+international;world+[def.gen.],9454939,14,الدولي:3611378 | الدولية:3349332 | دولية:619901 | الدولى:379929 | والدولية:341394 | دوليا:338041
99,وَطَنِيّ,وطني,adj,,the+nationalist+[def.gen.],9415682,12,الوطني:4146141 | الوطنية:3485813 | وطنية:690196 | وطني:371908 | الوطنى:352736 | والوطنية:106019
100,وَقْت,وقت,noun,,the+time;moment;period of time+[def.gen.],9399651,18,الوقت:4210001 | وقت:3702579 | وقتها:259651 | الأوقات:199928 | أوقات:193168 | وقتا:171206
101,لَعْب,لعب,noun,ل ع ب,games;sports+[def.gen.],9384697,22,العاب:3776690 | الألعاب:1489317 | ألعاب:1246601 | الالعاب:1217483 | اللعب:449759 | والعاب:248315
102,عِلْم,علم,noun,ع ل م,the+sciences+[def.gen.],9279181,32,العلوم:2705034 | العلم:1757671 | علوم:1538685 | علما:800921 | والعلوم:407708 | للعلوم:250485
103,سَبَب,سبب,noun,س ب ب,by;with+reason;cause+[def.gen.],9227193,28,بسبب:3809430 | سبب:1080477 | أسباب:833297 | السبب:791956 | الأسباب:777046 | اسباب:311393
104,أَبْيَض,أبيض,noun,,the+white+[def.gen.],9140956,7,البيضاء:4083696 | الابيض:3383380 | الأبيض:944307 | ابيض:267323 | بيضاء:258948 | أبيض:172105
105,نِظام,نظام,noun,ن ظ م,the+methodology;system;order+[def.gen.],9092833,27,النظام:3075031 | نظام:2881969 | أنظمة:553469 | بنظام:435909 | الأنظمة:305770 | للنظام:252197
106,مَرْكَز,مركز,noun,ر ك ز,ranking;position+[def.gen.],9053217,21,مركز:4204376 | المركز:2136407 | مراكز:734829 | المراكز:389941 | بمركز:245873 | بالمركز:174682
107,طَرِيق,طريق,noun,ط ر ق,road;way+[def.gen.],8858581,29,طريق:3456186 | الطريق:1670160 | الطرق:939714 | طرق:854025 | طريقه:247731 | وطرق:246278
108,أَمام,أمام,noun,,front;forward+[def.acc.],8788639,30,أمام:3742052 | امام:1466137 | الإمام:1362333 | الامام:417133 | إمام:228408 | الأمام:153084
109,دَعْم,دعم,noun,د ع م,to;for + the+support;assistance;endorsement+[def.gen.],8760515,18,للدعم:3297695 | دعم:1803355 | الدعم:1451371 | لدعم:535038 | بدعم:477869 | ودعم:344528
110,مِثْل,مثل,noun,م ث ل,same;like+[def.acc.],8736907,30,مثل:6021264 | مثلا:913263 | مثله:187076 | أمثال:175107 | لمثل:152132 | المثل:147700
111,سِياسِيّ,سياسي,adj,,the+political+[fem.sg.],8713316,15,السياسية:3216249 | السياسي:2256654 | سياسية:1213398 | سياسي:694661 | سياسيا:333554 | والسياسية:290888
112,لَدَى,لدى,noun,,with;by,8670419,18,لدى:3366909 | لدينا:1269665 | لديك:913182 | لديه:754921 | لديها:727918 | لديهم:625417
113,دُون,دون,noun,,inferior;poor+[def.gen.],8620776,8,دون:5815264 | بدون:2197849 | وبدون:218283 | ودون:209626 | دونها:80858 | دونه:58110
114,شَهْر,شهر,noun,ش ه ر,month+[indef.gen.],8616606,19,شهر:3238529 | الشهر:1427577 | أشهر:1352518 | شهرين:590742 | اشهر:563721 | شهور:341849
115,حَياة,حياة,noun,,the+life+[fem.sg.],8520526,27,الحياة:3739499 | حياة:1403858 | حياته:616697 | والحياة:450634 | حياتك:316141 | حياتنا:263605
116,فِيلْم,فيلم,noun,,films;movies+[def.gen.],8446797,24,افلام:1880831 | فيلم:1799897 | الافلام:1125600 | الأفلام:1016924 | أفلام:945342 | الفيلم:834822
117,قانُون,قانون,noun,ق ن ن,law;statutes;regulations+[def.gen.],8393871,19,قانون:2682787 | القانون:2643372 | القوانين:685107 | قوانين:629096 | بالقانون:270488 | بقانون:235207
118,مَشْرُوع,مشروع,noun,ش ر ع,project;enterprise+[def.gen.],8281594,31,مشروع:2731187 | المشروع:1465173 | مشاريع:979366 | المشاريع:864751 | المشروعات:393463 | مشروعات:273042
119,تَعْلِيم,تعليم,noun,ع ل م,the+education;teaching+[def.gen.],8257035,21,التعليم:3956386 | تعليم:1452351 | والتعليم:1220523 | التعليمات:390697 | للتعليم:318612 | تعليمات:207615
120,أَفْضَل,أفضل,adj,ف ض ل,better;best+[def.gen.],8224069,10,افضل:3679760 | أفضل:3426879 | الأفضل:476324 | الافضل:196416 | بأفضل:170413 | بافضل:89725
121,بَدَأ,بدأ,verb,,start;begin+it;they;she <verb>,8217105,43,بدأت:1350820 | بدأ:1113624 | يبدو:1035407 | تبدأ:762736 | يبدأ:593646 | أبدا:564491
122,هُناكَ,هناك,adv,,there;there (is;are),8043969,5,هناك:6429647 | وهناك:992007 | فهناك:303948 | هنالك:277049 | وهنالك:41318
123,ثُمَّ,ثم,adv,ث م م,then;thereupon,8018254,2,ثم:7988445 | وثم:29809
124,مِصْرِيّ,مصري,adj,م ص ر,the+Egyptian+[fem.sg.],7981863,15,المصرية:2641745 | المصري:2307342 | المصرى:940059 | المصريين:635333 | مصري:478898 | مصرية:454526
125,وِلايَة,ولاية,noun,,the+state;province+[fem.pl.],7926860,13,الولايات:5151677 | ولاية:1125904 | الولاية:332904 | بولاية:307111 | والولايات:253092 | للولايات:211267
126,كِتاب,كتاب,noun,ك ت ب,book+[def.gen.],7923130,27,كتاب:2236147 | الكتاب:2079795 | الكتب:1688528 | كتابه:451324 | والكتب:182930 | للكتاب:180507
127,عالَمِيّ,عالمي,adj,ع ل م,the+international;world-wide;world+[fem.sg.],7902999,15,العالمية:3508467 | العالمي:1852815 | عالمية:667967 | والعالمية:601483 | عالميا:406222 | عالمي:207827
128,واحِد,واحد,noun,,one+[indef.gen.],7851139,10,واحد:3429144 | واحدة:2593774 | الواحد:699698 | واحدا:588842 | الواحدة:348752 | واحده:80845
129,أَيْض,أيض,noun,,metabolism+[acc.indef.],7797882,6,أيضا:5262978 | ايضا:1736580 | وأيضا:493351 | وايضا:270838 | أيضآ:17758 | الأيض:16377
130,سُوق,سوق,noun,,market+[def.gen.],7763150,18,سوق:3466853 | السوق:1976573 | الأسواق:629131 | اسواق:394573 | أسواق:340526 | للسوق:174141
131,لَيِس,ليس,verb,,be valiant+he;it <verb>,7737899,15,ليس:4518244 | ليست:2011787 | وليست:343235 | فليس:260839 | أليس:181186 | ليسوا:161555
132,أَكَّد,أكد,verb,,affirm;assure;confirm;guarantee+he;it <verb>,7695790,25,أكد:1891433 | وأكد:1407375 | يؤكد:785527 | تؤكد:602111 | أكدت:581380 | واكد:461727
133,تارِيخ,تاريخ,noun,,date;history+[def.gen.],7690905,19,تاريخ:3002023 | التاريخ:2452525 | بتاريخ:988286 | وتاريخ:234267 | تاريخه:195200 | والتاريخ:187798
134,أُولَى,أولى,adj,,the+first,7665884,6,الأولى:4528611 | الاولى:1650219 | أولى:653509 | اولى:487936 | الأولي:253818 | أولي:91791
135,سَيّارَة,سيارة,noun,,the+cars;automobiles;vehicles+[fem.pl.],7640147,25,السيارات:2556308 | سيارات:1613458 | سيارة:1207597 | السيارة:991402 | للسيارات:293020 | سيارته:130326
136,جامِعَة,جامعة,noun,ج م ع,university;league+[fem.sg.],7528742,15,جامعة:2905784 | الجامعة:2073417 | الجامعات:822204 | بجامعة:532797 | بالجامعة:212665 | للجامعة:171399
137,سِعْر,سعر,noun,س ع ر,price;rate+[def.gen.],7466259,27,سعر:1825444 | أسعار:1390978 | اسعار:919026 | الأسعار:876396 | السعر:643168 | بسعر:305164
138,وَجَد,وجد,verb,,he;it+be found;exist,7465308,47,يوجد:1766648 | تجد:739122 | توجد:731483 | نجد:610603 | وجدت:561849 | يجد:491319
139,مُشارَكَة,مشاركة,noun,ش ر ك,participation;association+[fem.sg.],7433008,25,مشاركة:1987088 | المشاركة:1961047 | بالمشاركة:783484 | للمشاركة:587282 | المشاركات:507479 | بمشاركة:492603
140,مادَّة,مادة,noun,م د د,substance;material+[fem.sg.],7328870,21,مادة:1956409 | المواد:1899958 | مواد:1252386 | المادة:1226914 | والمواد:183737 | ومواد:126533
141,بَحْث,بحث,noun,ب ح ث,the+search;examination;research+[def.gen.],7318083,26,البحث:3706745 | البحوث:471330 | والبحث:393976 | الأبحاث:302432 | للبحث:295826 | بحوث:259194
142,شَبَكِيّ,شبكي,adj,ش ب ك,the+net-like;network+[fem.sg.],7316898,5,الشبكية:4231950 | شبكية:2377287 | الشبكيه:575087 | الشبكي:73622 | والشبكية:58952
143,مُتَّحِد,متحد,adj,,the+united+[fem.sg.],7268154,4,المتحدة:7189400 | المتحد:28696 | المتحده:26198 | متحدي:23860
144,وِزارَة,وزارة,noun,,ministry+[fem.sg.],7265990,14,وزارة:4533578 | الوزارة:1221426 | لوزارة:364481 | بوزارة:338641 | ووزارة:194734 | الوزارات:191831
145,رَجُل,رجل,noun,ر ج ل,the+man+[def.acc.],7240144,33,الرجل:1630674 | رجال:1395117 | رجل:1389401 | الرجال:918457 | رجلا:300163 | للرجال:233468
146,شَأْن,شأن,noun,,by;with+matter;affair+[def.gen.],7227315,32,بشأن:1676048 | شؤون:981512 | الشؤون:806328 | شأن:749077 | الشأن:464806 | لشؤون:351114
147,رَقْم,رقم,noun,ر ق م,record+[def.gen.],7220554,21,رقم:4728125 | الرقم:636253 | ارقام:493186 | أرقام:265970 | الأرقام:218147 | برقم:157729
148,كَثِير,كثير,noun,ك ث ر,the+many;much;numerous+[def.acc.],7204073,20,الكثير:2759383 | كثير:1286412 | كثيرة:1242601 | بكثير:416116 | الكثيرة:221368 | الكثيرين:199799
149,حِزْب,حزب,noun,ح ز ب,party;band+[def.gen.],7194967,22,حزب:3009746 | الحزب:1738991 | الأحزاب:528507 | لحزب:360574 | للحزب:318383 | الاحزاب:250487
150,دُولار,دولار,noun,,dollar+[indef.gen.],7187111,8,دولار:4373650 | الدولار:2079744 | دولارا:323430 | الدولارات:166856 | دولارات:132505 | بالدولار:53956
151,مُساعَدَة,مساعدة,noun,س ع د,the+assistance;support+[fem.sg.],7034397,25,المساعدة:3912747 | مساعدة:1312102 | المساعدات:428250 | لمساعدة:222396 | مساعدات:202767 | بمساعدة:167124
152,مُنْذُ,منذ,conj,,since;ago,7028368,3,منذ:6630422 | ومنذ:335850 | فمنذ:62096
153,أَرْض,أرض,noun,,the+earth;territory+[def.gen.],6999749,40,الأرض:2152646 | أرض:837006 | الأراضي:680475 | الارض:559781 | ارض:351494 | الاراضي:315905
154,شَخْص,شخص,noun,ش خ ص,individual;person+[indef.gen.],6932110,27,شخص:2346029 | شخصا:809241 | الأشخاص:774601 | الشخص:725163 | أشخاص:597350 | الاشخاص:253769
155,أَمْن,أمن,noun,,the+security;safety+[def.gen.],6906483,30,الأمن:2694700 | الامن:1121383 | أمن:902603 | والأمن:250051 | آمن:249784 | آمنة:243687
156,فَرِيق,فريق,noun,ف ر ق,team;band+[def.gen.],6887703,21,فريق:2620658 | الفريق:2297407 | فريقه:391822 | للفريق:304980 | الفريقين:234964 | لفريق:222059
