frequency,frequency_source,front,reason
8769,CLE Urdu top-5000 frequency list,آنے,no_direct_mapping_and_not_indowordnet_lemma
8359,CLE Urdu top-5000 frequency list,سید,no_direct_mapping_and_not_indowordnet_lemma
8144,CLE Urdu top-5000 frequency list,بہارتی,no_direct_mapping_and_not_indowordnet_lemma
8140,CLE Urdu top-5000 frequency list,ذریعے,no_direct_mapping_and_not_indowordnet_lemma
8052,CLE Urdu top-5000 frequency list,بنانے,no_direct_mapping_and_not_indowordnet_lemma
7977,CLE Urdu top-5000 frequency list,دیتے,no_direct_mapping_and_not_indowordnet_lemma
7877,CLE Urdu top-5000 frequency list,مشرف,no_direct_mapping_and_not_indowordnet_lemma
7745,CLE Urdu top-5000 frequency list,تہیں,no_direct_mapping_and_not_indowordnet_lemma
7711,CLE Urdu top-5000 frequency list,لاکہ,no_direct_mapping_and_not_indowordnet_lemma
7662,CLE Urdu top-5000 frequency list,ڈی,no_direct_mapping_and_not_indowordnet_lemma
7528,CLE Urdu top-5000 frequency list,پوری,no_direct_mapping_and_not_indowordnet_lemma
7420,CLE Urdu top-5000 frequency list,لیں,no_direct_mapping_and_not_indowordnet_lemma
7289,CLE Urdu top-5000 frequency list,نئے,no_direct_mapping_and_not_indowordnet_lemma
7248,CLE Urdu top-5000 frequency list,والوں,no_direct_mapping_and_not_indowordnet_lemma
7159,CLE Urdu top-5000 frequency list,جیسے,no_direct_mapping_and_not_indowordnet_lemma
7049,CLE Urdu top-5000 frequency list,اسمبلی,no_direct_mapping_and_not_indowordnet_lemma
7006,CLE Urdu top-5000 frequency list,دیئے,no_direct_mapping_and_not_indowordnet_lemma
6786,CLE Urdu top-5000 frequency list,ابہی,no_direct_mapping_and_not_indowordnet_lemma
6752,CLE Urdu top-5000 frequency list,آف,no_direct_mapping_and_not_indowordnet_lemma
6693,CLE Urdu top-5000 frequency list,لیگ,no_direct_mapping_and_not_indowordnet_lemma
6633,CLE Urdu top-5000 frequency list,بہر,no_direct_mapping_and_not_indowordnet_lemma
6570,CLE Urdu top-5000 frequency list,چکے,no_direct_mapping_and_not_indowordnet_lemma
6537,CLE Urdu top-5000 frequency list,حالات,no_direct_mapping_and_not_indowordnet_lemma
6491,CLE Urdu top-5000 frequency list,سلسلے,no_direct_mapping_and_not_indowordnet_lemma
6429,CLE Urdu top-5000 frequency list,رکہنے,no_direct_mapping_and_not_indowordnet_lemma
6419,CLE Urdu top-5000 frequency list,بڑہ,no_direct_mapping_and_not_indowordnet_lemma
6280,CLE Urdu top-5000 frequency list,رنز,no_direct_mapping_and_not_indowordnet_lemma
6023,CLE Urdu top-5000 frequency list,رکہا,no_direct_mapping_and_not_indowordnet_lemma
5906,CLE Urdu top-5000 frequency list,اچہی,no_direct_mapping_and_not_indowordnet_lemma
5860,CLE Urdu top-5000 frequency list,ہاتہ,no_direct_mapping_and_not_indowordnet_lemma
5738,CLE Urdu top-5000 frequency list,بہائی,no_direct_mapping_and_not_indowordnet_lemma
5722,CLE Urdu top-5000 frequency list,کہتے,no_direct_mapping_and_not_indowordnet_lemma
5715,CLE Urdu top-5000 frequency list,سکیں,no_direct_mapping_and_not_indowordnet_lemma
5583,CLE Urdu top-5000 frequency list,باوجود,no_direct_mapping_and_not_indowordnet_lemma
5383,CLE Urdu top-5000 frequency list,بنایا,no_direct_mapping_and_not_indowordnet_lemma
5350,CLE Urdu top-5000 frequency list,ڈیم,no_direct_mapping_and_not_indowordnet_lemma
5289,CLE Urdu top-5000 frequency list,متاثرہ,no_direct_mapping_and_not_indowordnet_lemma
5191,CLE Urdu top-5000 frequency list,دیکہ,no_direct_mapping_and_not_indowordnet_lemma
5152,CLE Urdu top-5000 frequency list,متاثرین,no_direct_mapping_and_not_indowordnet_lemma
5116,CLE Urdu top-5000 frequency list,ادارے,no_direct_mapping_and_not_indowordnet_lemma
5061,CLE Urdu top-5000 frequency list,اداروں,no_direct_mapping_and_not_indowordnet_lemma
5046,CLE Urdu top-5000 frequency list,میر,no_direct_mapping_and_not_indowordnet_lemma
4976,CLE Urdu top-5000 frequency list,کیے,no_direct_mapping_and_not_indowordnet_lemma
4929,CLE Urdu top-5000 frequency list,کہلاڑی,no_direct_mapping_and_not_indowordnet_lemma
4915,CLE Urdu top-5000 frequency list,پروفیسر,no_direct_mapping_and_not_indowordnet_lemma
4858,CLE Urdu top-5000 frequency list,چاہتے,no_direct_mapping_and_not_indowordnet_lemma
4853,CLE Urdu top-5000 frequency list,چودہری,no_direct_mapping_and_not_indowordnet_lemma
4845,CLE Urdu top-5000 frequency list,دیتا,no_direct_mapping_and_not_indowordnet_lemma
4826,CLE Urdu top-5000 frequency list,رکہتے,no_direct_mapping_and_not_indowordnet_lemma
4705,CLE Urdu top-5000 frequency list,وزیراعظم,no_direct_mapping_and_not_indowordnet_lemma
4614,CLE Urdu top-5000 frequency list,کہلاڑیوں,no_direct_mapping_and_not_indowordnet_lemma
4546,CLE Urdu top-5000 frequency list,سکول,no_direct_mapping_and_not_indowordnet_lemma
4533,CLE Urdu top-5000 frequency list,سری,no_direct_mapping_and_not_indowordnet_lemma
4524,CLE Urdu top-5000 frequency list,نیوز,no_direct_mapping_and_not_indowordnet_lemma
4481,CLE Urdu top-5000 frequency list,این,no_direct_mapping_and_not_indowordnet_lemma
4414,CLE Urdu top-5000 frequency list,ایف,no_direct_mapping_and_not_indowordnet_lemma
4407,CLE Urdu top-5000 frequency list,چل,no_direct_mapping_and_not_indowordnet_lemma
4396,CLE Urdu top-5000 frequency list,اقدامات,no_direct_mapping_and_not_indowordnet_lemma
4315,CLE Urdu top-5000 frequency list,چاہیے,no_direct_mapping_and_not_indowordnet_lemma
4308,CLE Urdu top-5000 frequency list,آتا,no_direct_mapping_and_not_indowordnet_lemma
4301,CLE Urdu top-5000 frequency list,تعالی,no_direct_mapping_and_not_indowordnet_lemma
4300,CLE Urdu top-5000 frequency list,لینے,no_direct_mapping_and_not_indowordnet_lemma
4284,CLE Urdu top-5000 frequency list,دیکہا,no_direct_mapping_and_not_indowordnet_lemma
4277,CLE Urdu top-5000 frequency list,اچہا,no_direct_mapping_and_not_indowordnet_lemma
4262,CLE Urdu top-5000 frequency list,رہیں,no_direct_mapping_and_not_indowordnet_lemma
4229,CLE Urdu top-5000 frequency list,گئیں,no_direct_mapping_and_not_indowordnet_lemma
4214,CLE Urdu top-5000 frequency list,باتیں,no_direct_mapping_and_not_indowordnet_lemma
4068,CLE Urdu top-5000 frequency list,سالہ,no_direct_mapping_and_not_indowordnet_lemma
4025,CLE Urdu top-5000 frequency list,رہتے,no_direct_mapping_and_not_indowordnet_lemma
4013,CLE Urdu top-5000 frequency list,سیکرٹری,no_direct_mapping_and_not_indowordnet_lemma
4005,CLE Urdu top-5000 frequency list,ارکان,no_direct_mapping_and_not_indowordnet_lemma
3999,CLE Urdu top-5000 frequency list,آتے,no_direct_mapping_and_not_indowordnet_lemma
3947,CLE Urdu top-5000 frequency list,بنائے,no_direct_mapping_and_not_indowordnet_lemma
3906,CLE Urdu top-5000 frequency list,رہنے,no_direct_mapping_and_not_indowordnet_lemma
3856,CLE Urdu top-5000 frequency list,شوکت,no_direct_mapping_and_not_indowordnet_lemma
3840,CLE Urdu top-5000 frequency list,شائع,no_direct_mapping_and_not_indowordnet_lemma
3829,CLE Urdu top-5000 frequency list,آتی,no_direct_mapping_and_not_indowordnet_lemma
3775,CLE Urdu top-5000 frequency list,چہوٹے,no_direct_mapping_and_not_indowordnet_lemma
3708,CLE Urdu top-5000 frequency list,رکہ,no_direct_mapping_and_not_indowordnet_lemma
3650,CLE Urdu top-5000 frequency list,اتنی,no_direct_mapping_and_not_indowordnet_lemma
3642,CLE Urdu top-5000 frequency list,پورے,no_direct_mapping_and_not_indowordnet_lemma
3641,CLE Urdu top-5000 frequency list,بش,no_direct_mapping_and_not_indowordnet_lemma
3632,CLE Urdu top-5000 frequency list,الیکشن,no_direct_mapping_and_not_indowordnet_lemma
3630,CLE Urdu top-5000 frequency list,کہانے,no_direct_mapping_and_not_indowordnet_lemma
3603,CLE Urdu top-5000 frequency list,مشتمل,no_direct_mapping_and_not_indowordnet_lemma
3599,CLE Urdu top-5000 frequency list,رہتا,no_direct_mapping_and_not_indowordnet_lemma
3584,CLE Urdu top-5000 frequency list,بہٹو,no_direct_mapping_and_not_indowordnet_lemma
3581,CLE Urdu top-5000 frequency list,فلموں,no_direct_mapping_and_not_indowordnet_lemma
3496,CLE Urdu top-5000 frequency list,دیکہنے,no_direct_mapping_and_not_indowordnet_lemma
3493,CLE Urdu top-5000 frequency list,پڑے,no_direct_mapping_and_not_indowordnet_lemma
3486,CLE Urdu top-5000 frequency list,حیدر,no_direct_mapping_and_not_indowordnet_lemma
3476,CLE Urdu top-5000 frequency list,بہرپور,no_direct_mapping_and_not_indowordnet_lemma
3448,CLE Urdu top-5000 frequency list,اچہے,no_direct_mapping_and_not_indowordnet_lemma
3397,CLE Urdu top-5000 frequency list,نتیجے,no_direct_mapping_and_not_indowordnet_lemma
3389,CLE Urdu top-5000 frequency list,دیتی,fallback_no_two_source_semantic_agreement
3357,CLE Urdu top-5000 frequency list,فیصلے,no_direct_mapping_and_not_indowordnet_lemma
3354,CLE Urdu top-5000 frequency list,فرمایا,no_direct_mapping_and_not_indowordnet_lemma
3335,CLE Urdu top-5000 frequency list,لیتے,no_direct_mapping_and_not_indowordnet_lemma
3326,CLE Urdu top-5000 frequency list,ٹاؤن,no_direct_mapping_and_not_indowordnet_lemma
3240,CLE Urdu top-5000 frequency list,معاشرے,no_direct_mapping_and_not_indowordnet_lemma
3235,CLE Urdu top-5000 frequency list,دہماکہ,no_direct_mapping_and_not_indowordnet_lemma
3217,CLE Urdu top-5000 frequency list,زرعی,no_direct_mapping_and_not_indowordnet_lemma
3200,CLE Urdu top-5000 frequency list,چہوڑ,no_direct_mapping_and_not_indowordnet_lemma
3155,CLE Urdu top-5000 frequency list,فائنل,no_direct_mapping_and_not_indowordnet_lemma
3107,CLE Urdu top-5000 frequency list,چیف,no_direct_mapping_and_not_indowordnet_lemma
3064,CLE Urdu top-5000 frequency list,دودہ,no_direct_mapping_and_not_indowordnet_lemma
3041,CLE Urdu top-5000 frequency list,ہاتہوں,no_direct_mapping_and_not_indowordnet_lemma
3040,CLE Urdu top-5000 frequency list,خالد,no_direct_mapping_and_not_indowordnet_lemma
3019,CLE Urdu top-5000 frequency list,کہیلوں,no_direct_mapping_and_not_indowordnet_lemma
3014,CLE Urdu top-5000 frequency list,مقابلے,no_direct_mapping_and_not_indowordnet_lemma
2964,CLE Urdu top-5000 frequency list,رہتی,no_direct_mapping_and_not_indowordnet_lemma
2958,CLE Urdu top-5000 frequency list,اکرم,no_direct_mapping_and_not_indowordnet_lemma
2911,CLE Urdu top-5000 frequency list,ملنے,no_direct_mapping_and_not_indowordnet_lemma
2909,CLE Urdu top-5000 frequency list,طریقے,no_direct_mapping_and_not_indowordnet_lemma
2880,CLE Urdu top-5000 frequency list,دورے,no_direct_mapping_and_not_indowordnet_lemma
2869,CLE Urdu top-5000 frequency list,طلبہ,no_direct_mapping_and_not_indowordnet_lemma
2859,CLE Urdu top-5000 frequency list,چاہتا,no_direct_mapping_and_not_indowordnet_lemma
2851,CLE Urdu top-5000 frequency list,پائی,fallback_no_two_source_semantic_agreement
2806,CLE Urdu top-5000 frequency list,اثرات,no_direct_mapping_and_not_indowordnet_lemma
2801,CLE Urdu top-5000 frequency list,ضلعی,no_direct_mapping_and_not_indowordnet_lemma
2788,CLE Urdu top-5000 frequency list,پڑا,no_direct_mapping_and_not_indowordnet_lemma
2783,CLE Urdu top-5000 frequency list,آئیں,no_direct_mapping_and_not_indowordnet_lemma
2779,CLE Urdu top-5000 frequency list,پڑتا,no_direct_mapping_and_not_indowordnet_lemma
2778,CLE Urdu top-5000 frequency list,اینڈ,no_direct_mapping_and_not_indowordnet_lemma
2762,CLE Urdu top-5000 frequency list,گہنٹے,no_direct_mapping_and_not_indowordnet_lemma
2754,CLE Urdu top-5000 frequency list,آنکہوں,no_direct_mapping_and_not_indowordnet_lemma
2743,CLE Urdu top-5000 frequency list,ڈے,no_direct_mapping_and_not_indowordnet_lemma
2684,CLE Urdu top-5000 frequency list,ذیل,no_direct_mapping_and_not_indowordnet_lemma
2677,CLE Urdu top-5000 frequency list,سنگہ,no_direct_mapping_and_not_indowordnet_lemma
2657,CLE Urdu top-5000 frequency list,آٹہ,no_direct_mapping_and_not_indowordnet_lemma
2651,CLE Urdu top-5000 frequency list,میران,no_direct_mapping_and_not_indowordnet_lemma
2646,CLE Urdu top-5000 frequency list,مشکلات,no_direct_mapping_and_not_indowordnet_lemma
2628,CLE Urdu top-5000 frequency list,لگتا,no_direct_mapping_and_not_indowordnet_lemma
2627,CLE Urdu top-5000 frequency list,رکہی,no_direct_mapping_and_not_indowordnet_lemma
2625,CLE Urdu top-5000 frequency list,نیشنل,no_direct_mapping_and_not_indowordnet_lemma
2622,CLE Urdu top-5000 frequency list,منصوبے,no_direct_mapping_and_not_indowordnet_lemma
2613,CLE Urdu top-5000 frequency list,چلے,no_direct_mapping_and_not_indowordnet_lemma
2612,CLE Urdu top-5000 frequency list,اخراجات,no_direct_mapping_and_not_indowordnet_lemma
2585,CLE Urdu top-5000 frequency list,گورنمنٹ,no_direct_mapping_and_not_indowordnet_lemma
2567,CLE Urdu top-5000 frequency list,ورلڈ,no_direct_mapping_and_not_indowordnet_lemma
2558,CLE Urdu top-5000 frequency list,سرگرمیوں,no_direct_mapping_and_not_indowordnet_lemma
2544,CLE Urdu top-5000 frequency list,دکہائی,no_direct_mapping_and_not_indowordnet_lemma
2540,CLE Urdu top-5000 frequency list,ہزاروں,fallback_no_two_source_semantic_agreement
2527,CLE Urdu top-5000 frequency list,اننگز,no_direct_mapping_and_not_indowordnet_lemma
2523,CLE Urdu top-5000 frequency list,رکہے,no_direct_mapping_and_not_indowordnet_lemma
2514,CLE Urdu top-5000 frequency list,جہوٹ,no_direct_mapping_and_not_indowordnet_lemma
2511,CLE Urdu top-5000 frequency list,پوزیشن,no_direct_mapping_and_not_indowordnet_lemma
2510,CLE Urdu top-5000 frequency list,اضافے,no_direct_mapping_and_not_indowordnet_lemma
2509,CLE Urdu top-5000 frequency list,بننے,no_direct_mapping_and_not_indowordnet_lemma
2506,CLE Urdu top-5000 frequency list,عائد,no_direct_mapping_and_not_indowordnet_lemma
2503,CLE Urdu top-5000 frequency list,سمجہ,no_direct_mapping_and_not_indowordnet_lemma
2502,CLE Urdu top-5000 frequency list,کردہ,no_direct_mapping_and_not_indowordnet_lemma
2497,CLE Urdu top-5000 frequency list,قیمتوں,no_direct_mapping_and_not_indowordnet_lemma
2481,CLE Urdu top-5000 frequency list,الطاف,no_direct_mapping_and_not_indowordnet_lemma
2480,CLE Urdu top-5000 frequency list,رکہیں,no_direct_mapping_and_not_indowordnet_lemma
2455,CLE Urdu top-5000 frequency list,نتائج,no_direct_mapping_and_not_indowordnet_lemma
2411,CLE Urdu top-5000 frequency list,ٹیلی,no_direct_mapping_and_not_indowordnet_lemma
2408,CLE Urdu top-5000 frequency list,جنہوں,no_direct_mapping_and_not_indowordnet_lemma
2404,CLE Urdu top-5000 frequency list,میڈیا,no_direct_mapping_and_not_indowordnet_lemma
2387,CLE Urdu top-5000 frequency list,کیں,no_direct_mapping_and_not_indowordnet_lemma
2386,CLE Urdu top-5000 frequency list,مجہ,no_direct_mapping_and_not_indowordnet_lemma
2355,CLE Urdu top-5000 frequency list,ایچ,no_direct_mapping_and_not_indowordnet_lemma
2342,CLE Urdu top-5000 frequency list,شعبے,no_direct_mapping_and_not_indowordnet_lemma
2341,CLE Urdu top-5000 frequency list,گہروں,no_direct_mapping_and_not_indowordnet_lemma
2333,CLE Urdu top-5000 frequency list,کرائیں,no_direct_mapping_and_not_indowordnet_lemma
2316,CLE Urdu top-5000 frequency list,کمپنیاں,no_direct_mapping_and_not_indowordnet_lemma
2298,CLE Urdu top-5000 frequency list,رکہتا,no_direct_mapping_and_not_indowordnet_lemma
2294,CLE Urdu top-5000 frequency list,اطلاعات,no_direct_mapping_and_not_indowordnet_lemma
2285,CLE Urdu top-5000 frequency list,بنے,no_direct_mapping_and_not_indowordnet_lemma
2277,CLE Urdu top-5000 frequency list,ریلیف,no_direct_mapping_and_not_indowordnet_lemma
2277,CLE Urdu top-5000 frequency list,سلیم,no_direct_mapping_and_not_indowordnet_lemma
2272,CLE Urdu top-5000 frequency list,رکہنا,no_direct_mapping_and_not_indowordnet_lemma
2272,CLE Urdu top-5000 frequency list,میچوں,no_direct_mapping_and_not_indowordnet_lemma
2253,CLE Urdu top-5000 frequency list,لینڈ,no_direct_mapping_and_not_indowordnet_lemma
2242,CLE Urdu top-5000 frequency list,خیالات,no_direct_mapping_and_not_indowordnet_lemma
2236,CLE Urdu top-5000 frequency list,ادہر,no_direct_mapping_and_not_indowordnet_lemma
2220,CLE Urdu top-5000 frequency list,پایا,no_direct_mapping_and_not_indowordnet_lemma
2218,CLE Urdu top-5000 frequency list,پیچہے,no_direct_mapping_and_not_indowordnet_lemma
2198,CLE Urdu top-5000 frequency list,ٹیکنالوجی,no_direct_mapping_and_not_indowordnet_lemma
2197,CLE Urdu top-5000 frequency list,طارق,no_direct_mapping_and_not_indowordnet_lemma
2196,CLE Urdu top-5000 frequency list,لکہا,no_direct_mapping_and_not_indowordnet_lemma
2190,CLE Urdu top-5000 frequency list,چہوٹی,no_direct_mapping_and_not_indowordnet_lemma
2189,CLE Urdu top-5000 frequency list,افسران,no_direct_mapping_and_not_indowordnet_lemma
2185,CLE Urdu top-5000 frequency list,ٹہیک,no_direct_mapping_and_not_indowordnet_lemma
2177,CLE Urdu top-5000 frequency list,اٹہا,no_direct_mapping_and_not_indowordnet_lemma
2177,CLE Urdu top-5000 frequency list,معاملے,no_direct_mapping_and_not_indowordnet_lemma
2176,CLE Urdu top-5000 frequency list,کرائے,no_direct_mapping_and_not_indowordnet_lemma
2171,CLE Urdu top-5000 frequency list,برائے,no_direct_mapping_and_not_indowordnet_lemma
2158,CLE Urdu top-5000 frequency list,طالبات,no_direct_mapping_and_not_indowordnet_lemma
2155,CLE Urdu top-5000 frequency list,اعزاز,no_direct_mapping_and_not_indowordnet_lemma
2155,CLE Urdu top-5000 frequency list,صدیقی,no_direct_mapping_and_not_indowordnet_lemma
2145,CLE Urdu top-5000 frequency list,رپورٹر,no_direct_mapping_and_not_indowordnet_lemma
2126,CLE Urdu top-5000 frequency list,سارے,no_direct_mapping_and_not_indowordnet_lemma
2114,CLE Urdu top-5000 frequency list,موقف,no_direct_mapping_and_not_indowordnet_lemma
2106,CLE Urdu top-5000 frequency list,یو,no_direct_mapping_and_not_indowordnet_lemma
2096,CLE Urdu top-5000 frequency list,پائے,no_direct_mapping_and_not_indowordnet_lemma
2096,CLE Urdu top-5000 frequency list,گر,no_direct_mapping_and_not_indowordnet_lemma
2085,CLE Urdu top-5000 frequency list,پہنچے,no_direct_mapping_and_not_indowordnet_lemma
2085,CLE Urdu top-5000 frequency list,رہنماؤں,no_direct_mapping_and_not_indowordnet_lemma
2077,CLE Urdu top-5000 frequency list,کہیلنے,no_direct_mapping_and_not_indowordnet_lemma
2076,CLE Urdu top-5000 frequency list,سکی,no_direct_mapping_and_not_indowordnet_lemma
2073,CLE Urdu top-5000 frequency list,کہانا,no_direct_mapping_and_not_indowordnet_lemma
2067,CLE Urdu top-5000 frequency list,ڈوب,no_direct_mapping_and_not_indowordnet_lemma
2064,CLE Urdu top-5000 frequency list,قریشی,no_direct_mapping_and_not_indowordnet_lemma
2058,CLE Urdu top-5000 frequency list,ضیاء,no_direct_mapping_and_not_indowordnet_lemma
2055,CLE Urdu top-5000 frequency list,کلک,fallback_no_two_source_semantic_agreement
2034,CLE Urdu top-5000 frequency list,فلمی,fallback_no_two_source_semantic_agreement
2033,CLE Urdu top-5000 frequency list,چوہدری,no_direct_mapping_and_not_indowordnet_lemma
2025,CLE Urdu top-5000 frequency list,حصے,no_direct_mapping_and_not_indowordnet_lemma
2018,CLE Urdu top-5000 frequency list,لگانے,no_direct_mapping_and_not_indowordnet_lemma
2018,CLE Urdu top-5000 frequency list,مریضوں,no_direct_mapping_and_not_indowordnet_lemma
2015,CLE Urdu top-5000 frequency list,بدہ,no_direct_mapping_and_not_indowordnet_lemma
2007,CLE Urdu top-5000 frequency list,دوسروں,no_direct_mapping_and_not_indowordnet_lemma
2005,CLE Urdu top-5000 frequency list,صوبوں,no_direct_mapping_and_not_indowordnet_lemma
1994,CLE Urdu top-5000 frequency list,لاکہوں,no_direct_mapping_and_not_indowordnet_lemma
1994,CLE Urdu top-5000 frequency list,وڈیو,no_direct_mapping_and_not_indowordnet_lemma
1993,CLE Urdu top-5000 frequency list,کیجئے,no_direct_mapping_and_not_indowordnet_lemma
1986,CLE Urdu top-5000 frequency list,لگی,no_direct_mapping_and_not_indowordnet_lemma
1981,CLE Urdu top-5000 frequency list,اتنے,no_direct_mapping_and_not_indowordnet_lemma
1974,CLE Urdu top-5000 frequency list,نکال,no_direct_mapping_and_not_indowordnet_lemma
1965,CLE Urdu top-5000 frequency list,دیکہتے,no_direct_mapping_and_not_indowordnet_lemma
1962,CLE Urdu top-5000 frequency list,کرانے,no_direct_mapping_and_not_indowordnet_lemma
1960,CLE Urdu top-5000 frequency list,بسیں,no_direct_mapping_and_not_indowordnet_lemma
1959,CLE Urdu top-5000 frequency list,رکہتی,no_direct_mapping_and_not_indowordnet_lemma
1958,CLE Urdu top-5000 frequency list,جیسی,no_direct_mapping_and_not_indowordnet_lemma
1939,CLE Urdu top-5000 frequency list,پینے,no_direct_mapping_and_not_indowordnet_lemma
1937,CLE Urdu top-5000 frequency list,شہریوں,no_direct_mapping_and_not_indowordnet_lemma
1936,CLE Urdu top-5000 frequency list,فلسطینی,no_direct_mapping_and_not_indowordnet_lemma
1928,CLE Urdu top-5000 frequency list,عرصے,no_direct_mapping_and_not_indowordnet_lemma
1928,CLE Urdu top-5000 frequency list,وزیراعلی,fallback_no_two_source_semantic_agreement
1919,CLE Urdu top-5000 frequency list,کاموں,no_direct_mapping_and_not_indowordnet_lemma
1908,CLE Urdu top-5000 frequency list,بٹ,no_direct_mapping_and_not_indowordnet_lemma
1908,CLE Urdu top-5000 frequency list,کروں,no_direct_mapping_and_not_indowordnet_lemma
1906,CLE Urdu top-5000 frequency list,مصارف,no_direct_mapping_and_not_indowordnet_lemma
1893,CLE Urdu top-5000 frequency list,کین,no_direct_mapping_and_not_indowordnet_lemma
1890,CLE Urdu top-5000 frequency list,ملتا,fallback_no_two_source_semantic_agreement
