rank,front,meaning,frequency_evidence,frequency_source,semantic_support,kaikki_readurdu_agree,kaikki_word2word_agree,readurdu_word2word_agree,kaikki_meaning,readurdu_meaning,word2word_meaning
1022,نمبر,number; phone number,6107,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"number, numeral; phone number",number; No; numbers; requested; calling
1023,لی,took (feminine of لینا),6097,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,took (feminine of لینا),took; Le; Midnight; Wherever; meeting
1024,رپورٹ,report,6039,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,report,report; reported; REPORTS; RE; -Did
1025,سرکاری,official,5791,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"governmental, official",official; officially; Officially; answer; Google-proof
1026,بہائی,Baháʼí,5738,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu,True,False,False,Baháʼí,adj. Baháʼí | n. Baháʼí | Platts:,
1027,کہتے,form of کَہْنا (kahnā — to say),5722,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,form of کَہْنا (kahnā — to say),say; says; krushkach; unidentified; operative
1028,بنایا,made; built (of بنانا),5383,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"made, built (of بنانا)",made; built; granny; bounce; journey
1029,کانفرنس,conference,5120,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,conference,conference; Sydney; Eyes; Five; -Press
1030,پیداوار,produce; production,4983,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"produce; yield (of land); production, manufacture",produce; production; warm; nice; Increase
1031,پروفیسر,professor,4915,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,professor,PROFESSOR; INTENSE; SOMETHING; HAPPEN; HERE
1032,چاہتے,want (,4858,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,want (plural of چاہنا),want; wish; wanna; Want; Festival
1033,دیتا,gives (masculine of دینا),4845,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,gives (masculine of دینا),paying; gives; embassies; techniques; break-in
1034,قیام,stay,4801,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"stay, residence; establishment",formation; stay; visit; Keep; Mangrove
1035,ڈالر,dollar,4749,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,dollar,dollars; billions; Dollars; bald; 1200
1036,بہترین,best,4740,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"best, excellent",best; demands; Best; school; Detective
1037,سکول,school,4546,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,school,Philly; DRIVING; SCHOOL; UP; teacher
1038,نیوز,news,4524,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,news,Coast; news; East; newsstands; lines
1039,کہیں,somewhere; anywhere,4506,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"somewhere, anywhere",anywhere; somewhere; nowhere; Anywhere; wherever
1040,ملا,met,4477,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"met, received (of ملنا); mullah",got; Got; found; met; SECOND
1041,شرح,rate,4343,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,rate; commentary,rate; Heart; rising; highest; homicide
1042,چاہیے,should,4315,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"should, ought to, is needed",supposed; should; listened; contact; hurry
1043,جمع,(inf. n. of جمع 'to collect'),4222,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,(inf. n. of جمع 'to collect'),gather; collecting; collection; scrap; metal
1044,آؤٹ,out,4201,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,out,OUT; walk-out; ONE-NINETY-EIGHT; MIGHT; NOT
1045,رہنے,oblique infinitive of رَہْنا (rahnā — to live),3906,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,oblique infinitive of رَہْنا (rahnā — to live),stay; STAY; live; living; survive
1046,یونیورسٹی,university,3842,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,university,University; hacked; bachelor; stored; university
1047,شائع,published (شائع ہونا = to be published),3840,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,published (شائع ہونا = to be published),publish; reposted; ourselves; beginning; publishing
1048,برقرار,maintained,3776,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"established, confirmed, fixed, settled, maintained",maintain; Maintaining; preserve; oxygen; level
1049,حکام,authorities; officials (,3771,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"authorities, officials (plural of حاکم)",authorities; officials; discover; THANK; high-level
1050,ملے,met,3726,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"met, received (plural)",met; ice; Somebody; Tess; anxious
1051,سربراہ,head,3652,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"head, chief (of an organization)",head; bar; Hayden; Michael; Reiser
1052,رہتا,masculine,3599,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,masculine singular of رَہْنا (rahnā — to live),7.63; Montblanc; pen; stays; live
1053,فلموں,plural,3581,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"plural oblique of فِلْم (film, movie)",films; reading; started; great; am
1054,آپریشن,operation (military or medical),3566,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,operation (military or medical),ops; operation; Ops; fucked-up; tip
1055,وفاقی,federal,3506,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,federal,Federal; federal; Victoria; decides; daughter
1056,ٹیکس,tax,3488,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,tax,tax; Tax; Taxes; Lewis; Tex
1057,فروخت,s.f. Selling; sale: — faroḵẖt karnā; v.t. To sell,3486,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"s.f. Selling; sale: — faroḵẖt karnā, v.t. To sell",sell; sold; To; selling; sales
1058,محفوظ,part. Kept safe,3438,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"(pass. part. of حفظ 'to keep, preserve, guard,' &c.), part. Kept safe, preserved, guarded, protected, taken…",safe; SAFE; BE; D; WARM
1059,فیصلے,plural direct of فَیصْلَہ (faisla — decision,3357,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,plural direct of فَیصْلَہ (faisla — decision; judgment),decisions; making; tired; Which; decide
1060,شمار,s.f. Counting,3217,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"s.f. Counting, reckoning, computing, numbering; calculation, amount, number; account, note, estimation: —…",count; condolence; letters; On; steps
1061,مطالبہ,demand,3132,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,demand,amnesty; demand; demanding; answers; committee
1062,چلا,went (of چلنا),3123,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"moved, went (of چلنا)",gone; running; went; goes; stone
1063,چیف,chief,3107,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,chief,Chief; CHIEF; GAINES; boss; henceforth
1064,چاہتا,wants (masculine),2859,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,wants (masculine),wants; wanted; WILL; wishes; Nizam
1065,ریکارڈ,record,2835,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,record,records; RECORDED; record; wrongs; indicate
1066,ہسپتال,hospital,2681,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,hospital,hospital; recall; prior; bang; noise
1067,مشکلات,Difficulties,2646,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"s.f. pl. (of mushkil), Difficulties; intricacies; doubts, &c.",-This; troubles; resolved; problems; difficulties
1068,دلچسپی,interest,2617,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,interest,interested; interest; underdogs; context; ahead
1069,ووٹ,vote,2599,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,vote,voted; Michelle; Chicago; Nominated; votes
1070,سروس,service,2507,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"service; duty, work",service; SERVICE; Service; Secret; WENT
1071,کمپنی,company,2481,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,company,company; named; affidavit; separation; confirming
1072,تباہی,destruction,2450,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"s.f. Ruin, wreck, destruction, perdition; wretchedness, misery; wickedness, depravity: — tabāhī-zada",THE; DEVASTATION; destruction; SO; DISTRACTION
1073,طالب,seeker (طالب علم = student),2424,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,seeker (طالب علم = student),student; Hampshire; Twenty-six; Med; kid
1074,مارکیٹ,market,2372,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,market,market; heading; east; black; sold
1075,بیرونی,adj. Outer,2370,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"adj. Outer, external, &c. = bāharī, q.v",outer; uncommunicative; outsider; wonders; plans
1076,کورٹ,court,2358,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,court,court-martial; Court; Refuse; recourse; duration
1077,بنائی,made (feminine),2269,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,made (feminine),made; every; This; phone; Russian
1078,جسٹس,justice (judge's title),2252,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,justice (judge's title),JUSTICE; justice; law; without; judges
1079,خیالات,ideas,2242,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"s.m. pl. (of ḵẖayāl), Thoughts, ideas, imaginations, fancies, &c.: — ḵẖayālāt-ě-lā-t̤āʼil, s.m. Vain…",ideas; somewhere; shed; preconceived; figure
1080,ٹیپ,tape,2178,CLE Urdu top-5000 frequency list,Kaikki+word2word,False,True,False,tape,,tapped; tape; -what; Honey; AC
1081,اعزاز,respect,2155,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"s.m. Honouring, magnifying; honour, respect, esteem, attention ( = ʻizzat)",honor; due; respect; With; Guest
1082,ٹورنامنٹ,tournament,2145,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,tournament,tournament; Burgh; play; surprised; beaten
1083,موقف,(n. of place fr. وقف 'to stand,2114,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"(n. of place fr. وقف 'to stand; to stop, stay,' &c.)",stand; simple; daisies; reviewing; My
1084,منتقل,(pass. part. of اِنْتقل 'to be transported,2087,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"(pass. part. of اِنْتقل 'to be transported,' &c., viii of نقل 'to transport,' &c.), part.",move; MOVE; Move; pass; moving
1085,حصے,plural direct of حِصَّہ (hissa — part,2025,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"plural direct of حِصَّہ (hissa — part, share, piece)",part; Partly; initation; administer; section
1086,پینے,oblique infinitive of پِینا (pīnā — to drink),1939,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,oblique infinitive of پِینا (pīnā — to drink),drink; normally; li; crooked; pimples
1087,شہریوں,plural,1937,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,plural oblique of شَہْری (śahrī — citizen),citizens; civilians; wiretapping; everywhere; indoors
1088,فلسطینی,Palestinian,1936,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,Palestinian,Palestinian; Palestinians; spill; sacred; letting
1089,اسرائیلی,Israeli,1902,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,Israeli,Israeli; Israelis; anything; Go; holiday
1090,محدود,(pass. part. of حدّ 'to define the limits (of); part. Limited,1896,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"(pass. part. of حدّ 'to define the limits (of); to define,' &c.), part. Limited, bounded, terminated, finite;…",limited; supervision; restrict; KP; license
1091,جذبات,feelings,1871,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"emotions, feelings",feelings; man; grown; embrace; takes
1092,منڈی,Mandi (a city in Himachal Pradesh,1844,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"Mandi (a city in Himachal Pradesh, India)",slave; Lurs; headed; In; market
1093,چاہتی,wants (feminine),1838,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,wants (feminine),wants; busting; want; Vice; else
1094,درآمد,import,1838,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,import,import; BAER; needs; imported; Rocky
1095,غربت,poverty,1832,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,poverty; living away from home,poverty; union; Like; symbolizes; save
1096,بیمہ,insurance; insurance premium,1823,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,insurance; insurance premium,insurance; money; my; about; What
1097,بدل,s.m. Change,1810,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"s.m. Change, alteration; exchange, substitution; return, requital, retaliation; — postp. In exchange (for,…",changed; change; changes; turns; critical
1098,بہتری,improvement,1781,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"s.f. Welfare, good, advantage; improvement; superior excellence, goodness, merit, virtue",improvement; Not; still; an; impressive
1099,فلمیں,plural direct of فِلْم (film,1776,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"plural direct of فِلْم (film, movie)",talking; Who; she; Movies; films
1100,روزگار,employment,1768,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"employment, livelihood",fully; jobs; job; him; employing
1101,میٹر,meter,1760,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,meter,meters; mm; meter; thick; eight
1102,صوبے,plural direct of صُوبَہ (sūba — province),1735,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,plural direct of صُوبَہ (sūba — province),bishops; province; monks; desert
1103,کہنے,oblique infinitive of کَہْنا (kahnā — to say),1732,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,oblique infinitive of کَہْنا (kahnā — to say),say; goodbye; meaning; videos; circumstances
1104,بجٹ,budget,1709,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,budget,budget; call; why; but; babe
1105,محبوب,beloved,1652,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"beloved, dear",beloved; reunited; delivered; dress; Emergency
1106,راست,straight,1623,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"adj. Right, true; good, just, upright, straightforward, honest, sincere; right (as opp. to left); straight,…",straight; directly; STRAIGHT; Directly; specials
1107,یورپی,European,1585,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,European,European; cyberattack; Frankfurt; Central; Yesterday
1108,لیتا,takes (masculine of لینا),1584,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,takes (masculine of لینا),takes; It; two; boot; interact
1109,تاخیر,s.f. Delay; To delay,1576,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"s.f. Delay, procrastination; postponement; impediment: — tāḵẖīr karnā (-meṅ), To delay, procrastinate; to…",delay; delayed; badges; Plus; codes
1110,مشرقی,eastern,1575,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,eastern,eastern; Redeploy; gate; Eastern; Supreme
1111,توڑ,break; breaking,1564,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"break, fissure; breaking; check",Break; break; broke; breaking; BREAK
1112,خرید,buying,1546,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"buying, purchase; purchase (something bought)",buy; buying; Nike; someday; bond
1113,کلاس,class,1476,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"class, course",class; Top; BUY; PARKING; PASS
1114,تحقیقات,investigation…,1425,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"s.f. (pl. of taḥqīq, but com. used as a sing. in Urdū), Inquiries; inquiry, investigation…",investigation; investigations; investigating; wars; investigate
1115,انٹرویو,interview,1421,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,interview,JOB; BOSS; OF; INTERVIEWS; INTERVIEW
1116,ڈگری,degree,1406,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,degree,second-degree; charts; degree; ROTC; scholarship
1117,آرام,rest; comfort,1405,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,rest; comfort; leisure,"rest, comfort",rest; relax; Easy; calm; stay
1118,ڈیرہ,settlement,1403,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu,True,False,False,settlement,settlement,
1119,لوٹ,loot; swag; spoils,1401,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu,True,False,False,loot; swag; spoils,spoils; loot; swag,robbing; Raping; returned; yet; As
1120,سفید,blank; clean; white,1399,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,blank; clean; white,"adj. white; clean; blank | Platts: adj. White; clean, blank: — safaid-posh, adj. &",white; WHITE; whale-; Skin; ye
1121,لفظ,word,1399,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,"word, term",word,word; WORD; ANOTHER; SAY; PUT
1122,شک,doubt,1396,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,"doubt, uncertainty","doubt, suspicion",doubt; Surely; Synesius; seducing; Mind
1123,پہنچنے,oblique infinitive of پَہُن٘چنا (pahũcnā — to arrive; to reach),1395,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"oblique infinitive of پَہُن٘چنا (pahũcnā — to arrive, to reach)",reach; ls; legend; arrive; arriving
1124,والدہ,mother,1395,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,mother,"n. mother | Platts: (for A. والدة wālidat, fem. of wālid)",mother; Mother; said; Tacoma; Father
1125,پارلیمنٹ,parliament,1394,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,parliament,cabinet; symbolic; gesture; Palace; parliament
1126,ناصر,defender; assistant; helper; deliverer,1390,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu,True,False,False,"defender, assistant, helper, deliverer, ally","n. defender, assistant, helper, deliverer, ally | Platts: (act. part. of نصر 'to aid,' &c.)",
1127,باہمی,mutual; shared; reciprocal; together,1389,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,"mutual, shared, reciprocal, together","mutual, shared, reciprocal, together",mutual; mutually; agreeable; settlement; reach
1128,تنازع,conflict; struggle,1389,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu,True,False,False,"conflict, struggle","n. conflict, struggle | Platts:",
1129,در,door,1389,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu,True,False,False,door,n. door | Platts:,might; wanting; noise; countries; afraid
1130,نا,no; final emphatic particle,1386,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu,True,False,False,no; final emphatic particle,"pcl. final emphatic particle | n. no | prefix not, un-, non-, in- | Platts: (f. -nī) [Prk.",RIGHT; French; unacceptable; speak; surveillance
1131,لباس,clothes; clothing; attire,1384,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu,True,False,False,"clothes, clothing, attire","clothes, clothing, attire",robe; dress; cloak; gave; poisoned
1132,کب,when,1383,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,when,"adv. when | Platts: interrog. adv. When? at what time? — kab-tak, or kab-talak, or kab-taʼīṅ, Till when? up to what time? how…",When; long; spoke; attack; longer
1133,مشورہ,advice; consultation,1380,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,advice; consultation; opinion,"advice, consultation",suggest; advice; advised; Advising; EM
1134,شوہر,husband,1379,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,husband,n. husband | Platts:,husband; Back; lad; somewhere; sense
1135,ہوٹل,hotel; restaurant,1377,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,hotel; restaurant,"hotel, restaurant",hotel; destinations; locals; Westerners; popular
1136,زیادتی,rape; sexual assault; unfairness (connoted with deception),1376,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu,True,False,False,"rape, sexual assault; transgression, wrongdoing; unfairness (connoted with deception)","unfairness (connoted with deception); oppression, injustice (connoted with forcefulness; coercion); rape, sexual assault",
1137,احترام,attention; respect; honour; consideration,1367,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,"attention; respect, honour; consideration, regardfulness","n. respect, honour; consideration, regardfulness; attention | Platts:",respect; honor; great; DAD; WHAT
1138,انعام,prize; reward,1367,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,prize; reward,"reward, prize",prize; Reward; Safe; grand; obscene
1139,ضائع,wasted; squandered; lost; destroyed,1364,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,"wasted; squandered; lost, destroyed; perished","adj. wasted; squandered; lost, destroyed; perished | Platts: (act. part. of ضيع 'to perish,' &c.), part. adj. Perishing, becoming lost or destroyed…",disposal; fully; standing; wasted; All
1140,تصاویر,“photograph”),1361,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"n. formal plural of تَصْوِیر (taṣvīr, “photograph”) | Platts:",pictures; photographed; photos; Was; colleague
1141,نامی,famous; celebrated; having a good reputation,1359,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu,True,False,False,"famous, celebrated; having a good reputation","adj. having a good reputation; famous, celebrated | Platts: (nām",called; named; musical; Rose; piece
1142,شکر,thanks,1353,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,sugar; Venus; bright,"gratitude, thanks",thank; Thank; Oh; THANK; showed
1143,کاروباری,businessman,1352,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu,True,False,False,businessman; pertaining to business,n. businessman,slightly; entrepreneur; nobility; cloth; dishonorable
1144,بیٹا,son; boy; child (any gender),1351,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,"son, boy; child (any gender)","son, boy; child (any gender)",son; Son; -But; sweetie; Not
1145,ضمانت,bail; guarantee; security,1350,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,"bail; guarantee, security","n. bail; guarantee, security | Platts: (for A. ضمانة, fr. ẓamān)",guarantee; child; bailed; BAILED; bail
1146,رو,s.m. Cry,1349,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,"s.m. Cry, clamour, din; sound, noise; voice; hum; report, fame",cry; Do; Ahmet; Weep; CRYING
1147,اصول,maxim; principles,1348,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu,True,False,False,"maxim; principles; law, mot, motto, rule",n. plural of اصل (asl); principles; maxim | Platts:,principle; founded; theory; differences; CONTINUE
1148,چائے,cha; tea,1348,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,cha; tea,tea; chai; cha,GRANNY; PEACH; TEA; S; bucket
1149,ڈپٹی,deputy,1346,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,deputy,Deputy; Director; uh; The; Lowell
1150,ثبوت,proof; evidence,1333,CLE Urdu top-5000 frequency list,Kaikki+ReadUrdu+word2word,True,True,True,proof; evidence,"proof, evidence",proof; evidence; living; case; definitive
1151,کتنے,plural masculine of کِتْنا (kitnā — how much),1329,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,plural masculine of کِتْنا (kitnā — how much),many; How; left; set; fill
1152,تاثر,impression,1328,CLE Urdu top-5000 frequency list,ReadUrdu+word2word,False,False,True,,impression,impression; watching; someone; parcel; moral
