rank,front,meaning,frequency,indowordnet_lemma,kaikki_meaning,readurdu_meaning,word2word_meaning,kaikki_readurdu_agreement,kaikki_word2word_agreement,readurdu_word2word_agreement,semantic_basis
1041,سرخ,red,1161,True,red; a communist or socialist (metaphorically),,red; RED; specks; Red; THAT,False,True,False,kaikki+word2word
1042,ٹرک,truck,1151,True,truck,truck,trucks; TRUCK; Trucks; supplies; driving,True,True,True,kaikki+readurdu+word2word
1043,طوفان,storm,1139,True,"storm, tempest; typhoon, hurricane; flood, deluge, inundation",storm,sandstorm; Desert; Storm; Storms; storming,True,True,True,kaikki+readurdu+word2word
1044,تصدیق,confirmation,1135,True,confirmation; verification; attestation; countersignature,,confirmation; Confirm; confirmed; cross-checked; legit,False,True,False,kaikki+word2word
1045,ناک,nose,1127,True,nose,,outrage; knockout; Clinch; nose; tilted,False,True,False,kaikki+word2word
1046,سانس,breath; breathing,1115,True,"sigh; breath, breathing",breath,breathe; Breathe; breath; BREATHE; breathing,True,True,True,kaikki+readurdu+word2word
1047,مندر,a Hindu temple; temple,1088,True,"a Hindu temple; temple, place or house of worship",,Temple; sacred; temple; frat; smash,False,True,False,kaikki+word2word
1048,بہار,bloom; spring (season),1085,True,"blossom, bloom; glory, splendor; spring (season)",spring; bloom,Spring; Meet; Third; on; and,True,True,True,kaikki+readurdu+word2word
1049,نمک,salt,1052,True,salt,,disastrous; lemons; tequila; salt; gives,False,True,False,kaikki+word2word
1050,ایجنسی,agency,1032,True,,agency,Agency; agency; twisted; Such; domestic,False,False,True,readurdu+word2word
1051,تہذیب,culture,1026,True,"politeness, manners; civilization, culture","culture, refinement",,True,False,False,kaikki+readurdu
1052,قربانی,sacrifice,1006,True,"sacrifice; qurbani, sacrificial animal (Eid ul-Adha)",sacrifice,canaries; sneak; wiser; theory; using,True,False,False,kaikki+readurdu
1053,گرمی,heat,1006,True,"heat; anger, rage; love, cordiality",,heat; warmth; mercenaries; summer; Have,False,True,False,kaikki+word2word
1054,گناہ,sin; fault,1001,True,"sin; crime, fault, guilt",sin,sin; FAULTS; ANY; THERE; innocent,True,True,True,kaikki+readurdu+word2word
1055,کارڈ,card,996,True,card,card; credit card,card; cloning; distribution; entry-cards; Gerdi,True,True,True,kaikki+readurdu+word2word
1056,مئی,May,986,True,May,,May; reportedly; 20th; since; remember,False,True,False,kaikki+word2word
1057,روحانی,spiritual (as opposed to physical),963,True,holy; pure; wholehearted; spiritual (as opposed to physical),,new; spiritual; awareness; The,False,True,False,kaikki+word2word
1058,سگریٹ,cigarette,963,True,cigarette,cigarette,cigarette; say; d; What; so,True,True,True,kaikki+readurdu+word2word
1059,روم,Rome; Asia Minor,962,True,Rome; Turkey; Asia Minor,"name: Asia Minor; Byzantine Empire; Ottoman Caliphate | Platts: prop. n. Greece (the lower empire); Rome, the eastern Roman empire; the Turkish empire; Roumelia…",Rom; room; Rome; classes; Wrong,True,True,True,kaikki+readurdu+word2word
1060,دیوار,wall,959,True,wall,,wall; walls; 13; enclosed; vast,False,True,False,kaikki+word2word
1061,جہاد,jihad,954,True,"fight, struggle, battle; jihad, holy war, crusade",,Continue; jihad; bro; looks; defeat,False,True,False,kaikki+word2word
1062,کان,ear,953,True,ear,,ear; ears; mine; Modeled; filters,False,True,False,kaikki+word2word
1063,اسٹیڈیم,stadium,952,True,stadium,stadium,THE; STADIUM; SIDE; OF; TO,True,True,True,kaikki+readurdu+word2word
1064,چوک,square,943,True,"courtyard; square; chowk; crossroad, intersection",,being; missed; square; dealing; capable,False,True,False,kaikki+word2word
1065,فہرست,list,943,True,list; index; catalogue,,list; talents; LIST; BUSINESSES; DOES,False,True,False,kaikki+word2word
1066,کارٹون,cartoon,929,True,cartoon,cartoon,punch; take; Punch; cartoon; Throw,True,True,True,kaikki+readurdu+word2word
1067,گلی,street; lane,927,True,"alleyway; street, lane",,lane; street; alley; streets; wins,False,True,False,kaikki+word2word
1068,نشان,sign,897,True,"sign, symbol; ensign, standard; decoration, medal","mark, sign, trace",mark; BOUNDARIES; MARK; Tracks; Break,True,False,True,kaikki+readurdu
1069,صفر,zero,883,True,zero,"num. zero | n. nought, naught, cipher, zero",Two-seven-zero; three-zero-zero; zero; ones; among,True,True,True,kaikki+readurdu+word2word
1070,قلم,pen,871,True,pen; reed,pen,rolls; After; head; your,True,False,False,kaikki+readurdu
1071,ترتیب,order,868,True,"classification; order, arrangement, sequence",,order; setting; didn; Thus; proper,False,True,False,kaikki+word2word
1072,دستخط,signature; handwriting,857,True,signature; handwriting,handwriting; signature,sign; signed; Would; signature; cars,True,True,True,kaikki+readurdu+word2word
1073,انتظامی,administrative,855,True,administrative,administrative,administrative; discharge; authorize; an; gonna,True,True,True,kaikki+readurdu+word2word
1074,برف,ice,829,True,"ice; snow; white, shining",,ice; some; Fenroy; get; ll,False,True,False,kaikki+word2word
1075,پہاڑی,hill; small mountain,813,True,,"hill, small mountain",mountain; HILL; UP; GOTTA; hill,False,False,True,readurdu+word2word
1076,خزانہ,treasure; treasury,811,True,treasure; treasury; tax; levy,"treasure, treasury",Tesseract; Odin; treasure; jewel; `,True,True,True,kaikki+readurdu+word2word
1077,معصوم,innocent,811,True,sinless; innocent; infallible,innocent,innocent; Innocents; Innocent; beds; torn,True,True,True,kaikki+readurdu+word2word
1078,آیت,verse (of the Qur'an),796,True,verse (of the Qur'an),,verse; It; last; s; the,False,True,False,kaikki+word2word
1079,ہڑتال,strike; hartal; (stoppage of work),794,True,"strike, hartal, (stoppage of work)","strike, hartal, (stoppage of work)",strike; artillery; called; an; blurry,True,True,True,kaikki+readurdu+word2word
1080,ویژن,vision,756,True,vision,vision,television; watching; dude; guy; saw,True,False,False,kaikki+readurdu
1081,پابند,bound; restrained; encumbered,749,True,"bound; restrained, encumbered","restrained, encumbered; bound",obliged; given; circumstances; hand; over,True,False,False,kaikki+readurdu
1082,پال,equivalent to English Paul,740,True,"a male given name from English, equivalent to English Paul",,Paul; hurry; Timothy; Reading; Bottom,False,True,False,kaikki+word2word
1083,تجزیہ,analysis; dissolution,729,True,"analysis, dissolution","analysis, dissolution",Analyzing; analyze; Genesis; Chamber; sample,True,False,False,kaikki+readurdu
1084,ستر,seventy,728,True,seventy,,Seventy; BACKTRACK; SEVENTY; SO; OR,False,True,False,kaikki+word2word
1085,گائے,cow,719,True,cow,cow,cow; Cow; Feed; Holy; keeps,True,True,True,kaikki+readurdu+word2word
1086,نازک,fragile; delicate,710,True,"weak, fragile; tender, delicate; thin, slender, slim",,needn; fragile; calibration; delicate; requires,False,True,False,kaikki+word2word
1087,سبق,lesson,708,True,lesson; lecture,lesson,lesson; vacation; okay; Let; summer,True,True,True,kaikki+readurdu+word2word
1088,کسان,farmer,704,True,"farmer, cultivator",,farmer; peasant; dream; sighting; diamond,False,True,False,kaikki+word2word
1089,ذخیرہ,storehouse,697,True,outhouse; storehouse,"hoard, cache; storehouse; stock, provisions",bachelor; stored; university; central; needed,True,False,False,kaikki+readurdu
1090,شاہی,royal,697,True,"befitting or worthy of royalty; royal, regal, kingly, princely; rule, reign, regime; -archy, -cracy",,royal; quarters; destroyed; Royal; Steward,False,True,False,kaikki+word2word
1091,وارث,heir,686,True,"heir, inheritor",,heir; Waynes; cellar; inherit; wine,False,True,False,kaikki+word2word
1092,شہد,honey,681,True,honey,,HONEY; TO; honey; YOU; UP,False,True,False,kaikki+word2word
1093,ملنا,to be found; to be joined,679,True,"to be found; to be joined; to blend, mix","v. to be found; to be joined; to meet, encounter, mingle | Platts: v.t. To rub; to rub down (a horse); to scrub, scour; to furbish; to anoint; — to grind; to tread on, trample…",meet; obsessed; demands; proposals; concrete,True,False,True,kaikki+readurdu
1094,ہندوستانی,Hindustani (language); Indian (native or inhabitant of India); Indian (of,674,True,"Hindustani (language); Indian (native or inhabitant of India); Indian (of, from or relating to India)",Indian; the Hindustani language,Indian; Let; see; cry; son,True,True,True,kaikki+readurdu+word2word
1095,خوشبو,fragrance,668,True,"perfume, cologne; pleasant-smell; sweet-smell; fragrance, scent; odor, aroma",fragrance,,True,False,False,kaikki+readurdu
1096,سائنسی,scientific,667,True,scientific,scientific,Allied; effort; represent; Strategic; Scientific,True,True,True,kaikki+readurdu+word2word
1097,انجینئر,engineer,666,True,,engineer,engineer; been; consultant; solutions; systems,False,False,True,readurdu+word2word
1098,پیسہ,wealth; money; cash; paisa (a subdivision of currency; equal to ¹⁄₁₀₀ of a rupee),663,True,"wealth; money, cash; paisa (a subdivision of currency, equal to ¹⁄₁₀₀ of a rupee)","paisa (a subdivision of currency, equal to ¹⁄₁₀₀ of a rupee); money, cash; wealth",money; lot; Ghraib; Meanwhile; earn,True,True,True,kaikki+readurdu+word2word
1099,بازو,arm; wing of a bird; etc,641,True,"arm; wing of a bird, etc; supporter or companion","n. arm; wing of a bird, etc.; flank of an army | Platts: Arm, upper arm; shoulder; wing (of a bird, &c.); flank (of an army, &c.); side frame of a door, door-post;…",arm; -His; forearms; stick; needle,True,True,True,kaikki+readurdu+word2word
1100,گردن,neck,626,True,neck,,neck; nape; -Drop; Watch; titan,False,True,False,kaikki+word2word
1101,روپیہ,rupee,616,True,cash; rupee; silver coin,rupee,,True,False,False,kaikki+readurdu
1102,کپڑا,cloth; garment,613,True,cloth; garment,cloth; garment; clothing,some; cloth; quickly; get; me,True,True,True,kaikki+readurdu+word2word
1103,سالگرہ,birthday; anniversary,609,True,birthday; anniversary,birthday (year of birth); anniversary,birthday; Happy; -Happy; Emily; basics,True,True,True,kaikki+readurdu+word2word
1104,شہزادہ,prince (a king's son,609,True,"prince (a king's son, grandson or other male descendant)",prince,Prince; prince; Such; Walk; dispatches,True,True,True,kaikki+readurdu+word2word
1105,دہائی,a decade; decade,604,True,a decade; unit of ten; tens; decade; increments or multiplication of ten,,decade; Osama; nearly; took; It,False,True,False,kaikki+word2word
1106,خودکشی,suicide,599,True,suicide,,suicides; suicide; continue; swear; body,False,True,False,kaikki+word2word
1107,میزبان,host,599,True,host; anchorperson,host,host; heavenly; angels; kills; Mom,True,True,True,kaikki+readurdu+word2word
1108,روسی,Russian,580,True,Russian,Russian,Russian; caviar; Aeroflot; Been; adrenaline,True,True,True,kaikki+readurdu+word2word
1109,آم,mango,576,True,mango; rawness; undressed,,attract; troubles; rotting; mango; flies,False,True,False,kaikki+word2word
1110,عرف,alias; pen name; nickname; byname,576,True,"alias, pen name, nickname, byname","alias, pen name, nickname, byname",,True,False,False,kaikki+readurdu
1111,آفت,calamity; disaster,572,True,"suffering; calamity, disaster; din, uproar, noise","calamity, disaster",disaster; hurl; thunderbolts; gods; There,True,True,True,kaikki+readurdu+word2word
1112,عنصر,element,564,True,"element, essence; element, component, part",,encloses; toxic; surroundings; element; confront,False,True,False,kaikki+word2word
1113,پرورش,nurture; upbringing,562,True,"fostering; compassion; nurture, upbringing","upbringing, nurture",Growing; toughest; wanted; up; kid,True,False,False,kaikki+readurdu
1114,آلو,potato,553,True,"potato; plum, prune; having a fat body, plump, clumsy",,potatoes; yeah; brain; add; alone,False,True,False,kaikki+word2word
1115,چور,thief,553,True,thief; ulcer; an untrustable; evil person,,thief; Thief; backdoors; With; thieves,False,True,False,kaikki+word2word
1116,پیروی,pleading; recommendation; pursuit; following; devotion,551,True,"pleading; recommendation; pursuit, following, devotion, obedience","pleading; recommendation; pursuit, following, devotion, obedience",follow; followed; Or; FOLLOW; ROUTE,True,True,True,kaikki+readurdu+word2word
1117,کمزوری,weakness,547,True,weakness,weakness,intimate; weakness; Something; Marvin; hurts,True,True,True,kaikki+readurdu+word2word
1118,ہلکا,light,544,True,"mild; easy, light; soft, delicate",,lighter; Couldn; Light; somebody; found,False,True,False,kaikki+word2word
1119,یادگار,monument; souvenir,538,True,"remembrance; memoir, monument; keepsake, souvenir","memorial, memorable",souvenir; YOU; monument; memorable; SEEK,False,True,True,kaikki+word2word
1120,حمل,transport,530,True,"Aries; pregnancy; transport, carriage, bearing",,transport; transporting; holdin; vehicle; What,False,True,False,kaikki+word2word
1121,شمال,north,528,True,north,north,north; blackouts; reports; total; getting,True,True,True,kaikki+readurdu+word2word
1122,گردش,rotation,516,True,rotation; revolution; circulation,,rotation; spar; Augusto; circulating; throw,False,True,False,kaikki+word2word
1123,الف,name of the first letter of the Urdu alphabet,513,True,name of the first letter of the Urdu alphabet; alif,,robots; breath; first; waste; thing,False,True,False,kaikki+word2word
1124,سفارش,recommendation,507,True,"recommendation, endorsement",,recommendation; recommend; balconies; asked; standing,False,True,False,kaikki+word2word
1125,لہر,wave,502,True,,wave,Crime; wave; Gotham; in,False,False,True,readurdu+word2word
1126,چلنا,to go; to move; to walk,491,True,to go; to move; to walk,"v. to go; to walk; to move | Platts: v.n. To move, stir; to go, proceed; to depart; to walk, travel; to flow, run (as a stream, a pen, &c.); to be…",walk; strut; running; Start; slay,True,True,True,kaikki+readurdu+word2word
1127,جملہ,a (complete) sentence,490,True,"all; phrase, saying; a (complete) sentence",sentence; total,,True,False,False,kaikki+readurdu
1128,منتظر,waiting,486,True,,"waiting, expectant",Waiting; step; Barcelona; approach; Got,False,False,True,readurdu+word2word
1129,جشن,celebration,484,True,"banquet, feast; festival, celebration","celebration, festivity",Rejoice; celebration; celebrating; tradition; however,True,True,True,kaikki+readurdu+word2word
1130,قبر,grave,481,True,"grave, tomb",grave,grave; then; Mother; willow; branch,True,True,True,kaikki+readurdu+word2word
1131,مومن,true believer,475,True,"devout Muslim, true believer; a male given name from Arabic",,believer; think; m; a; I,False,True,False,kaikki+word2word
1132,کیمیائی,chemical; chemo-,466,True,"chemical, chemo-","chemical, chemo-",,True,False,False,kaikki+readurdu
1133,مجرم,criminal,460,True,"sinner; criminal, offender",,guilty; criminal; criminals; locks; peasants,False,True,False,kaikki+word2word
1134,خودکش,suicidal; of or relating to suicide,459,True,suicidal; of or relating to suicide,suicidal; of or relating to suicide,,True,False,False,kaikki+readurdu
1135,پٹی,bandage; bracelet; band; strip,457,True,"bandage; bracelet; band, strip","bandage; band, strip; bracelet",belt; strip; tourniquet; apply; today,True,True,True,kaikki+readurdu+word2word
1136,راحت,comfort; relief,438,True,"reward; pleasure, joy; comfort, relief, respite, tranquillity","relief, comfort",,True,False,False,kaikki+readurdu
1137,وفا,fidelity,435,True,loyalty; fidelity; a female given name from Arabic,"fidelity, faithfulness",,True,False,False,kaikki+readurdu
1138,سیکنڈ,second (time),433,True,,second (time),seconds; second; Seconds; -Ten; sec,False,False,True,readurdu+word2word
1139,ٹماٹر,tomato,428,True,tomato,tomato; tomatoes,,True,False,False,kaikki+readurdu
1140,راکٹ,rocket,426,True,rocket,rocket,,True,False,False,kaikki+readurdu
1141,تہائی,third,425,True,third,,third; force; Reiser; heads; steel,False,True,False,kaikki+word2word
1142,تار,wire,424,True,"cable; telegraph; cord, wire",,wire; till; recording; everything; still,False,True,False,kaikki+word2word
1143,کالی,a black woman,424,True,ink; Kali; a black woman; a woman of dark complexion,,black; vile; squeeze; All; miss,False,True,False,kaikki+word2word
1144,بمباری,bombing; bombardment,420,True,"bombing, bombardment","bombing, bombardment",bombing; Tora; Bora; high; tried,True,True,True,kaikki+readurdu+word2word
1145,دلیل,argument,415,True,,"argument, reasoning",argument; deaf; falls; making; ton,False,False,True,readurdu+word2word
1146,جنازہ,funeral; bier,412,True,funeral; bier; the corpse (or coffin in which a corpse is taken away),"funeral procession, bier",funeral; went; her; six; when,True,True,True,kaikki+readurdu+word2word
1147,چڑیا,bird; sparrow; club; clubs,412,True,"bird; sparrow; club, clubs","sparrow; bird; club, clubs",,True,False,False,kaikki+readurdu
1148,مدعو,invited,410,True,invited,invited,invited; tracking; device; been; So,True,True,True,kaikki+readurdu+word2word
1149,خلیج,bay,402,True,"gulf, bay",,bay; Across; wheeled; blank; present,False,True,False,kaikki+word2word
1150,دال,lentil,393,True,"bean; lentil, dal",,lentils; chores; pick; darling; may,False,True,False,kaikki+word2word
1151,نشریات,broadcasting,390,True,broadcasting,"plural of نَشْرِیّہ (naśriyyah, “broadcast”); broadcasting",,True,False,False,kaikki+readurdu
1152,انا,ego,388,True,,"ego, self-respect",Ego; bureaucrats; lot; see; know,False,False,True,readurdu+word2word
1153,شاخ,tree branch; organizational branch,382,True,horn; antler; tree branch; bough; organizational branch,,branch; planted; had; her; mother,False,True,False,kaikki+word2word
1154,پکا,ripe (of fruit),378,True,"solid; ripe (of fruit); certain, sure, definite",,Ripe; fruit; murderously; decapitate; accurate,False,True,False,kaikki+word2word
1155,تمباکو,tobacco,378,True,tobacco,,smokers; working; tobacco; shop; Madras,False,True,False,kaikki+word2word
1156,جاپانی,Japanese,377,True,Japanese,Japanese,Japanese; Pearl; Harbor; Mandarin; Some,True,True,True,kaikki+readurdu+word2word
1157,فلسفہ,philosophy,371,True,philosophy,,Philosophy; tautology; philosophy; With; It,False,True,False,kaikki+word2word
1158,آشنا,lover; paramour; friend; acquaintance,367,True,"lover, paramour; friend; acquaintance","n. friend; acquaintance; lover, paramour | Platts: s. com. gend. Acquaintance; friend; associate; intimate friend, familiar; lover, sweetheart; paramour;…",,True,False,False,kaikki+readurdu
1159,سرحدی,border (of or pertaining to a border),366,True,,border (of or pertaining to a border),crossing; at; border; spots; attempt,False,False,True,readurdu+word2word
1160,جرمن,the German language,365,True,"the German language, of Germany",German,German; amazing; keeping; pretty; free,True,True,True,kaikki+readurdu+word2word
1161,چال,trick,361,True,"play, trick",,trick; lost; walk; magic; looking,False,True,False,kaikki+word2word
1162,ساحلی,coastal,360,True,coastal,coastal,BAY; AS; AREA; SURROUNDING; FAR,True,False,False,kaikki+readurdu
1163,کارنامہ,memoir; deed; feat; chronicle; history,359,True,"memoir; deed, feat; chronicle, history","deed, feat; chronicle, history; memoir",,True,False,False,kaikki+readurdu
1164,ساس,mother-in-law (mother of either spouse),357,True,mother-in-law (mother of either spouse),,mother-in-law; charmer; snake; loves; Sarah,False,True,False,kaikki+word2word
1165,توبہ,my God!; repentance,354,True,my God!; repentance; recantation,repentance,Tell; God,True,True,False,kaikki+readurdu+word2word
1166,درجن,dozen,350,True,dozen,dozen,dozen; mules; bandits; Once; Sixth,True,True,True,kaikki+readurdu+word2word
1167,بالغ,adult,348,True,adult,,precaution; diapers; adult; glove; compartment,False,True,False,kaikki+word2word
1168,بدنام,infamous,344,True,infamous,infamous,endangered; demonize; infamous; joining; satellite,True,True,True,kaikki+readurdu+word2word
1169,مربع,square,344,True,square,"n. square | Platts: (pass. part. of ربّع 'to make four; or four-sided,' &c., ii of ربع 'to become the fourth' (of the three),…","square; ""; call; away; And",True,True,True,kaikki+readurdu+word2word
1170,فائل,file,340,True,,file,file; None; files; whole; favorite,False,False,True,readurdu+word2word
1171,دلہن,bride,335,True,bride; daughter,,bride; true; sit; ride; his,False,True,False,kaikki+word2word
1172,بادل,cloud,333,True,cloud; storm,,cloud; Cock-a-doodle-doo; dust; gone; familial,False,True,False,kaikki+word2word
1173,شرم,shame,331,True,shame,,shame; ashamed; outrage; Modestly; Isn,False,True,False,kaikki+word2word
1174,صابن,soap; washing powder (ie. for a washing machine etc.),318,True,soap; washing powder (ie. for a washing machine etc.),soap; washing powder (ie. for a washing machine etc.),,True,False,False,kaikki+readurdu
1175,ڈاک,dak; mail; post,318,True,"dak; mail, post","mail, post; dak",stamps; check; visa; You; can,True,False,False,kaikki+readurdu
1176,پرچم,flag,317,True,"flag, banner",,flag; peak; 7; halfway; 1,False,True,False,kaikki+word2word
1177,قطب,pole,313,True,pole,pole,,True,False,False,kaikki+readurdu
1178,کرسی,chair,313,True,chair,,chair; Or; Why; tell; didn,False,True,False,kaikki+word2word
1179,دنیاوی,worldly; materialistic; secular (ie. as opposed to religious or spiritual),308,True,"worldly, materialistic; secular (ie. as opposed to religious or spiritual)","worldly, materialistic; secular (ie. as opposed to religious or spiritual)",,True,False,False,kaikki+readurdu
1180,طیارہ,airplane; airship; plane (aircraft of any kind),307,True,airplane; airship; plane (aircraft of any kind),airplane; airship; plane (aircraft of any kind),THE; Qaddafi; anti-air; nonexistent; virtually,True,False,False,kaikki+readurdu
1181,اخباری,journalistic,306,True,journalistic,journalistic,crossword; Watch; puzzle; thought; days,True,False,False,kaikki+readurdu
1182,مافیا,the mafia; a member of the mafia,305,True,,the mafia; a member of the mafia,cartels; specialty; consumed; mafia; pursuing,False,False,True,readurdu+word2word
1183,پلاسٹک,plastic,302,True,plastic,plastic,,True,False,False,kaikki+readurdu
1184,سرما,winter,301,True,winter,,winter; Even; PREACHER; LIKES; COLD,False,True,False,kaikki+word2word
1185,مصری,Egyptian,299,True,Egyptian,Egyptian; a kind of sugar candy,EDS; Egyptian; carriers; Seems; probably,True,True,True,kaikki+readurdu+word2word
1186,چوٹی,peak (of a mountain),298,True,,"braid; lock of hair; summit, peak (of a mountain)",ridge; short; peak; haven; its,False,False,True,readurdu+word2word
1187,روکنا,v.t. To stop,295,True,,"v.t. To stop, check, arrest, challenge (as a sentry), restrain, prohibit, hinder, impede, retard, prevent,…",stopped; has; crybaby; STOP; aside,False,False,True,readurdu+word2word
1188,سانپ,snake,291,True,snake,,garter; snake; Are; a; ?,False,True,False,kaikki+word2word
1189,جانچ,test; checking,286,True,,"inspection, analysis, enquiry; exam, test; checking",test; Weapons; check; inspecting; Victoria,False,False,True,readurdu+word2word
1190,ابال,anger; rage; boil; boiling; coction,283,True,"anger, rage; boil, boiling, coction","boil, boiling, coction; anger, rage",,True,False,False,kaikki+readurdu
1191,مواصلات,satellite; communications; telecommunications,283,True,"satellite; communications, telecommunications","communications, telecommunications; satellite",lines; communication; physical; owned; communications,True,True,True,kaikki+readurdu+word2word
1192,ٹینک,tank (vehicle),282,True,tank (vehicle),tank (vehicle),tank; ripped; tanks; hit; Fill,True,True,True,kaikki+readurdu+word2word
1193,نایاب,precious; rare; scarce,281,True,"precious; rare, scarce","rare, scarce; precious",rare; rarest; FALCO; NEVADA; presented,True,True,True,kaikki+readurdu+word2word
1194,جغرافیائی,geographical; geographic,279,True,"geographical, geographic","geographical, geographic",,True,False,False,kaikki+readurdu
