frequency_evidence,frequency_source,front,kaikki,readurdu,reason,word2word
19654,CLE Urdu top-5000 frequency list,ٹیم,,team,not_indowordnet_lemma,team; response; Team; kidnap; leading
19140,CLE Urdu top-5000 frequency list,بی,,the English letter B (in acronyms),not_indowordnet_lemma,B; squad; heel; barbecue; KGB
19080,CLE Urdu top-5000 frequency list,ہوئی,,"happened, became (feminine of ہونا)",not_indowordnet_lemma,meet; Nice; MEET; growing; NICE
18238,CLE Urdu top-5000 frequency list,والی,,the one who/that (feminine suffix),direct_mapping_without_independent_corroboration,brewing; handkerchief; bold; Am; War
18132,CLE Urdu top-5000 frequency list,سکتا,,"can, is able (masculine of سکنا)",not_indowordnet_lemma,might; Can; couldn; breathe; happen
17951,CLE Urdu top-5000 frequency list,دے,,inflection of,not_indowordnet_lemma,Give; give; giving; letting; e-mail
17644,CLE Urdu top-5000 frequency list,لوگوں,,,not_indowordnet_lemma,guys; PEOPLE; people; SCREAMING; meet
17374,CLE Urdu top-5000 frequency list,جاتی,,"s.f. See jāt, s.f",not_indowordnet_lemma,supposed; makes; boil; tingle; CHUCKLING
16822,CLE Urdu top-5000 frequency list,بارے,,"about, regarding (کے بارے میں)",not_indowordnet_lemma,about; About; ABOUT; talking; thinking
16230,CLE Urdu top-5000 frequency list,ای,,the English letter E (in acronyms),direct_mapping_without_independent_corroboration,e-mail; recognize; BQE; blanket; faster
15569,CLE Urdu top-5000 frequency list,جائیں,,,not_indowordnet_lemma,leaves; return; enter; reach; faster
15557,CLE Urdu top-5000 frequency list,لیا,,took (masculine of لینا),not_indowordnet_lemma,took; taken; appointment; saved; captured
15262,CLE Urdu top-5000 frequency list,جانے,,(2nd. or 3rd.,not_indowordnet_lemma,go; Let; Way; knowing; letting
14970,CLE Urdu top-5000 frequency list,کئے,,,not_indowordnet_lemma,signed; offed; -What; Collating; multiple
14811,CLE Urdu top-5000 frequency list,پی,,the English letter P; drank (feminine of پینا),not_indowordnet_lemma,PC; GPS; Doctor; spent; IP
13287,CLE Urdu top-5000 frequency list,امریکی,,American,ambiguous_direct_mapping_tied_after_corroboration,American; U.S; breathe; citizen; Army
13202,CLE Urdu top-5000 frequency list,ہوتے,,"happen, are (plural)",not_indowordnet_lemma,gloat; such; wish; narratives; assholes
12767,CLE Urdu top-5000 frequency list,ایم,,the English letter M (in acronyms),not_indowordnet_lemma,EM; MMA; em; upset; TAKE
12459,CLE Urdu top-5000 frequency list,پرنٹ,,,not_indowordnet_lemma,
12353,CLE Urdu top-5000 frequency list,مجہے,,,not_indowordnet_lemma,
12285,CLE Urdu top-5000 frequency list,پولیس,,police,direct_mapping_without_independent_corroboration,police; Police; cop; policeman; cops
12213,CLE Urdu top-5000 frequency list,کہیل,,,not_indowordnet_lemma,
12200,CLE Urdu top-5000 frequency list,کیجیئے,,,not_indowordnet_lemma,
12199,CLE Urdu top-5000 frequency list,کرے,,may do (subjunctive of کرنا),not_indowordnet_lemma,wouldn; Will; change; brought; someone
12034,CLE Urdu top-5000 frequency list,سکتے,,"can, are able (plural)",not_indowordnet_lemma,CAN; Can; cannot; may; leave
11973,CLE Urdu top-5000 frequency list,گہر,,"s.m. House, dwelling, mansion, habitation, abode, home; — a room (in a house), an apartment; — a den; nest;…",not_indowordnet_lemma,
11618,CLE Urdu top-5000 frequency list,جاتے,,inflection of,not_indowordnet_lemma,Move; baptized; birds; slide; bottom
11225,CLE Urdu top-5000 frequency list,سکتی,,"can, is able (feminine)",not_indowordnet_lemma,remove; blade; pierce; handle; holds
10756,CLE Urdu top-5000 frequency list,بن,,"s.m. (f. ?), Forest, jungle, wood, grove, copse, brake; cotton-field; cotton crop: — ban-bās (S. vana+vāsa),…",not_indowordnet_lemma,become; king; year; screams; UBL
10570,CLE Urdu top-5000 frequency list,دیں,,give (polite/plural of دینا),not_indowordnet_lemma,Turn; flying; bases; lose; train
10490,CLE Urdu top-5000 frequency list,سکے,,plural direct of سِکَّہ (sikka — coin; medal),not_indowordnet_lemma,telescope; balcony; vantage; shatter; causing
10449,CLE Urdu top-5000 frequency list,ٹی,,the English letter T (in acronyms),not_indowordnet_lemma,IT; S; TV; ABOUT; BLAKE
10245,CLE Urdu top-5000 frequency list,خبریں,,plural formal of خَبَر (xabar — news),not_indowordnet_lemma,indications; saw; arming; plotting; appeared
9568,CLE Urdu top-5000 frequency list,سیریز,,,not_indowordnet_lemma,chain; Top; food; microinjections; groups
8927,CLE Urdu top-5000 frequency list,کبہی,,,not_indowordnet_lemma,
8818,CLE Urdu top-5000 frequency list,دینے,oblique infinitive; masculine plural infinitive participle,,not_indowordnet_lemma,give; deceiving; cloned; Welcome; Of
8769,CLE Urdu top-5000 frequency list,آنے,,inflection of,not_indowordnet_lemma,come; coming; COMING; shouldn; working
8665,CLE Urdu top-5000 frequency list,کرتی,,does (feminine of کرنا),direct_mapping_without_independent_corroboration,much; love; talks; unite; Friends
8556,CLE Urdu top-5000 frequency list,ایسی,,direct/oblique/vocative feminine singular/plural of,direct_mapping_without_independent_corroboration,such; repeat; Something; wasn; unclaimed
8359,CLE Urdu top-5000 frequency list,سید,,Sayyid (title/name: descendant of the Prophet),not_indowordnet_lemma,Sayeed; ?
8144,CLE Urdu top-5000 frequency list,بہارتی,,,not_indowordnet_lemma,
8140,CLE Urdu top-5000 frequency list,ذریعے,,"plural direct of ذَرِیعَہ (zariya — means, way, agency)",not_indowordnet_lemma,through; THROUGH; ashes; skull; via
8052,CLE Urdu top-5000 frequency list,بنانے,,,not_indowordnet_lemma,make; making; To; lift; ensure
7977,CLE Urdu top-5000 frequency list,دیتے,,give (plural),not_indowordnet_lemma,invite; suggest; unhook; -You; Money
7877,CLE Urdu top-5000 frequency list,مشرف,,"Musharraf (Pervez Musharraf, Pakistani president 2001–08); honored",not_indowordnet_lemma,Musharraf; tried; mean; kill; trust
7745,CLE Urdu top-5000 frequency list,تہیں,,,not_indowordnet_lemma,semi-automated; movies; masks; used; being
7711,CLE Urdu top-5000 frequency list,لاکہ,,,not_indowordnet_lemma,
7662,CLE Urdu top-5000 frequency list,ڈی,,the English letter D (in acronyms),not_indowordnet_lemma,dig; Dig; DVDs; CDs; Proper
7528,CLE Urdu top-5000 frequency list,پوری,,s.f. A thin cake of meal fried in ghī or oil,not_indowordnet_lemma,whole; entire; truculent; supply; convince
7420,CLE Urdu top-5000 frequency list,لیں,,take (polite/plural of لینا),not_indowordnet_lemma,LL; flying; burn; bases; Listen
7289,CLE Urdu top-5000 frequency list,نئے,,,not_indowordnet_lemma,new; rethink; According; celebrated; job
7248,CLE Urdu top-5000 frequency list,والوں,,,not_indowordnet_lemma,survivors; ones; those; poisoning; pains
7226,CLE Urdu top-5000 frequency list,مل,,"s.m. Dirt, filth; dust; impurity; impure matter; excrement; refuse; sediment; dregs; scum; alloy or dross (of…",direct_mapping_without_independent_corroboration,got; meet; MEET; found; Nice
7159,CLE Urdu top-5000 frequency list,جیسے,,,not_indowordnet_lemma,Like; alike; notice; boat; soon
7049,CLE Urdu top-5000 frequency list,اسمبلی,,"assembly, legislature",not_indowordnet_lemma,member; honored; excuse; assembly
7006,CLE Urdu top-5000 frequency list,دیئے,,,not_indowordnet_lemma,privileges; FRANK; allow; passports; –
6919,CLE Urdu top-5000 frequency list,تحت,,(in A. phrases taḥtu),direct_mapping_without_independent_corroboration,under; command; 9000; rpms; BKA
6786,CLE Urdu top-5000 frequency list,ابہی,,adj. &,not_indowordnet_lemma,
6752,CLE Urdu top-5000 frequency list,آف,,of (in English names: بینک آف...),not_indowordnet_lemma,Off; off; piggyback; Council; 2
6748,CLE Urdu top-5000 frequency list,امدادی,,,direct_mapping_without_independent_corroboration,THERE-THERE; RESCUE; COMING; rescue; S
6693,CLE Urdu top-5000 frequency list,لیگ,,league,not_indowordnet_lemma,leagues; mossy; knoll; thickets; due
6633,CLE Urdu top-5000 frequency list,بہر,,(changeable to,not_indowordnet_lemma,Nevertheless; Basically; Either; live; tough
6570,CLE Urdu top-5000 frequency list,چکے,,(fr. ćakkā),not_indowordnet_lemma,dead; Sir; Sarah; boarded; trading
6537,CLE Urdu top-5000 frequency list,حالات,,"circumstances, conditions",not_indowordnet_lemma,situation; circumstances; Conditions; optimal; Schizophrenia
6529,CLE Urdu top-5000 frequency list,تکنیکی,,,ambiguous_direct_mapping_tied_after_corroboration,technical; technically; finish; thoroughly; longer
6494,CLE Urdu top-5000 frequency list,لگا,,"seemed, struck, began (of لگنا)",direct_mapping_without_independent_corroboration,Pleasure; felt; meet; MEET; Nice
6491,CLE Urdu top-5000 frequency list,سلسلے,,"plural direct of سِلْسِلَہ (silsila — chain, shackle)",not_indowordnet_lemma,regard; carrying; unless; Even; rifle
6429,CLE Urdu top-5000 frequency list,رکہنے,,,not_indowordnet_lemma,
6428,CLE Urdu top-5000 frequency list,گرفتار,,adj. &,direct_mapping_without_independent_corroboration,arrest; captured; arrested; under; captivated
6419,CLE Urdu top-5000 frequency list,بڑہ,,,not_indowordnet_lemma,
6280,CLE Urdu top-5000 frequency list,رنز,,s.m. Rice (syn. ćāwal; birinj),not_indowordnet_lemma,runs; Three; will; score
6264,CLE Urdu top-5000 frequency list,اقبال,,"s.m. Prosperity, good fortune, auspices, felicity; prestige; — acceptance (of a bond, bill, &c.); admission…",ambiguous_direct_mapping_tied_after_corroboration,
6107,CLE Urdu top-5000 frequency list,نمبر,,"number, numeral; phone number",ambiguous_direct_mapping_tied_after_corroboration,number; No; numbers; requested; calling
6097,CLE Urdu top-5000 frequency list,لی,,took (feminine of لینا),direct_mapping_without_independent_corroboration,took; Le; Midnight; Wherever; meeting
6039,CLE Urdu top-5000 frequency list,رپورٹ,,report,ambiguous_direct_mapping_tied_after_corroboration,report; reported; REPORTS; RE; -Did
6023,CLE Urdu top-5000 frequency list,رکہا,,,not_indowordnet_lemma,
5906,CLE Urdu top-5000 frequency list,اچہی,,adj. Imperishable; undecayable: — aććhai-lok,not_indowordnet_lemma,
5872,CLE Urdu top-5000 frequency list,خطاب,,(inf. n. of iii of خطب 'to recite'),direct_mapping_without_independent_corroboration,Speech; mechanical; modestly; engineer; Speaking
5860,CLE Urdu top-5000 frequency list,ہاتہ,,,not_indowordnet_lemma,
5738,CLE Urdu top-5000 frequency list,بہائی,Baháʼí,adj. Baháʼí | n. Baháʼí | Platts:,not_indowordnet_lemma,
5722,CLE Urdu top-5000 frequency list,کہتے,,form of کَہْنا (kahnā — to say),not_indowordnet_lemma,say; says; krushkach; unidentified; operative
5715,CLE Urdu top-5000 frequency list,سکیں,,,not_indowordnet_lemma,able; populace; privately; tricks; secure
5620,CLE Urdu top-5000 frequency list,بورڈ,,,direct_mapping_without_independent_corroboration,mile; Oakland; resident; Pinsky; Justin
5583,CLE Urdu top-5000 frequency list,باوجود,,despite (کے باوجود),not_indowordnet_lemma,:; 09; 00; still; devising
5540,CLE Urdu top-5000 frequency list,چکا,,already done (completive of چکنا),direct_mapping_without_independent_corroboration,letters; drop; gone; Actually; bought
5403,CLE Urdu top-5000 frequency list,حسن,,beauty,direct_mapping_without_independent_corroboration,seats; kindly; Good; stay; Lord
5383,CLE Urdu top-5000 frequency list,بنایا,,"made, built (of بنانا)",not_indowordnet_lemma,made; built; granny; bounce; journey
5350,CLE Urdu top-5000 frequency list,ڈیم,,,not_indowordnet_lemma,dame; Give; phone; GPS; Not
5289,CLE Urdu top-5000 frequency list,متاثرہ,,,not_indowordnet_lemma,
5191,CLE Urdu top-5000 frequency list,دیکہ,,,not_indowordnet_lemma,
5152,CLE Urdu top-5000 frequency list,متاثرین,,,not_indowordnet_lemma,victims; immigrants; clearer; turf; picture
5116,CLE Urdu top-5000 frequency list,ادارے,,,not_indowordnet_lemma,institute; secondly; cultural; giving; DOJ
5090,CLE Urdu top-5000 frequency list,مولانا,,a maulana,direct_mapping_without_independent_corroboration,
5061,CLE Urdu top-5000 frequency list,اداروں,,,not_indowordnet_lemma,Collating; multiple; knowing; agencies; pull
5046,CLE Urdu top-5000 frequency list,میر,,,not_indowordnet_lemma,
4983,CLE Urdu top-5000 frequency list,پہنچ,,(see pahuṅćnā),ambiguous_direct_mapping_tied_after_corroboration,reach; reached; gotten; solid; undo
4983,CLE Urdu top-5000 frequency list,پیداوار,,"produce; yield (of land); production, manufacture",ambiguous_direct_mapping_tied_after_corroboration,produce; production; warm; nice; Increase
4976,CLE Urdu top-5000 frequency list,کیے,,did (plural of کرنا),not_indowordnet_lemma,signed; bugged; bunch; realizing; Sun
4929,CLE Urdu top-5000 frequency list,کہلاڑی,,,not_indowordnet_lemma,
4915,CLE Urdu top-5000 frequency list,پروفیسر,,professor,not_indowordnet_lemma,PROFESSOR; INTENSE; SOMETHING; HAPPEN; HERE
4858,CLE Urdu top-5000 frequency list,چاہتے,,want (plural of چاہنا),not_indowordnet_lemma,want; wish; wanna; Want; Festival
4853,CLE Urdu top-5000 frequency list,چودہری,,"s.m. The head man of a caste, guild, profession, or trade; the head man of a village; a title, an honorific…",not_indowordnet_lemma,
4845,CLE Urdu top-5000 frequency list,دیتا,,gives (masculine of دینا),not_indowordnet_lemma,paying; gives; embassies; techniques; break-in
4826,CLE Urdu top-5000 frequency list,رکہتے,,,not_indowordnet_lemma,
4819,CLE Urdu top-5000 frequency list,معاشی,,,direct_mapping_without_independent_corroboration,economic; control; This; social; is
4749,CLE Urdu top-5000 frequency list,ڈالر,,dollar,ambiguous_direct_mapping_tied_after_corroboration,dollars; billions; Dollars; bald; 1200
4719,CLE Urdu top-5000 frequency list,زیر,,"under, below (زیرِ غور = under consideration)",direct_mapping_without_independent_corroboration,underground; footprint; logs; figure; deck
4705,CLE Urdu top-5000 frequency list,وزیراعظم,,prime minister,not_indowordnet_lemma,
4700,CLE Urdu top-5000 frequency list,زخمی,,(rel. n. fr. zaḵẖm),ambiguous_direct_mapping_tied_after_corroboration,wounded; -Medic; Buddy; leg; attacks
4625,CLE Urdu top-5000 frequency list,متاثر,,,direct_mapping_without_independent_corroboration,impressed; impressive; KNEW; L.A; HIT
4614,CLE Urdu top-5000 frequency list,کہلاڑیوں,,,not_indowordnet_lemma,
4546,CLE Urdu top-5000 frequency list,سکول,,school,not_indowordnet_lemma,Philly; DRIVING; SCHOOL; UP; teacher
4533,CLE Urdu top-5000 frequency list,سری,,"s.f. Cascade, waterfall; water-course, channel for water (in a garden, &c.), a river; — sari-tīr",not_indowordnet_lemma,
4524,CLE Urdu top-5000 frequency list,نیوز,,news,not_indowordnet_lemma,Coast; news; East; newsstands; lines
4516,CLE Urdu top-5000 frequency list,حیثیت,,"status, standing, capacity",direct_mapping_without_independent_corroboration,position; exactly; supported; fully; refugee
4506,CLE Urdu top-5000 frequency list,کہیں,,"somewhere, anywhere",ambiguous_direct_mapping_tied_after_corroboration,anywhere; somewhere; nowhere; Anywhere; wherever
4481,CLE Urdu top-5000 frequency list,این,,the English letter N (in acronyms),not_indowordnet_lemma,CNN; Police; Baldwin; bomber; confirming
4414,CLE Urdu top-5000 frequency list,ایف,,the English letter F (in acronyms),not_indowordnet_lemma,F-16s; scrambled; Paks; F.B.I.; wherever
4407,CLE Urdu top-5000 frequency list,چل,,"s.f.m. (masc. in S., but fem. in H., in which it is the v.n. of ćalnā",not_indowordnet_lemma,running; walking; Running; goin; walk
4396,CLE Urdu top-5000 frequency list,اقدامات,,,not_indowordnet_lemma,steps; On; anticipate; actions; fast
4350,CLE Urdu top-5000 frequency list,زائد,,"(act. part. of زيد 'to increase,' &c.)",ambiguous_direct_mapping_tied_after_corroboration,over; Lights; Waziristan; Impala; lanes
4343,CLE Urdu top-5000 frequency list,شرح,,rate; commentary,direct_mapping_without_independent_corroboration,rate; Heart; rising; highest; homicide
4315,CLE Urdu top-5000 frequency list,چاہیے,,"should, ought to, is needed",not_indowordnet_lemma,supposed; should; listened; contact; hurry
4308,CLE Urdu top-5000 frequency list,آتا,,(imperf. part. of آنا ānā,not_indowordnet_lemma,comes; understand; falls; Here; BACK
4301,CLE Urdu top-5000 frequency list,تعالی,,"adj., lit. 'He is exalted'; or 'be He exalted'; the Exalted, the Most High (God)",not_indowordnet_lemma,Catch; little; bitch; that; !
4300,CLE Urdu top-5000 frequency list,لینے,,,not_indowordnet_lemma,take; pick; taking; stopped; breathe
4284,CLE Urdu top-5000 frequency list,دیکہا,,(fr. dekhnā,not_indowordnet_lemma,
4277,CLE Urdu top-5000 frequency list,اچہا,,"adj. (f. -ī), Good; serviceable; useful; fit; excellent; nice, fine; — sound; hale; healthy; salubrious (as…",not_indowordnet_lemma,
4262,CLE Urdu top-5000 frequency list,رہیں,,plural perfective of رَہْنا (rahnā — to live),not_indowordnet_lemma,stay; remain; Stay; decency; propriety
4229,CLE Urdu top-5000 frequency list,گئیں,,,not_indowordnet_lemma,revered; herself; taught; teacher; taken
4222,CLE Urdu top-5000 frequency list,جمع,,(inf. n. of جمع 'to collect'),ambiguous_direct_mapping_tied_after_corroboration,gather; collecting; collection; scrap; metal
4214,CLE Urdu top-5000 frequency list,باتیں,,,not_indowordnet_lemma,things; words; planet; Wise; person
4068,CLE Urdu top-5000 frequency list,سالہ,,(fr. sāl),not_indowordnet_lemma,16-year-old; 30-year; Coast; Dad; Fifteen-year-old
4025,CLE Urdu top-5000 frequency list,رہتے,,"(formative or oblique of rahtā, imperf. part. of rahnā)",not_indowordnet_lemma,live; lived; Remember; More; fail
4013,CLE Urdu top-5000 frequency list,سیکرٹری,,,not_indowordnet_lemma,secretary; halo; Swanwick; returning; haven
4005,CLE Urdu top-5000 frequency list,ارکان,,"s.m. pl. (of رکن rukn), Supports, props; posts, pillars, columns; component parts; fundamentals, essentials;…",not_indowordnet_lemma,newest; operate; members; According; seems
4004,CLE Urdu top-5000 frequency list,رقم,,"(inf. n. of رقم 'to stamp, mark,' &c.)",ambiguous_direct_mapping_tied_after_corroboration,money; amount; My; dollars; Five
3999,CLE Urdu top-5000 frequency list,آتے,,inflection of,not_indowordnet_lemma,come; look; dearie; protesting; 44
3968,CLE Urdu top-5000 frequency list,چیئرمین,,,direct_mapping_without_independent_corroboration,
3947,CLE Urdu top-5000 frequency list,بنائے,,made (plural),not_indowordnet_lemma,framed; decisions; Founders; These; appointed
3906,CLE Urdu top-5000 frequency list,رہنے,,oblique infinitive of رَہْنا (rahnā — to live),not_indowordnet_lemma,stay; STAY; live; living; survive
3856,CLE Urdu top-5000 frequency list,شوکت,,"corr. shokat (for A. شوکة, n. of un. fr. shauk, inf. n. of شوك 'to pierce,' &c.)",not_indowordnet_lemma,
3842,CLE Urdu top-5000 frequency list,یونیورسٹی,,university,ambiguous_direct_mapping_tied_after_corroboration,University; hacked; bachelor; stored; university
3840,CLE Urdu top-5000 frequency list,شائع,,published (شائع ہونا = to be published),not_indowordnet_lemma,publish; reposted; ourselves; beginning; publishing
3829,CLE Urdu top-5000 frequency list,آتی,,,not_indowordnet_lemma,miss; attract; mango; troubles; flies
3807,CLE Urdu top-5000 frequency list,انضمام,,,direct_mapping_without_independent_corroboration,Met; discussion; merger; fascist; movement
3776,CLE Urdu top-5000 frequency list,برقرار,,"established, confirmed, fixed, settled, maintained",direct_mapping_without_independent_corroboration,maintain; Maintaining; preserve; oxygen; level
3775,CLE Urdu top-5000 frequency list,چہوٹے,,,not_indowordnet_lemma,
3771,CLE Urdu top-5000 frequency list,حکام,,"authorities, officials (plural of حاکم)",ambiguous_direct_mapping_tied_after_corroboration,authorities; officials; discover; THANK; high-level
3726,CLE Urdu top-5000 frequency list,ملے,,"met, received (plural)",direct_mapping_without_independent_corroboration,met; ice; Somebody; Tess; anxious
3708,CLE Urdu top-5000 frequency list,رکہ,,,not_indowordnet_lemma,
3652,CLE Urdu top-5000 frequency list,سربراہ,,"head, chief (of an organization)",ambiguous_direct_mapping_tied_after_corroboration,head; bar; Hayden; Michael; Reiser
3650,CLE Urdu top-5000 frequency list,اتنی,,,not_indowordnet_lemma,so; such; tearing; itself; apart
3642,CLE Urdu top-5000 frequency list,پورے,,,not_indowordnet_lemma,whole; entire; ENTIRE; due; respect
3641,CLE Urdu top-5000 frequency list,بش,,"s.m. Poison, &c. = bis",not_indowordnet_lemma,"Bush; ""; Drop; bombs; Attack"
3632,CLE Urdu top-5000 frequency list,الیکشن,,election,not_indowordnet_lemma,
3631,CLE Urdu top-5000 frequency list,منعقد,,"(act. part. of اِنْعقد 'to become tied, or knit,' &c., vii of عقد 'to tie,' &c.), part.",direct_mapping_without_independent_corroboration,hold; held; SOMETHIN; MIGHT; WANNA
3630,CLE Urdu top-5000 frequency list,قائد,,"(act. part. of قود 'to lead,' &c.)",direct_mapping_without_independent_corroboration,
3630,CLE Urdu top-5000 frequency list,کہانے,,,not_indowordnet_lemma,
3627,CLE Urdu top-5000 frequency list,تبدیلی,,"s.f. Transfer (of officials, &c.); relief (of a guard)",ambiguous_direct_mapping_tied_after_corroboration,change; strung; swoop; ritalin; paradigm
3603,CLE Urdu top-5000 frequency list,مشتمل,,"comprising, consisting of (پر مشتمل)",not_indowordnet_lemma,Unable; resist; wave; attacks; destructive
3599,CLE Urdu top-5000 frequency list,رہتا,,masculine singular of رَہْنا (rahnā — to live),not_indowordnet_lemma,7.63; Montblanc; pen; stays; live
3584,CLE Urdu top-5000 frequency list,بہٹو,,,not_indowordnet_lemma,
3581,CLE Urdu top-5000 frequency list,فلموں,,"plural oblique of فِلْم (film, movie)",not_indowordnet_lemma,films; reading; started; great; am
3506,CLE Urdu top-5000 frequency list,وفاقی,,federal,direct_mapping_without_independent_corroboration,Federal; federal; Victoria; decides; daughter
3496,CLE Urdu top-5000 frequency list,دیکہنے,,,not_indowordnet_lemma,
3495,CLE Urdu top-5000 frequency list,تعلیمی,,,direct_mapping_without_independent_corroboration,
3493,CLE Urdu top-5000 frequency list,پڑے,,,not_indowordnet_lemma,HAVE; MOVE; listen; T; Never
3486,CLE Urdu top-5000 frequency list,حیدر,,(fr. حدر 'to be thick and strong'),not_indowordnet_lemma,Haider; Roomi; Taimur; Mmm-hmm; Said
3476,CLE Urdu top-5000 frequency list,بہرپور,,,not_indowordnet_lemma,
3453,CLE Urdu top-5000 frequency list,نواز,,"(fr. nawāḵẖtan; see nawāḵẖta), part.",direct_mapping_without_independent_corroboration,
3448,CLE Urdu top-5000 frequency list,اچہے,,,not_indowordnet_lemma,
3438,CLE Urdu top-5000 frequency list,محفوظ,,"(pass. part. of حفظ 'to keep, preserve, guard,' &c.), part. Kept safe, preserved, guarded, protected, taken…",ambiguous_direct_mapping_tied_after_corroboration,safe; SAFE; BE; D; WARM
3403,CLE Urdu top-5000 frequency list,تعاون,,"[inf. n. vi of عون; the iii of which is prob. formed from ʻaun, 'help')",ambiguous_direct_mapping_tied_after_corroboration,cooperation; Fuck; deployed; team; full
3397,CLE Urdu top-5000 frequency list,نتیجے,,"plural direct of نَتِیجَہ (natīja — result, consequence, end, outcome)",not_indowordnet_lemma,places; wake; mirrors; self; mysterious
3389,CLE Urdu top-5000 frequency list,دیتی,,gives (feminine),fallback_no_two_source_agreement,shoots; draw; hits; Aspasius; breaks
3378,CLE Urdu top-5000 frequency list,رکن,,,ambiguous_direct_mapping_tied_after_corroboration,member; Spiderman; Batman; longer; inner
3357,CLE Urdu top-5000 frequency list,فیصلے,,plural direct of فَیصْلَہ (faisla — decision; judgment),not_indowordnet_lemma,decisions; making; tired; Which; decide
3354,CLE Urdu top-5000 frequency list,فرمایا,,"masculine singular of فَرْمانا (farmānā — to bequest, request; to utter, say graciously)",not_indowordnet_lemma,said; Do; he; what; know
3335,CLE Urdu top-5000 frequency list,لیتے,,take (plural),not_indowordnet_lemma,breathe; Crusade; Children; notice; brightness
3326,CLE Urdu top-5000 frequency list,ٹاؤن,,town,not_indowordnet_lemma,
3309,CLE Urdu top-5000 frequency list,پالیسی,,,ambiguous_direct_mapping_tied_after_corroboration,policy; politics; Policy; political; cashing
3240,CLE Urdu top-5000 frequency list,معاشرے,,,not_indowordnet_lemma,society; destroy; In; unless; free
3235,CLE Urdu top-5000 frequency list,دہماکہ,,,not_indowordnet_lemma,
3230,CLE Urdu top-5000 frequency list,فروغ,,"(for furoḵẖ, by change of خ to غ; see furoz, and furoḵẖta)",direct_mapping_without_independent_corroboration,promotion; thriving; cherished; Such; fact
3217,CLE Urdu top-5000 frequency list,زرعی,,,not_indowordnet_lemma,We; agricultural; left; zone; the
3200,CLE Urdu top-5000 frequency list,چہوڑ,,,not_indowordnet_lemma,
3155,CLE Urdu top-5000 frequency list,فائنل,,last round of a competition to decide the winner,not_indowordnet_lemma,
3135,CLE Urdu top-5000 frequency list,ہاکی,,hockey,ambiguous_direct_mapping_tied_after_corroboration,
3107,CLE Urdu top-5000 frequency list,چیف,,chief,not_indowordnet_lemma,Chief; CHIEF; GAINES; boss; henceforth
3078,CLE Urdu top-5000 frequency list,نمائندہ,,,direct_mapping_without_independent_corroboration,Spiderman; Batman; parents; Superman; was
