rank,front,meaning,wordfreq_zipf,dictionary_source,opus_strength,opus_details
1011,سکتا,can,5.85,ReadUrdu,32.757,"[{""stem"":""can"",""cooccurrence_sentences"":871,""urdu_sentences"":2557,""english_sentences"":5697,""observed_rate"":0.34063,""lift"":14.35}]"
1012,پنجاب,Punjab,5.83,Kaikki,34.743,"[{""stem"":""punjab"",""cooccurrence_sentences"":812,""urdu_sentences"":1087,""english_sentences"":1098,""observed_rate"":0.74701,""lift"":163.23}]"
1013,ہوتے,happen,5.81,ReadUrdu,14.018,"[{""stem"":""happen"",""cooccurrence_sentences"":23,""urdu_sentences"":1603,""english_sentences"":901,""observed_rate"":0.01435,""lift"":3.82}]"
1014,پولیس,police,5.80,ReadUrdu,38.334,"[{""stem"":""police"",""cooccurrence_sentences"":1994,""urdu_sentences"":2663,""english_sentences"":2314,""observed_rate"":0.74878,""lift"":77.64}]"
1015,ہوگا,will be,5.80,ReadUrdu,29.73,"[{""stem"":""will"",""cooccurrence_sentences"":940,""urdu_sentences"":2839,""english_sentences"":15895,""observed_rate"":0.3311,""lift"":5.0}]"
1016,آئے,came,5.75,ReadUrdu,20.685,"[{""stem"":""came"",""cooccurrence_sentences"":72,""urdu_sentences"":2555,""english_sentences"":675,""observed_rate"":0.02818,""lift"":10.02}]"
1017,امریکی,American,5.75,ReadUrdu,27.582,"[{""stem"":""american"",""cooccurrence_sentences"":167,""urdu_sentences"":2014,""english_sentences"":267,""observed_rate"":0.08292,""lift"":74.51}]"
1018,لاہور,Lahore,5.73,Kaikki,22.985,"[{""stem"":""lahore"",""cooccurrence_sentences"":42,""urdu_sentences"":51,""english_sentences"":53,""observed_rate"":0.82353,""lift"":3727.99}]"
1019,امریکہ,America,5.72,Kaikki,29.756,"[{""stem"":""america"",""cooccurrence_sentences"":272,""urdu_sentences"":1401,""english_sentences"":345,""observed_rate"":0.19415,""lift"":135.02}]"
1020,دیں,give,5.72,ReadUrdu,21.027,"[{""stem"":""give"",""cooccurrence_sentences"":88,""urdu_sentences"":1565,""english_sentences"":1575,""observed_rate"":0.05623,""lift"":8.57}]"
1021,اردو,Urdu language,5.69,Kaikki,18.198,"[{""stem"":""language"",""cooccurrence_sentences"":15,""urdu_sentences"":108,""english_sentences"":917,""observed_rate"":0.13889,""lift"":36.34},{""stem"":""urdu"",""cooccurrence_sentences"":50,""urdu_sentences"":108,""english_sentences"":60,""observed_rate"":0.46296,""lift"":1851.26}]"
1022,علاوہ,besides,5.69,ReadUrdu,30.28,"[{""stem"":""besid"",""cooccurrence_sentences"":332,""urdu_sentences"":5676,""english_sentences"":514,""observed_rate"":0.05849,""lift"":27.3}]"
1023,جبکہ,while,5.68,ReadUrdu,30.537,"[{""stem"":""while"",""cooccurrence_sentences"":605,""urdu_sentences"":3529,""english_sentences"":3119,""observed_rate"":0.17144,""lift"":13.19}]"
1024,میڈیا,media,5.68,ReadUrdu,37.711,"[{""stem"":""media"",""cooccurrence_sentences"":1702,""urdu_sentences"":2386,""english_sentences"":1976,""observed_rate"":0.71333,""lift"":86.61}]"
1025,کراچی,Karachi,5.68,Kaikki,22.881,"[{""stem"":""karachi"",""cooccurrence_sentences"":41,""urdu_sentences"":54,""english_sentences"":57,""observed_rate"":0.75926,""lift"":3195.86}]"
1026,سکتے,can,5.67,ReadUrdu,37.608,"[{""stem"":""can"",""cooccurrence_sentences"":1670,""urdu_sentences"":3502,""english_sentences"":5697,""observed_rate"":0.47687,""lift"":20.08}]"
1027,بھارت,India,5.66,Kaikki,39.286,"[{""stem"":""india"",""cooccurrence_sentences"":9233,""urdu_sentences"":13940,""english_sentences"":30653,""observed_rate"":0.66234,""lift"":5.18}]"
1028,لگا,began,5.65,ReadUrdu,14.324,"[{""stem"":""began"",""cooccurrence_sentences"":11,""urdu_sentences"":800,""english_sentences"":262,""observed_rate"":0.01375,""lift"":12.59}]"
1029,لیگ,league,5.65,ReadUrdu,21.269,"[{""stem"":""league"",""cooccurrence_sentences"":27,""urdu_sentences"":49,""english_sentences"":38,""observed_rate"":0.55102,""lift"":3479.01}]"
1030,کہتے,say,5.63,ReadUrdu,27.834,"[{""stem"":""say"",""cooccurrence_sentences"":166,""urdu_sentences"":846,""english_sentences"":1189,""observed_rate"":0.19622,""lift"":39.59}]"
1031,بارے,about,5.62,ReadUrdu,35.723,"[{""stem"":""about"",""cooccurrence_sentences"":2504,""urdu_sentences"":7540,""english_sentences"":7330,""observed_rate"":0.3321,""lift"":10.87}]"
1032,وزیراعظم,prime minister,5.62,ReadUrdu,37.612,"[{""stem"":""minister"",""cooccurrence_sentences"":6028,""urdu_sentences"":8773,""english_sentences"":26543,""observed_rate"":0.68711,""lift"":6.21},{""stem"":""prime"",""cooccurrence_sentences"":5678,""urdu_sentences"":8773,""english_sentences"":12422,""observed_rate"":0.64721,""lift"":12.5}]"
1033,دیتے,give,5.61,ReadUrdu,18.745,"[{""stem"":""give"",""cooccurrence_sentences"":73,""urdu_sentences"":2576,""english_sentences"":1575,""observed_rate"":0.02834,""lift"":4.32}]"
1034,دیکھ,see,5.61,ReadUrdu,30.668,"[{""stem"":""see"",""cooccurrence_sentences"":346,""urdu_sentences"":2301,""english_sentences"":1685,""observed_rate"":0.15037,""lift"":21.41}]"
1035,چاہیے,should,5.61,ReadUrdu,31.553,"[{""stem"":""should"",""cooccurrence_sentences"":385,""urdu_sentences"":975,""english_sentences"":2682,""observed_rate"":0.39487,""lift"":35.32}]"
1036,ترین,most,5.59,ReadUrdu,21.272,"[{""stem"":""most"",""cooccurrence_sentences"":120,""urdu_sentences"":2342,""english_sentences"":2124,""observed_rate"":0.05124,""lift"":5.79}]"
1037,بھر,throughout,5.58,ReadUrdu,24.736,"[{""stem"":""throughout"",""cooccurrence_sentences"":93,""urdu_sentences"":3602,""english_sentences"":328,""observed_rate"":0.02582,""lift"":18.89}]"
1038,ٹیم,team,5.58,ReadUrdu,35.709,"[{""stem"":""team"",""cooccurrence_sentences"":1029,""urdu_sentences"":1546,""english_sentences"":1502,""observed_rate"":0.66559,""lift"":106.32}]"
1039,چیف,chief,5.58,ReadUrdu,36.515,"[{""stem"":""chief"",""cooccurrence_sentences"":1262,""urdu_sentences"":1932,""english_sentences"":3449,""observed_rate"":0.65321,""lift"":45.44}]"
1040,اسمبلی,assembly,5.57,ReadUrdu,33.665,"[{""stem"":""assembly"",""cooccurrence_sentences"":623,""urdu_sentences"":972,""english_sentences"":811,""observed_rate"":0.64095,""lift"":189.62}]"
1041,اعلان,declaration,5.57,ReadUrdu,29.74,"[{""stem"":""declar"",""cooccurrence_sentences"":288,""urdu_sentences"":3120,""english_sentences"":765,""observed_rate"":0.09231,""lift"":28.95}]"
1042,دیکھا,saw,5.57,ReadUrdu,26.821,"[{""stem"":""saw"",""cooccurrence_sentences"":134,""urdu_sentences"":1168,""english_sentences"":409,""observed_rate"":0.11473,""lift"":67.3}]"
1043,عالمی,global,5.56,ReadUrdu,38.481,"[{""stem"":""glob"",""cooccurrence_sentences"":2237,""urdu_sentences"":6509,""english_sentences"":2804,""observed_rate"":0.34368,""lift"":29.41}]"
1044,کرتی,does,5.56,ReadUrdu,16.8,"[{""stem"":""does"",""cooccurrence_sentences"":45,""urdu_sentences"":2905,""english_sentences"":870,""observed_rate"":0.01549,""lift"":4.27}]"
1045,کشمیر,Kashmir,5.56,ReadUrdu,36.021,"[{""stem"":""kashmir"",""cooccurrence_sentences"":1121,""urdu_sentences"":1644,""english_sentences"":1769,""observed_rate"":0.68187,""lift"":92.48}]"
1046,الیکشن,election,5.54,ReadUrdu,32.488,"[{""stem"":""election"",""cooccurrence_sentences"":464,""urdu_sentences"":624,""english_sentences"":1804,""observed_rate"":0.74359,""lift"":98.89}]"
1047,کہیں,say,5.54,ReadUrdu,25.341,"[{""stem"":""say"",""cooccurrence_sentences"":100,""urdu_sentences"":1051,""english_sentences"":1189,""observed_rate"":0.09515,""lift"":19.2}]"
1048,کردیا,completed,5.53,ReadUrdu,13.171,"[{""stem"":""complet"",""cooccurrence_sentences"":20,""urdu_sentences"":1779,""english_sentences"":890,""observed_rate"":0.01124,""lift"":3.03}]"
1049,جسٹس,justice,5.52,ReadUrdu,31.805,"[{""stem"":""justice"",""cooccurrence_sentences"":390,""urdu_sentences"":670,""english_sentences"":1219,""observed_rate"":0.58209,""lift"":114.57}]"
1050,مولانا,a maulana,5.52,ReadUrdu,24.729,"[{""stem"":""maulana"",""cooccurrence_sentences"":66,""urdu_sentences"":104,""english_sentences"":74,""observed_rate"":0.63462,""lift"":2057.55}]"
1051,کورٹ,court,5.52,ReadUrdu,36.63,"[{""stem"":""court"",""cooccurrence_sentences"":1299,""urdu_sentences"":1728,""english_sentences"":1891,""observed_rate"":0.75174,""lift"":95.38}]"
1052,سندھ,Indus,5.51,ReadUrdu,25.577,"[{""stem"":""indu"",""cooccurrence_sentences"":81,""urdu_sentences"":101,""english_sentences"":147,""observed_rate"":0.80198,""lift"":1308.94}]"
1053,لیں,take,5.51,ReadUrdu,20.515,"[{""stem"":""take"",""cooccurrence_sentences"":77,""urdu_sentences"":761,""english_sentences"":2905,""observed_rate"":0.10118,""lift"":8.36}]"
1054,دیتا,gives,5.50,ReadUrdu,18.644,"[{""stem"":""give"",""cooccurrence_sentences"":53,""urdu_sentences"":1071,""english_sentences"":1575,""observed_rate"":0.04949,""lift"":7.54}]"
1055,ہوگی,will be,5.50,ReadUrdu,28.531,"[{""stem"":""will"",""cooccurrence_sentences"":665,""urdu_sentences"":1866,""english_sentences"":15895,""observed_rate"":0.35638,""lift"":5.38}]"
1056,رکھا,kept,5.48,ReadUrdu,23.963,"[{""stem"":""kept"",""cooccurrence_sentences"":68,""urdu_sentences"":2039,""english_sentences"":232,""observed_rate"":0.03335,""lift"":34.49}]"
1057,سرکاری,official,5.48,ReadUrdu,30.557,"[{""stem"":""offici"",""cooccurrence_sentences"":354,""urdu_sentences"":4767,""english_sentences"":633,""observed_rate"":0.07426,""lift"":28.15}]"
1058,کہہ,say,5.47,ReadUrdu,26.685,"[{""stem"":""say"",""cooccurrence_sentences"":121,""urdu_sentences"":485,""english_sentences"":1189,""observed_rate"":0.24948,""lift"":50.34}]"
1059,اہل,member,5.46,ReadUrdu,17.533,"[{""stem"":""member"",""cooccurrence_sentences"":57,""urdu_sentences"":1300,""english_sentences"":2911,""observed_rate"":0.04385,""lift"":3.61}]"
1060,بنایا,made,5.46,ReadUrdu,23.735,"[{""stem"":""made"",""cooccurrence_sentences"":233,""urdu_sentences"":3159,""english_sentences"":3430,""observed_rate"":0.07376,""lift"":5.16}]"
1061,سکتی,can,5.46,ReadUrdu,29.222,"[{""stem"":""can"",""cooccurrence_sentences"":466,""urdu_sentences"":1671,""english_sentences"":5697,""observed_rate"":0.27887,""lift"":11.74}]"
1062,ایران,Iran,5.44,Kaikki,28.665,"[{""stem"":""iran"",""cooccurrence_sentences"":176,""urdu_sentences"":239,""english_sentences"":221,""observed_rate"":0.7364,""lift"":799.46}]"
1063,چاہتے,want,5.44,ReadUrdu,34.332,"[{""stem"":""want"",""cooccurrence_sentences"":729,""urdu_sentences"":1296,""english_sentences"":2130,""observed_rate"":0.5625,""lift"":63.36}]"
1064,افغانستان,Afghanistan,5.43,Kaikki,29.96,"[{""stem"":""afghanistan"",""cooccurrence_sentences"":248,""urdu_sentences"":308,""english_sentences"":315,""observed_rate"":0.80519,""lift"":613.28}]"
1065,لی,took,5.42,ReadUrdu,15.528,"[{""stem"":""took"",""cooccurrence_sentences"":24,""urdu_sentences"":846,""english_sentences"":904,""observed_rate"":0.02837,""lift"":7.53}]"
1066,زیر,under,5.41,ReadUrdu,28.85,"[{""stem"":""under"",""cooccurrence_sentences"":901,""urdu_sentences"":5171,""english_sentences"":10969,""observed_rate"":0.17424,""lift"":3.81}]"
1067,آتا,One who comes,5.40,ReadUrdu,22.976,"[{""stem"":""come"",""cooccurrence_sentences"":65,""urdu_sentences"":444,""english_sentences"":2030,""observed_rate"":0.1464,""lift"":17.3}]"
1068,حدیث,hadith,5.40,Kaikki,13.342,"[{""stem"":""hadith"",""cooccurrence_sentences"":3,""urdu_sentences"":7,""english_sentences"":3,""observed_rate"":0.42857,""lift"":34274.71}]"
1069,حسن,beauty,5.40,ReadUrdu,18.551,"[{""stem"":""beauty"",""cooccurrence_sentences"":16,""urdu_sentences"":115,""english_sentences"":100,""observed_rate"":0.13913,""lift"":333.81}]"
1070,سید,Sayyid,5.40,ReadUrdu,14.296,"[{""stem"":""sayyid"",""cooccurrence_sentences"":5,""urdu_sentences"":53,""english_sentences"":5,""observed_rate"":0.09434,""lift"":4526.85}]"
1071,ہندوستان,India,5.40,Kaikki,39.227,"[{""stem"":""india"",""cooccurrence_sentences"":8694,""urdu_sentences"":11933,""english_sentences"":30653,""observed_rate"":0.72857,""lift"":5.7}]"
1072,لکھا,write,5.39,ReadUrdu,17.259,"[{""stem"":""write"",""cooccurrence_sentences"":12,""urdu_sentences"":488,""english_sentences"":293,""observed_rate"":0.02459,""lift"":20.14}]"
1073,رکھتے,keep,5.38,ReadUrdu,28.396,"[{""stem"":""keep"",""cooccurrence_sentences"":200,""urdu_sentences"":1792,""english_sentences"":1190,""observed_rate"":0.11161,""lift"":22.5}]"
1074,نیوز,news,5.38,ReadUrdu,29.535,"[{""stem"":""news"",""cooccurrence_sentences"":219,""urdu_sentences"":366,""english_sentences"":709,""observed_rate"":0.59836,""lift"":202.48}]"
1075,چھوڑ,let go,5.38,ReadUrdu,12.416,"[{""stem"":""let"",""cooccurrence_sentences"":17,""urdu_sentences"":729,""english_sentences"":709,""observed_rate"":0.02332,""lift"":7.89},{""stem"":""go"",""cooccurrence_sentences"":16,""urdu_sentences"":729,""english_sentences"":1676,""observed_rate"":0.02195,""lift"":3.14}]"
1076,ہوگیا,became,5.38,ReadUrdu,16.029,"[{""stem"":""became"",""cooccurrence_sentences"":14,""urdu_sentences"":736,""english_sentences"":306,""observed_rate"":0.01902,""lift"":14.91}]"
1077,ابن,son,5.37,Kaikki,12.364,"[{""stem"":""son"",""cooccurrence_sentences"":2,""urdu_sentences"":3,""english_sentences"":265,""observed_rate"":0.66667,""lift"":603.58}]"
1078,بین,inter-,5.37,Kaikki,30.816,"[{""stem"":""inter"",""cooccurrence_sentences"":376,""urdu_sentences"":5098,""english_sentences"":722,""observed_rate"":0.07375,""lift"":24.51}]"
1079,حالات,conditions,5.37,ReadUrdu,30.827,"[{""stem"":""condition"",""cooccurrence_sentences"":352,""urdu_sentences"":1527,""english_sentences"":1153,""observed_rate"":0.23052,""lift"":47.97}]"
1080,رہیں,live,5.37,ReadUrdu,14.401,"[{""stem"":""live"",""cooccurrence_sentences"":27,""urdu_sentences"":1054,""english_sentences"":2031,""observed_rate"":0.02562,""lift"":3.03}]"
1081,ملا,received,5.37,ReadUrdu,18.353,"[{""stem"":""receiv"",""cooccurrence_sentences"":45,""urdu_sentences"":856,""english_sentences"":1465,""observed_rate"":0.05257,""lift"":8.61}]"
1082,بہترین,best,5.36,ReadUrdu,35.756,"[{""stem"":""best"",""cooccurrence_sentences"":1069,""urdu_sentences"":2391,""english_sentences"":1784,""observed_rate"":0.44709,""lift"":60.13}]"
1083,چکا,already done,5.36,ReadUrdu,12.124,"[{""stem"":""already"",""cooccurrence_sentences"":54,""urdu_sentences"":701,""english_sentences"":1334,""observed_rate"":0.07703,""lift"":13.85},{""stem"":""done"",""cooccurrence_sentences"":14,""urdu_sentences"":701,""english_sentences"":1222,""observed_rate"":0.01997,""lift"":3.92}]"
1084,شمار,Counting,5.35,ReadUrdu,21.928,"[{""stem"":""count"",""cooccurrence_sentences"":41,""urdu_sentences"":1432,""english_sentences"":342,""observed_rate"":0.02863,""lift"":20.09}]"
1085,پہنچ,to reach,5.35,ReadUrdu,31.275,"[{""stem"":""reach"",""cooccurrence_sentences"":393,""urdu_sentences"":1750,""english_sentences"":1501,""observed_rate"":0.22457,""lift"":35.9}]"
1086,پیچھے,behind,5.35,ReadUrdu,29.07,"[{""stem"":""behind"",""cooccurrence_sentences"":215,""urdu_sentences"":684,""english_sentences"":373,""observed_rate"":0.31433,""lift"":202.18}]"
1087,تعمیر,construction,5.34,ReadUrdu,34.167,"[{""stem"":""construction"",""cooccurrence_sentences"":819,""urdu_sentences"":3640,""english_sentences"":1271,""observed_rate"":0.225,""lift"":42.47}]"
1088,رپورٹ,report,5.34,ReadUrdu,38.275,"[{""stem"":""report"",""cooccurrence_sentences"":1965,""urdu_sentences"":2956,""english_sentences"":3828,""observed_rate"":0.66475,""lift"":41.66}]"
1089,چاہتا,wants,5.34,ReadUrdu,31.636,"[{""stem"":""want"",""cooccurrence_sentences"":372,""urdu_sentences"":696,""english_sentences"":2130,""observed_rate"":0.53448,""lift"":60.2}]"
1090,یونیورسٹی,university,5.34,ReadUrdu,36.874,"[{""stem"":""univers"",""cooccurrence_sentences"":1398,""urdu_sentences"":1903,""english_sentences"":1892,""observed_rate"":0.73463,""lift"":93.16}]"
1091,ایمان,faith,5.33,Kaikki,22.928,"[{""stem"":""faith"",""cooccurrence_sentences"":42,""urdu_sentences"":90,""english_sentences"":280,""observed_rate"":0.46667,""lift"":399.87}]"
1092,قیام,establishment,5.33,ReadUrdu,33.153,"[{""stem"":""establish"",""cooccurrence_sentences"":630,""urdu_sentences"":2552,""english_sentences"":2034,""observed_rate"":0.24687,""lift"":29.12}]"
1093,نمبر,number,5.33,ReadUrdu,32.76,"[{""stem"":""number"",""cooccurrence_sentences"":649,""urdu_sentences"":2157,""english_sentences"":4004,""observed_rate"":0.30088,""lift"":18.03}]"
1094,حیثیت,status,5.32,ReadUrdu,23.406,"[{""stem"":""statu"",""cooccurrence_sentences"":103,""urdu_sentences"":1980,""english_sentences"":913,""observed_rate"":0.05202,""lift"":13.67}]"
1095,میچ,match,5.32,ReadUrdu,22.394,"[{""stem"":""match"",""cooccurrence_sentences"":36,""urdu_sentences"":62,""english_sentences"":223,""observed_rate"":0.58065,""lift"":624.71}]"
1096,گرفتار,arrested,5.32,ReadUrdu,31.306,"[{""stem"":""arrest"",""cooccurrence_sentences"":345,""urdu_sentences"":547,""english_sentences"":585,""observed_rate"":0.63071,""lift"":258.67}]"
1097,جمع,A collection,5.31,ReadUrdu,25.177,"[{""stem"":""collection"",""cooccurrence_sentences"":94,""urdu_sentences"":2318,""english_sentences"":398,""observed_rate"":0.04055,""lift"":24.45}]"
1098,ووٹ,vote,5.30,ReadUrdu,28.744,"[{""stem"":""vote"",""cooccurrence_sentences"":186,""urdu_sentences"":433,""english_sentences"":307,""observed_rate"":0.42956,""lift"":335.71}]"
1099,ڈالر,dollar,5.30,ReadUrdu,30.34,"[{""stem"":""dollar"",""cooccurrence_sentences"":319,""urdu_sentences"":1950,""english_sentences"":402,""observed_rate"":0.16359,""lift"":97.63}]"
1100,کانفرنس,conference,5.30,ReadUrdu,38.782,"[{""stem"":""conference"",""cooccurrence_sentences"":2253,""urdu_sentences"":3873,""english_sentences"":2513,""observed_rate"":0.58172,""lift"":55.54}]"
1101,کمپنی,company,5.30,ReadUrdu,34.887,"[{""stem"":""company"",""cooccurrence_sentences"":844,""urdu_sentences"":1534,""english_sentences"":2104,""observed_rate"":0.5502,""lift"":62.74}]"
1102,زخمی,hurt,5.29,ReadUrdu,17.3,"[{""stem"":""hurt"",""cooccurrence_sentences"":12,""urdu_sentences"":298,""english_sentences"":90,""observed_rate"":0.04027,""lift"":107.35}]"
1103,سینٹ,saint,5.29,ReadUrdu,17.048,"[{""stem"":""saint"",""cooccurrence_sentences"":11,""urdu_sentences"":139,""english_sentences"":105,""observed_rate"":0.07914,""lift"":180.83}]"
1104,چلا,went,5.29,ReadUrdu,19.783,"[{""stem"":""went"",""cooccurrence_sentences"":27,""urdu_sentences"":715,""english_sentences"":494,""observed_rate"":0.03776,""lift"":18.34}]"
1105,تب,then,5.28,Kaikki,26.593,"[{""stem"":""then"",""cooccurrence_sentences"":123,""urdu_sentences"":700,""english_sentences"":1960,""observed_rate"":0.17571,""lift"":21.51}]"
1106,لفظ,word,5.28,Kaikki,29.553,"[{""stem"":""word"",""cooccurrence_sentences"":220,""urdu_sentences"":354,""english_sentences"":671,""observed_rate"":0.62147,""lift"":222.21}]"
1107,لندن,London,5.28,Kaikki,28.241,"[{""stem"":""london"",""cooccurrence_sentences"":159,""urdu_sentences"":199,""english_sentences"":176,""observed_rate"":0.79899,""lift"":1089.19}]"
1108,باوجود,despite,5.27,ReadUrdu,30.354,"[{""stem"":""despite"",""cooccurrence_sentences"":291,""urdu_sentences"":812,""english_sentences"":428,""observed_rate"":0.35837,""lift"":200.89}]"
1109,حساب,account,5.27,Kaikki,16.315,"[{""stem"":""account"",""cooccurrence_sentences"":29,""urdu_sentences"":566,""english_sentences"":1606,""observed_rate"":0.05124,""lift"":7.65}]"
1110,خطاب,address,5.27,ReadUrdu,35.866,"[{""stem"":""addres"",""cooccurrence_sentences"":1226,""urdu_sentences"":5036,""english_sentences"":2689,""observed_rate"":0.24345,""lift"":21.72}]"
1111,رہنے,live,5.27,ReadUrdu,20.079,"[{""stem"":""live"",""cooccurrence_sentences"":88,""urdu_sentences"":1763,""english_sentences"":2031,""observed_rate"":0.04991,""lift"":5.9}]"
1112,ٹاؤن,town,5.27,ReadUrdu,25.011,"[{""stem"":""town"",""cooccurrence_sentences"":70,""urdu_sentences"":119,""english_sentences"":390,""observed_rate"":0.58824,""lift"":361.87}]"
1113,آیت,verse,5.26,Kaikki,15.117,"[{""stem"":""verse"",""cooccurrence_sentences"":5,""urdu_sentences"":9,""english_sentences"":17,""observed_rate"":0.55556,""lift"":7840.62}]"
1114,تلاش,Search,5.26,ReadUrdu,30.609,"[{""stem"":""search"",""cooccurrence_sentences"":338,""urdu_sentences"":1853,""english_sentences"":598,""observed_rate"":0.18241,""lift"":73.18}]"
1115,مطالبہ,demand,5.26,ReadUrdu,25.16,"[{""stem"":""demand"",""cooccurrence_sentences"":82,""urdu_sentences"":301,""english_sentences"":1012,""observed_rate"":0.27243,""lift"":64.59}]"
1116,چل,Going,5.26,ReadUrdu,18.832,"[{""stem"":""going"",""cooccurrence_sentences"":54,""urdu_sentences"":814,""english_sentences"":2049,""observed_rate"":0.06634,""lift"":7.77}]"
1117,اسرائیل,Israel,5.25,Kaikki,28.97,"[{""stem"":""israel"",""cooccurrence_sentences"":191,""urdu_sentences"":247,""english_sentences"":240,""observed_rate"":0.77328,""lift"":773.03}]"
1118,رہتے,live,5.25,ReadUrdu,24.618,"[{""stem"":""live"",""cooccurrence_sentences"":88,""urdu_sentences"":569,""english_sentences"":2031,""observed_rate"":0.15466,""lift"":18.27}]"
1119,لیتے,take,5.25,ReadUrdu,19.081,"[{""stem"":""take"",""cooccurrence_sentences"":49,""urdu_sentences"":436,""english_sentences"":2905,""observed_rate"":0.11239,""lift"":9.28}]"
1120,مسیح,Christ,5.25,Kaikki,20.73,"[{""stem"":""christ"",""cooccurrence_sentences"":25,""urdu_sentences"":66,""english_sentences"":38,""observed_rate"":0.37879,""lift"":2391.58}]"
1121,چلے,went,5.25,ReadUrdu,18.135,"[{""stem"":""went"",""cooccurrence_sentences"":15,""urdu_sentences"":354,""english_sentences"":494,""observed_rate"":0.04237,""lift"":20.58}]"
1122,کردہ,done,5.25,ReadUrdu,17.191,"[{""stem"":""done"",""cooccurrence_sentences"":51,""urdu_sentences"":2526,""english_sentences"":1222,""observed_rate"":0.02019,""lift"":3.96}]"
1123,بلوچستان,Balochistan,5.24,Kaikki,20.068,"[{""stem"":""balochistan"",""cooccurrence_sentences"":20,""urdu_sentences"":26,""english_sentences"":22,""observed_rate"":0.76923,""lift"":8388.92}]"
1124,صوبائی,provincial,5.23,ReadUrdu,16.689,"[{""stem"":""provinci"",""cooccurrence_sentences"":8,""urdu_sentences"":15,""english_sentences"":11,""observed_rate"":0.53333,""lift"":11632.63}]"
1125,کہنے,say,5.23,ReadUrdu,22.613,"[{""stem"":""say"",""cooccurrence_sentences"":43,""urdu_sentences"":170,""english_sentences"":1189,""observed_rate"":0.25294,""lift"":51.04}]"
1126,امریکا,America,5.22,Kaikki,21.419,"[{""stem"":""america"",""cooccurrence_sentences"":31,""urdu_sentences"":99,""english_sentences"":345,""observed_rate"":0.31313,""lift"":217.76}]"
1127,برطانیہ,Britain,5.22,Kaikki,18.547,"[{""stem"":""britain"",""cooccurrence_sentences"":17,""urdu_sentences"":610,""english_sentences"":24,""observed_rate"":0.02787,""lift"":278.6}]"
1128,رب,God,5.22,ReadUrdu,16.648,"[{""stem"":""god"",""cooccurrence_sentences"":8,""urdu_sentences"":18,""english_sentences"":265,""observed_rate"":0.44444,""lift"":402.39}]"
1129,رہتا,live,5.22,ReadUrdu,15.848,"[{""stem"":""live"",""cooccurrence_sentences"":22,""urdu_sentences"":285,""english_sentences"":2031,""observed_rate"":0.07719,""lift"":9.12}]"
1130,اٹھا,an eight,5.21,ReadUrdu,8.152,"[{""stem"":""eight"",""cooccurrence_sentences"":4,""urdu_sentences"":303,""english_sentences"":627,""observed_rate"":0.0132,""lift"":5.05}]"
1131,رکھے,kept,5.21,ReadUrdu,14.384,"[{""stem"":""kept"",""cooccurrence_sentences"":10,""urdu_sentences"":753,""english_sentences"":232,""observed_rate"":0.01328,""lift"":13.73}]"
1132,شائع,published,5.21,ReadUrdu,33.945,"[{""stem"":""publish"",""cooccurrence_sentences"":670,""urdu_sentences"":1107,""english_sentences"":961,""observed_rate"":0.60524,""lift"":151.1}]"
1133,محفوظ,protected,5.21,ReadUrdu,28.06,"[{""stem"":""protect"",""cooccurrence_sentences"":188,""urdu_sentences"":2049,""english_sentences"":855,""observed_rate"":0.09175,""lift"":25.75}]"
