rank,front,meaning,frequency_evidence,frequency_source,evidence_tier,iwn_en_english_ids,iwn_en_direct_sense_count,external_selector_score,kaikki_meaning,readurdu_meaning,word2word_meaning,semantic_basis
1040,سماجی,social,2838,CLE Urdu top-5000 frequency list,A_direct_corroborated,2883554,1,1,,s.m. Musicians that attend dancers,social; economic; influence; privilege; occasion,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1041,مالی,gardener,2819,CLE Urdu top-5000 frequency list,A_direct_corroborated,9969817,4,1,,"s.m. The caste of gardeners; a man of that caste, a gardener, a florist",Financed; collect; N; D; B,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1042,ڈال,tree branch,2802,CLE Urdu top-5000 frequency list,A_direct_corroborated,12993746,1,1,,"branch, bough",put; Put; putting; PUT; mouth,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1043,اہتمام,agreement; arrangement,2792,CLE Urdu top-5000 frequency list,A_direct_corroborated,5723757,4,1,,"s.m. Solicitude, care, anxiety, diligence; inspection, supervision, management, superintendence, charge: —…",frame; ambush; arranged; said; show,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1044,گورنر,governor,2777,CLE Urdu top-5000 frequency list,A_direct_corroborated,9989441,1,2,,high ranked governing official,Governor; governor; hi; The; -,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1045,فراہمی,collection; collecting; assembling,2747,CLE Urdu top-5000 frequency list,A_direct_corroborated,1000048,3,1,,"s.f. A gathering together, collecting, assembling; collection",deliver; become; reserves; dwindling; loss,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1046,وسطی,middle,2722,CLE Urdu top-5000 frequency list,A_direct_corroborated,1055939,1,1,,"(rel. n. fr. wasat̤), = A وسطي wust̤ā (fem. of ausat̤, compar. and super. of wasat̤)",Middle; circuses; burying; East; empty,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1047,مجموعی,total; aggregate,2683,CLE Urdu top-5000 frequency list,A_direct_corroborated,4302138,1,1,,"total, overall, aggregate",grab; Let; everything; home; go,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1048,ہسپتال,hospital,2681,CLE Urdu top-5000 frequency list,A_direct_corroborated,7944757,1,2,,hospital,hospital; recall; prior; bang; noise,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1049,قبائلی,tribal,2630,CLE Urdu top-5000 frequency list,A_direct_corroborated,3155222,2,1,,,Tribals; tribal; Kashmir; interesting; Miranshah,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1050,رسد,commissariat; provisions; provender,2616,CLE Urdu top-5000 frequency list,A_direct_corroborated,7469366,2,1,,(fr. rasīdan; see ras),supply; could; something; But; give,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1051,سائٹ,web site; internet site; site,2604,CLE Urdu top-5000 frequency list,A_direct_corroborated,6273692,1,1,,,site; landing; off-site; Sherman; Resources,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1052,ووٹ,vote,2599,CLE Urdu top-5000 frequency list,A_direct_corroborated,178680,1,2,,vote,voted; Michelle; Chicago; Nominated; votes,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1053,پہنچا,wrist; wrist joint,2548,CLE Urdu top-5000 frequency list,A_direct_corroborated,5515574,1,1,,"s.m. The fore-arm, the wrist.",hid; hurting; reached; damaged; cargo,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1054,کمپنی,company,2481,CLE Urdu top-5000 frequency list,A_direct_corroborated,7948427,1,2,,company,company; named; affidavit; separation; confirming,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1055,کمیشن,commission,2481,CLE Urdu top-5000 frequency list,A_direct_corroborated,8210392,2,1,,,commission; joins; Our; investigations; Europol,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1056,لگایا,planted,2391,CLE Urdu top-5000 frequency list,A_direct_corroborated,1896985,1,1,,,pocketed; Huh; intel; branch; planted,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1057,مارکیٹ,market,2372,CLE Urdu top-5000 frequency list,A_direct_corroborated,8310573,3,2,,market,market; heading; east; black; sold,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1058,بیرونی,epidermis; cuticle,2370,CLE Urdu top-5000 frequency list,A_direct_corroborated,5177659,4,2,,"adj. Outer, external, &c. = bāharī, q.v",outer; uncommunicative; outsider; wonders; plans,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1059,نکل,nickel,2346,CLE Urdu top-5000 frequency list,A_direct_corroborated,14452673,1,1,,"s.m. (f. -ī), The mungoose, Viverra ichneumon (i.q. newal",Get; OUT; GET; out; nickel,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1060,میڈیکل,medical,2322,CLE Urdu top-5000 frequency list,A_direct_corroborated,2845379,1,1,medical,,,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1061,اپیل,appeal,2272,CLE Urdu top-5000 frequency list,A_direct_corroborated,1170405,2,1,,"s.f. Appeal. — apīl karnā, To appeal",,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1062,حصول,getting,2255,CLE Urdu top-5000 frequency list,A_direct_corroborated,40256,2,1,,"(inf. n. of حصل 'to be produced,' &c.)",martyrs; Even; getting; achieving; greatest,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1063,جسٹس,justice (judge's title),2252,CLE Urdu top-5000 frequency list,B_two_source_fallback,,0,2,,justice (judge's title),JUSTICE; justice; law; without; judges,IndoWordNet lemma + ReadUrdu/word2word agreement
1064,برادری,brotherhood,2247,CLE Urdu top-5000 frequency list,A_direct_corroborated,7397929,4,1,,"s.f. Brotherhood, fraternity, connection, relationship (syn. bhāʼī-ćārā); relation, relative, kindred,…",community; whole; frat; smash; gave,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1065,مہم,campaign,2216,CLE Urdu top-5000 frequency list,A_direct_corroborated,786713,5,2,,"(act. part. of اهمّ 'to render solicitous or anxious,' iv of همّ 'to keep (one) in anxiety, or suspense,'…",campaign; door-to-door; adventures; worthless; manhunt,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1066,جنس,gender; grammatical gender,2201,CLE Urdu top-5000 frequency list,A_direct_corroborated,6243977,3,1,,"s.f. Genus, kind, species, sort, class; gender; family, race, stock; goods, merchandise, commodities, wares;…",industry; various; jobs; Foreign; Surveillance,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1067,ترقیاتی,developmental,2153,CLE Urdu top-5000 frequency list,A_direct_corroborated,3030013,1,1,,developmental,,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1068,ٹورنامنٹ,tournament,2145,CLE Urdu top-5000 frequency list,A_direct_corroborated,7362858,1,2,,tournament,tournament; Burgh; play; surprised; beaten,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1069,جے,Mahabharata; Mahabharatam; Mahabharatum,2106,CLE Urdu top-5000 frequency list,A_direct_corroborated,6345674,1,1,,the English letter J (in acronyms),J.J.; Julia; assistant; led; hedge,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1070,مہیا,available,2098,CLE Urdu top-5000 frequency list,A_direct_corroborated,203394,3,1,,"(pass. part. of هيّأ 'to set or dispose in order, &c.' ii of هاء (for هيأ) 'to be prepared,' &c.), part.",suck; rendered; outside; interrogated; cover,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1071,توازن,balance,2023,CLE Urdu top-5000 frequency list,A_direct_corroborated,13816145,2,1,,,balance; composure; opportunity; maintaining; struck,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1072,ڈرا,draw,1994,CLE Urdu top-5000 frequency list,A_direct_corroborated,7252919,2,1,,,spooked; scared; draws; breast; might,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1073,دریافت,discovery; find; uncovering,1940,CLE Urdu top-5000 frequency list,A_direct_corroborated,41548,1,1,,"(dar, prefix",explore; Discovered; discovering; vaccine; Thought,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1074,زہریلی,poisonous,1921,CLE Urdu top-5000 frequency list,A_direct_corroborated,2532517,1,1,,poisonous,,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1075,اسرائیلی,Israeli,1902,CLE Urdu top-5000 frequency list,A_direct_corroborated,3056112,2,2,,Israeli,Israeli; Israelis; anything; Go; holiday,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1076,شمالی,northern,1899,CLE Urdu top-5000 frequency list,A_direct_corroborated,1659648,1,1,,northern,AMERICA; LARGEST; Naming; EVER; Detroit,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1077,معاشیات,economic science,1896,CLE Urdu top-5000 frequency list,A_direct_corroborated,6068523,1,1,,"social science that studies the production, distribution, and consumption of goods and services",,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1078,انڈین,Indian,1879,CLE Urdu top-5000 frequency list,A_direct_corroborated,3012740,1,1,,chemical compound,Indian; part; look; You,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1079,جذبات,emotional state; spirit,1871,CLE Urdu top-5000 frequency list,A_direct_corroborated,13799950,1,1,,"emotions, feelings",feelings; man; grown; embrace; takes,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1080,مرتب,collected; gathered,1861,CLE Urdu top-5000 frequency list,A_direct_corroborated,3227290,1,1,,"(pass. part. of رتّب 'to set (things) in order, to arrange,' &c., ii of رتب 'to be firm, or steady, or…",,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1081,ریلوے,railway; railway line; railway system,1846,CLE Urdu top-5000 frequency list,A_direct_corroborated,4003259,1,1,,,Railways; estates; GT; spaced; intervals,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1082,ہمراہ,along,1827,CLE Urdu top-5000 frequency list,A_direct_corroborated,68940,1,1,,a companion on the road,,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1083,بیمہ,insurance,1823,CLE Urdu top-5000 frequency list,A_direct_corroborated,13173246,1,2,,insurance; insurance premium,insurance; money; my; about; What,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1084,جسمانی,bodily,1796,CLE Urdu top-5000 frequency list,A_direct_corroborated,2753975,3,1,,(prop. jusmānī),-Crushing; physically; shots; body; physical,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1085,بہتری,improvement,1781,CLE Urdu top-5000 frequency list,A_direct_corroborated,7256591,1,2,,"s.f. Welfare, good, advantage; improvement; superior excellence, goodness, merit, virtue",improvement; Not; still; an; impressive,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1086,روزگار,job,1768,CLE Urdu top-5000 frequency list,A_direct_corroborated,576963,2,1,,"employment, livelihood",fully; jobs; job; him; employing,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1087,فنڈ,fund; monetary fund,1762,CLE Urdu top-5000 frequency list,A_direct_corroborated,13186788,1,1,,,fund; victims; gets; month; Trust,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1088,وائرس,virus,1721,CLE Urdu top-5000 frequency list,A_direct_corroborated,1312417,1,2,,"non-cellular, submicroscopic infectious agent that replicates only inside the living cells of an organism",virus; plant; Which; means; could,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1089,موٹر,motor,1715,CLE Urdu top-5000 frequency list,A_direct_corroborated,3748049,3,1,,,motor; One; Tides; ticked; rotors,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1090,وضاحت,clarification,1713,CLE Urdu top-5000 frequency list,A_direct_corroborated,7072565,5,1,,clarification,explain; Explain; -it; description; defies,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1091,بجٹ,budget,1709,CLE Urdu top-5000 frequency list,A_direct_corroborated,13248708,1,2,,budget,budget; call; why; but; babe,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1092,سسٹم,system,1695,CLE Urdu top-5000 frequency list,A_direct_corroborated,4325245,1,1,"system, method",,painstakingly; combed; found; through; everything,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1093,ایکڑ,acre,1680,CLE Urdu top-5000 frequency list,A_direct_corroborated,13438501,1,1,,acre,,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1094,زبردست,mighty,1675,CLE Urdu top-5000 frequency list,A_direct_corroborated,1892122,5,1,,"powerful, tremendous; forcible",Wow; great; Great; exposed; Dude,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1095,تر,undried,1658,CLE Urdu top-5000 frequency list,A_direct_corroborated,2635403,3,1,,"adj. New, fresh; green; young, tender, soft; juicy, moist, damp, wet, wet through, saturated (with moisture,…",Most; Mostly; commit; clothesline; laundry,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1096,محبوب,dear,1652,CLE Urdu top-5000 frequency list,A_direct_corroborated,476591,4,1,,"beloved, dear",beloved; reunited; delivered; dress; Emergency,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1097,مشرقی,eastern,1575,CLE Urdu top-5000 frequency list,A_direct_corroborated,862106,1,2,,eastern,eastern; Redeploy; gate; Eastern; Supreme,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1098,سول,sol; soh; so,1566,CLE Urdu top-5000 frequency list,A_direct_corroborated,6776544,2,1,,"s.m. (f. p), A sharp or acute pain; colic; stomach-ache; indigestion; gout; rheumatism; — any sharp or…",civilian; An; working; contractor; American,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1099,خرید,shopping,1546,CLE Urdu top-5000 frequency list,A_direct_corroborated,79713,1,2,,"buying, purchase; purchase (something bought)",buy; buying; Nike; someday; bond,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1100,لیڈر,political leader,1514,CLE Urdu top-5000 frequency list,A_direct_corroborated,10294027,3,1,,,leader; Team; operative; unidentified; 40,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1101,انڈسٹری,industry,1483,CLE Urdu top-5000 frequency list,A_direct_corroborated,7955545,1,1,,industry; an industry,,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1102,کیس,case,1463,CLE Urdu top-5000 frequency list,A_direct_corroborated,1167430,1,1,,(i.q. P. kīsa),case; build; prosecutable; assaulting; 1979,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1103,اہلکار,official; functionary,1461,CLE Urdu top-5000 frequency list,A_direct_corroborated,10217337,2,1,,"official, functionary",cop; Wow; pretty; PERSONNEL; high,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1104,اوسط,mean; mean value,1443,CLE Urdu top-5000 frequency list,A_direct_corroborated,5945810,2,1,,(rt. وسط),average; JUMPS; BIGGEST; COMING; FRANCISCO,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1105,تحقیقات,investigation; investigating,1425,CLE Urdu top-5000 frequency list,A_direct_corroborated,627860,3,2,,"s.f. (pl. of taḥqīq, but com. used as a sing. in Urdū), Inquiries; inquiry, investigation…",investigation; investigations; investigating; wars; investigate,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1106,باری,turn,1422,CLE Urdu top-5000 frequency list,A_direct_corroborated,452701,3,1,,"s.m. (f. bārin), s.m. A caste of Hindūs who sew together broad leaves to serve as platters; a seller of pān…",turn; TURN; ber; -Ready; YOUR,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1107,انٹرویو,interview,1421,CLE Urdu top-5000 frequency list,A_direct_corroborated,7097464,1,2,,interview,JOB; BOSS; OF; INTERVIEWS; INTERVIEW,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1108,ڈگری,degree,1406,CLE Urdu top-5000 frequency list,A_direct_corroborated,13533950,4,2,,degree,second-degree; charts; degree; ROTC; scholarship,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1109,آرام,rest; relaxation,1405,CLE Urdu top-5000 frequency list,A_direct_corroborated,1049843,4,3,rest; comfort; leisure,"rest, comfort",rest; relax; Easy; calm; stay,CFILT IWN-En Direct sense uniquely selected and corroborated by 3 independent bilingual source(s)
1110,لوٹ,looting,1401,CLE Urdu top-5000 frequency list,A_direct_corroborated,952686,2,2,loot; swag; spoils,spoils; loot; swag,robbing; Raping; returned; yet; As,CFILT IWN-En Direct sense uniquely selected and corroborated by 2 independent bilingual source(s)
1111,اداکار,actor,1400,CLE Urdu top-5000 frequency list,A_direct_corroborated,9622021,1,1,,actor,,CFILT IWN-En Direct sense uniquely selected and corroborated by 1 independent bilingual source(s)
1112,لفظ,word,1399,CLE Urdu top-5000 frequency list,A_direct_corroborated,6203456,3,3,"word, term",word,word; WORD; ANOTHER; SAY; PUT,CFILT IWN-En Direct sense uniquely selected and corroborated by 3 independent bilingual source(s)
