rank,front,variants,pos_codes,source
50,سيد,سيد,N\CN,Al-Said 2023 Table 4
51,بين,َبين | َنَّيَب,ADV | V\VP,Al-Said 2023 Table 4
52,قد,َقْد,P\PO,Al-Said 2023 Table 4
53,بعض,بعض,N\CN,Al-Said 2023 Table 4
54,فقط,َفَقط,KH,Al-Said 2023 Table 4
55,لن,َلن,P\PO,Al-Said 2023 Table 4
56,حتى,حتى,P\PRE,Al-Said 2023 Table 4
57,مأر,مأر | أمر,N\CN | V\VP,Al-Said 2023 Table 4
58,عمل,عمل | عَلِّم,N\CN | V\VP,Al-Said 2023 Table 4
59,يجب,َيجب,V\VI,Al-Said 2023 Table 4
60,أحد,أحد,N\CN,Al-Said 2023 Table 4
61,وقت,وقت,N\CN,Al-Said 2023 Table 4
62,أجل,أجل,P\PO,Al-Said 2023 Table 4
63,قبل,َقبل | َقبَل | َلَّبَق,ADV | V\VP,Al-Said 2023 Table 4
64,خللا,ِّخللا,ADV,Al-Said 2023 Table 4
65,نفس,َنفس | سَفَن,N\CN,Al-Said 2023 Table 4
66,يفعل,َيفَعل,V\VI,Al-Said 2023 Table 4
67,يعتقد,َيعتقد,V\VI,Al-Said 2023 Table 4
68,يستطعي,َيستِّطعي,V\VI,Al-Said 2023 Table 4
69,كام,كام,P\PO,Al-Said 2023 Table 4
70,رجل,رجل | رْجل,N\CN,Al-Said 2023 Table 4
71,عندام,عنَدام,ADV,Al-Said 2023 Table 4
72,ف,ف | كي,P\QU,Al-Said 2023 Table 4
73,نحن,َنْحُن,PRO,Al-Said 2023 Table 4
74,أول,أول,N\CNU,Al-Said 2023 Table 4
75,جيد,جيد,ADJ,Al-Said 2023 Table 4
76,يقلو,يُقلو,V\VI,Al-Said 2023 Table 4
77,يىر,َيىر,V\VI,Al-Said 2023 Table 4
78,غير,غير | غيرَّ,P\EX | V\VP,Al-Said 2023 Table 4
79,حاود,ِّحاود,N\CNU,Al-Said 2023 Table 4
80,ديدج,ديدج,ADJ,Al-Said 2023 Table 4
81,ثكأر,ثكأر | ْث,N\CN,Al-Said 2023 Table 4
82,ملث,ِّمل | ملَث | مَلَّث,N\CN | V\VP,Al-Said 2023 Table 4
83,جدا,جًّدا,N\CN,Al-Said 2023 Table 4
84,خآر,ِّخآر | رَخآ,N\CN,Al-Said 2023 Table 4
85,ف,ف | سو,P\PO,Al-Said 2023 Table 4
86,كريب,كريب,ADJ,Al-Said 2023 Table 4
87,فقير,َفقير,N\CN,Al-Said 2023 Table 4
88,كريث,كريث,ADJ,Al-Said 2023 Table 4
89,ضا,ضا | أي,N\CN,Al-Said 2023 Table 4
90,تلك,ِّتلَك,N\DE,Al-Said 2023 Table 4
91,مجلس,مْجلس,N\CN,Al-Said 2023 Table 4
92,اذامل,اذامل,P\QU,Al-Said 2023 Table 4
93,أم,أم | مُأ,P\PO | N\CN,Al-Said 2023 Table 4
94,لعف,ِّفعل | َلَعَف | َلَّعَف,N\CN | V\VP,Al-Said 2023 Table 4
95,عدد,عَدد,N\CN,Al-Said 2023 Table 4
96,يذهب,َيْذهب,V\VI,Al-Said 2023 Table 4
97,خأىر,خأىر,ADJ,Al-Said 2023 Table 4
98,ككلذ,ككلذ,N\DE,Al-Said 2023 Table 4
99,شخص,شخص,N\CN,Al-Said 2023 Table 4
100,مرة,مرة,N\CN,Al-Said 2023 Table 4
101,مأس,مأس,ADV,Al-Said 2023 Table 4
102,حي,حي | ث,ADV,Al-Said 2023 Table 4
103,حةاي,حةاي,N\CN,Al-Said 2023 Table 4
104,منذ,منذ,ADV,Al-Said 2023 Table 4
105,ربام,رَّبام,P\PO,Al-Said 2023 Table 4
106,أين,أيَن,P\QU,Al-Said 2023 Table 4
107,عيمج,عيمج,N\CN,Al-Said 2023 Table 4
108,ناكم,ناكم,N\CN,Al-Said 2023 Table 4
109,يها,َّيها,KH,Al-Said 2023 Table 4
110,ول,ول,P\PO,Al-Said 2023 Table 4
111,دبيو,دبيو,V\VI,Al-Said 2023 Table 4
112,شكرا,ُشكرا,N\CN,Al-Said 2023 Table 4
113,سبب,سبب | بَّ | سب,N\CN | V\VP,Al-Said 2023 Table 4
114,ابن,ابن,N\CN,Al-Said 2023 Table 4
115,عند,عنَد,ADV,Al-Said 2023 Table 4
116,ضل,ضل | فأ,N\CN,Al-Said 2023 Table 4
117,تم,تم,V\VP,Al-Said 2023 Table 4
118,دولة,َدوَلة,N\CN,Al-Said 2023 Table 4
119,يعلم,َيعَلم | لعُيمِّ,V\VI,Al-Said 2023 Table 4
120,لاعم,َلاعم | مِّلاع,N\CN,Al-Said 2023 Table 4
121,يضام,يضام,ADJ,Al-Said 2023 Table 4
122,بأ,بأ,N\CN,Al-Said 2023 Table 4
123,دنو,دَنو | َدوَن,ADV | V\VP,Al-Said 2023 Table 4
124,يحب,ُيِّحب,V\VI,Al-Said 2023 Table 4
125,يعني,يعِّني,V\VI,Al-Said 2023 Table 4
126,يقمو,َيُقمو,V\VI,Al-Said 2023 Table 4
127,مربحا,مرًبحا,N\CN,Al-Said 2023 Table 4
128,يعمل,َيعمل,V\VI,Al-Said 2023 Table 4
129,خير,خير,N\CN,Al-Said 2023 Table 4
130,صة,صة | اخ,ADJ,Al-Said 2023 Table 4
131,مامأ,مامأ,ADV,Al-Said 2023 Table 4
132,شرةك,شرةك,N\CN,Al-Said 2023 Table 4
133,حول,حول | حوَل,ADV | V\VP,Al-Said 2023 Table 4
134,أخبر,أخَبر | أخبر,V\VP | V\VR,Al-Said 2023 Table 4
135,قيرط,قيرط,N\CN,Al-Said 2023 Table 4
136,لاإ,لاإ,P\EX,Al-Said 2023 Table 4
137,لاح,لاح,N\CN,Al-Said 2023 Table 4
138,نةبس,ِّنةبس,N\CN,Al-Said 2023 Table 4
139,أكد,أكَد,V\VP,Al-Said 2023 Table 4
140,ثم,ثم,P\CO,Al-Said 2023 Table 4
141,خيرات,خيرات,N\CN,Al-Said 2023 Table 4
142,قحا,ًّقحا,N\CN,Al-Said 2023 Table 4
143,يأاه,ُّيأاه,P\PO,Al-Said 2023 Table 4
144,منطةق,منِّطةق,N\CN,Al-Said 2023 Table 4
145,ضع,ضع | و,N\CN | V\VP,Al-Said 2023 Table 4
146,شكل,شكل | شكَل,N\CN | V\VP,Al-Said 2023 Table 4
147,صحيح,صحيح,ADJ,Al-Said 2023 Table 4
148,آسف,آسف,N\CN,Al-Said 2023 Table 4
149,حكةمو,حُكةمو,N\CN,Al-Said 2023 Table 4
150,يحجات,َيْحجات,V\VI,Al-Said 2023 Table 4
151,اجنب,اجنب,ADV,Al-Said 2023 Table 4
152,اسم,اسم,N\CN,Al-Said 2023 Table 4
153,خأري,ِّخأري,ADJ,Al-Said 2023 Table 4
154,عئار,عئار,ADJ,Al-Said 2023 Table 4
155,دويل,َدويل,ADJ,Al-Said 2023 Table 4
156,سان,سان,N\CN,Al-Said 2023 Table 4
157,ةرادإ,ةرادإ,N\CN,Al-Said 2023 Table 4
158,نشر,َنشر | شَنرَ,N\CN | V\VP,Al-Said 2023 Table 4
159,ناثةي,ِّناثةي,N\CN,Al-Said 2023 Table 4
160,لاذني,َّلاذني,N\RP,Al-Said 2023 Table 4
161,كلا,كلا | لاِّك,P\PO,Al-Said 2023 Table 4
162,حق,حق,N\CN,Al-Said 2023 Table 4
163,مدةني,مدةني,N\CN,Al-Said 2023 Table 4
164,عدم,عَدم,N\CN,Al-Said 2023 Table 4
165,حثد,حَدث | حَثَد | حَثَّد,N\CN | V\VP,Al-Said 2023 Table 4
166,تاداح,تاداح,N\CN,Al-Said 2023 Table 4
167,ألوى,أَلوى,N\CNU,Al-Said 2023 Table 4
168,ليلة,َليَلة,N\CN,Al-Said 2023 Table 4
169,مدري,مدري,N\CN,Al-Said 2023 Table 4
170,سيةرا,سَّيةرا,N\CN,Al-Said 2023 Table 4
171,فاضأ,فاضأ,V\VP,Al-Said 2023 Table 4
172,صغري,صغري,ADJ,Al-Said 2023 Table 4
173,ريزو,ريزو,N\CN,Al-Said 2023 Table 4
174,يدان,يدان,N\CN,Al-Said 2023 Table 4
175,قتل,َقْتل | َلَتَق,N\CN | V\VP,Al-Said 2023 Table 4
176,دور,َدور,N\CN,Al-Said 2023 Table 4
177,بدأ,َبَدأ,V\VP,Al-Said 2023 Table 4
178,شأن,شأن,N\CN,Al-Said 2023 Table 4
179,ماق,ماق,V\VP,Al-Said 2023 Table 4
180,مةاراب,مةاراب,N\CN,Al-Said 2023 Table 4
181,يتأي,يتأي,V\VI,Al-Said 2023 Table 4
182,راخج,راخج,ADV,Al-Said 2023 Table 4
183,منزل,منزل,N\CN,Al-Said 2023 Table 4
184,يوجد,ُيوجد,V\VI,Al-Said 2023 Table 4
185,مركز,مركز,N\CN,Al-Said 2023 Table 4
186,لجةن,َلْجةن,N\CN,Al-Said 2023 Table 4
187,يسايس,يسايس,N\CN,Al-Said 2023 Table 4
188,خادل,ِّخادل | َقَدم,ADV | N\CN,Al-Said 2023 Table 4
189,دقم,مَدِّق | دَقمِّ | دَقمَّ,N\CN | V\VP,Al-Said 2023 Table 4
190,سنة,سَنة | ةَّنُس,V\VP | N\CN,Al-Said 2023 Table 4
191,يتم,َيِّتم,V\VI,Al-Said 2023 Table 4
192,أمن,أمن | َنِّمَأ | أمَن,N\CN | V\VP,Al-Said 2023 Table 4
193,شرةط,ُشرةط,N\CN,Al-Said 2023 Table 4
194,لاذ,لاذ,N\DE,Al-Said 2023 Table 4
195,عريبة,عرَّيبة,ADJ,Al-Said 2023 Table 4
196,يتحدث,َيتحَّدث,V\VI,Al-Said 2023 Table 4
197,مقبل,مقبل,ADJ,Al-Said 2023 Table 4
198,د,َد | ع,V\VR,Al-Said 2023 Table 4
199,يحدث,َيْحدث | ُيحدثِّ,V\VI,Al-Said 2023 Table 4
200,كرة,كرة,N\CN,Al-Said 2023 Table 4
201,يعدو,يُعدو,V\VI,Al-Said 2023 Table 4
202,رأى,رأى,V\VP,Al-Said 2023 Table 4
203,حقةقي,حقةقي,N\CN,Al-Said 2023 Table 4
204,الله,الله,N\CN,Al-Said 2023 Table 4
205,سعدي,سعدي,ADJ,Al-Said 2023 Table 4
206,يظن,يُظن,V\VI,Al-Said 2023 Table 4
207,فتةر,َفْتةر,N\CN,Al-Said 2023 Table 4
208,رلاج,رلاج,N\CN,Al-Said 2023 Table 4
209,سنتاو,سَنتاو,N\CN,Al-Said 2023 Table 4
210,أعلام,أعلام,N\CN,Al-Said 2023 Table 4
211,مشكةل,مشكةل,N\CN,Al-Said 2023 Table 4
212,ةلاح,ةلاح,N\CN,Al-Said 2023 Table 4
213,حزب,ِّحزب,N\CN,Al-Said 2023 Table 4
214,منويل,ِّمنويل,N\CN,Al-Said 2023 Table 4
215,صل,صَل | ح | حَلَّص,V\VP,Al-Said 2023 Table 4
216,يشعر,َيشُعر,V\VI,Al-Said 2023 Table 4
217,طلب,طَلب | ب | طل,N\CN | V\VP,Al-Said 2023 Table 4
218,حتققي,حتققي,N\CN,Al-Said 2023 Table 4
219,جليم,جليم,ADJ,Al-Said 2023 Table 4
220,بيت,َبيت,N\CN,Al-Said 2023 Table 4
221,هم,هم | مَه,PRO | N\CN | V\VP,Al-Said 2023 Table 4
222,وةراز,وةراز,N\CN,Al-Said 2023 Table 4
223,قرار,َقرار,N\CN,Al-Said 2023 Table 4
224,رغم,رغم,N\CN,Al-Said 2023 Table 4
225,عة,عة | اس,N\CN,Al-Said 2023 Table 4
226,اجء,اجء,V\VP,Al-Said 2023 Table 4
227,رأض,رأض,N\CN,Al-Said 2023 Table 4
228,يلواح,ُيلواح,V\VI,Al-Said 2023 Table 4
229,عين,عين | عَنَّي,N\CN | V\VP,Al-Said 2023 Table 4
230,كي,كي,P\PO,Al-Said 2023 Table 4
231,كم,كم,P\QU,Al-Said 2023 Table 4
232,يأما,َّيأما,N\CN,Al-Said 2023 Table 4
233,صبح,صَبح | أ,V\VP,Al-Said 2023 Table 4
234,ب,حسب | بِّ | حس | ب | س | ح,N\CN | V\VP,Al-Said 2023 Table 4
235,ئادما,ئادما,ADV,Al-Said 2023 Table 4
236,انظر,انُظر,V\VR,Al-Said 2023 Table 4
237,ةقيرط,ةقيرط,N\CN,Al-Said 2023 Table 4
238,فامي,ِّفامي,N\RP,Al-Said 2023 Table 4
239,صدقي,صدقي,N\CN,Al-Said 2023 Table 4
240,عرض,عرض | ض | عر,N\CN | V\VP,Al-Said 2023 Table 4
241,دبأا,ًدبأا,ADV,Al-Said 2023 Table 4
242,هدف,هَدف,N\CN,Al-Said 2023 Table 4
243,يعد,َيُعد | دِّعُي,V\VI,Al-Said 2023 Table 4
244,وجدو,وجدو,N\CN,Al-Said 2023 Table 4
245,ةياهن,ةياهن,N\CN,Al-Said 2023 Table 4
246,مجمعو,مْجمعو | ة,N\CN,Al-Said 2023 Table 4
247,دول,دول,N\CN,Al-Said 2023 Table 4
248,فقد,َفَقْد | َفقد | َدَقَف,P\PO | N\CN | V\VP,Al-Said 2023 Table 4
249,متخلف,متخلف,N\CN,Al-Said 2023 Table 4
250,ف,لأف | فِّ | لأ | َّلأ | ف,N\CNU | V\VP,Al-Said 2023 Table 4
251,ئانب,ِّئانب,N\CN,Al-Said 2023 Table 4
252,أسبعو,أسُبعو,N\CN,Al-Said 2023 Table 4
253,ناقنو,ُناقنو,N\CN,Al-Said 2023 Table 4
254,مىوتس,مىوتس,N\CN,Al-Said 2023 Table 4
255,قعاط,ِّقعاط,N\CN,Al-Said 2023 Table 4
256,نماظ,ِّنماظ,N\CN,Al-Said 2023 Table 4
257,املاز,امَلاز,V\VP,Al-Said 2023 Table 4
258,مةدعاس,مةدعاس,N\CN,Al-Said 2023 Table 4
259,يح,صل | َيْح | ُيح,V\VI,Al-Said 2023 Table 4
260,شهر,شهر,N\CN,Al-Said 2023 Table 4
261,فني,َفني,N\CN,Al-Said 2023 Table 4
262,صفةح,صفةح,N\CN,Al-Said 2023 Table 4
263,اعمة,اعمة,ADJ,Al-Said 2023 Table 4
264,تحت,تْحت,ADV,Al-Said 2023 Table 4
265,حني,ِّحني,ADV,Al-Said 2023 Table 4
266,قللي,قللي,ADJ,Al-Said 2023 Table 4
267,نحو,َنْحو,ADV,Al-Said 2023 Table 4
268,طألاف,طألاف,N\CN,Al-Said 2023 Table 4
269,لابد,لاُبَّد,N\CN,Al-Said 2023 Table 4
270,نوع,َنوع,N\CN,Al-Said 2023 Table 4
271,منتخب,منتخب,N\CN,Al-Said 2023 Table 4
272,شيخ,شيخ,N\CN,Al-Said 2023 Table 4
273,رشمعو,رشمعو,N\CN,Al-Said 2023 Table 4
274,ءايشأ,ءايشأ,N\CN,Al-Said 2023 Table 4
275,وحدي,وِّحدي,ADJ,Al-Said 2023 Table 4
276,صحاب,صحاب,ADV,Al-Said 2023 Table 4
277,شعب,شعب,N\CN,Al-Said 2023 Table 4
278,أيخذ,أيخذ,V\VI,Al-Said 2023 Table 4
279,يجد,َيجد,V\VI,Al-Said 2023 Table 4
280,توق,توَّق | ف | توََّق,V\VP | V\VR,Al-Said 2023 Table 4
281,نلأ,نلأ,P\PO,Al-Said 2023 Table 4
282,بطةلو,ُبُطةلو,N\CN,Al-Said 2023 Table 4
283,هيةئ,هيةئ,N\CN,Al-Said 2023 Table 4
284,عملية,عملَّية,N\CN,Al-Said 2023 Table 4
285,طليو,طليو,ADJ,Al-Said 2023 Table 4
286,بل,َبل,P\PO,Al-Said 2023 Table 4
287,أتكدي,أتكدي,N\CN,Al-Said 2023 Table 4
288,ذإن,َذإن,P\PO,Al-Said 2023 Table 4
289,أمرو,أمرو,N\CN,Al-Said 2023 Table 4
290,فوز,َفوز,N\CN,Al-Said 2023 Table 4
291,لقأ,لقأ,N\CN,Al-Said 2023 Table 4
292,لاأ,لاأ,P\PO,Al-Said 2023 Table 4
293,شباب,شباب,N\CN,Al-Said 2023 Table 4
294,حقيقي,حقيقي,ADJ,Al-Said 2023 Table 4
295,ماكل,ِّماكل,ADJ,Al-Said 2023 Table 4
296,لاعب,لاعب,N\CN,Al-Said 2023 Table 4
297,انت,انت | ظر | انِّظَتر,V\VP | V\VR,Al-Said 2023 Table 4
298,شرتاك,شرتاك,N\CN,Al-Said 2023 Table 4
299,مما,ِّمما,N\RP,Al-Said 2023 Table 4
300,اسبق,اسبق | َقَباس,ADJ | V\VP,Al-Said 2023 Table 4
301,غرةف,ُغرةف,N\CN,Al-Said 2023 Table 4
302,لام,لام | َلام,N\CN | V\VP,Al-Said 2023 Table 4
303,يجعل,َيْجَعل,V\VI,Al-Said 2023 Table 4
304,راشةك,راشةك | م,N\CN,Al-Said 2023 Table 4
305,عزيز,عزيز,ADJ,Al-Said 2023 Table 4
306,لإه,َلإه,N\CN,Al-Said 2023 Table 4
307,رةيؤ,رةيؤ,N\CN,Al-Said 2023 Table 4
308,وجه,وْجه | وجَه,N\CN | V\VP,Al-Said 2023 Table 4
309,ضد,ضد,N\CN,Al-Said 2023 Table 4
310,صاخ,صاخ,ADJ,Al-Said 2023 Table 4
311,يبىق,يبىق,V\VI,Al-Said 2023 Table 4
312,لءاق,لءاق,N\CN,Al-Said 2023 Table 4
313,عوةد,عوةد,N\CN,Al-Said 2023 Table 4
314,أكبر,أكَبر,N\CN,Al-Said 2023 Table 4
315,قوتا,ُقوتا,N\CN,Al-Said 2023 Table 4
316,نقل,َنقل | َلَقَن,N\CN | V\VP,Al-Said 2023 Table 4
317,صل,صل | ي,V\VI,Al-Said 2023 Table 4
318,ةفاضإ,ةفاضإ,N\CN,Al-Said 2023 Table 4
319,رأس,رْأس | س | رأ,N\CN | V\VP,Al-Said 2023 Table 4
320,حنس,سن | ح | حنْس | حَنُس,ADJ | N\CN | V\VP,Al-Said 2023 Table 4
321,حنس,حَنَّس | فكةر,V\VP | N\CN,Al-Said 2023 Table 4
322,أخذ,أخذ | أخَذ,N\CN | V\VP,Al-Said 2023 Table 4
323,راشأ,راشأ,V\VP,Al-Said 2023 Table 4
324,ةاتف,ةاتف,N\CN,Al-Said 2023 Table 4
325,حرةك,حرةك,N\CN,Al-Said 2023 Table 4
326,هكاذ,هكاذ,N\DE,Al-Said 2023 Table 4
327,قوة,ُقوة,N\CN,Al-Said 2023 Table 4
328,بانرمج,بانرمج,N\CN,Al-Said 2023 Table 4
329,صلو,صلو | ح,N\CN,Al-Said 2023 Table 4
330,ذهب,َذهب | هَذ | بَ,N\CN | V\VP,Al-Said 2023 Table 4
331,يبدأ,َيبَدأ,V\VI,Al-Said 2023 Table 4
332,تاذ,تاذ,N\CN,Al-Said 2023 Table 4
333,تحثد,تحثُّد | تحَّدَث,N\CN | V\VP,Al-Said 2023 Table 4
334,صل,صَل | و | علم,V\VP | N\CN,Al-Said 2023 Table 4
335,علم,عمَل | علمِّ | عَّلم,N\CN | V\VP,Al-Said 2023 Table 4
336,امأ,امأ | أما,V\VP | P\PO,Al-Said 2023 Table 4
337,لعأن,َلعأَن,V\VP,Al-Said 2023 Table 4
338,قلاطإا,ًقلاطإا,N\CN,Al-Said 2023 Table 4
339,امتما,امتما,N\CN,Al-Said 2023 Table 4
340,فرةص,ُفرةص,N\CN,Al-Said 2023 Table 4
341,بحث,بْحث | بحَث,N\CN | V\VP,Al-Said 2023 Table 4
342,يخرج,يخرج | حكم,V\VI | N\CN,Al-Said 2023 Table 4
343,حمك,حمَك | حكمَ,N\CN | V\VP,Al-Said 2023 Table 4
344,حكم,حكم | ِّطفل,V\VP | N\CN,Al-Said 2023 Table 4
345,ق,َق | ضَّية,N\CN,Al-Said 2023 Table 4
346,أعىل,أعىل,N\CN,Al-Said 2023 Table 4
347,نيبام,َنيبام,ADV,Al-Said 2023 Table 4
348,دعم,َدعم | عم | َد,N\CN | V\VP,Al-Said 2023 Table 4
349,ةجاح,ةجاح,N\CN,Al-Said 2023 Table 4
350,تلاع,تلاع,V\VR,Al-Said 2023 Table 4
351,مجرد,مجرد,N\CN,Al-Said 2023 Table 4
352,ءارزو,ءارزو,N\CN,Al-Said 2023 Table 4
353,هءلاؤ,هءلاؤ | عقد,N\DE | N\CN,Al-Said 2023 Table 4
354,عقد,عقد | عَدَق | عقَد,N\CN | V\VP,Al-Said 2023 Table 4
355,عدق,عَدَّق | دقةقي,V\VP | N\CN,Al-Said 2023 Table 4
356,طبع,طبع,N\CN | V\VP,Al-Said 2023 Table 4
357,صةرو,صةرو,N\CN,Al-Said 2023 Table 4
358,تقدم,تَقُّدم | دَقَتمَّ,N\CN | V\VP,Al-Said 2023 Table 4
359,ماجةع,ِّماجةع,N\CN,Al-Said 2023 Table 4
360,عبر,عبر | عَبر | عبرَّ,ADV | V\VP,Al-Said 2023 Table 4
361,ذاهب,ْذاهب,V\VR,Al-Said 2023 Table 4
362,وجد,وجَد,V\VP,Al-Said 2023 Table 4
363,اقدم,اقدم,ADJ,Al-Said 2023 Table 4
364,يجير,َيْجير,V\VI,Al-Said 2023 Table 4
365,أسراع,أسراع,N\CN,Al-Said 2023 Table 4
366,حرب,حرب,N\CN,Al-Said 2023 Table 4
367,نةطق,ُنةطق,N\CN,Al-Said 2023 Table 4
368,اباختنا,اباختنا | ت,N\CN,Al-Said 2023 Table 4
369,سقو,ُسقو,N\CN,Al-Said 2023 Table 4
370,بءان,بءان,N\CN,Al-Said 2023 Table 4
371,تعلم,تَعُّلم | َّلَعَتم,N\CN | V\VP,Al-Said 2023 Table 4
372,صبح,صِّبح | ُي,V\VI,Al-Said 2023 Table 4
373,صو,صو | خ | صا,N\CN,Al-Said 2023 Table 4
374,صف,صف | ِّن,N\CN,Al-Said 2023 Table 4
375,باهذ,باهذ,N\CN,Al-Said 2023 Table 4
376,رأي,رْأي,N\CN,Al-Said 2023 Table 4
377,يفكر,ُيَفكر,V\VI,Al-Said 2023 Table 4
378,و,و | طني,ADJ,Al-Said 2023 Table 4
379,عامتجا,عامتجا,N\CN,Al-Said 2023 Table 4
380,قةمي,ِّقةمي,N\CN,Al-Said 2023 Table 4
381,بدلا,ِّبدلا,N\CN,Al-Said 2023 Table 4
382,ةيادب,ةيادب,N\CN,Al-Said 2023 Table 4
383,ذو,ذو,N\CN,Al-Said 2023 Table 4
384,مدرةس,مْدرةس | مَدرةس,N\CN,Al-Said 2023 Table 4
385,سرةع,ُسرةع,N\CN,Al-Said 2023 Table 4
386,لام,لام | َلما,N\RP | ADV,Al-Said 2023 Table 4
387,أعءاض,أعءاض,N\CN,Al-Said 2023 Table 4
388,عمر,ُعمر,N\CN,Al-Said 2023 Table 4
389,إسيملا,إسيملا,ADJ,Al-Said 2023 Table 4
390,مرحةل,مرحةل,N\CN,Al-Said 2023 Table 4
391,بديع,بديع,ADJ,Al-Said 2023 Table 4
392,يخرب,ُيخرب,V\VI,Al-Said 2023 Table 4
393,ضح,ضح | وأ,V\VP,Al-Said 2023 Table 4
394,حب,حب,N\CN,Al-Said 2023 Table 4
395,املية,املَّية,ADJ,Al-Said 2023 Table 4
396,عةقلا,عةقلا,N\CN,Al-Said 2023 Table 4
397,يد,يد,N\CN,Al-Said 2023 Table 4
398,ينظر,َينُظر,V\VI,Al-Said 2023 Table 4
399,مستقبل,مستقبل,N\CN,Al-Said 2023 Table 4
400,زوةج,َزوةج,N\CN,Al-Said 2023 Table 4
401,جيش,جيش,N\CN,Al-Said 2023 Table 4
402,مدة,مَّدة,N\CN,Al-Said 2023 Table 4
403,أهل,أهل,N\CN,Al-Said 2023 Table 4
404,يشيع,َيشيع,V\VI,Al-Said 2023 Table 4
405,قول,َقول,N\CN,Al-Said 2023 Table 4
406,رقم,رقم,N\CN,Al-Said 2023 Table 4
407,كبات,كبات,N\CN,Al-Said 2023 Table 4
408,داصتقا,داصتقا | ي,ADJ,Al-Said 2023 Table 4
409,مكتب,مكتب,N\CN,Al-Said 2023 Table 4
410,ن,َن | ظر,N\CN | V\VP,Al-Said 2023 Table 4
411,ةدايز,ةدايز,N\CN,Al-Said 2023 Table 4
