rank,front,meaning,wordfreq_zipf,semantic_support,kaikki_readurdu_agree,kaikki_word2word_agree,readurdu_word2word_agree,kaikki_meaning,readurdu_meaning,word2word_meaning
1016,لاہور,Lahore,5.73,Kaikki+ReadUrdu+word2word,True,True,True,Lahore (the second largest city of Pakistan and the provincial capital of Punjab; located on the Ravi river),name: Lahore (the second largest city of Pakistan and the provincial capital of Punjab; located on the Ravi river),Lahore; ISI; chased; slow-rolling; bitch
1017,امریکہ,America; the United States,5.72,ReadUrdu+word2word,True,True,True,"America, United States of America (a country in North America; in full, United States of America); America, the Americas (a supercontinent consisting of North America, Central America and South America regarded as a whole; in full, the Americas)","America, the United States",America; States; United; closed; enter
1018,عمران,a male given name from Arabic; equivalent to English Imran,5.70,Kaikki+ReadUrdu,True,False,False,"a male given name from Arabic, equivalent to English Imran","a male given name from Arabic, equivalent to English Imran",
1019,اردو,army; camp; the Urdu language; Rekhta,5.69,Kaikki+ReadUrdu,True,False,False,"army, camp; the Urdu language; Rekhta (the Hindustani language)","name: the Urdu language; Rekhta (the Hindustani language) | n. army, camp",
1020,جبکہ,while,5.68,ReadUrdu+word2word,False,False,True,,"whereas, while",While; while; OUR; Son; standing
1021,قرآن,Qur'an,5.68,Kaikki+ReadUrdu,True,False,False,Qur'an,n. Qur'an,
1022,کراچی,Karachi,5.68,Kaikki+ReadUrdu+word2word,True,True,True,"Karachi (the largest city in Pakistan situated along the Arabian Sea, as well as the provincial capital of Sindh Province)","Karachi (the largest city in Pakistan situated along the Arabian Sea, as well as the provincial capital of…",Karachi; In; 2004; 2003; About
1023,سکتے,can,5.67,ReadUrdu+word2word,False,False,True,,"can, are able (plural)",CAN; Can; cannot; may; leave
1024,بھارت,India,5.66,Kaikki+ReadUrdu,True,False,False,"India, Bharat (a country in South Asia); Hindustan, the undivided Indian subcontinent",India,
1025,کہتے,say,5.63,ReadUrdu+word2word,False,False,True,,form of کَہْنا (kahnā — to say),say; says; krushkach; unidentified; operative
1026,بارے,about,5.62,ReadUrdu+word2word,False,False,True,,"about, regarding (کے بارے میں)",about; About; ABOUT; talking; thinking
1027,دیکھ,look; see; watch,5.61,ReadUrdu+word2word,False,False,True,,"infinitive of دیکْھنا (dekhnā — to look, see, watch)",see; watching; looking; seeing; Good
1028,چاہیے,should,5.61,ReadUrdu+word2word,False,False,True,,"should, ought to, is needed",supposed; should; listened; contact; hurry
1029,بھر,full,5.58,ReadUrdu+word2word,False,False,True,,"full, whole, throughout (دن بھر = all day)",across; OVER; Blackout; effect; full
1030,ٹیم,team,5.58,ReadUrdu+word2word,False,False,True,,team,team; response; Team; kidnap; leading
1031,چیف,chief,5.58,ReadUrdu+word2word,False,False,True,,chief,Chief; CHIEF; GAINES; boss; henceforth
1032,اسمبلی,assembly,5.57,ReadUrdu+word2word,False,False,True,,"assembly, legislature",member; honored; excuse; assembly
1033,دیکھا,saw,5.57,ReadUrdu+word2word,False,False,True,,saw (of دیکھنا),seen; saw; watched; YouTube; haven
1034,عالمی,global,5.56,ReadUrdu+word2word,False,False,True,,"global, international",World; War; global; Her; Second
1035,کشمیر,Kashmir,5.56,ReadUrdu+word2word,True,True,True,"Jammu Kashmir (a union territory of India; capitals: Srinagar and Jammu); Azad Kashmir (an autonomous territory administered by Pakistan; capital: Muzaffarabad); Kashmir (a contested geographic region of South Asia in the northern part of the Indian subcontinent, located between (and de facto divided between) India, Pakistan and China)","name: Kashmir (a contested geographic region of South Asia in the northern part of the Indian subcontinent, located…",towns; medium-sized; hypothesis; current; Kashmir
1036,کہیں,somewhere; anywhere,5.54,ReadUrdu+word2word,False,False,True,,"somewhere, anywhere",anywhere; somewhere; nowhere; Anywhere; wherever
1037,جسٹس,justice,5.52,ReadUrdu+word2word,False,False,True,,justice (judge's title),JUSTICE; justice; law; without; judges
1038,کورٹ,court,5.52,ReadUrdu+word2word,False,False,True,,court,court-martial; Court; Refuse; recourse; duration
1039,سندھ,Sindh; Sind; Scinde,5.51,Kaikki+ReadUrdu,True,False,False,"Sindh (a province of Pakistan); Sind, Scinde (a province of British India)","Sindh (a province of Pakistan); Indus (a river in the provinces of Sindh, Punjab and Khyber Pakhtunkhwa and the administrative territory of…; Sind, Scinde (a province of British India)",
1040,دیتا,gives,5.50,ReadUrdu+word2word,False,False,True,,gives (masculine of دینا),paying; gives; embassies; techniques; break-in
1041,رکھا,kept,5.48,ReadUrdu+word2word,False,False,True,,"kept, placed (of رکھنا)",kept; care; took; awake; gave
1042,سرکاری,official,5.48,ReadUrdu+word2word,False,False,True,,"governmental, official",official; officially; Officially; answer; Google-proof
1043,کہہ,say,5.47,ReadUrdu+word2word,False,False,True,,"say (stem of کہنا, as in کہہ دیا)",saying; telling; sayin; screams; Say
1044,بنایا,made; built,5.46,ReadUrdu+word2word,False,False,True,,"made, built (of بنانا)",made; built; granny; bounce; journey
1045,ایران,Iran,5.44,Kaikki+ReadUrdu+word2word,True,True,True,Iran (a country in West Asia),Iran,Iran; said; Are; Venezuela; or
1046,تحت,the under part,5.44,ReadUrdu+word2word,False,False,True,,"(in A. phrases taḥtu), s.m. The location which is beneath, the interior part, the under part, the inferior…",under; command; 9000; rpms; BKA
1047,چاہتے,want,5.44,ReadUrdu+word2word,False,False,True,,want (plural of چاہنا),want; wish; wanna; Want; Festival
1048,افغانستان,Afghanistan,5.43,Kaikki+ReadUrdu+word2word,True,True,True,Afghanistan (a landlocked country between Central Asia and South Asia),Afghanistan,Afghanistan; alike; Camp; Chapman; invaded
1049,لی,took,5.42,ReadUrdu+word2word,False,False,True,,took (feminine of لینا),took; Le; Midnight; Wherever; meeting
1050,آتا,s.m. One who comes,5.40,ReadUrdu+word2word,False,False,True,,"(imperf. part. of آنا ānā, q.v.), s.m. One who comes, a comer; that which is coming to or due, dues,…",comes; understand; falls; Here; BACK
1051,حدیث,hadith; a narration,5.40,Kaikki+ReadUrdu,True,False,False,hadith; a narration (ie. statement),n. a narration (ie. statement); hadith,
1052,ہندوستان,India; Hindustan,5.40,Kaikki+ReadUrdu,True,False,False,"The Mughal Empire; India (a country in South Asia); Hindustan, the Indian subcontinent","India, Hindustan",
1053,نیوز,news,5.38,ReadUrdu+word2word,False,False,True,,news,Coast; news; East; newsstands; lines
1054,ابن,slave; offspring; son; child,5.37,Kaikki+ReadUrdu,True,False,False,"slave; offspring; son, child","n. son, child; offspring; slave",
1055,بین,inter-; middle,5.37,Kaikki+ReadUrdu,True,False,False,inter-; middle; distance,"n. word, speech, utterance, saying; lamentation, wailing; separation, space between | adj. middle | prefix inter-",Ben; BEN; :; M; I-
1056,حالات,circumstances; conditions,5.37,ReadUrdu+word2word,False,False,True,,"circumstances, conditions",situation; circumstances; Conditions; optimal; Schizophrenia
1057,ملا,met,5.37,ReadUrdu+word2word,False,False,True,,"met, received (of ملنا); mullah",got; Got; found; met; SECOND
1058,بہترین,best,5.36,ReadUrdu+word2word,False,False,True,,"best, excellent",best; demands; Best; school; Detective
1059,نا,no; final emphatic particle,5.36,Kaikki+ReadUrdu,True,False,False,no; final emphatic particle,"pcl. final emphatic particle | n. no | prefix not, un-, non-, in-",RIGHT; French; unacceptable; speak; surveillance
1060,شمار,s.f. Counting,5.35,ReadUrdu+word2word,False,False,True,,"s.f. Counting, reckoning, computing, numbering; calculation, amount, number; account, note, estimation: —…",count; condolence; letters; On; steps
1061,پہنچ,reach,5.35,ReadUrdu+word2word,False,False,True,,"(see pahuṅćnā), s.f. Arrival; reach; access, admittance; attainment, comprehension; sagacity, penetration;…",reach; reached; gotten; solid; undo
1062,پیچھے,behind,5.35,ReadUrdu+word2word,False,False,True,,behind,behind; Back; Put; Slaves; Stand
1063,تعمیر,building,5.34,ReadUrdu+word2word,False,False,True,,"construction, building",build; built; rebuild; BUILT; REBUILD
1064,رپورٹ,report,5.34,ReadUrdu+word2word,False,False,True,,report,report; reported; REPORTS; RE; -Did
1065,چاہتا,wants,5.34,ReadUrdu+word2word,False,False,True,,wants (masculine),wants; wanted; WILL; wishes; Nizam
1066,یونیورسٹی,university,5.34,ReadUrdu+word2word,False,False,True,,university,University; hacked; bachelor; stored; university
1067,ایمان,faith,5.33,ReadUrdu+word2word,True,True,True,creed; intention; faith; belief,"faith, belief; integrity",faith; Faith; Evasion; dishonesty; Synesius
1068,قیام,stay,5.33,ReadUrdu+word2word,False,False,True,,"stay, residence; establishment",formation; stay; visit; Keep; Mangrove
1069,نمبر,number; phone number,5.33,ReadUrdu+word2word,False,False,True,,"number, numeral; phone number",number; No; numbers; requested; calling
1070,میچ,match,5.32,ReadUrdu+word2word,False,False,True,,match (sports),be; coincidence; ZIP; 6; match
1071,گرفتار,arrested; captured,5.32,ReadUrdu+word2word,False,False,True,,"adj. & s.m. Taken, seized, arrested, captured; involved (in), entangled; liable; stricken, smitten (with…",arrest; captured; arrested; under; captivated
1072,جمع,s.f. A collection,5.31,ReadUrdu+word2word,False,False,True,,"(inf. n. of جمع 'to collect'), s.f. A collection, a number together, an assemblage, a congregation, assembly;…",gather; collecting; collection; scrap; metal
1073,ووٹ,vote,5.30,ReadUrdu+word2word,False,False,True,,vote,voted; Michelle; Chicago; Nominated; votes
1074,ڈالر,dollar,5.30,ReadUrdu+word2word,False,False,True,,dollar,dollars; billions; Dollars; bald; 1200
1075,کانفرنس,conference,5.30,ReadUrdu+word2word,False,False,True,,conference,conference; Sydney; Eyes; Five; -Press
1076,کمپنی,company,5.30,ReadUrdu+word2word,False,False,True,,company,company; named; affidavit; separation; confirming
1077,زخمی,& s.m.f. Wounded; killed by a wound; — a wounded person: — zaḵẖmī…,5.29,ReadUrdu+word2word,False,False,True,,"(rel. n. fr. zaḵẖm), adj. & s.m.f. Wounded, hurt; slain, killed by a wound; — a wounded person: — zaḵẖmī…",wounded; -Medic; Buddy; leg; attacks
1078,ملے,met,5.29,ReadUrdu+word2word,False,False,True,,"met, received (plural)",met; ice; Somebody; Tess; anxious
1079,چلا,went,5.29,ReadUrdu+word2word,False,False,True,,"moved, went (of چلنا)",gone; running; went; goes; stone
1080,تب,then,5.28,Kaikki+ReadUrdu+word2word,True,True,True,then,adv. then,woods; Into; since; Then; Fine
1081,لفظ,word,5.28,Kaikki+ReadUrdu+word2word,True,True,True,"word, term",word,word; WORD; ANOTHER; SAY; PUT
1082,لندن,London,5.28,Kaikki+ReadUrdu+word2word,True,True,True,"London (a city in Ontario, Canada); London (the capital city of the United Kingdom; the capital city of England)",London (the capital city of the United Kingdom; the capital city of England),London; followed; Blackout; effect; throughout
1083,حساب,account; calculation; arithmetic,5.27,Kaikki+ReadUrdu,True,False,False,"account; viewpoint, perspective; calculation; arithmetic",n. account; calculation; arithmetic; bill (a list of items needed to paid for),miscalculation; anytime; tiny; One; anyone
1084,خطاب,speech,5.27,ReadUrdu+word2word,False,False,True,,"(inf. n. of iii of خطب 'to recite'), s.m. Conversation, discourse, speech, address, harangue…",Speech; mechanical; modestly; engineer; Speaking
1085,رہنے,live,5.27,ReadUrdu+word2word,False,False,True,,oblique infinitive of رَہْنا (rahnā — to live),stay; STAY; live; living; survive
1086,آیت,verse,5.26,Kaikki+ReadUrdu+word2word,True,True,True,verse (of the Qur'an),n. verse (of the Qur'an),verse; It; last; s; the
1087,تلاش,s.f. Search,5.26,ReadUrdu+word2word,False,False,True,,"(prob. contrac. from A. talāshī, q.v.), s.f. Search, quest; scrutiny; study, research; pursuit (syn.…",find; Find; looking; search; searching
1088,مطالبہ,demand,5.26,ReadUrdu+word2word,False,False,True,,demand,amnesty; demand; demanding; answers; committee
1089,اسرائیل,Israel,5.25,Kaikki+ReadUrdu+word2word,True,True,True,Israel (a country in Asia),Israel,Israel; immunity; contradict; Israelis; Anything
1090,مسیح,Christ,5.25,ReadUrdu+word2word,True,True,True,"Christ, Messiah","n. Christ, Messiah",Christ; Death; pagans; moonlighting; Applebee
1091,بلوچستان,a mountainous region of Afghanistan; Balochistan,5.24,Kaikki+ReadUrdu,True,False,False,a mountainous region of Afghanistan; Balochistan (a province of Pakistan); Sistan and Baluchestan (a province of Iran),Balochistan (a province of Pakistan); Balochistan (a region between the Middle East and South Asia),
1092,کہنے,say,5.23,ReadUrdu+word2word,False,False,True,,oblique infinitive of کَہْنا (kahnā — to say),say; goodbye; meaning; videos; circumstances
1093,برطانیہ,Britain,5.22,Kaikki+ReadUrdu,True,False,False,"Britain (the United Kingdom, a kingdom and country in Northern Europe including the island of Great Britain as well as Northern Ireland on the northeastern portion of the island of Ireland)",Britain,bombings; U.K; did; right; You
1094,رب,Lord,5.22,ReadUrdu+word2word,True,True,True,owner; possessor; Lord; An epithet for God,"Lord, God",Lord; Praise; butchers; Brother; everlasting
1095,رہتا,live,5.22,ReadUrdu+word2word,False,False,True,,masculine singular of رَہْنا (rahnā — to live),7.63; Montblanc; pen; stays; live
1096,جناب,sir; mister,5.21,ReadUrdu+word2word,True,True,True,"sir, mister; Excellency, Honour","n. sir, mister; Excellency, Honour; form of address for a judge",sir; Mr; Sir; Mister; Luthor
1097,شائع,published,5.21,ReadUrdu+word2word,False,False,True,,published (شائع ہونا = to be published),publish; reposted; ourselves; beginning; publishing
1098,محفوظ,part. Kept safe,5.21,ReadUrdu+word2word,False,False,True,,"(pass. part. of حفظ 'to keep, preserve, guard,' &c.), part. Kept safe, preserved, guarded, protected, taken…",safe; SAFE; BE; D; WARM
1099,ہسپتال,hospital,5.20,ReadUrdu+word2word,False,False,True,,hospital,hospital; recall; prior; bang; noise
1100,آپریشن,operation,5.19,ReadUrdu+word2word,False,False,True,,operation (military or medical),ops; operation; Ops; fucked-up; tip
1101,طالبان,Taliban,5.19,Kaikki+ReadUrdu+word2word,True,True,True,"Taliban (a Deobandi Islamist and largely Pashtun religious political movement founded in Afghanistan in 1994 by mullah Mohammad Omar, which has governed the country from 1996 to 2001 and since 2021)",the Taliban; seekers (plural of طالب),Former; Taliban; claim; officials; hanging
1102,گنتی,counting,5.19,ReadUrdu+word2word,True,True,True,"counting; calculation, reckoning; Numbers (book of the Bible)","n. counting; calculation, reckoning; Numbers (book of the Bible)",counting; snuck; who; right; half
1103,روس,Russia,5.18,Kaikki+ReadUrdu+word2word,True,True,True,Russia (a transcontinental country in Eastern Europe and North Asia),Russia,Russia; 1.5; billion; collection; twice
1104,زمانہ,world,5.18,Kaikki+ReadUrdu,True,False,False,tense; world; reign (of an empire etc.),"era, times, the world",
1105,اگست,August,5.17,Kaikki+ReadUrdu,True,False,False,August,n. August,
1106,نتائج,consequences,5.17,ReadUrdu+word2word,False,False,True,,"s.m. pl. (of natīja, q.v.), Fruits, consequences, issues, &c",results; consequences; Efficiency; laboratory; observations
1107,پارلیمنٹ,parliament,5.17,ReadUrdu+word2word,False,False,True,,parliament,cabinet; symbolic; gesture; Palace; parliament
1108,گناہ,sin,5.17,ReadUrdu+word2word,True,True,True,"sin; crime, fault, guilt",sin,sin; FAULTS; ANY; THERE; innocent
1109,یمن,Yemen,5.17,Kaikki+ReadUrdu,True,False,False,Yemen (a country in West Asia in the Middle East),name: Yemen (a country in West Asia in the Middle East),
1110,بتایا,told,5.16,ReadUrdu+word2word,False,False,True,,"told, informed (of بتانا)",told; Has; Raptor; cleared; blow
1111,ترکی,Turkey; Turkish,5.16,ReadUrdu+word2word,True,True,True,"the Turkish language; a horse of Turkish breed; of or belonging to a Turk; Turkish, Turk-like",Turkey; Turkish,Turkish; Turkey; venerable; harem; disease
1112,جانتے,know,5.16,ReadUrdu+word2word,False,False,True,,know (plural of جاننا),know; KNOW; knew; -I; knows
1113,مار,Killing,5.16,ReadUrdu+word2word,False,False,True,,"adj. & s.m. (f. -ī), Killing, slaying, destroying; — killer, destroyer (as last member of compounds); —…",kill; shoot; killed; kiss; weapon
1114,معنی,meaning,5.16,ReadUrdu+word2word,True,True,True,intent; meaning,n. meaning; intent,means; CONGRATULATIONS; Meaning; lover; kunya
1115,سمجھتے,understand,5.15,ReadUrdu+word2word,False,False,True,,plural masculine of سَمَجْھنَا (samajhnā — to understand),understand; Don; THAT; UNDERSTAND; nor
1116,شہباز,a male given name; Shahbaz or Shehbaz; from Persian,5.15,Kaikki+ReadUrdu,True,False,False,"a male given name, Shahbaz or Shehbaz, from Persian","a male given name, Shahbaz or Shehbaz, from Persian",
1117,مت,don't,5.15,Kaikki+ReadUrdu,True,False,False,"religion, creed; don't (imperative negation)",don't (prohibitive); opinion; vote,Don; Do; worry; forget; touch
1118,بندی,slave; captive,5.14,Kaikki+ReadUrdu,True,False,False,bard; slave; captive,n. prisoner; captive; slave,classified; planning; risky; Command; detonators
1119,شک,doubt,5.13,Kaikki+ReadUrdu+word2word,True,True,True,"doubt, uncertainty","doubt, suspicion",doubt; Surely; Synesius; seducing; Mind
1120,ظلم,cruelty,5.12,ReadUrdu+word2word,True,False,True,"tyranny, oppression; wrongdoing, misdeed, injustice","oppression, cruelty",oppressed; cruelty; arrogance; From; being
1121,وفاقی,federal,5.12,ReadUrdu+word2word,False,False,True,,federal,Federal; federal; Victoria; decides; daughter
1122,پشاور,Peshawar,5.12,Kaikki+ReadUrdu,True,False,False,"Peshawar (a city, the provincial capital of Khyber Pakhtunkhwa, Pakistan)","Peshawar (a city, the provincial capital of Khyber Pakhtunkhwa, Pakistan)",Pesh; d; Lahore; Street; 30
1123,دیکھتے,see; watch,5.11,ReadUrdu+word2word,False,False,True,,"plural masculine of دیکْھنا (dekhnā — to look, see, watch)",see; watch; Let; strut; Delta
1124,رکھتا,keeps,5.11,ReadUrdu+word2word,False,False,True,,keeps (masculine),belongs; keeps; believes; holds; limit
1125,ریکارڈ,record,5.11,ReadUrdu+word2word,False,False,True,,record,records; RECORDED; record; wrongs; indicate
1126,مریم,a virgin; maiden; Mary; a female given name,5.11,Kaikki+ReadUrdu,True,False,False,"a virgin, maiden; Mary (the mother of Jesus); a female given name, Maryam or Mariyam","name: Mary (the mother of Jesus); Miriam (the sister of Moses and Aaron and the daughter of Amram and Jochebed); a female given name, Maryam or Mariyam | n. a virgin, maiden",
1127,روح,soul; spirit,5.10,Kaikki+ReadUrdu+word2word,True,True,True,"soul, spirit; essence, quintessence","soul, spirit",spirit; soul; her; Too; independent
1128,ثبوت,proof; evidence,5.09,Kaikki+ReadUrdu+word2word,True,True,True,proof; evidence,"proof, evidence",proof; evidence; living; case; definitive
1129,بیٹھ,sit,5.08,ReadUrdu+word2word,False,False,True,,infinitive of بَیٹھنا (baiṭhnā — to sit),down; Sit; sit; tight; sitting
1130,شخصیت,personality,5.08,ReadUrdu+word2word,False,False,True,,"(for A. شخصية, abst. s. fr. شخصی, rel. n. of shaḵẖṣ), s.f. Individuality, personality, identity; nobility,…",personality; Multiple; disorder; controversy; figure
1131,کھڑا,standing,5.08,ReadUrdu+word2word,True,True,True,erect; standing,standing; erect,standing; stands; oak; Her; seek
1132,بدل,s.m. Change,5.07,ReadUrdu+word2word,False,False,True,,"s.m. Change, alteration; exchange, substitution; return, requital, retaliation; — postp. In exchange (for,…",changed; change; changes; turns; critical
1133,بیٹا,son,5.07,ReadUrdu+word2word,True,True,True,"son, boy; child (any gender)","son, boy; child (any gender)",son; Son; -But; sweetie; Not
1134,احتساب,accountability,5.06,Kaikki+ReadUrdu,True,False,False,accountability,n. accountability,accountable; hold; able; founded; being
1135,ترجمہ,translation,5.06,Kaikki+ReadUrdu,True,False,False,"rendering, rendition; translation; interpretation",translation,examples; forms; dialect; translate; speak
1136,جولائی,July,5.06,Kaikki+ReadUrdu,True,False,False,July,July,Obstructed; fading; view; Signal; steroids
1137,جہاز,plane; ship,5.06,ReadUrdu+word2word,True,True,True,"craft; plane, ship","n. plane, ship; craft; clipping of ہَوائی جَہاز (havāī jahāz, “aircraft”)",ship; plane; spaceship; Stop; Evanston
1138,سربراہ,head,5.06,ReadUrdu+word2word,False,False,True,,"head, chief (of an organization)",head; bar; Hayden; Michael; Reiser
1139,عربی,Arabic,5.06,Kaikki+ReadUrdu,True,False,False,Arabic,name: Arabic,
1140,قربانی,sacrifice,5.06,Kaikki+ReadUrdu,True,False,False,"sacrifice; qurbani, sacrificial animal (Eid ul-Adha)",sacrifice,canaries; sneak; wiser; theory; using
1141,مضمون,essay,5.06,Kaikki+ReadUrdu,True,False,True,essay; sense; topic,"essay, article; subject",article; subject; longer; viable; genuine
1142,اولاد,progeny; offspring; descendant,5.05,Kaikki+ReadUrdu,True,False,False,progeny; offspring; descendant,n. offspring; descendant; progeny,childless; More; baker; than
1143,سنا,ever; senna; always,5.05,Kaikki+ReadUrdu,True,False,False,ever; senna; always,adv. always; ever; continually | n. senna,heard; hear; entrance; closed; spoil
1144,مدینہ,Medina,5.05,Kaikki+ReadUrdu,True,False,False,"Medina (a province of Saudi Arabia); Medina (a major city, the capital of Medina province, Saudi Arabia; holy to Islam)","name: Medina (a major city, the capital of Medina province, Saudi Arabia; holy to Islam); Medina (a province of Saudi Arabia)",
1145,ویڈیو,video,5.05,ReadUrdu+word2word,False,False,True,,video,video; ransom; Video; make; hang
1146,پروفیسر,professor,5.05,ReadUrdu+word2word,False,False,True,,professor,PROFESSOR; INTENSE; SOMETHING; HAPPEN; HERE
1147,انقلاب,revolution,5.04,Kaikki+ReadUrdu+word2word,True,True,True,revolution; coup d'état,revolution,revolution; hiding; escape; To; During
1148,ترک,a Turkish person; a citizen of Turkey; a Turkic person; a speaker of a Turkic language,5.04,Kaikki+ReadUrdu,True,False,False,"a Turkish person; a citizen of Turkey; a Turkic person; a speaker of a Turkic language, or bearer of Turkic heritage","n. a Turkic person; a speaker of a Turkic language, or bearer of Turkic heritage; a Turkish person; a citizen of Turkey",Turk; another; kill; giving; dinner
1149,سمندر,sea; ocean,5.04,ReadUrdu+word2word,True,True,True,"sea, ocean; vast; boundless; limitless (entity, land etc.)","n. sea, ocean; vast; boundless; limitless (entity, land etc.)",sea; ocean; ere; O; forthwith
1150,سنت,habit; custom,5.04,Kaikki+ReadUrdu,True,False,False,habit; Sunna; custom,n. tradition; habit; custom,
1151,نامی,famous; celebrated; having a good reputation,5.04,Kaikki+ReadUrdu,True,False,False,"famous, celebrated; having a good reputation","adj. having a good reputation; famous, celebrated",called; named; musical; Rose; piece
1152,عبادت,worship,5.03,Kaikki+ReadUrdu+word2word,True,True,True,"worship; devotion, idol",worship,worship; pray; prayer; Henceforth; questioned
1153,مقامات,Places,5.03,ReadUrdu+word2word,False,False,True,,"s.m. pl. (of maqāmat, fr. maqām), Places; stations; dwellings; halts, &c. (see maqām); — sittings,…",places; his; Lots; Shattered; collarbone
1154,یورپ,Europe,5.03,Kaikki+ReadUrdu+word2word,True,True,True,"ellipsis of یورپی اتحاد (yūrapī ittihād, “European Union”); Europe (a continent located west of Asia and north of Africa)",Europe,Europe; ravage; continues; War; heavily
1155,یوم,day; aeon; epoch; period,5.03,Kaikki+ReadUrdu,True,False,False,day; aeon; epoch; period; age; era; (usually in the plural),n. day; aeon; epoch; period; age; era; (usually in the plural),burst; theatre; ourselves; knowing; defend
1156,بیت,couplet; distich; abode; house,5.02,Kaikki+ReadUrdu,True,False,False,"couplet, distich; abode, house, edifice; mosque, church, synagogue","n. couplet, distich; abode, house, edifice; mosque, church, synagogue",bait; used; Bait; Nah; yourself
1157,ستمبر,September,5.02,Kaikki+ReadUrdu,True,False,False,September,September,Nine; one; still; Western; hijacker
1158,شرح,rate,5.02,ReadUrdu+word2word,False,False,True,,rate; commentary,rate; Heart; rising; highest; homicide
1159,مشرف,Musharraf,5.02,ReadUrdu+word2word,False,False,True,,"Musharraf (Pervez Musharraf, Pakistani president 2001–08); honored",Musharraf; tried; mean; kill; trust
1160,نوٹس,notice,5.02,ReadUrdu+word2word,False,False,True,,notice,notice; isn; properly; further; scratches
1161,نگار,writer; sweetheart; painting; portrait,5.02,Kaikki+ReadUrdu,True,False,False,"writer; sweetheart; painting, portrait, picture","n. sweetheart; writer; painting, portrait, picture",
1162,گروہ,group,5.02,ReadUrdu+word2word,True,True,True,"group, gang, clique, crew","n. group, gang, clique, crew",group; deserving; putting; faction; says
1163,ہندو,Hindu,5.02,ReadUrdu+word2word,True,False,True,Indian; a follower of Hinduism,"n. Hindu, a follower of Hinduism; Indian; Any subject regarding to Delhi Sultanate, or any other Islamic regime in any part of the Indian subcontinent",Hah; blowing; crossing; storm; Hindu
1164,آرمی,army,5.01,Kaikki+ReadUrdu,True,False,False,army,army,
1165,بازی,bet; wager,5.01,Kaikki+ReadUrdu,True,False,False,bet; wager,n. bet; wager,fusion; fireworks; hates; center; Nice
1166,بد,bad; bubo; evil,5.01,Kaikki+ReadUrdu,True,False,False,bad; bubo; evil,adj. bad; evil; wicked | n. bubo,curse; curiosity; unfortunate; lack; lovers
1167,بنائی,made,5.01,ReadUrdu+word2word,False,False,True,,made (feminine),made; every; This; phone; Russian
1168,بہ,in,5.01,Kaikki+ReadUrdu,True,False,False,"with, by, for, in","n. with, by, for, in",these; Technically; exist; don; t
1169,صحافی,journalist,5.01,Kaikki+ReadUrdu+word2word,True,True,True,journalist,journalist,journalist; stringing; reporter; Act; experienced
1170,نومبر,November,5.01,Kaikki+ReadUrdu+word2word,True,True,True,November,November,BELGIUM; NOVEMBER; 1918; November; Plate
