rank,front,expected_english,kaikki_entry,kaikki_pos,kaikki_has_english_gloss,semantic_overlap,semantic_overlap_terms,wordfreq_attested,wordfreq_zipf,arabic_wordnet_entry,camel_analysis,lexique4_entry,lexique4_pos,urdu_ud_entry,urdu_ud_pos,support_count,confidence
32,جب,when,True,adv,True,True,when,True,6.31,False,False,False,,True,cconj|noun|pron|sconj,3,strong
33,اپنے,one's own; own (masculine plural/oblique form of اپنا),False,,False,False,,True,6.37,False,False,False,,True,pron,2,form_only
34,آپ,you (formal/honorific); oneself,True,pron,True,True,formal|oneself|you,True,6.47,False,False,False,,True,det|noun|pron,3,strong
35,جس,whom/which/that (oblique singular relative pronoun),False,,False,False,,True,6.50,False,False,False,,True,det|pron,2,form_only
36,دیا,gave; given (masculine singular form of دینا); lamp,True,noun,True,True,lamp,True,6.28,False,False,False,,True,verb,3,strong
37,تھے,were (masculine plural/honorific),True,verb,True,False,,True,6.43,False,False,False,,True,aux|verb,3,semantic_review
38,ہوئے,became; happened; were (plural/honorific form),True,verb,True,False,,True,6.26,False,False,False,,True,adj|aux|verb,3,semantic_review
39,تک,until; up to; as far as,False,,False,False,,True,6.29,False,False,False,,True,adp|part,2,form_only
40,بعد,after; afterwards,True,noun|postp|prep,True,True,after,True,6.38,False,False,False,,True,adp|adv|noun|pron,3,strong
41,ساتھ,with; together; alongside,True,adv|noun,True,True,together,True,6.32,False,False,False,,True,adp|adv|noun,3,strong
42,لیکن,but; however,True,conj,True,True,but,True,6.14,False,False,False,,True,cconj,3,strong
43,گی,will (feminine future marker),True,suffix,True,False,,True,6.12,False,False,False,,True,aux,3,semantic_review
44,کوئی,someone; anyone; some; any,True,adj|pron,True,True,any|some,True,6.38,False,False,False,,True,det|pron,3,strong
45,گے,will (masculine plural/honorific future marker),True,noun,True,False,,True,6.29,False,False,False,,True,aux|verb,3,semantic_review
46,اپنی,one's own; own (feminine form of اپنا),False,,False,False,,True,6.22,False,False,False,,True,pron,2,form_only
47,وقت,"time; turn; era, duration",True,noun,True,True,duration|era|time|turn,True,6.11,False,False,False,,True,adp|noun,3,strong
48,بہت,very; much; many; a lot,True,adj,True,True,many|much,True,6.19,False,False,False,,True,adj|adv|det,3,strong
49,کسی,"oblique of کوئی (koī): anyone, someone; oblique of کوئی (koī): some, a certain, a given",True,adj|pron,True,True,anyone|certain|given|ko|oblique|some,True,6.34,False,False,False,,True,adv|det|pron,3,strong
50,تھی,was (feminine singular),True,verb,True,False,,True,6.33,False,False,False,,True,aux|verb,3,semantic_review
51,یا,or; O!/oh! (vocative in some contexts),True,conj|intj,True,True,oh,True,6.33,False,False,False,,True,cconj|pron,3,strong
52,ہم,we; us,True,adv|conj|det|pron,True,True,us|we,True,6.35,False,False,False,,True,det|noun|pron,3,strong
53,ہوں,"am; be/may be (subjunctive, context-dependent)",True,verb,True,True,subjunctive,True,6.23,False,False,False,,True,aux|propn|verb,3,strong
54,زیادہ,"more, very many, excessive; more, much, a lot, excessively",True,adj|adv,True,True,excessive|excessively|lot|many|more|much|very,True,6.12,False,False,False,,True,adj|adv|det,3,strong
55,ملک,"country; land; state/realm; property/possession (مِلْک, different vocalization)",True,noun,True,True,country|land|realm,True,6.17,False,False,False,,True,adj|noun|propn,3,strong
56,بات,talk; conversation; thing; point; matter; saying,True,noun,True,True,convers|matter|point|saying|talk,True,6.26,False,False,False,,True,noun|propn,3,strong
57,طرح,way; manner; method; type; kind,True,noun,True,True,kind|manner|method|type|way,True,6.03,False,False,False,,True,adp|noun,3,strong
58,اگر,if; agarwood,True,conj|noun,True,True,agarwood|if,True,6.24,False,False,False,,True,adv|sconj,3,strong
59,اب,now; at present,True,adv|noun,True,True,now,True,6.18,False,False,False,,True,noun|pron,3,strong
60,حکومت,"government; power, reign, rule; jurisdiction; authority",True,noun,True,True,authority|govern|jurisdiction|power|reign|rule,True,6.16,False,False,False,,True,noun|propn,3,strong
61,دو,two; give! (informal imperative of دینا),True,num,True,True,two,True,6.10,False,False,False,,True,adj|det|noun|num|pron|propn,3,strong
62,ہوا,air; wind; breeze; happened; became; was (masculine singular form of ہونا),True,noun|verb,True,True,air|breeze|wind,True,6.22,False,False,False,,True,aux|noun|propn|verb,3,strong
63,دی,gave (feminine singular form of دینا),False,,False,False,,True,6.01,False,False,False,,True,propn|verb,2,form_only
64,ہوتا,is/becomes/happens habitually; would be (masculine singular),True,verb,True,False,,True,6.11,False,False,False,,True,aux|verb,3,semantic_review
65,کام,work; task; job; use,True,noun,True,True,job|task|work,True,5.99,False,False,False,,True,noun|part|propn,3,strong
66,حاصل,result; outcome; obtained; acquired; achieved,True,adj,True,True,achiev|acquir|obtain|result,True,6.00,False,False,False,,True,adj|noun,3,strong
67,سب,all; every,True,adj|det|pron,True,True,all|every,True,6.19,False,False,False,,True,adj|adp|adv|det|noun|pron|propn,3,strong
68,کرنا,to do; to make; to cause,True,verb,True,True,cause|do|make,True,6.00,False,False,False,,True,aux|verb,3,strong
69,ہر,each; every,True,det,True,True,each|every,True,6.14,False,False,False,,True,adj|det,3,strong
70,سی,like; as; -like (feminine resemblance/comparative form),False,,False,False,,True,5.88,False,False,False,,True,adp|noun|part|propn|verb,2,form_only
71,طور,"hill, mount; manner, way; state, condition",True,noun,True,True,condition|hill|manner|mount|state|way,True,6.12,False,False,False,,True,adp|noun,3,strong
72,خان,khan,True,name|noun,True,True,khan,True,6.05,False,False,False,,True,propn,3,strong
73,پہلے,before; earlier; previously; first,True,adj,True,True,first,True,6.08,False,False,False,,True,adj|adp|adv,3,strong
74,کچھ,some; something; a little; any (context-dependent),True,adj|adv|pron,True,True,some,True,6.19,False,False,False,,True,adj|det|part|pron|propn,3,strong
75,صرف,"only; just; solely; expenditure/spending; morphology (grammar, specialized)",True,adj|adv|noun,True,True,expenditure|just|morphology|only|solely,True,6.06,False,False,False,,True,adj|adp|adv|noun|part,3,strong
76,انہیں,them; to them,True,pron,True,False,,True,5.81,False,False,False,,True,det|pron,3,semantic_review
77,سال,year,True,noun,True,True,year,True,6.03,False,False,False,,True,noun|propn,3,strong
78,وجہ,reason; cause,True,noun,True,True,cause|reason,True,5.97,False,False,False,,True,adj|adp|noun,3,strong
79,کم,few; little (not much); less (in lower degree; to smaller extent),True,adj|adv|det,True,True,degree|extent|few|less|little|lower|much|not|smaller,True,5.88,False,False,False,,True,adj|det|noun|part,3,strong
80,جنگ,war; fight; battle,True,noun,True,True,battle|fight|war,True,5.62,False,False,False,,True,adj|noun|propn,3,strong
81,اسے,him; her; it; to him/her/it,True,pron,True,False,,True,6.04,False,False,False,,True,pron,3,semantic_review
82,لیے,"for; for the sake of (in کے لیے); taken (form of لینا, context-dependent)",True,verb,True,False,,True,6.45,False,False,False,,True,adp|pron|verb,3,semantic_review
83,صدر,"president; chief, head; host (of an event etc.); Saddar (a neighbourhood of Karachi, Sindh, Pakistan)",True,name|noun,True,True,chief|etc|event|head|host|karachi|neighbourhood|pakistan|president|saddar|sindh,True,5.69,False,False,False,,True,noun|propn,3,strong
84,تمام,all; every,True,adj,True,True,all|every,True,5.93,False,False,False,,True,adj|det|noun|pron,3,strong
85,اسی,eighty; this very; that very; the same (context-dependent),True,num,True,True,eighty,True,5.93,False,False,False,,True,det|pron,3,strong
86,خلاف,against; contrary to; opposed to; opposition,True,adj,True,True,against|oppos,True,5.97,False,False,False,,True,adp|noun,3,strong
87,احمد,"an epithet for Prophet Muhammad; a male surname, Ahmed or Ahmad, from Arabic; a male given name, Ahmed or Ahmad, from Arabic",True,name,True,True,ahmad|ahmed|arabic|epithet|given|male|muhammad|name|prophet|surname,True,5.67,False,False,False,,True,propn,3,strong
88,طرف,side; direction,True,noun,True,True,direction|side,True,5.89,False,False,False,,True,adp|adv|noun,3,strong
89,دنیا,Earth; world; kingdom,True,noun,True,True,earth|kingdom|world,True,6.02,False,False,False,,True,noun|propn,3,strong
90,شروع,onset; beginning; commencement,True,noun,True,True,beginn|commence|onset,True,5.85,False,False,False,,True,adj|noun,3,strong
91,افراد,individuals; persons; members,True,noun,True,True,individual,True,5.92,False,False,False,,True,noun,3,strong
92,وزیر,vizier; minister; queen / fers,True,noun,True,True,fers|minister|queen|vizier,True,5.79,False,False,False,,True,noun|propn,3,strong
93,جن,"whom; which; those who (plural oblique relative pronoun); jinn (noun, context-dependent)",True,noun,True,True,jinn,True,5.96,False,False,False,,True,det|noun|pron|propn,3,strong
94,آباد,populous; inhabited; cultivated,True,adj|suffix,True,True,cultivat|inhabit|populou,True,5.86,False,False,False,,True,adj|noun|propn,3,strong
95,دور,"far, far off; distant, remote; period, era, age",True,adj|adv|noun,True,True,age|distant|era|far|off|period|remote,True,5.84,False,False,False,,True,adj|adp|adv|noun,3,strong
96,آ,come; come! (stem/imperative of آنا),True,character,True,False,,True,5.68,False,False,False,,True,adj|cconj|noun|pron|propn|verb,3,semantic_review
97,دوست,friend,True,noun,True,True,friend,True,5.34,False,False,False,,True,noun,3,strong
98,علی,"Ali ibn Abi Talib; a male given name, Ali, from Arabic; upon, over, on (only used in borrowed Arabic phrases; see related terms below)",True,name|prep,True,True,abi|ali|arabic|below|borrow|given|ibn|male|name|only|over|phras,True,5.87,False,False,False,,True,propn,3,strong
99,ڈاکٹر,doctor; physician,True,noun,True,True,doctor|physician,True,5.67,False,False,False,,True,noun|propn,3,strong
100,شامل,"associated, involved; included, comprised, incorporated",True,adj,True,True,associat|compris|includ|incorporat|involv,True,5.92,False,False,False,,True,adj|noun,3,strong
101,لوگ,"people; class, caste; folk; family",True,noun,True,True,caste|clas|family|folk|people,True,6.01,False,False,False,,True,noun,3,strong
102,لے,take; take! (form/stem of لینا),True,verb,True,True,stem,True,6.00,False,False,False,,True,adp|part|propn|verb,3,strong
103,استعمال,"use, usage, utilisation, employment",True,noun,True,True,employ|usage|utilis,True,5.91,False,False,False,,True,adj|noun,3,strong
104,مدد,help; aid; assistance; relief; reinforcement (context-dependent),True,noun,True,True,aid|assistance|help|reinforce|relief,True,5.48,False,False,False,,True,adp|noun,3,strong
105,میل,mile; inclination/affinity; dirt/grime (different senses),True,noun,True,True,dirt|inclin|mile,True,5.04,False,False,False,,True,noun,3,strong
106,پیدا,"born; arisen, created",True,adj,True,True,arisen|born|creat,True,5.82,False,False,False,,True,adj|noun,3,strong
107,بے,without-; un-; -less; non-; name of the letter ب (context-dependent),True,adj|noun,True,True,less|letter|name|non|un,True,6.03,False,False,False,,True,adj|adv|noun|part,3,strong
108,دوسرے,second; other (masculine plural/oblique form of دوسرا),False,,False,False,,True,5.72,False,False,False,,True,adj|det|noun|pron,2,form_only
109,روپے,rupees; rupee (oblique/vocative singular),True,noun,True,True,oblique|rupe|rupee|vocative,True,5.54,False,False,False,,True,noun,3,strong
110,ضرورت,"necessity, need, requirement",True,noun,True,True,necessity|need|require,True,5.62,False,False,False,,True,adp|noun,3,strong
111,اے,O!; hey! (vocative particle),True,particle,True,True,vocative,True,5.92,False,False,False,,True,noun|part|propn,3,strong
112,تین,three,True,num,True,True,three,True,5.76,False,False,False,,True,adj|noun|num,3,strong
113,پیش,before; in front; forward; presented/offered; pesh/damma vowel mark,True,adj|noun,True,True,damma|front,True,5.77,False,False,False,,True,adj|adp|adv|noun|verb,3,strong
114,مختلف,different; various; differing; opposed (context-dependent),True,adj,True,True,different|oppos|variou,True,5.77,False,False,False,,True,adj|det,3,strong
115,کیونکہ,because,True,conj,True,True,because,True,5.74,False,False,False,,True,sconj,3,strong
116,نام,name,True,noun,True,True,name,True,6.06,False,False,False,,True,adp|noun,3,strong
117,آئی,came (feminine singular),True,verb,True,False,,True,6.06,False,False,False,,True,noun|propn|verb,3,semantic_review
118,ہمارے,our; ours (masculine plural/oblique form),False,,False,False,,True,5.92,False,False,False,,True,pron,2,form_only
119,صفحہ,face; page (of a book etc.),True,noun,True,True,book|etc|face|page,True,4.71,False,False,False,,True,noun,3,strong
120,قومی,national,True,adj,True,True,national,True,5.74,False,False,False,,True,adj|propn,3,strong
121,زندگی,life,True,noun,True,True,life,True,5.86,False,False,False,,True,noun|propn,3,strong
122,قائم,"established; unwavering, fixed, firm",True,adj,True,True,establish|firm|fixed|unwaver,True,5.69,False,False,False,,True,adj|noun,3,strong
123,آج,today,True,adv|noun,True,True,today,True,5.98,False,False,False,,True,adv|noun|pron,3,strong
124,پانی,water; liquid/moisture; tears or sweat (in compounds/context-dependent),True,noun,True,True,sweat|tear|water,True,5.55,False,False,False,,True,noun,3,strong
125,عوام,"crowd; public; masses, common folk, laity",True,noun,True,True,common|crowd|folk|laity|mass|public,True,5.88,False,False,False,,True,adj|noun|propn,3,strong
126,عمل,"effect; process; action, deed",True,noun,True,True,action|deed|effect|proces,True,5.64,False,False,False,,True,noun,3,strong
127,حسین,"a handsome man; beautiful, handsome; a male given name, Hussain or Husain, from Arabic",True,adj|name|noun,True,True,arabic|beautiful|given|handsome|husain|hussain|male|man|name,True,5.68,False,False,False,,True,propn,3,strong
128,دوران,duration; course; period; during (in کے دوران),False,,False,False,,True,5.80,False,False,False,,True,adp|adv|noun,2,form_only
129,پاکستانی,Pakistani (person); Pakistani (of or relating to Pakistan),True,adj|noun,True,True,pakistan|pakistani,True,5.84,False,False,False,,True,adj|noun|propn,3,strong
130,شاہ,king; shah,True,noun,True,True,king|shah,True,5.72,False,False,False,,True,propn,3,strong
131,سو,"hundred; so, hence; therefore",True,adv|num,True,True,hence|hundr|so|therefore,True,5.66,False,False,False,,True,num|propn|verb,3,strong
132,بڑی,"big; large; elder/older; great (feminine form of بڑا, context-dependent)",True,adj,True,False,,True,5.77,False,False,False,,True,adj|adv|det|propn,3,semantic_review
133,خود,"reflexive pronoun: oneself, one's own",True,pron,True,True,one'|oneself|own|reflexive,True,5.95,False,False,False,,True,det|noun|part|pron,3,strong
134,مجھے,me; to me,True,pron,True,False,,True,5.93,False,False,False,,True,pron,3,semantic_review
135,ایسے,such; like this/that; in this way,False,,False,False,,True,5.84,False,False,False,,True,det|pron,2,form_only
136,جاری,"running, flowing; continuing, continuous, proceeding, prevailing",True,adj,True,True,continu|continuou|flow|prevail|proceed|runn,True,5.70,False,False,False,,True,adj,3,strong
137,فلم,"film, movie",True,noun,True,True,film|movie,True,5.54,False,False,False,,True,noun|propn,3,strong
138,موجود,present; existing; available; obtainable,True,adj,True,True,available|exist|obtainable,True,5.81,False,False,False,,True,adj,3,strong
139,دن,day; daytime,True,noun,True,True,day|daytime,True,5.94,False,False,False,,True,adp|adv|noun,3,strong
140,کھیل,"game; sport; play; fun; easy matter/task (idiomatic, context-dependent)",True,noun,True,True,easy|fun|game|sport|task,True,5.26,False,False,False,,True,noun|verb,3,strong
141,بلکہ,rather; but rather; in fact; moreover,True,adv,True,True,but|moreover|rather,True,5.59,False,False,False,,True,sconj,3,strong
142,نظر,sight; view; look; gaze; opinion; attention/supervision (context-dependent),True,noun,True,True,gaze|look|opinion|supervision,True,5.82,False,False,False,,True,adp|noun,3,strong
143,گھر,"house, home; place, abode",True,noun,True,True,abode|home|house|place,True,5.85,False,False,False,,True,noun|propn,3,strong
144,ممالک,countries,True,noun,True,False,,True,5.61,False,False,False,,True,noun,3,semantic_review
145,جہاں,where; wherever,True,adv|noun,True,True,where,True,5.79,False,False,False,,True,adv|noun|pron|propn,3,strong
146,کہنا,to say; to tell; to speak,True,verb,True,True,say|speak|tell,True,5.38,False,False,False,,True,verb,3,strong
147,میرے,my; mine (masculine plural/oblique form),False,,False,False,,True,5.86,False,False,False,,True,pron,2,form_only
148,علاقوں,areas; regions,True,noun,True,True,area,True,5.43,False,False,False,,True,noun,3,strong
149,مگر,but; however; except; unless (context-dependent),True,conj|noun,True,True,but|however|unles,True,6.01,False,False,False,,True,cconj,3,strong
150,پاس,near; nearby; by; with/in someone's possession (in کے پاس),True,adv|noun,True,True,near|nearby,True,5.83,False,False,False,,True,adj|adp|adv|noun,3,strong
151,بنا,became; was made/formed (form of بننا); without,True,noun|prep,True,True,without,True,5.77,False,False,False,,True,adp|noun|part|verb,3,strong
152,ہزار,thousand,True,num,True,True,thousand,True,5.59,False,False,False,,True,adj|noun|num|propn,3,strong
153,تعلیم,"education; training, practice; teaching, instruction",True,noun,True,True,educ|instruction|practice|teach|train,True,5.65,False,False,False,,True,adj|noun|propn,3,strong
154,بڑے,big; large; great (masculine plural/oblique),True,adj,True,True,oblique,True,5.69,False,False,False,,True,adj,3,strong
155,کرکٹ,cricket,True,noun,True,True,cricket,True,5.43,False,False,False,,True,noun|propn,3,strong
156,دیگر,other,True,adj,True,True,other,True,5.71,False,False,False,,True,adj|det|noun|pron,3,strong
157,غیر,"other; unrelated; strange, foreign",True,adj|noun|prefix,True,True,foreign|other|strange|unrelat,True,5.84,False,False,False,,True,adj|adv|noun,3,strong
158,ہلاک,killed; dead/destroyed; ruined; destruction/ruin,True,noun,True,True,destroy|destruction|kill|ruin,True,5.32,False,False,False,,True,adj|noun,3,strong
159,یہاں,here (at this place),True,adv,True,True,here|place,True,5.81,False,False,False,,True,adp|adv|pron,3,strong
160,کئی,many; several,True,det,True,True,many|several,True,5.78,False,False,False,,True,adj|det|num|pron,3,strong
161,اہم,important; significant; essential,True,adj|noun,True,True,important,True,5.74,False,False,False,,True,adj,3,strong
162,ہمیں,us; to us,True,pron,True,False,,True,5.76,False,False,False,,True,pron,3,semantic_review
163,موقع,chance; opportunity; occasion; place/site,True,noun,True,True,chance|opportunity,True,5.34,False,False,False,,True,adp|noun,3,strong
164,فیصد,percent (%),True,noun,True,True,percent,True,5.32,False,False,False,,True,adj|det|noun,3,strong
165,بچے,"children; child (oblique/vocative singular, context-dependent)",True,noun,True,True,oblique|vocative,True,5.50,False,False,False,,True,noun|verb,3,strong
166,جنرل,general,True,noun,True,True,general,True,5.46,False,False,False,,True,noun|propn,3,strong
167,اپنا,one's own; own (reflexive possessive agreeing with the possessed noun),True,pron,True,True,reflexive,True,5.80,False,False,False,,True,noun|pron|verb,3,strong
168,بچوں,children,True,noun,True,False,,True,5.54,False,False,False,,True,noun|propn,3,semantic_review
169,سیاسی,political,True,adj,True,True,political,True,5.66,False,False,False,,True,adj|noun,3,strong
170,اضافہ,surplus; addition; increase,True,noun,True,True,addition|increase|surplu,True,5.24,False,False,False,,True,adj|noun,3,strong
171,ایسا,such; like this/that; of this kind,False,,False,False,,True,5.77,False,False,False,,True,adv|det|pron,2,form_only
172,خیال,thought; idea; opinion; care/attention,True,noun,True,True,attention|care|idea|opinion|thought,True,5.53,False,False,False,,True,noun,3,strong
173,ختم,depleted; finished; terminated,True,adj,True,True,deplet|finish|terminat,True,5.69,False,False,False,,True,adj|noun|propn,3,strong
174,شہر,town; city (urban area),True,noun,True,True,area|city|town|urban,True,5.69,False,False,False,,True,noun,3,strong
175,خواتین,women; ladies,True,noun,True,False,,True,5.55,False,False,False,,True,adj|noun,3,semantic_review
176,روز,day; every day; daily,True,adv|noun,True,True,daily|day,True,5.50,False,False,False,,True,adp|adv|noun,3,strong
177,ترقی,progress; development,True,noun,True,True,develop|progres,True,5.54,False,False,False,,True,noun|propn,3,strong
178,ہماری,our; ours (feminine form),False,,False,False,,True,5.68,False,False,False,,True,pron,2,form_only
179,وہاں,there; over there,True,adv,True,True,there,True,5.60,False,False,False,,True,pron,3,strong
180,جانب,"direction, side",True,noun,True,True,direction|side,True,5.50,False,False,False,,True,adp|adv|noun,3,strong
181,کوشش,effort; attempt,True,noun,True,True,attempt|effort,True,5.52,False,False,False,,True,noun,3,strong
182,دوسری,second; other (feminine),False,,False,False,,True,5.65,False,False,False,,True,adj|num,2,form_only
183,مکمل,"entire, total; full, overflowing; finished (ie. to come to an end; concluded)",True,adj,True,True,come|conclud|end|entire|finish|full|ie|overflow|total,True,5.59,False,False,False,,True,adj|adv|noun,3,strong
184,عمر,"life; lifetime; a male given name, Umar or Omar; age (number of years one has lived)",True,name|noun,True,True,age|given|has|life|lifetime|lived|male|name|number|omar|umar|year,True,5.66,False,False,False,,True,noun|propn,3,strong
185,بار,time; turn; occasion; instance; occurrence; burden; load; weight,True,noun,True,True,instance|occasion|occurrence|time|turn,True,5.79,False,False,False,,True,adv|noun,3,strong
186,حصہ,"portion; part, share, piece; a share of a company",True,noun,True,True,company|part|piece|portion|share,True,5.67,False,False,False,,True,noun,3,strong
187,انسان,human; person,True,noun,True,True,human,True,5.72,False,False,False,,True,noun|propn,3,strong
188,مزید,"greater, increased; increased, augmented, increase; more, additional, further, supplementary",True,adj|adv,True,True,additional|augment|further|greater|increas|increase|more|supplementary,True,5.81,False,False,False,,True,adj|adv|det,3,strong
189,نظام,"system, order; institution, foundation (network)",True,noun,True,True,found|institution|network|order|system,True,5.61,False,False,False,,True,noun|propn,3,strong
190,بہتر,better; improved,True,adj|num,True,True,better|improv,True,5.52,False,False,False,,True,adj|adv,3,strong
191,کبھی,ever; sometime; sometimes; never (with negation),True,adv,True,True,sometim,True,5.77,False,False,False,,True,adv|pron,3,strong
192,مسلم,Muslim; Islamic; a Muslim (adherent of Islam),True,adj|noun,True,True,adherent|islam|islamic|muslim,True,5.74,False,False,False,,True,adj|noun|propn,3,strong
193,چار,four,True,num,True,True,four,True,5.55,False,False,False,,True,noun|num,3,strong
194,کردار,role; character; conduct / behaviour,True,noun,True,True,behaviour|character|role,True,5.56,False,False,False,,True,noun,3,strong
195,میری,my; mine (feminine),True,pron,True,False,,True,5.72,False,False,False,,True,pron,3,semantic_review
196,فیصلہ,resolution; decision; judgment,True,noun,True,True,decision|judg|resolution,True,5.73,False,False,False,,True,noun,3,strong
197,سامنے,in front; in front of; facing; opposite,False,,False,False,,True,5.70,False,False,False,,True,adp|adv,2,form_only
198,ادا,style; manner; grace/charm; performed/paid/fulfilled (especially in ادا کرنا),True,adj|noun,True,True,charm|fulfill|grace|manner|paid|perform|style,True,5.44,False,False,False,,True,noun|verb,3,strong
199,درمیان,between; middle; midst,True,adv|noun,True,True,middle|midst,True,5.57,False,False,False,,True,adp|adv|noun,3,strong
200,صورت,form; shape; appearance; face; situation; case; way,True,noun,True,True,appearance,True,5.39,False,False,False,,True,adp|noun,3,strong
201,پارٹی,party; political party/group; social party/gathering,True,noun,True,True,group|political,True,5.78,False,False,False,,True,noun|propn,3,strong
202,نئی,new (feminine),True,adj,True,True,new,True,5.38,False,False,False,,True,adj|propn,3,strong
203,بعض,"some, certain, few, several",True,adj,True,True,certain|few|several|some,True,5.47,False,False,False,,True,adj|det|noun|pron,3,strong
204,دل,heart; mind/feelings; desire/wish; attention (in expressions),True,noun,True,True,attention|heart|mind|wish,True,5.73,False,False,False,,True,adj|noun|propn,3,strong
205,اجلاس,"the sitting of a court of justice; session, official meeting, assembly session",True,noun,True,True,assembly|court|justice|meet|official|session|sitt,True,5.37,False,False,False,,True,noun|propn,3,strong
206,باہر,outside; outdoors; exterior/outside area,True,adj|noun,True,True,outdoor|outside,True,5.57,False,False,False,,True,adj|adp|adv,3,strong
207,قرار,"conclusion, confirmation; decision, promise, agreement; peace, tranquility, rest, calm",True,noun,True,True,agree|calm|conclusion|confirm|decision|peace|promise|rest|tranquility,True,5.44,False,False,False,,True,adj|noun,3,strong
208,عام,common; general; ordinary,True,adj,True,True,common|general|ordinary,True,5.75,False,False,False,,True,adj|noun|propn,3,strong
209,ضروری,"important; necessary, required",True,adj,True,True,important|necessary|requir,True,5.39,False,False,False,,True,adj|adv,3,strong
