frequency,front,kaikki_meaning,reason
2710321,شرط,"low, mean; to scarify, to cup; to tear into pieces",no_calima_kaikki_semantic_agreement
2705739,فرقة,sect; class; separation,no_calima_kaikki_semantic_agreement
2635754,ديموقراطي,,no_kaikki_semantic_entry
2610014,معلم,"traits; peculiarity; track, trace",no_calima_kaikki_semantic_agreement
2561218,أقام,to awaken; to persist; to put in charge,no_calima_kaikki_semantic_agreement
2536570,رسم,"trace, spoor; tradition, custom; rate, levy, imposition",no_calima_kaikki_semantic_agreement
2450944,تعلق,to put forth roots; to depend (بِ (bi) on); to be devoted (بِ (bi) to),no_calima_kaikki_semantic_agreement
2411287,تعرض,exposure; proneness; opposition,no_calima_kaikki_semantic_agreement
2338481,أليس,"brave; a female given name from the Germanic languages, equivalent to English Alice",no_calima_kaikki_semantic_agreement
2295194,داخلي,inner; private; domestic,no_calima_kaikki_semantic_agreement
2216863,سبيل,"blame; kinship; manner, method",no_calima_kaikki_semantic_agreement
2206707,عالي,"over, upon, above",no_calima_kaikki_semantic_agreement
2135860,ولي,near; adjacent; favorite,no_calima_kaikki_semantic_agreement
2093502,أربع,,no_kaikki_semantic_entry
2086186,مكافحة,"fight, combat, counter-; verbal noun of كَافَحَ (kāfaḥa) (form III)",no_calima_kaikki_semantic_agreement
2064589,ساكن,placid; inhabitant; unvowelled,no_calima_kaikki_semantic_agreement
2051365,محامي,,no_kaikki_semantic_entry
2037027,ضم,girding; to gird; to compress the lips,no_calima_kaikki_semantic_agreement
2023354,شمل,little quantity left; to expose to the north wind; verbal noun of شَمَلَ (šamala) (form I),no_calima_kaikki_semantic_agreement
2022837,مشير,,no_kaikki_semantic_entry
2010162,نقاش,"a surname; discussion; engraver, inscriber, embosser",no_calima_kaikki_semantic_agreement
1991000,تاريخي,historic,no_calima_kaikki_semantic_agreement
1980194,بي,,no_kaikki_semantic_entry
1968491,خلق,rags; people; bravery,no_calima_kaikki_semantic_agreement
1957400,سعى,to walk; to proceed; to crawl forward,no_calima_kaikki_semantic_agreement
1912660,فئة,"group, band, division, class",no_calima_kaikki_semantic_agreement
1884391,فرض,duty; to impose; to ordain,no_calima_kaikki_semantic_agreement
1868661,أفاد,"to teach; to profit, to benefit; to get, to acquire, to win",no_calima_kaikki_semantic_agreement
1857365,كيفية,howness; quality; particulars,no_calima_kaikki_semantic_agreement
1849500,علامة,grade; signal; symbol,no_calima_kaikki_semantic_agreement
1840636,شامل,,no_kaikki_semantic_entry
1834750,معروف,fair; good; favor,no_calima_kaikki_semantic_agreement
1823709,شحن,"to fill, to load; verbal noun of شَحَنَ (šaḥana)",no_calima_kaikki_semantic_agreement
1792236,مجلة,"blister; scroll, writing paper; any book, volume, writing",no_calima_kaikki_semantic_agreement
1785053,عصر,"late afternoon; to press, to squeeze, to wring; to extract juice from, to juice",no_calima_kaikki_semantic_agreement
1783900,ديوان,"divan; account, reckoning; collection of poetry",no_calima_kaikki_semantic_agreement
1776888,فضائي,alien; spatial,no_calima_kaikki_semantic_agreement
1768562,تحويل,"changing, converting; channeling, diverting; transferring, shifting, switching",no_calima_kaikki_semantic_agreement
1768513,وفر,saving; abundant; abundance,no_calima_kaikki_semantic_agreement
1758294,محل,"store, shop; delay, respite; to plot, to scheme",no_calima_kaikki_semantic_agreement
1754653,خاطر,"to risk, to stake; active participle of خَطَرَ (ḵaṭara); thought, notion (especially a spontaneous one)",no_calima_kaikki_semantic_agreement
1750826,أثار,"to plough; to irritate (a wound); to arouse, to incite, to stimulate",no_calima_kaikki_semantic_agreement
1740223,أون,,no_kaikki_semantic_entry
1714630,متواجد,,no_kaikki_semantic_entry
1710986,إخوة,,no_kaikki_semantic_entry
1692038,رشد,right path; to be of age; being well guided,no_calima_kaikki_semantic_agreement
1672802,كبري,,no_kaikki_semantic_entry
1650459,فائدة,gain; sign; interest,no_calima_kaikki_semantic_agreement
1649536,أزياء,,no_kaikki_semantic_entry
1642369,تعزيز,,no_kaikki_semantic_entry
1633322,نبوي,,no_kaikki_semantic_entry
1618496,حوال,"change, revolution; circumference, circle; verbal noun of حَاوَلَ (ḥāwala) (form III)",no_calima_kaikki_semantic_agreement
1617380,ظرف,case; cover; egg cup,no_calima_kaikki_semantic_agreement
1609382,لاين,,no_kaikki_semantic_entry
1579235,تهنئة,felicitation; congratulation; verbal noun of هَنَّأَ (hannaʔa) (form II),no_calima_kaikki_semantic_agreement
1571257,معين,"rhombic; rhombus; well, spring, water source",no_calima_kaikki_semantic_agreement
1559365,سير,"antler of a stag; to cut into strips; to stripe, to make have streaks",no_calima_kaikki_semantic_agreement
1551096,واصل,to be united with; to show affection; to have connection,no_calima_kaikki_semantic_agreement
1548400,فعاليات,,no_kaikki_semantic_entry
1544474,أفريقي,,no_kaikki_semantic_entry
1544261,خلاف,after; behind; willow (Salix spp.),no_calima_kaikki_semantic_agreement
1541416,تداول,to confer; to negotiate; to alternate with,no_calima_kaikki_semantic_agreement
1517882,لذيذ,"pleasant; beautiful; tasty, delicious",no_calima_kaikki_semantic_agreement
1514716,ست,,no_kaikki_semantic_entry
1503077,إرسال,"sending, dispatching; verbal noun of أَرْسَلَ (ʔarsala) (form IV)",no_calima_kaikki_semantic_agreement
1494370,ألقى,"to lean (transitive); to propose, to offer; to impute, to ascribe",no_calima_kaikki_semantic_agreement
1491756,حفظ,"to reserve; to retain, to uphold; observance, compliance",no_calima_kaikki_semantic_agreement
1491702,قائل,"active participle of قَالَ (qāla, “to nap”) napper; active participle of قَالَ (qāla, “to say”) sayer, one who said something",no_calima_kaikki_semantic_agreement
1490541,حصري,exclusive,no_calima_kaikki_semantic_agreement
1487723,حرف,word; particle; consonant,no_calima_kaikki_semantic_agreement
1486345,صرف,to turn; to explain; to inflect,no_calima_kaikki_semantic_agreement
1484208,قصر,to subside; to come short; to clip (hair),no_calima_kaikki_semantic_agreement
1472099,مؤكد,,no_kaikki_semantic_entry
1470379,سيرة,measures; conversation; ways and means,no_calima_kaikki_semantic_agreement
1446917,بديل,alternative,no_calima_kaikki_semantic_agreement
1430129,مراجعة,verbal noun of رَاجَعَ (rājaʕa) (form III),no_calima_kaikki_semantic_agreement
1428519,قاضي,,no_kaikki_semantic_entry
1408093,جمع,to add; addition; to contain,no_calima_kaikki_semantic_agreement
1404509,نفسي,myself,no_calima_kaikki_semantic_agreement
1388568,إصدار,verbal noun of أَصْدَرَ (ʔaṣdara) (form IV),no_calima_kaikki_semantic_agreement
1387577,متر,"metre; to cut; to extend, to lengthen",no_calima_kaikki_semantic_agreement
1385371,تنفيذي,,no_kaikki_semantic_entry
1382476,زكى,"to give alms or charity; to declare purified or commendable; to purify, to cleanse by having performed a ritual",no_calima_kaikki_semantic_agreement
1366352,روى,to twist (rope); to carry (water); to bind with rope,no_calima_kaikki_semantic_agreement
1365282,حفاظ,protection; verbal noun of حَافَظَ (ḥāfaẓa) (form III),no_calima_kaikki_semantic_agreement
1365030,مؤمن,"faithful, believing; a male given name, Mumin; active participle of آمَنَ (ʔāmana)",no_calima_kaikki_semantic_agreement
1364267,صلاحية,"authority, jurisdiction; expiry date (of a product); suitability, appropriateness",no_calima_kaikki_semantic_agreement
1351336,رمضاني,"Of, or having to do with Ramadan",no_calima_kaikki_semantic_agreement
1348389,منهج,"to systematise, methodise; curriculum, courses, syllabus; specific manner of doing something; methodology; system; programme",no_calima_kaikki_semantic_agreement
1343023,عالي,"over, upon, above",no_calima_kaikki_semantic_agreement
1336713,باقي,,no_kaikki_semantic_entry
1316154,سي,"something equal; similar to, like; something similar",no_calima_kaikki_semantic_agreement
1302727,لي,Noun; Hose ليّ,no_calima_kaikki_semantic_agreement
1301240,عقل,asylum; fortress; Holy Ghost,no_calima_kaikki_semantic_agreement
1300354,تحدي,,no_kaikki_semantic_entry
1298901,محدد,"definite; sharpened; fixed, destined (لِ (li) for)",no_calima_kaikki_semantic_agreement
1297004,تحسين,amendment; perfection; verbal noun of حَسَّنَ (ḥassana) (form II),no_calima_kaikki_semantic_agreement
1290005,عادل,"upright; to equate; notary, judge",no_calima_kaikki_semantic_agreement
1284633,غذائي,,no_kaikki_semantic_entry
1280602,تفعيل,activation; verbal noun of فَعَّلَ (faʕʕala) (form II),no_calima_kaikki_semantic_agreement
1268165,رمز,"to encode; cipher, code; to incinerate",no_calima_kaikki_semantic_agreement
1255850,محيط,ocean; whole; overall,no_calima_kaikki_semantic_agreement
1255502,بالغ,to overdo; to intensify; to exaggerate,no_calima_kaikki_semantic_agreement
1249340,لازم,"obligatory; worthy, fit; intransitive, neuter",no_calima_kaikki_semantic_agreement
1248952,عهد,covenant; testament; commission,no_calima_kaikki_semantic_agreement
1247074,كهربائي,electric,no_calima_kaikki_semantic_agreement
1242638,ترفيهي,recreational,no_calima_kaikki_semantic_agreement
1240361,صراع,"conflict, warfare; verbal noun of صَارَعَ (ṣāraʕa) (form III)",no_calima_kaikki_semantic_agreement
1239412,تقدير,verbal noun of قَدَّرَ (qaddara) (form II),no_calima_kaikki_semantic_agreement
1237270,رغبة,courage; preference; willingness,no_calima_kaikki_semantic_agreement
1218896,منزلي,,no_kaikki_semantic_entry
1209691,ولي,near; adjacent; favorite,no_calima_kaikki_semantic_agreement
1207883,مشهد,"procession; funeral cortege; act, number (on stage)",no_calima_kaikki_semantic_agreement
1194423,جامعي,,no_kaikki_semantic_entry
1193732,مقطع,"syllable; stanza, verse; dismembered, torn",no_calima_kaikki_semantic_agreement
1186785,وادي,,no_kaikki_semantic_entry
1176111,مثال,"bed, carpet; retaliation; manner, method",no_calima_kaikki_semantic_agreement
1171889,متوقع,,no_kaikki_semantic_entry
1168501,سيما,,no_kaikki_semantic_entry
1162368,قضى,to kill; to impose; to condemn,no_calima_kaikki_semantic_agreement
1153715,تحضير,verbal noun of حَضَّرَ (ḥaḍḍara) (form II),no_calima_kaikki_semantic_agreement
1148318,آبد,active participle of أَبَدَ (ʔabada),no_calima_kaikki_semantic_agreement
1146270,تسبب,"to use; to give reasons; to do commerce, to hawk",no_calima_kaikki_semantic_agreement
1144535,صادر,"to urge, to press, to oppress; to seize, to impound, to confiscate",no_calima_kaikki_semantic_agreement
1143796,معتمد,"reliant (on), dependent (on); active participle of اِعْتَمَدَ (iʕtamada); passive participle of اِعْتَمَدَ (iʕtamada)",no_calima_kaikki_semantic_agreement
1142451,فكري,,no_kaikki_semantic_entry
1140565,اللهم,,no_kaikki_semantic_entry
1135386,مالك,"owner; a male given name, Malik; owning, possessing, holding",no_calima_kaikki_semantic_agreement
1133547,غرض,"to yearn, to long; vexed, distressed; to be vexed, to be distressed",no_calima_kaikki_semantic_agreement
1132152,ذاتي,"personal; automatic; own, proper",no_calima_kaikki_semantic_agreement
1129192,مديرية,mudiriyah: an administrative subdivision,no_calima_kaikki_semantic_agreement
1120692,ست,,no_kaikki_semantic_entry
1116152,أجمل,"prettier; prettiest; to sum up, to summarize; to sum, to total, to add",no_calima_kaikki_semantic_agreement
1102897,طرح,to teach; to miscarry; miscarried foetus,no_calima_kaikki_semantic_agreement
1098014,ثنائي,"duo; having two parts; composed of two letters, biliteral",no_calima_kaikki_semantic_agreement
1088905,أتاح,"to make easy, to make possible, to facilitate",no_calima_kaikki_semantic_agreement
1073155,شعار,device; ensign; signal,no_calima_kaikki_semantic_agreement
1071355,مستعمل,"used; common, usual, in use, applied; passive participle of اِسْتَعْمَلَ (istaʕmala)",no_calima_kaikki_semantic_agreement
1068328,تجميل,verbal noun of جَمَّلَ (jammala) (form II); beautification (making something beautiful),no_calima_kaikki_semantic_agreement
1065720,كافي,,no_kaikki_semantic_entry
1065090,تسليم,taslim; consent; salutation,no_calima_kaikki_semantic_agreement
1064981,تحديث,"update; modernization, upgrade; verbal noun of حَدَّثَ (ḥaddaṯa) (form II)",no_calima_kaikki_semantic_agreement
1051887,ذكي,"intelligent, smart; to be smart, to be intelligent",no_calima_kaikki_semantic_agreement
1041296,معني,,no_kaikki_semantic_entry
1028936,منشأة,facility,no_calima_kaikki_semantic_agreement
1027841,تخصصي,,no_kaikki_semantic_entry
1027263,داعي,,no_kaikki_semantic_entry
1018660,عدل,equal; ransom; reward,no_calima_kaikki_semantic_agreement
1016259,مطلب,something sought; verbal noun of طَلَبَ (ṭalaba) (form I),no_calima_kaikki_semantic_agreement
1012161,بشرة,hand; herbage; surface,no_calima_kaikki_semantic_agreement
1005544,منشور,sawn; prism; manifesto,no_calima_kaikki_semantic_agreement
987961,طيب,"enjoyable; tasty, palatable; a male given name",no_calima_kaikki_semantic_agreement
984403,حجز,"to lock away; curbing, restraint; seclusion, isolation",no_calima_kaikki_semantic_agreement
982731,عشرات,,no_kaikki_semantic_entry
975073,نزل,"to reveal; to download; quarter, lodging",no_calima_kaikki_semantic_agreement
965472,غريبة,"peculiarity, a strange occurrence; female equivalent of غَرِيب (ḡarīb); feminine singular of غَرِيب (ḡarīb)",no_calima_kaikki_semantic_agreement
964296,تجاوز,a violation; an encroachment; verbal noun of تَجَاوَزَ (tajāwaza) (form VI),no_calima_kaikki_semantic_agreement
963493,نات,,no_kaikki_semantic_entry
960316,وحد,solitude; to combine; to connect,no_calima_kaikki_semantic_agreement
957967,مدرسي,,no_kaikki_semantic_entry
953151,مؤخر,active participle of أَخَّرَ (ʔaḵḵara); passive participle of أَخَّرَ (ʔaḵḵara),no_calima_kaikki_semantic_agreement
950496,أعاد,to repeat; to imitate; to restore,no_calima_kaikki_semantic_agreement
945220,أنشودة,,no_kaikki_semantic_entry
943769,خادم,deacon; server; employee,no_calima_kaikki_semantic_agreement
941132,شك,"to halt, limp; to scandalize; to be scandalized",no_calima_kaikki_semantic_agreement
934969,سار,valid; gratifying; to conduct oneself,no_calima_kaikki_semantic_agreement
930411,ركن,"to park; to incline to, to lean upon; to be dignified and respectful",no_calima_kaikki_semantic_agreement
928983,تغطية,verbal noun of غَطَّى (ḡaṭṭā) (form II),no_calima_kaikki_semantic_agreement
928487,ملحق,attaché; attached; carriage house,no_calima_kaikki_semantic_agreement
926308,جاز,"to irrigate; to disappear; to pass, pass by",no_calima_kaikki_semantic_agreement
924935,مختص,specialized,no_calima_kaikki_semantic_agreement
923789,مذكرة,"note, memo; notebook, jotter; warrant (e.g., to make an arrest or conduct a search)",no_calima_kaikki_semantic_agreement
922268,دمعي,,no_kaikki_semantic_entry
916542,إسكندرية,,no_kaikki_semantic_entry
916350,تسوق,shopping; verbal noun of تَسَوَّقَ (tasawwaqa) (form V),no_calima_kaikki_semantic_agreement
914107,كرتون,,no_kaikki_semantic_entry
911642,تغذية,verbal noun of غَذَّى (ḡaḏḏā) (form II),no_calima_kaikki_semantic_agreement
910079,طرح,to teach; to miscarry; miscarried foetus,no_calima_kaikki_semantic_agreement
907882,إعدادي,,no_kaikki_semantic_entry
906959,معارض,,no_kaikki_semantic_entry
898141,بد,idol; flight; separation,no_calima_kaikki_semantic_agreement
893500,إخباري,,no_kaikki_semantic_entry
892840,ضرائب,,no_kaikki_semantic_entry
890594,مجان,,no_kaikki_semantic_entry
881078,خص,"booth, shack, hut; to favor, to endow; to single out, to distinguish",no_calima_kaikki_semantic_agreement
877560,معاينة,verbal noun of عَايَنَ (ʕāyana) (form III),no_calima_kaikki_semantic_agreement
877219,سحب,to draw; to withdraw; to unsheathe,no_calima_kaikki_semantic_agreement
872716,ماكياج,makeup,no_calima_kaikki_semantic_agreement
872294,صرح,to miss; skyscraper; to publish,no_calima_kaikki_semantic_agreement
870610,مسرحية,,no_kaikki_semantic_entry
865947,وافق,"to succeed, go well; to adapt to something (with accusative); to suit (someone's taste, desires, etc.)",no_calima_kaikki_semantic_agreement
864456,جي,,no_kaikki_semantic_entry
853220,سياق,"context; dowry, nuptial gift; consequence, logical connection",no_calima_kaikki_semantic_agreement
851375,رجع,to claim; to depend; to reduce,no_calima_kaikki_semantic_agreement
841920,تجاوز,a violation; an encroachment; verbal noun of تَجَاوَزَ (tajāwaza) (form VI),no_calima_kaikki_semantic_agreement
839892,جماعي,,no_kaikki_semantic_entry
839296,شدد,"to be strict with; to restrict; to maintain; to affirm; to uphold; to restrict financially, to stint, to scant",no_calima_kaikki_semantic_agreement
834675,أمان,"indemnity; safeguarding; clemency, quarter",no_calima_kaikki_semantic_agreement
828724,سعادة,bliss; a surname; prosperity,no_calima_kaikki_semantic_agreement
827121,إغلاق,verbal noun of أَغْلَقَ (ʔaḡlaqa) (form IV),no_calima_kaikki_semantic_agreement
825937,منقول,portable; transmitted,no_calima_kaikki_semantic_agreement
824323,سيادة,lordship; gentleman; verbal noun of سَادَ (sāda) (form I),no_calima_kaikki_semantic_agreement
810827,مسجل,"tape recorder; registrar, notary public",no_calima_kaikki_semantic_agreement
808572,كانون,"brazier, hearth",no_calima_kaikki_semantic_agreement
808268,تشطيب,,no_kaikki_semantic_entry
805116,لافت,,no_kaikki_semantic_entry
804559,أد,,no_kaikki_semantic_entry
804091,مصرف,"drained; exchanged; escape, way out",no_calima_kaikki_semantic_agreement
802811,محاكمة,trial; verbal noun of حَاكَمَ (ḥākama) (form III),no_calima_kaikki_semantic_agreement
802244,توقيت,verbal noun of وَقَّتَ (waqqata) (form II),no_calima_kaikki_semantic_agreement
796159,فحص,"to examine; verbal noun of فَحَصَ (faḥaṣa); to experiment, to test, to check",no_calima_kaikki_semantic_agreement
796113,تدريبي,,no_kaikki_semantic_entry
792236,مسافر,traveller,no_calima_kaikki_semantic_agreement
788771,تأسيس,founding; verbal noun of أَسَّسَ (ʔassasa) (form II),no_calima_kaikki_semantic_agreement
788200,محمول,"predicate; quality, attribute; endurable, bearable",no_calima_kaikki_semantic_agreement
787885,مصالحة,reconciliation; verbal noun of صَالَحَ (ṣālaḥa) (form III),no_calima_kaikki_semantic_agreement
784533,أكسسوار,,no_kaikki_semantic_entry
784219,عكس,versus; against; antonym,no_calima_kaikki_semantic_agreement
781160,توحيد,unity; oneness; regularization,no_calima_kaikki_semantic_agreement
780759,مطلق,divorced; implicit; downright,no_calima_kaikki_semantic_agreement
778135,تلميذ,cadet; Talmud; Disciple,no_calima_kaikki_semantic_agreement
777807,تأكد,"to ascertain; to be strengthened, to be fortified; to be confirmed, to prove to be true",no_calima_kaikki_semantic_agreement
774822,قابل,"to repay, to return; to compare, to collate; to confront, to face, to counter",no_calima_kaikki_semantic_agreement
773064,قيد,strap; under; contract,no_calima_kaikki_semantic_agreement
771857,رئاسي,related to leadership,no_calima_kaikki_semantic_agreement
771291,مخالفة,"minor offence, infraction; verbal noun of خَالَفَ (ḵālafa) (form III)",no_calima_kaikki_semantic_agreement
761851,تردد,frequency; to frequent; to be made to go back,no_calima_kaikki_semantic_agreement
760041,فجر,to explode; to let pour forth; a female given name,no_calima_kaikki_semantic_agreement
760024,روبية,,no_kaikki_semantic_entry
757615,آتي,,no_kaikki_semantic_entry
750449,توكيل,,no_kaikki_semantic_entry
748156,عمالة,,no_kaikki_semantic_entry
740905,قصف,fragile; to bomb; to break,no_calima_kaikki_semantic_agreement
733177,مجرى,"gutter, channel, canalization; stream of things, order of events; current (of water, air and electricity)",no_calima_kaikki_semantic_agreement
732122,صحافي,journalist,no_calima_kaikki_semantic_agreement
728070,كامرا,,no_kaikki_semantic_entry
727589,كتيبة,battalion,no_calima_kaikki_semantic_agreement
723605,إنهاء,verbal noun of أَنْهَى (ʔanhā) (form IV),no_calima_kaikki_semantic_agreement
723286,حدوث,verbal noun of حَدَثَ (ḥadaṯa) (form I),no_calima_kaikki_semantic_agreement
722208,صيغة,"form; origin; extension, type",no_calima_kaikki_semantic_agreement
720566,نطاق,"domain; garrison belt; limit, boundary",no_calima_kaikki_semantic_agreement
720226,إذاعة,radio channel; verbal noun of أَذَاعَ (ʔaḏāʕa) (form IV),no_calima_kaikki_semantic_agreement
717042,مكلف,taxable; freckled; full of pimples,no_calima_kaikki_semantic_agreement
715126,شبه,"brass; similarity; likeness, figure",no_calima_kaikki_semantic_agreement
712798,أسيوي,,no_kaikki_semantic_entry
710092,وسطي,,no_kaikki_semantic_entry
709498,تصفح,browsing; to browse; verbal noun of تَصَفَّحَ (taṣaffaḥa) (form V),no_calima_kaikki_semantic_agreement
704989,تطورات,,no_kaikki_semantic_entry
701817,عهد,covenant; testament; commission,no_calima_kaikki_semantic_agreement
698157,تجهيز,"preparation; equipping, fitting; verbal noun of جَهَّزَ (jahhaza) (form II)",no_calima_kaikki_semantic_agreement
696958,وسع,"to expand; to be wide; ability, strength",no_calima_kaikki_semantic_agreement
696612,ثماني,,no_kaikki_semantic_entry
689826,بشر,"human; to peel, to pare; to eat the ground bare",no_calima_kaikki_semantic_agreement
689311,سلوك,commerce; proceeding; good manners,no_calima_kaikki_semantic_agreement
686751,مثير,germ; arousing; exciting,no_calima_kaikki_semantic_agreement
686197,جراء,only used in مِنْ جَرَّاءِ (min jarrāʔi),no_calima_kaikki_semantic_agreement
679015,كودة,,no_kaikki_semantic_entry
674732,معالج,,no_kaikki_semantic_entry
674112,محتل,active participle of اِحْتَلَّ (iḥtalla); passive participle of اِحْتَلَّ (iḥtalla),no_calima_kaikki_semantic_agreement
672679,إس,,no_kaikki_semantic_entry
668047,راتب,"trivial; monotonous, dull, humdrum; featureless, monotone, routine",no_calima_kaikki_semantic_agreement
667483,يهودي,Jew,no_calima_kaikki_semantic_agreement
666167,تلفزيوني,,no_kaikki_semantic_entry
665530,نظير,"isotope; corresponding; similar, alike",no_calima_kaikki_semantic_agreement
664684,مبيع,passive participle of بَاعَ (bāʕa); verbal noun of بَاعَ (bāʕa) (form I); active participle of أَبَاعَ (ʔabāʕa),no_calima_kaikki_semantic_agreement
662285,وقوف,verbal noun of وَقَفَ (waqafa) (form I),no_calima_kaikki_semantic_agreement
662076,مصور,painter; cameraman; illustrated,no_calima_kaikki_semantic_agreement
661972,مؤهل,,no_kaikki_semantic_entry
661223,تأليف,a work of literature or art; verbal noun of أَلَّفَ (ʔallafa) (form II),no_calima_kaikki_semantic_agreement
657798,موجه,,no_kaikki_semantic_entry
657548,شراكة,,no_kaikki_semantic_entry
656232,توصل,"to get to, to reach; to be joined, be coupled; to be united by friendship or love",no_calima_kaikki_semantic_agreement
654996,كريم,"cream; precious; generous, liberal",no_calima_kaikki_semantic_agreement
648532,متحرك,walking; marked with a vowel; active participle of تَحَرَّكَ (taḥarraka),no_calima_kaikki_semantic_agreement
648102,سرقة,verbal noun of سَرَقَ (saraqa) (form I),no_calima_kaikki_semantic_agreement
645824,حاضر,tribe; family; to lecture,no_calima_kaikki_semantic_agreement
640089,محفوظ,"memorized; kept, stored; a surname, Mahfud",no_calima_kaikki_semantic_agreement
639684,مرتفع,a high place; active participle of اِرْتَفَعَ (irtafaʕa),no_calima_kaikki_semantic_agreement
638230,وارد,"path, road; imported, arrived; one who enters somewhere",no_calima_kaikki_semantic_agreement
637801,علق,blood; leeches; to adhere,no_calima_kaikki_semantic_agreement
636122,قوم,men; sect; family,no_calima_kaikki_semantic_agreement
635125,رصد,to observe,no_calima_kaikki_semantic_agreement
633440,ني,me (bound object pronoun),no_calima_kaikki_semantic_agreement
632690,مقاول,,no_kaikki_semantic_entry
632440,توفيق,time; fitting; accommodation,no_calima_kaikki_semantic_agreement
630013,وقوع,verbal noun of وَقَعَ (waqaʕa) (form I),no_calima_kaikki_semantic_agreement
629322,موحد,"Muwahhid, Almohad; active participle of وَحَّدَ (waḥḥada); passive participle of وَحَّدَ (waḥḥada)",no_calima_kaikki_semantic_agreement
628177,عفش,,no_kaikki_semantic_entry
626942,مذهب,"faith; gilded; course, school",no_calima_kaikki_semantic_agreement
624773,مصمم,designer,no_calima_kaikki_semantic_agreement
624597,أبصار,,no_kaikki_semantic_entry
618782,كلي,universal,no_calima_kaikki_semantic_agreement
618743,تدبير,order; opinion; government,no_calima_kaikki_semantic_agreement
618433,راعي,,no_kaikki_semantic_entry
615005,طريفة,a joke; feminine singular of طَرِيف (ṭarīf),no_calima_kaikki_semantic_agreement
613520,طفولة,childhood,no_calima_kaikki_semantic_agreement
605902,جامع,collector; to congregate; compiler (of books),no_calima_kaikki_semantic_agreement
604392,رابط,"to camp; link, linkage; hyperlink, link",no_calima_kaikki_semantic_agreement
604053,أنصار,,no_kaikki_semantic_entry
603209,قرض,to die; cutting; to blame,no_calima_kaikki_semantic_agreement
596405,مسبق,,no_kaikki_semantic_entry
595461,بنى,"to lie with a woman; to assist by benefits; to strengthen, to fatten",no_calima_kaikki_semantic_agreement
591730,غلب,to seize; to prevail; to be likely,no_calima_kaikki_semantic_agreement
591258,فصيل,weaned young camel,no_calima_kaikki_semantic_agreement
588716,عكس,versus; against; antonym,no_calima_kaikki_semantic_agreement
587684,بلدي,"native; communal, municipal; fellow citizen, compatriot, countryman",no_calima_kaikki_semantic_agreement
585480,كفاءة,adequacy; equality; comparableness,no_calima_kaikki_semantic_agreement
584991,إخراج,banishment; verbal noun of أَخْرَجَ (ʔaḵraja) (form IV); direction (work of the director in cinema or theater),no_calima_kaikki_semantic_agreement
584742,ناطق,"orator, spokesperson; to discuss with or talk to; active participle of نَطَقَ (naṭaqa)",no_calima_kaikki_semantic_agreement
583107,مهاجر,"migrant, immigrant",no_calima_kaikki_semantic_agreement
582298,دراما,,no_kaikki_semantic_entry
