rank,front,meaning,status,wordfreq_zipf,kaikki_entry,kaikki_semantic_support,kaikki_overlap_terms,readurdu_entry,readurdu_semantic_support,calima_exact_analyses,flags,readurdu_semantic_agreement,kaikki_semantic_agreement_recheck,word2word_entry,word2word_translations,word2word_semantic_agreement,word2word_overlap_terms,semantic_source_count,combined_status
1022,والی,the one who/that (feminine suffix),explicit_review_required,5.910,False,False,,True,True,,,True,False,True,brewing; handkerchief; bold; Am; War,False,,1,explicit_review_required
1023,سکتا,"can, is able (masculine of سکنا)",explicit_review_required,5.850,False,False,,True,True,,,True,False,True,might; Can; couldn; breathe; happen,True,can,2,verified_strong
1024,دے,inflection of देना (denā):,explicit_review_required,6.040,False,False,,True,True,,,True,False,True,Give; give; giving; letting; e-mail,False,,1,explicit_review_required
1025,پہر,"n. unit of time equalling three hours | Platts: s.m. A division of time consisting of eight ghaṛīs or three hours, an eighth part of a day, a watch: —…",verified_strong,4.160,True,True,"equall,equalling,hour,hours,three,time,unit",True,True,,,True,True,True,hopefully; raid; afternoon; set; ISI,False,,2,verified_strong
1026,جاتی,"s.f. See jāt, s.f",explicit_review_required,5.780,False,False,,True,True,,,True,False,True,supposed; makes; boil; tingle; CHUCKLING,False,,1,explicit_review_required
1027,بارے,"about, regarding (کے بارے میں)",explicit_review_required,5.620,False,False,,True,True,,,True,False,True,about; About; ABOUT; talking; thinking,True,about,2,verified_strong
1028,ای,the English letter E (in acronyms),explicit_review_required,5.160,False,False,,True,True,,,True,False,True,e-mail; recognize; BQE; blanket; faster,True,e,2,verified_strong
1029,لیا,took (masculine of لینا),explicit_review_required,5.860,False,False,,True,True,,,True,False,True,took; taken; appointment; saved; captured,True,took,2,verified_strong
1030,جانے,"(2nd. or 3rd. pers. sing. aor. of jānnā), adv. & conj. One would suppose…",explicit_review_required,5.810,False,False,,True,True,,,True,False,True,go; Let; Way; knowing; letting,False,,1,explicit_review_required
1031,پی,the English letter P; drank (feminine of پینا),explicit_review_required,6.080,False,False,,True,True,,,True,False,True,PC; GPS; Doctor; spent; IP,False,,1,explicit_review_required
1032,امریکی,American,explicit_review_required,5.750,False,False,,True,True,,,True,False,True,American; U.S; breathe; citizen; Army,True,american,2,verified_strong
1033,ہوتے,"happen, are (plural)",explicit_review_required,5.810,False,False,,True,True,,,True,False,True,gloat; such; wish; narratives; assholes,False,,1,explicit_review_required
1034,کرتا,does (masculine of کرنا); kurta (shirt),explicit_review_required,5.900,False,False,,True,True,,,True,False,True,works; does; PLAYS; MUSIC; uses,True,doe|does,2,verified_strong
1035,ایم,the English letter M (in acronyms),explicit_review_required,5.750,False,False,,True,True,,,True,False,True,EM; MMA; em; upset; TAKE,False,,1,explicit_review_required
1036,بتایا,"told, informed (of بتانا)",explicit_review_required,5.160,False,False,,True,True,,,True,False,True,told; Has; Raptor; cleared; blow,True,told,2,verified_strong
1037,مجہے,"(dialec.) मुझै mujhai (see mujh), pron. Me; to me",explicit_review_required,0.000,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1038,پولیس,police,explicit_review_required,5.800,False,False,,True,True,,,True,False,True,police; Police; cop; policeman; cops,True,police,2,verified_strong
1039,کہیل,"(prob. akin to khilnā, q.v.), s.f. Parched grain or rice (inflated or puffed out so as to appear like froth;…",explicit_review_required,0.000,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1040,کرے,may do (subjunctive of کرنا),explicit_review_required,5.870,False,False,,True,True,,,True,False,True,wouldn; Will; change; brought; someone,False,,1,explicit_review_required
1041,سکتے,"can, are able (plural)",explicit_review_required,5.670,False,False,,True,True,,,True,False,True,CAN; Can; cannot; may; leave,True,can,2,verified_strong
1042,گہر,"s.m. House, dwelling, mansion, habitation, abode, home; — a room (in a house), an apartment; — a den; nest;…",explicit_review_required,3.310,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1043,جاتے,inflection of जाना (jānā):,explicit_review_required,5.710,False,False,,True,True,,,True,False,True,Move; baptized; birds; slide; bottom,False,,1,explicit_review_required
1044,سکتی,"can, is able (feminine)",explicit_review_required,5.460,False,False,,True,True,,,True,False,True,remove; blade; pierce; handle; holds,False,,1,explicit_review_required
1045,میچ,match (sports),explicit_review_required,5.320,False,False,,True,True,,,True,False,True,be; coincidence; ZIP; 6; match,True,match,2,verified_strong
1046,دیں,give (polite/plural of دینا),explicit_review_required,5.720,False,False,,True,True,,,True,False,True,Turn; flying; bases; lose; train,False,,1,explicit_review_required
1047,سکے,plural direct of سِکَّہ (sikka — coin; medal) | also: oblique singular of سِکَّہ (sikka — coin; medal),explicit_review_required,5.320,False,False,,True,True,,,True,False,True,telescope; balcony; vantage; shatter; causing,False,,1,explicit_review_required
1048,ٹی,the English letter T (in acronyms),explicit_review_required,5.790,False,False,,True,True,,,True,False,True,IT; S; TV; ABOUT; BLAKE,False,,1,explicit_review_required
1049,علاوہ,"besides, in addition to (کے علاوہ)",verified,5.690,False,False,,True,True,,,True,False,True,except; plus; perish; apart; Everyone,False,,1,verified
1050,خبریں,plural formal of خَبَر (xabar — news),explicit_review_required,4.890,False,False,,True,True,,,True,False,True,indications; saw; arming; plotting; appeared,False,,1,explicit_review_required
1051,آئے,came (plural),explicit_review_required,5.750,False,False,,True,True,,,True,False,True,come; came; COME; HAVE; forgot,True,came,2,verified_strong
1052,عالمی,"global, international",explicit_review_required,5.560,False,False,,True,True,,,True,False,True,World; War; global; Her; Second,True,global,2,verified_strong
1053,حوالے,"plural direct of حَوَالَہ (havāla — reference, citing) | also: oblique singular of حَوَالَہ (havāla — reference, citing)",explicit_review_required,5.230,False,False,,True,True,,,True,False,True,hand; regards; over; obliged; fact,False,,1,explicit_review_required
1054,دینے,oblique infinitive; masculine plural infinitive participle,explicit_review_required,5.750,True,True,"infinitive,masculine,oblique,participle,plural",False,,,,False,True,True,give; deceiving; cloned; Welcome; Of,False,,1,explicit_review_required
1055,آنے,inflection of आना (ānā): | also: plural direct of آنَہ (āna — an anna (¹⁄₁₆ of an Indian rupee)),explicit_review_required,5.590,False,False,,True,True,,,True,False,True,come; coming; COMING; shouldn; working,False,,1,explicit_review_required
1056,کرتی,does (feminine of کرنا),explicit_review_required,5.560,False,False,,True,True,,,True,False,True,much; love; talks; unite; Friends,False,,1,explicit_review_required
1057,ایسی,direct/oblique/vocative feminine singular/plural of ऐसा (aisā),explicit_review_required,5.600,False,False,,True,True,,,True,False,True,such; repeat; Something; wasn; unclaimed,False,,1,explicit_review_required
1058,سید,Sayyid (title/name: descendant of the Prophet),explicit_review_required,5.400,False,False,,True,True,,,True,False,True,Sayeed; ?,False,,1,explicit_review_required
1059,تعمیر,"construction, building",explicit_review_required,5.340,False,False,,True,True,,,True,False,True,build; built; rebuild; BUILT; REBUILD,True,build,2,verified_strong
1060,ذریعے,"plural direct of ذَرِیعَہ (zariya — means, way, agency) | also: oblique singular of ذَرِیعَہ (zariya — means, way, agency)",explicit_review_required,5.370,False,False,,True,True,,,True,False,True,through; THROUGH; ashes; skull; via,False,,1,explicit_review_required
1061,دیتے,give (plural),explicit_review_required,5.610,False,False,,True,True,,,True,False,True,invite; suggest; unhook; -You; Money,False,,1,explicit_review_required
1062,مشرف,"Musharraf (Pervez Musharraf, Pakistani president 2001–08); honored",explicit_review_required,5.020,False,False,,True,True,,,True,False,True,Musharraf; tried; mean; kill; trust,True,musharraf,2,verified_strong
1063,پابندی,"restriction, curtailment; custom, tradition",explicit_review_required,4.990,False,False,,True,True,,,True,False,True,banned; punctual; Drink; drinking; particular,False,,1,explicit_review_required
1064,ڈی,the English letter D (in acronyms),explicit_review_required,5.630,False,False,,True,True,,,True,False,True,dig; Dig; DVDs; CDs; Proper,False,,1,explicit_review_required
1065,پوری,s.f. A thin cake of meal fried in ghī or oil,explicit_review_required,5.610,False,False,,True,True,,,True,False,True,whole; entire; truculent; supply; convince,False,,1,explicit_review_required
1066,لیں,take (polite/plural of لینا),explicit_review_required,5.510,False,False,,True,True,,,True,False,True,LL; flying; burn; bases; Listen,False,,1,explicit_review_required
1067,ایس,the English letter S (in acronyms),explicit_review_required,5.680,False,False,,True,True,,,True,False,True,ISI; SUV; GPS; hopefully; raid,False,,1,explicit_review_required
1068,مل,"s.m. Dirt, filth; dust; impurity; impure matter; excrement; refuse; sediment; dregs; scum; alloy or dross (of…",explicit_review_required,5.600,False,False,,True,True,,,True,False,True,got; meet; MEET; found; Nice,False,,1,explicit_review_required
1069,اسمبلی,"assembly, legislature",explicit_review_required,5.570,False,False,,True,True,,,True,False,True,...; member; honored; excuse; assembly,True,assembly,2,verified_strong
1070,اعلان,"announcement, declaration",explicit_review_required,5.570,False,False,,True,True,,,True,False,True,proclaim; martyr; announced; backstabbing; trail,False,,1,explicit_review_required
1071,تحت,"(in A. phrases taḥtu), s.m. The location which is beneath, the interior part, the under part, the inferior…",explicit_review_required,5.440,False,False,,True,True,,,True,False,True,under; command; 9000; rpms; BKA,True,under,2,verified_strong
1072,ابہی,"adj. & s.m. (f. -ā), Without fear, fearless, undaunted, bold, courageous; — a fearless person, &c.…",explicit_review_required,0.000,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1073,آف,of (in English names: بینک آف...),explicit_review_required,5.560,False,False,,True,True,,,True,False,True,Off; off; piggyback; Council; 2,False,,1,explicit_review_required
1074,لیگ,league,explicit_review_required,5.650,False,False,,True,True,,,True,False,True,leagues; mossy; knoll; thickets; due,True,league,2,verified_strong
1075,بہر,"(changeable to बहिस् bahis and बहिः bahih̥), adj. Out, without, outside, outer, ex ternal, exterior…",explicit_review_required,4.180,False,False,,True,True,,,True,False,True,Nevertheless; Basically; Either; live; tough,False,,1,explicit_review_required
1076,چکے,"(fr. ćakkā), s.m. A Hindū festival at which it is unlawful to eat any grain ground in a mill. | also: plural masculine of چُکْنا (cuknā — to be settled) | also: plural masculine of چَکْنا (caknā — to be astonished, bewildered, surprised, or amazed)",explicit_review_required,5.300,False,False,,True,True,,,True,False,True,dead; Sir; Sarah; boarded; trading,False,,1,explicit_review_required
1077,حالات,"circumstances, conditions",explicit_review_required,5.370,False,False,,True,True,,,True,False,True,situation; circumstances; Conditions; optimal; Schizophrenia,True,circumstanc|circumstance|circumstances|condition|conditions,2,verified_strong
1078,لگا,"seemed, struck, began (of لگنا)",explicit_review_required,5.650,False,False,,True,True,,,True,False,True,Pleasure; felt; meet; MEET; Nice,False,,1,explicit_review_required
1079,سلسلے,"plural direct of سِلْسِلَہ (silsila — chain, shackle) | also: oblique singular of سِلْسِلَہ (silsila — chain, shackle)",explicit_review_required,5.130,False,False,,True,True,,,True,False,True,regard; carrying; unless; Even; rifle,False,,1,explicit_review_required
1080,گرفتار,"adj. & s.m. Taken, seized, arrested, captured; involved (in), entangled; liable; stricken, smitten (with…",explicit_review_required,5.320,False,False,,True,True,,,True,False,True,arrest; captured; arrested; under; captivated,True,arrest|arrested|captur|captured,2,verified_strong
1081,رنز,s.m. Rice (syn. ćāwal; birinj),explicit_review_required,4.600,False,False,,True,True,,,True,False,True,runs; Three; will; score; .,False,,1,explicit_review_required
1082,اقبال,"s.m. Prosperity, good fortune, auspices, felicity; prestige; — acceptance (of a bond, bill, &c.); admission…",explicit_review_required,5.340,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1083,نمبر,"number, numeral; phone number",explicit_review_required,5.330,False,False,,True,True,,,True,False,True,number; No; numbers; requested; calling,True,number,2,verified_strong
1084,لی,took (feminine of لینا),explicit_review_required,5.420,False,False,,True,True,,,True,False,True,took; Le; Midnight; Wherever; meeting,True,took,2,verified_strong
1085,رپورٹ,report,explicit_review_required,5.340,False,False,,True,True,,,True,False,True,report; reported; REPORTS; RE; -Did,True,report,2,verified_strong
1086,اچہی,"adj. Imperishable; undecayable: — aććhai-lok, s.m. The imperishable world, heaven",explicit_review_required,0.000,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1087,خطاب,"(inf. n. of iii of خطب 'to recite'), s.m. Conversation, discourse, speech, address, harangue…",explicit_review_required,5.270,False,False,,True,True,,,True,False,True,Speech; mechanical; modestly; engineer; Speaking,True,speech,2,verified_strong
1088,سرکاری,"governmental, official",explicit_review_required,5.480,False,False,,True,True,,,True,False,True,official; officially; Officially; answer; Google-proof,True,official,2,verified_strong
1089,بہائی,"adj. Baháʼí | n. Baháʼí | Platts: s.f. A spirit, supposed to tease infants by whispering alternately sad and pleasing things in their ears…",verified_strong,3.330,True,True,bah,True,True,,,True,True,False,,False,,2,verified_strong
1090,کہتے,form of کَہْنا (kahnā — to say) | also: plural masculine of کَہْنا (kahnā — to say),explicit_review_required,5.630,False,False,,True,True,,,True,False,True,say; says; krushkach; unidentified; operative,True,say,2,verified_strong
1091,باوجود,despite (کے باوجود),explicit_review_required,5.270,False,False,,True,True,,,True,False,True,:; 09; 00; still; devising,False,,1,explicit_review_required
1092,چکا,already done (completive of چکنا),explicit_review_required,5.360,False,False,,True,True,,,True,False,True,letters; drop; gone; Actually; bought,False,,1,explicit_review_required
1093,حسن,beauty,explicit_review_required,5.400,False,False,,True,True,,,True,False,True,seats; kindly; Good; stay; Lord,False,,1,explicit_review_required
1094,بنایا,"made, built (of بنانا)",explicit_review_required,5.460,False,False,,True,True,,,True,False,True,made; built; granny; bounce; journey,True,built|made,2,verified_strong
1095,صوبائی,provincial,explicit_review_required,5.230,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1096,کانفرنس,conference,explicit_review_required,5.300,False,False,,True,True,,,True,False,True,conference; Sydney; Eyes; Five; -Press,True,conference,2,verified_strong
1097,مولانا,a maulana,explicit_review_required,5.520,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1098,میر,"(contrac. of amīr, q.v.), s.m. Chief, leader, master, head, dux; a title by which the Saiyids (or descendants…",explicit_review_required,5.170,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1099,پہنچ,"(see pahuṅćnā), s.f. Arrival; reach; access, admittance; attainment, comprehension; sagacity, penetration;… | also: form of پَہُن٘چنا (pahũcnā — to arrive, to reach)",explicit_review_required,5.350,False,False,,True,True,,,True,False,True,reach; reached; gotten; solid; undo,True,reach,2,verified_strong
1100,پیداوار,"produce; yield (of land); production, manufacture",explicit_review_required,4.920,False,False,,True,True,,,True,False,True,produce; production; warm; nice; Increase,True,produce|production,2,verified_strong
1101,کیے,did (plural of کرنا),explicit_review_required,5.690,False,False,,True,True,,,True,False,True,signed; bugged; bunch; realizing; Sun,False,,1,explicit_review_required
1102,پروفیسر,professor,explicit_review_required,5.050,False,False,,True,True,,,True,False,True,PROFESSOR; INTENSE; SOMETHING; HAPPEN; HERE,True,professor,2,verified_strong
1103,درج,"(inf. n. of درج 'to fold or roll up'), s.m. Folding up, fold; comprising, including, holding; insertion,…",explicit_review_required,5.280,False,False,,True,True,,,True,False,True,Enter; trumpeted; entered; Ahab; Recorded,False,,1,explicit_review_required
1104,چاہتے,want (plural of چاہنا),explicit_review_required,5.440,False,False,,True,True,,,True,False,True,want; wish; wanna; Want; Festival,True,want,2,verified_strong
1105,چودہری,"s.m. The head man of a caste, guild, profession, or trade; the head man of a village; a title, an honorific…",explicit_review_required,0.000,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1106,دیتا,gives (masculine of دینا),explicit_review_required,5.500,False,False,,True,True,,,True,False,True,paying; gives; embassies; techniques; break-in,True,giv|give|gives,2,verified_strong
1107,قیام,"stay, residence; establishment",explicit_review_required,5.330,False,False,,True,True,,,True,False,True,formation; stay; visit; Keep; Mangrove,True,stay,2,verified_strong
1108,ڈالر,dollar,explicit_review_required,5.300,False,False,,True,True,,,True,False,True,dollars; billions; Dollars; bald; 1200,True,dollar,2,verified_strong
1109,بہترین,"best, excellent",explicit_review_required,5.360,False,False,,True,True,,,True,False,True,best; demands; Best; school; Detective,True,best,2,verified_strong
1110,زیر,"under, below (زیرِ غور = under consideration)",explicit_review_required,5.410,False,False,,True,True,,,True,False,True,underground; footprint; logs; figure; deck,False,,1,explicit_review_required
1111,وزیراعظم,prime minister,explicit_review_required,5.620,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1112,زخمی,"(rel. n. fr. zaḵẖm), adj. & s.m.f. Wounded, hurt; slain, killed by a wound; — a wounded person: — zaḵẖmī…",explicit_review_required,5.290,False,False,,True,True,,,True,False,True,wounded; -Medic; Buddy; leg; attacks,True,wound|wounded,2,verified_strong
1113,شخصیت,"(for A. شخصية, abst. s. fr. شخصی, rel. n. of shaḵẖṣ), s.f. Individuality, personality, identity; nobility,…",explicit_review_required,5.080,False,False,,True,True,,,True,False,True,personality; Multiple; disorder; controversy; figure,True,personality,2,verified_strong
1114,سکول,school,explicit_review_required,4.910,False,False,,True,True,,,True,False,True,Philly; DRIVING; SCHOOL; UP; teacher,True,school,2,verified_strong
1115,سری,"s.f. Cascade, waterfall; water-course, channel for water (in a garden, &c.), a river; — sari-tīr, s.m. Bank…",explicit_review_required,5.040,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1116,نیوز,news,explicit_review_required,5.380,False,False,,True,True,,,True,False,True,Coast; news; East; newsstands; lines,True,new|news,2,verified_strong
1117,حیثیت,"status, standing, capacity",explicit_review_required,5.320,False,False,,True,True,,,True,False,True,position; exactly; supported; fully; refugee,False,,1,explicit_review_required
1118,کہیں,"somewhere, anywhere | also: plural perfective of کَہْنا (kahnā — to say)",explicit_review_required,5.540,False,False,,True,True,,,True,False,True,anywhere; somewhere; nowhere; Anywhere; wherever,True,anywhere|somewhere,2,verified_strong
1119,این,the English letter N (in acronyms),explicit_review_required,5.610,False,False,,True,True,,,True,False,True,CNN; Police; Baldwin; bomber; confirming,False,,1,explicit_review_required
1120,ملا,"met, received (of ملنا); mullah",explicit_review_required,5.370,False,False,,True,True,,,True,False,True,got; Got; found; met; SECOND,True,met,2,verified_strong
1121,ایف,the English letter F (in acronyms),explicit_review_required,5.270,False,False,,True,True,,,True,False,True,F-16s; scrambled; Paks; F.B.I.; wherever,True,f,2,verified_strong
1122,چل,"s.f.m. (masc. in S., but fem. in H., in which it is the v.n. of ćalnā, q.v.), Going, departure; dispersion;…",explicit_review_required,5.260,False,False,,True,True,,,True,False,True,running; walking; Running; goin; walk,False,,1,explicit_review_required
1123,زائد,"(act. part. of زيد 'to increase,' &c.), adj. Exceeding, in excess, beyond, more (than, -se), redundant,…",explicit_review_required,5.050,False,False,,True,True,,,True,False,True,over; Lights; Waziristan; Impala; lanes,False,,1,explicit_review_required
1124,شرح,rate; commentary,explicit_review_required,5.020,False,False,,True,True,,,True,False,True,rate; Heart; rising; highest; homicide,True,rate,2,verified_strong
1125,تقریب,"s.f. Giving access (to), causing to approach, bringing near; approaching; approximation, proximity; approach,…",explicit_review_required,5.070,False,False,,True,True,,,True,False,True,event; an; other; won; night,False,,1,explicit_review_required
1126,چاہیے,"should, ought to, is needed",explicit_review_required,5.610,False,False,,True,True,,,True,False,True,supposed; should; listened; contact; hurry,True,should,2,verified_strong
1127,آتا,"(imperf. part. of آنا ānā, q.v.), s.m. One who comes, a comer; that which is coming to or due, dues,…",explicit_review_required,5.400,False,False,,True,True,,,True,False,True,comes; understand; falls; Here; BACK,True,com|come|comes,2,verified_strong
1128,تعالی,"adj., lit. 'He is exalted'; or 'be He exalted'; the Exalted, the Most High (God)",explicit_review_required,5.630,False,False,,True,True,,,True,False,True,Catch; little; bitch; that; !,False,,1,explicit_review_required
1129,دیکہا,"(fr. dekhnā, q.v.), s.m. (f. -ī), Seeing, sight: — dekhā-bhālī, s.f. Looking, scanning; ogling…",explicit_review_required,0.000,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1130,اچہا,"adj. (f. -ī), Good; serviceable; useful; fit; excellent; nice, fine; — sound; hale; healthy; salubrious (as…",explicit_review_required,0.000,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1131,رہیں,plural perfective of رَہْنا (rahnā — to live) | also: feminine of رَہْنا (rahnā — to live),explicit_review_required,5.370,False,False,,True,True,,,True,False,True,stay; remain; Stay; decency; propriety,False,,1,explicit_review_required
1132,جمع,"(inf. n. of جمع 'to collect'), s.f. A collection, a number together, an assemblage, a congregation, assembly;…",explicit_review_required,5.310,False,False,,True,True,,,True,False,True,gather; collecting; collection; scrap; metal,True,collect|collection,2,verified_strong
1133,آؤٹ,out,explicit_review_required,4.720,False,False,,True,True,,,True,False,True,OUT; walk-out; ONE-NINETY-EIGHT; MIGHT; NOT,True,out,2,verified_strong
1134,سالہ,"(fr. sāl), adj. aff. Years old, &c. (used with numerals, e.g. du-sāla, 'Two years old'; ṣad-sāla, 'of a…",explicit_review_required,4.940,False,False,,True,True,,,True,False,True,16-year-old; 30-year; Coast; Dad; Fifteen-year-old,True,old|year,2,verified_strong
1135,رہتے,"(formative or oblique of rahtā, imperf. part. of rahnā), adv. In the presence (of, -ke), before; while (he… | also: form of رَہْنا (rahnā — to live)",explicit_review_required,5.250,False,False,,True,True,,,True,False,True,live; lived; Remember; More; fail,True,live,2,verified_strong
1136,ارکان,"s.m. pl. (of رکن rukn), Supports, props; posts, pillars, columns; component parts; fundamentals, essentials;…",explicit_review_required,5.080,False,False,,True,True,,,True,False,True,newest; operate; members; According; seems,False,,1,explicit_review_required
1137,رقم,"(inf. n. of رقم 'to stamp, mark,' &c.), s.f. Mark, sign, price-mark; writing, hand-writing, character;…",explicit_review_required,4.900,False,False,,True,True,,,True,False,True,money; amount; My; dollars; Five,False,,1,explicit_review_required
1138,آتے,inflection of आना (ānā); inflection of आना (ānā):,explicit_review_required,5.350,False,False,,True,True,,,True,False,True,come; look; dearie; protesting; 44,False,,1,explicit_review_required
1139,بنائے,made (plural),explicit_review_required,5.010,False,False,,True,True,,,True,False,True,framed; decisions; Founders; These; appointed,False,,1,explicit_review_required
1140,رہنے,oblique infinitive of رَہْنا (rahnā — to live) | also: plural infinitive of رَہْنا (rahnā — to live),explicit_review_required,5.270,False,False,,True,True,,,True,False,True,stay; STAY; live; living; survive,True,live,2,verified_strong
1141,عرصہ,"(for A. عرصة, v.n. fr. عرص 'to play, sport,' &c.), s.m. Court, open area (of a house, — the 'play-ground' of…",explicit_review_required,5.060,False,False,,True,True,,,True,False,True,long; ago; weren; staying; Tsars,False,,1,explicit_review_required
1142,شوکت,"corr. shokat (for A. شوکة, n. of un. fr. shauk, inf. n. of شوك 'to pierce,' &c.), s.f. A thorn; — power,…",explicit_review_required,4.670,False,False,,True,True,,,True,False,False,,False,,1,explicit_review_required
1143,یونیورسٹی,university,explicit_review_required,5.340,False,False,,True,True,,,True,False,True,University; hacked; bachelor; stored; university,True,university,2,verified_strong
1144,شائع,published (شائع ہونا = to be published),explicit_review_required,5.210,False,False,,True,True,,,True,False,True,publish; reposted; ourselves; beginning; publishing,True,publish,2,verified_strong
1145,برقرار,"established, confirmed, fixed, settled, maintained",explicit_review_required,4.980,False,False,,True,True,,,True,False,True,maintain; Maintaining; preserve; oxygen; level,True,maintain,2,verified_strong
1146,حکام,"authorities, officials (plural of حاکم)",explicit_review_required,4.860,False,False,,True,True,,,True,False,True,authorities; officials; discover; THANK; high-level,True,authoriti|authoritie|authorities|authority|official|officials,2,verified_strong
1147,ملے,"met, received (plural)",explicit_review_required,5.290,False,False,,True,True,,,True,False,True,met; ice; Somebody; Tess; anxious,True,met,2,verified_strong
1148,نامہ نگار,correspondent (journalist who sends reports from abroad),explicit_review_required,4.700,True,True,"abroad,correspondent,journalist,report,reports,send,sends",False,,,,False,True,False,,False,,1,explicit_review_required
1149,سربراہ,"head, chief (of an organization)",explicit_review_required,5.060,False,False,,True,True,,,True,False,True,head; bar; Hayden; Michael; Reiser,True,head,2,verified_strong
1150,بش,"s.m. Poison, &c. = bis, q.v.: — bish-kanyā, s.f. lit. 'Poison-damsel'…",explicit_review_required,4.030,False,False,,True,True,,,True,False,True,"Bush; ""; Drop; bombs; Attack",False,,1,explicit_review_required
