rank,front,meaning,wordfreq_zipf,semantic_support,kaikki_meaning,readurdu_meaning,word2word_meaning
1026,کہتے,say,5.63,word2word+ReadUrdu,,form of کَہْنا (kahnā — to say) | also: plural masculine of کَہْنا (kahnā — to say),say; says; krushkach; unidentified; operative
1027,بارے,about,5.62,ReadUrdu+word2word,,"about, regarding (کے بارے میں)",about; About; ABOUT; talking; thinking
1028,دیکھ,see; looking; watching,5.61,ReadUrdu+word2word,,"infinitive of دیکْھنا (dekhnā — to look, see, watch) | also: masculine singular of دیکْھنا (dekhnā — to look, see, watch)",see; watching; looking; seeing; Good
1029,چاہیے,should,5.61,ReadUrdu+word2word,,"should, ought to, is needed",supposed; should; listened; contact; hurry
1030,بھر,full,5.58,ReadUrdu+word2word,,"full, whole, throughout (دن بھر = all day)",across; OVER; Blackout; effect; full
1031,ٹیم,team,5.58,ReadUrdu+word2word,,team,team; response; Team; kidnap; leading
1032,چیف,Chief,5.58,ReadUrdu+word2word,,chief,Chief; CHIEF; GAINES; boss; henceforth
1033,اسمبلی,assembly,5.57,ReadUrdu+word2word,,"assembly, legislature",member; honored; excuse; assembly
1034,اعلان,announced,5.57,ReadUrdu+word2word,,"announcement, declaration",proclaim; martyr; announced; backstabbing; trail
1035,دیکھا,saw,5.57,word2word+ReadUrdu,,saw (of دیکھنا),seen; saw; watched; YouTube; haven
1036,عالمی,global,5.56,ReadUrdu+word2word,,"global, international",World; War; global; Her; Second
1037,کشمیر,Kashmir,5.56,Kaikki+ReadUrdu+word2word,"Jammu Kashmir (a union territory of India; capitals: Srinagar and Jammu); Azad Kashmir (an autonomous territory administered by Pakistan; capital: Muzaffarabad); Kashmir (a contested geographic region of South Asia in the northern part of the Indian subcontinent, located between (and de facto divided between) India, Pakistan and China)","name: Kashmir (a contested geographic region of South Asia in the northern part of the Indian subcontinent, located… | Platts: s.m. The country of Cashmere (in the north-west of India)",towns; medium-sized; hypothesis; current; Kashmir
1038,کہیں,anywhere,5.54,word2word+ReadUrdu,,"somewhere, anywhere | also: plural perfective of کَہْنا (kahnā — to say)",anywhere; somewhere; nowhere; Anywhere; wherever
1039,جسٹس,JUSTICE,5.52,ReadUrdu+word2word,,justice (judge's title),JUSTICE; justice; law; without; judges
1040,کورٹ,court-martial,5.52,ReadUrdu+word2word,,court,court-martial; Court; Refuse; recourse; duration
1041,سندھ,Sindh; Sind,5.51,Kaikki+ReadUrdu,"Sindh (a province of Pakistan); Sind, Scinde (a province of British India)","Sindh (a province of Pakistan); Indus (a river in the provinces of Sindh, Punjab and Khyber Pakhtunkhwa and the administrative territory of…; Sind, Scinde (a province of British India)",
1042,دیتا,gives,5.50,word2word+ReadUrdu,,gives (masculine of دینا),paying; gives; embassies; techniques; break-in
1043,رکھا,kept,5.48,ReadUrdu+word2word,,"kept, placed (of رکھنا)",kept; care; took; awake; gave
1044,سرکاری,official,5.48,ReadUrdu+word2word,,"governmental, official",official; officially; Officially; answer; Google-proof
1045,کہہ,Say,5.47,ReadUrdu+word2word,,"say (stem of کہنا, as in کہہ دیا)",saying; telling; sayin; screams; Say
1046,بنایا,made,5.46,word2word+ReadUrdu,,"made, built (of بنانا)",made; built; granny; bounce; journey
1047,ایران,Iran,5.44,Kaikki+ReadUrdu+word2word,Iran (a country in West Asia),Iran,Iran; said; Are; Venezuela; or
1048,تحت,under,5.44,ReadUrdu+word2word,,"(in A. phrases taḥtu), s.m. The location which is beneath, the interior part, the under part, the inferior…",under; command; 9000; rpms; BKA
1049,چاہتے,want,5.44,ReadUrdu+word2word,,want (plural of چاہنا),want; wish; wanna; Want; Festival
1050,افغانستان,Afghanistan,5.43,Kaikki+ReadUrdu+word2word,Afghanistan (a landlocked country between Central Asia and South Asia),Afghanistan,Afghanistan; alike; Camp; Chapman; invaded
1051,لی,took,5.42,word2word+ReadUrdu,,took (feminine of لینا),took; Le; Midnight; Wherever; meeting
1052,زیر,underground,5.41,ReadUrdu+word2word,,"under, below (زیرِ غور = under consideration)",underground; footprint; logs; figure; deck
1053,آتا,comes,5.40,ReadUrdu+word2word,,"(imperf. part. of آنا ānā, q.v.), s.m. One who comes, a comer; that which is coming to or due, dues,…",comes; understand; falls; Here; BACK
1054,حدیث,a narration; hadith,5.40,Kaikki+ReadUrdu,hadith; a narration (ie. statement),"n. a narration (ie. statement); hadith | Platts: (fr. حدث, see ḥadas̤), s.m.f. Narration, narrative, story, history, tradition…",
1055,ہندوستان,India; the Indian subcontinent; Hindustan,5.40,Kaikki+ReadUrdu,"The Mughal Empire; India (a country in South Asia); Hindustan, the Indian subcontinent","India, Hindustan",
1056,نیوز,news,5.38,ReadUrdu+word2word,,news,Coast; news; East; newsstands; lines
1057,ابن,son; child; slave,5.37,Kaikki+ReadUrdu,"slave; offspring; son, child","n. son, child; offspring; slave | Platts: (used in comp. only, usually in its nom. form ibnu), s.m. Son, child. — ibnuʼl-amīr, adj. Of noble blood,…",
1058,بین,middle; inter-,5.37,Kaikki+ReadUrdu,inter-; middle; distance,"n. word, speech, utterance, saying; lamentation, wailing; separation, space between | adj. middle | prefix inter- | Platts: s.f. The Indian lute (a fretted instrument of the guitar kind usually having seven wires or strings, and a…",Ben; BEN; :; M; I-
1059,حالات,circumstances; Conditions,5.37,ReadUrdu+word2word,,"circumstances, conditions",situation; circumstances; Conditions; optimal; Schizophrenia
1060,ملا,met,5.37,ReadUrdu+word2word,,"met, received (of ملنا); mullah",got; Got; found; met; SECOND
1061,بہترین,best,5.36,ReadUrdu+word2word,,"best, excellent",best; demands; Best; school; Detective
1062,نا,no; final emphatic particle,5.36,Kaikki+ReadUrdu,no; final emphatic particle,"pcl. final emphatic particle | n. no | prefix not, un-, non-, in- | Platts: (f. -nī) [Prk. अणअं, or अणिअं; S. अनीयं], The termination of the infinitive, or gerund, of the Hindī or…",RIGHT; French; unacceptable; speak; surveillance
1063,شمار,count,5.35,ReadUrdu+word2word,,"s.f. Counting, reckoning, computing, numbering; calculation, amount, number; account, note, estimation: —…",count; condolence; letters; On; steps
1064,پہنچ,reach,5.35,ReadUrdu+word2word,,"(see pahuṅćnā), s.f. Arrival; reach; access, admittance; attainment, comprehension; sagacity, penetration;… | also: form of پَہُن٘چنا (pahũcnā — to arrive, to reach)",reach; reached; gotten; solid; undo
1065,پیچھے,behind,5.35,ReadUrdu+word2word,,behind,behind; Back; Put; Slaves; Stand
1066,تعمیر,build,5.34,ReadUrdu+word2word,,"construction, building",build; built; rebuild; BUILT; REBUILD
1067,رپورٹ,report,5.34,ReadUrdu+word2word,,report,report; reported; REPORTS; RE; -Did
1068,چاہتا,wants,5.34,ReadUrdu+word2word,,wants (masculine),wants; wanted; WILL; wishes; Nizam
1069,یونیورسٹی,University,5.34,ReadUrdu+word2word,,university,University; hacked; bachelor; stored; university
1070,ایمان,faith; belief,5.33,Kaikki+ReadUrdu+word2word,creed; intention; faith; belief,"faith, belief; integrity",faith; Faith; Evasion; dishonesty; Synesius
1071,قیام,stay,5.33,ReadUrdu+word2word,,"stay, residence; establishment",formation; stay; visit; Keep; Mangrove
1072,نمبر,number,5.33,ReadUrdu+word2word,,"number, numeral; phone number",number; No; numbers; requested; calling
1073,میچ,match,5.32,ReadUrdu+word2word,,match (sports),be; coincidence; ZIP; 6; match
1074,گرفتار,arrest; captured,5.32,ReadUrdu+word2word,,"adj. & s.m. Taken, seized, arrested, captured; involved (in), entangled; liable; stricken, smitten (with…",arrest; captured; arrested; under; captivated
1075,جمع,collecting,5.31,ReadUrdu+word2word,,"(inf. n. of جمع 'to collect'), s.f. A collection, a number together, an assemblage, a congregation, assembly;…",gather; collecting; collection; scrap; metal
1076,ووٹ,voted,5.30,ReadUrdu+word2word,,vote,voted; Michelle; Chicago; Nominated; votes
1077,ڈالر,dollars,5.30,ReadUrdu+word2word,,dollar,dollars; billions; Dollars; bald; 1200
1078,کانفرنس,conference,5.30,ReadUrdu+word2word,,conference,conference; Sydney; Eyes; Five; -Press
1079,کمپنی,company,5.30,ReadUrdu+word2word,,company,company; named; affidavit; separation; confirming
1080,زخمی,wounded,5.29,ReadUrdu+word2word,,"(rel. n. fr. zaḵẖm), adj. & s.m.f. Wounded, hurt; slain, killed by a wound; — a wounded person: — zaḵẖmī…",wounded; -Medic; Buddy; leg; attacks
1081,ملے,met,5.29,ReadUrdu+word2word,,"met, received (plural)",met; ice; Somebody; Tess; anxious
1082,چلا,went,5.29,ReadUrdu+word2word,,"moved, went (of چلنا)",gone; running; went; goes; stone
1083,تب,Then,5.28,Kaikki+ReadUrdu+word2word,then,"adv. then | Platts: adv. & conj. Then, at that time; afterwards; thereupon; therefore, hence: — tab-bhī, adv. Even then, then too…",woods; Into; since; Then; Fine
1084,لفظ,word,5.28,Kaikki+ReadUrdu+word2word,"word, term",word,word; WORD; ANOTHER; SAY; PUT
1085,لندن,London,5.28,Kaikki+ReadUrdu+word2word,"London (a city in Ontario, Canada); London (the capital city of the United Kingdom; the capital city of England)",London (the capital city of the United Kingdom; the capital city of England),London; followed; Blackout; effect; throughout
1086,حساب,account; calculation; arithmetic,5.27,Kaikki+ReadUrdu,"account; viewpoint, perspective; calculation; arithmetic","n. account; calculation; arithmetic; bill (a list of items needed to paid for) | Platts: (inf. n. of حسب, and also of iii of حسب 'to number,' &c.), s.m. A numbering, counting, reckoning,…",miscalculation; anytime; tiny; One; anyone
1087,خطاب,Speech,5.27,ReadUrdu+word2word,,"(inf. n. of iii of خطب 'to recite'), s.m. Conversation, discourse, speech, address, harangue…",Speech; mechanical; modestly; engineer; Speaking
1088,رہنے,live,5.27,ReadUrdu+word2word,,oblique infinitive of رَہْنا (rahnā — to live) | also: plural infinitive of رَہْنا (rahnā — to live),stay; STAY; live; living; survive
1089,آیت,verse,5.26,Kaikki+ReadUrdu+word2word,verse (of the Qur'an),"n. verse (of the Qur'an) | Platts: (for A. آية), s.f. Mark, sign; sentence or verse of the Qorʼān: — āyat-ě-mut̤laq, s.f. Mark, stop, pause…",verse; It; last; s; the
1090,تلاش,search,5.26,ReadUrdu+word2word,,"(prob. contrac. from A. talāshī, q.v.), s.f. Search, quest; scrutiny; study, research; pursuit (syn.…",find; Find; looking; search; searching
1091,مطالبہ,demand,5.26,ReadUrdu+word2word,,demand,amnesty; demand; demanding; answers; committee
1092,چل,goin,5.26,ReadUrdu+word2word,,"s.f.m. (masc. in S., but fem. in H., in which it is the v.n. of ćalnā, q.v.), Going, departure; dispersion;…",running; walking; Running; goin; walk
1093,اسرائیل,Israel,5.25,Kaikki+ReadUrdu+word2word,Israel (a country in Asia),Israel,Israel; immunity; contradict; Israelis; Anything
1094,رہتے,live,5.25,ReadUrdu+word2word,,"(formative or oblique of rahtā, imperf. part. of rahnā), adv. In the presence (of, -ke), before; while (he… | also: form of رَہْنا (rahnā — to live)",live; lived; Remember; More; fail
1095,مسیح,Christ; Messiah,5.25,Kaikki+ReadUrdu+word2word,"Christ, Messiah","n. Christ, Messiah | Platts: s.m. 'The Anointed,' Messiah, Christ: — ʻIṣā-masīḥ, Jesus Christ",Christ; Death; pagans; moonlighting; Applebee
1096,بلوچستان,Balochistan,5.24,Kaikki+ReadUrdu,a mountainous region of Afghanistan; Balochistan (a province of Pakistan); Sistan and Baluchestan (a province of Iran),Balochistan (a province of Pakistan); Balochistan (a region between the Middle East and South Asia),
1097,کہنے,say,5.23,ReadUrdu+word2word,,oblique infinitive of کَہْنا (kahnā — to say) | also: plural infinitive of کَہْنا (kahnā — to say),say; goodbye; meaning; videos; circumstances
1098,امریکا,States; America; United,5.22,Kaikki+ReadUrdu+word2word,"America, the Americas (a supercontinent consisting of North America, Central America and South America regarded as a whole; in full, the Americas); America, United States of America (a country in North America; in full, United States of America; official name: ریاستہائے متحدہ (riyāsat’hā-e-muttahida))","America, the Americas (a supercontinent consisting of North America, Central America and South America…; America, United States of America (a country in North America; in full, United States of America; official…",States; United; mother; how
1099,برطانیہ,Britain,5.22,Kaikki+ReadUrdu,"Britain (the United Kingdom, a kingdom and country in Northern Europe including the island of Great Britain as well as Northern Ireland on the northeastern portion of the island of Ireland)",Britain,bombings; U.K; did; right; You
1100,رب,Lord; God,5.22,Kaikki+ReadUrdu+word2word,owner; possessor; Lord; An epithet for God,"Lord, God",Lord; Praise; butchers; Brother; everlasting
1101,رہتا,live,5.22,word2word+ReadUrdu,,masculine singular of رَہْنا (rahnā — to live) | also: masculine of رَہْنا (rahnā — to live),7.63; Montblanc; pen; stays; live
1102,جناب,sir; Mister; Honour,5.21,Kaikki+ReadUrdu+word2word,"sir, mister; Excellency, Honour","n. sir, mister; Excellency, Honour; form of address for a judge | Platts: s.f. Side, brink, margin; a court or yard; vestibule; threshold…",sir; Mr; Sir; Mister; Luthor
1103,شائع,publish,5.21,ReadUrdu+word2word,,published (شائع ہونا = to be published),publish; reposted; ourselves; beginning; publishing
1104,محفوظ,safe,5.21,ReadUrdu+word2word,,"(pass. part. of حفظ 'to keep, preserve, guard,' &c.), part. Kept safe, preserved, guarded, protected, taken…",safe; SAFE; BE; D; WARM
1105,پیپلز,people,5.20,ReadUrdu+word2word,,People's (in party names),Danish; people; s; '; front
1106,ہسپتال,hospital,5.20,ReadUrdu+word2word,,hospital,hospital; recall; prior; bang; noise
1107,آپریشن,operation,5.19,ReadUrdu+word2word,,operation (military or medical),ops; operation; Ops; fucked-up; tip
1108,طالبان,Taliban,5.19,Kaikki+ReadUrdu+word2word,"Taliban (a Deobandi Islamist and largely Pashtun religious political movement founded in Afghanistan in 1994 by mullah Mohammad Omar, which has governed the country from 1996 to 2001 and since 2021)",the Taliban; seekers (plural of طالب),Former; Taliban; claim; officials; hanging
1109,گنتی,counting; calculation; Numbers,5.19,Kaikki+ReadUrdu+word2word,"counting; calculation, reckoning; Numbers (book of the Bible)","n. counting; calculation, reckoning; Numbers (book of the Bible) | Platts: s.f. Counting, computing, calculating, reckoning; — calculation; enumeration; number; addition; the rule of…",counting; snuck; who; right; half
1110,روس,Russia,5.18,Kaikki+ReadUrdu+word2word,Russia (a transcontinental country in Eastern Europe and North Asia),Russia,Russia; 1.5; billion; collection; twice
1111,زمانہ,world,5.18,Kaikki+ReadUrdu,tense; world; reign (of an empire etc.),"era, times, the world",
1112,اگست,August,5.17,Kaikki+ReadUrdu,August,"n. August | Platts: (corr. of the English), s.m. August (the month)",
1113,نتائج,consequences,5.17,ReadUrdu+word2word,,"s.m. pl. (of natīja, q.v.), Fruits, consequences, issues, &c. | also: plural formal of نَتِیجَہ (natīja — result, consequence, end, outcome)",results; consequences; Efficiency; laboratory; observations
1114,پارلیمنٹ,parliament,5.17,ReadUrdu+word2word,,parliament,cabinet; symbolic; gesture; Palace; parliament
1115,گناہ,sin; FAULTS,5.17,Kaikki+ReadUrdu+word2word,"sin; crime, fault, guilt",sin,sin; FAULTS; ANY; THERE; innocent
1116,یمن,Yemen,5.17,Kaikki+ReadUrdu,Yemen (a country in West Asia in the Middle East),"name: Yemen (a country in West Asia in the Middle East) | Platts: s.m. Vomiting; vomit; emetic: — baman karnā, v.n. To vomit",
1117,بتایا,told,5.16,ReadUrdu+word2word,,"told, informed (of بتانا)",told; Has; Raptor; cleared; blow
1118,ترکی,Turkish; Turkey,5.16,Kaikki+ReadUrdu+word2word,"the Turkish language; a horse of Turkish breed; of or belonging to a Turk; Turkish, Turk-like",Turkey; Turkish,Turkish; Turkey; venerable; harem; disease
1119,جانتے,know,5.16,ReadUrdu+word2word,,know (plural of جاننا),know; KNOW; knew; -I; knows
1120,مار,kill,5.16,ReadUrdu+word2word,,"adj. & s.m. (f. -ī), Killing, slaying, destroying; — killer, destroyer (as last member of compounds); —…",kill; shoot; killed; kiss; weapon
1121,معنی,means; intent,5.16,Kaikki+ReadUrdu+word2word,intent; meaning,n. meaning; intent | Platts: s.m. See next,means; CONGRATULATIONS; Meaning; lover; kunya
1122,سمجھتے,understand,5.15,word2word+ReadUrdu,,plural masculine of سَمَجْھنَا (samajhnā — to understand),understand; Don; THAT; UNDERSTAND; nor
1123,شہباز,a male given name; from Persian; Shahbaz or Shehbaz,5.15,Kaikki+ReadUrdu,"a male given name, Shahbaz or Shehbaz, from Persian","a male given name, Shahbaz or Shehbaz, from Persian",
1124,مت,don't,5.15,Kaikki+ReadUrdu,"religion, creed; don't (imperative negation)",don't (prohibitive); opinion; vote,Don; Do; worry; forget; touch
1125,کہتا,say,5.15,ReadUrdu+word2word,,"s.m. A pit (for storing grain, or ice, &c.), a subterraneous granary ( = khāt, and khātā); — store, heap,… | also: masculine singular of کَہْنا (kahnā — to say)",says; say; Unless; somethin; anybody
1126,بندی,slave; captive,5.14,Kaikki+ReadUrdu,bard; slave; captive,"n. prisoner; captive; slave | Platts: s.m. Prisoner, captive, slave; — one who praises or extols, praiser, panegyrist, bard (these bards are… | also: feminine of بَنْدَہ (banda — slave, servant, bondsman)",classified; planning; risky; Command; detonators
1127,شک,doubt,5.13,Kaikki+ReadUrdu+word2word,"doubt, uncertainty","doubt, suspicion",doubt; Surely; Synesius; seducing; Mind
1128,ظلم,oppressed; cruelty,5.12,Kaikki+ReadUrdu+word2word,"tyranny, oppression; wrongdoing, misdeed, injustice","oppression, cruelty",oppressed; cruelty; arrogance; From; being
1129,وفاقی,Federal,5.12,ReadUrdu+word2word,,federal,Federal; federal; Victoria; decides; daughter
1130,پشاور,Pesh,5.12,Kaikki+ReadUrdu+word2word,"Peshawar (a city, the provincial capital of Khyber Pakhtunkhwa, Pakistan)","Peshawar (a city, the provincial capital of Khyber Pakhtunkhwa, Pakistan)",Pesh; d; Lahore; Street; 30
1131,یوسف,Joseph; Yusuf; a male given name from Arabic,5.12,Kaikki+ReadUrdu+word2word,"Yusuf, Joseph; a male given name from Arabic; Joseph (12th sura (chapter) of the Quran)","name: Yusuf, Joseph; a male given name from Arabic; Joseph (12th sura (chapter) of the Quran) | Platts: s.m. The patriarch Joseph; — a proper name",Joseph; Ramzi; Yousef; 90s; Hazem
1132,دیکھتے,see,5.11,word2word+ReadUrdu,,"plural masculine of دیکْھنا (dekhnā — to look, see, watch)",see; watch; Let; strut; Delta
1133,رکھتا,keeps,5.11,ReadUrdu+word2word,,keeps (masculine),belongs; keeps; believes; holds; limit
1134,ریکارڈ,records,5.11,ReadUrdu+word2word,,record,records; RECORDED; record; wrongs; indicate
1135,مریم,Mary; a female given name; a virgin,5.11,Kaikki+ReadUrdu,"a virgin, maiden; Mary (the mother of Jesus); a female given name, Maryam or Mariyam","name: Mary (the mother of Jesus); Miriam (the sister of Moses and Aaron and the daughter of Amram and Jochebed); a female given name, Maryam or Mariyam | n. a virgin, maiden | Platts: prop. n. Mary: — maryam, or ḥaẓrat-ě-maryam, The Virgin Mary: — mom-kī mariyam, A delicate woman (lit. 'a…",
1136,روح,soul; spirit,5.10,Kaikki+ReadUrdu+word2word,"soul, spirit; essence, quintessence","soul, spirit",spirit; soul; her; Too; independent
1137,ثبوت,proof; evidence,5.09,Kaikki+ReadUrdu+word2word,proof; evidence,"proof, evidence",proof; evidence; living; case; definitive
1138,بیٹھ,Sit,5.08,ReadUrdu+word2word,,infinitive of بَیٹھنا (baiṭhnā — to sit),down; Sit; sit; tight; sitting
1139,شخصیت,personality,5.08,ReadUrdu+word2word,,"(for A. شخصية, abst. s. fr. شخصی, rel. n. of shaḵẖṣ), s.f. Individuality, personality, identity; nobility,…",personality; Multiple; disorder; controversy; figure
1140,پڑھ,reading,5.08,ReadUrdu+word2word,,form of پَڑْھنا (paṛhnā — to read (ie. a book etc.)) | also: form of پَڑْھنا (paṛhnā — to read (ie. a book etc.)),reading; read; paper; passage; proportion
1141,کھڑا,standing; erect,5.08,Kaikki+ReadUrdu+word2word,erect; standing,standing; erect,standing; stands; oak; Her; seek
1142,یونین,symbolizes,5.08,ReadUrdu+word2word,,operation denoted by symbol “∪” applied on two sets; the set of all distinct elements in the collection,poverty; union; Like; symbolizes; save
1143,بدل,changed,5.07,ReadUrdu+word2word,,"s.m. Change, alteration; exchange, substitution; return, requital, retaliation; — postp. In exchange (for,…",changed; change; changes; turns; critical
1144,بیٹا,son; boy; child,5.07,Kaikki+ReadUrdu+word2word,"son, boy; child (any gender)","son, boy; child (any gender)",son; Son; -But; sweetie; Not
1145,سنی,listened,5.07,word2word+ReadUrdu,,"s.m. The planet Saturn: — sani-vār, vulg. sani-bār, s.m. 'Saturn's day,' Saturday. | also: perfective feminine of سُنْنا (sunnā — to listen, to hear)",listened; LISTENED; NOBODY; fellow; THEM
1146,احتساب,accountability,5.06,Kaikki+ReadUrdu,accountability,"n. accountability | Platts: s.m. Making up accounts, reckoning, estimating; — superintendence of police; superintendence of weights and…",accountable; hold; able; founded; being
1147,ترجمہ,translate,5.06,Kaikki+ReadUrdu+word2word,"rendering, rendition; translation; interpretation",translation,examples; forms; dialect; translate; speak
1148,جولائی,July,5.06,Kaikki+ReadUrdu,July,July,Obstructed; fading; view; Signal; steroids
1149,جہاز,plane; ship; craft,5.06,Kaikki+ReadUrdu+word2word,"craft; plane, ship","n. plane, ship; craft; clipping of ہَوائی جَہاز (havāī jahāz, “aircraft”) | Platts: s.m. A ship; the tree of a camel's saddle, or the saddle and its appurtenances…",ship; plane; spaceship; Stop; Evanston
1150,سربراہ,head,5.06,ReadUrdu+word2word,,"head, chief (of an organization)",head; bar; Hayden; Michael; Reiser
1151,عربی,Arabic,5.06,Kaikki+ReadUrdu,Arabic,"name: Arabic | Platts: (rel. n. fr. ʻarab), m. = P عربيه ʻarabīya (for A. ʻarabīyat), f. adj. & s. Arabian; Arabic; — an Arab; an…",
1152,قربانی,sacrifice,5.06,Kaikki+ReadUrdu,"sacrifice; qurbani, sacrificial animal (Eid ul-Adha)",sacrifice,canaries; sneak; wiser; theory; using
1153,مضمون,article; essay; subject,5.06,Kaikki+ReadUrdu+word2word,essay; sense; topic,"essay, article; subject",article; subject; longer; viable; genuine
1154,اولاد,offspring; progeny; descendant,5.05,Kaikki+ReadUrdu,progeny; offspring; descendant,"n. offspring; descendant; progeny | Platts: s.f. pl. (of walad), Children, descendants, offspring, issue, progeny (usually constructed with a sing.…",childless; More; baker; than
1155,سنا,ever; always; senna,5.05,Kaikki+ReadUrdu,ever; senna; always,"adv. always; ever; continually | n. senna | Platts: adv. Always, ever, perpetually, continually. | also: perfective masculine of سُنْنا (sunnā — to listen, to hear) | also: infinitive of سُنانا (sunānā — to tell; to cause to listen)",heard; hear; entrance; closed; spoil
1156,مدینہ,Medina,5.05,Kaikki+ReadUrdu,"Medina (a province of Saudi Arabia); Medina (a major city, the capital of Medina province, Saudi Arabia; holy to Islam)","name: Medina (a major city, the capital of Medina province, Saudi Arabia; holy to Islam); Medina (a province of Saudi Arabia) | Platts: (for A. مدينة madīnat, v.n. fr. دان (for دين) 'to hold in possession or under authority'), s.m. A city; a…",
1157,ویڈیو,video,5.05,ReadUrdu+word2word,,video,video; ransom; Video; make; hang
