rank,front,meaning,meaning_selection,frequency,wordfreq_zipf,legacy_agrees,kaikki_agrees,freedict_agrees,readurdu_agrees,omw_agrees,tufs_entry,tufs_omw_agrees,independent_semantic_sources,overlap_terms,status
176,دوسری,"second, other (feminine)",existing_candidate_fallback,9333,5.65,False,False,False,True,False,False,False,,"{""readurdu"": ""other|second""}",review
184,بہتر,"improved; seventy-two; greater, superior",kaikki,9050,5.52,False,True,False,False,False,False,False,,"{""kaikki"": ""greater|improv|seventy-two|superior""}",review
188,میری,feminine singular of میرا (merā),kaikki,8592,5.72,False,True,False,False,False,False,False,,"{""kaikki"": ""mer""}",review
195,نئی,feminine plural direct; feminine singular direct; feminine plural oblique/vocative,kaikki,8444,5.38,False,True,False,False,False,False,False,,"{""kaikki"": ""direct|oblique|vocative""}",review
206,تاکہ,so that,existing_candidate_fallback,7963,5.31,False,False,False,True,False,False,False,,"{""readurdu"": ""so""}",review
215,پہلی,feminine of پَہْلا (pahlā),kaikki,7573,5.54,False,True,False,False,False,False,False,,"{""kaikki"": ""pahl""}",review
217,یعنی,"like; namely, that is; [he/she/it] means",kaikki,7523,5.73,False,True,False,False,False,False,False,,"{""kaikki"": ""he|it|like|mean|namely|she""}",review
224,وی,the English letter V (in acronyms),existing_candidate_fallback,7277,5.39,False,False,False,True,False,False,False,,"{""readurdu"": ""acronym|english|letter""}",review
246,او,as; it; like,kaikki,6493,5.41,False,True,False,False,False,False,False,,"{""kaikki"": ""it|like""}",review
251,کس,who / which (singular oblique),legacy_learner_translation,6445,5.62,True,False,False,False,False,False,False,,"{""legacy"": ""oblique""}",review
257,علم,spear; gnomon; science,kaikki,6258,5.63,False,True,False,False,False,False,False,,"{""kaikki"": ""gnomon|science|spear""}",review
271,زمین,"soil; region, area; surface, ground",kaikki,5951,5.51,False,True,False,False,False,False,False,,"{""kaikki"": ""area|ground|region|soil|surface""}",review
274,ثابت,fixed; valid; stable,kaikki,5800,5.56,False,True,False,False,False,False,False,,"{""kaikki"": ""fixed|stable|valid""}",review
284,سر,air; end; god,kaikki,5595,5.59,False,True,False,False,False,True,False,,"{""kaikki"": ""air|end|god""}",review
285,انتخابات,broken plural of اِنْتِخاب (intixāb),kaikki,5565,5.49,False,True,False,False,False,False,False,,"{""kaikki"": ""broken|intix""}",review
295,رہ,"(contrac. of rāh), s.f. Road, way, path, &c. ( = rāh, q.v.): — rah-bān, s.m. One who guards the way: —… | also: form of رَہْنا (rahnā — to live)",existing_candidate_fallback,5294,5.51,False,False,False,True,False,False,False,,"{""readurdu"": ""also|contrac|guard|live|path|rah-b|rahn|road|way""}",review
334,زر,"s.m. Gold; money, riches, wealth: — zar-ě-aṣl, s.m. A principal sum; pure gold: — zār-ě-amānat, s.m.…",existing_candidate_fallback,4701,4.42,False,False,False,True,False,False,False,,"{""readurdu"": ""am|gold|money|nat|principal|pure|r-e|rich|sum|wealth|zar-e""}",review
343,سمیت,"(for A. سمية, fr. سمي sammī, rel. n. fr. samm, q.v.), s.f. Poisonousness, venomousness, banefulness,…",existing_candidate_fallback,4585,5.27,False,False,False,True,False,False,False,,"{""readurdu"": ""banefulnes|fr|poisonousnes|rel|samm|venomousnes""}",review
346,فی,"per, each (فی کس = per person)",existing_candidate_fallback,4576,5.43,False,False,False,True,False,False,False,,"{""readurdu"": ""each|per""}",review
378,کون,who,legacy_learner_translation,4047,5.37,True,False,False,False,False,True,False,,"{""legacy"": ""who""}",review
391,طاقت,army; military; ability; capacity; authority; government,kaikki,3910,5.22,False,True,False,False,False,False,False,,"{""kaikki"": ""ability|army|authority|capacity|govern|military""}",review
392,ذمہ,duty; service; obligation,kaikki,3907,5.26,False,True,False,False,False,False,False,,"{""kaikki"": ""duty|oblig|service""}",review
402,ذرائع,formal plural of ذَرِیعَہ (zariya),kaikki,3816,5.38,False,True,False,False,False,False,False,,"{""kaikki"": ""formal|zariya""}",review
408,دورہ,"(for A. دورة, fr. daur, q.v.), s.m. A going round, a revolution, a turn…",existing_candidate_fallback,3747,5.07,False,False,False,True,False,False,False,,"{""readurdu"": ""daur|fr|going|revolution|round|turn""}",review
410,جسے,whom / which (acc / dat),legacy_learner_translation,3730,5.47,True,False,False,False,False,False,False,,"{""legacy"": ""acc|dat""}",review
420,گفتگو,debate; chitchat; dialogue,kaikki,3631,5.25,False,True,False,False,False,False,False,,"{""kaikki"": ""chitchat|debate|dialogue""}",review
421,تیل,oil,kaikki,3626,4.82,False,True,False,False,False,False,False,,"{""kaikki"": ""oil""}",review
438,آر,the English letter R (in acronyms),existing_candidate_fallback,3492,5.39,False,False,False,True,False,False,False,,"{""readurdu"": ""acronym|english|letter""}",review
441,مذاکرات,formal plural of مُذَاکَرَہ (muzākara),kaikki,3484,4.64,False,True,False,False,False,False,False,,"{""kaikki"": ""formal|kara|muz""}",review
447,لگے,masculine plural perfect indicative; masculine plural perfective participle; second/third-person singular subjunctive,kaikki,3441,5.43,False,True,False,False,False,False,False,,"{""kaikki"": ""indicative|participle|perfect|perfective|second|subjunctive|third-person""}",review
459,مستقبل,future,kaikki,3371,5.13,False,True,False,False,False,False,False,,"{""kaikki"": ""future""}",review
462,ون,"s.m. A forest, jungle, wood, &c. (i.q. ban, q.v.); — water; a fountain, spring; a cascade; — dwelling in a…",existing_candidate_fallback,3357,4.80,False,False,False,True,False,False,False,,"{""readurdu"": ""ban|cascade|dwell|forest|fountain|jungle|spring|water|wood""}",review
469,تحصیل,tahsil,kaikki,3329,4.70,False,True,False,False,False,False,False,,"{""kaikki"": ""tahsil""}",review
485,داری,"s.f. A female slave taken in war; harlot, strumpet, &c. (used by women): — dārī-jār, s.m. The child of a…",existing_candidate_fallback,3221,5.14,False,False,False,True,False,False,False,,"{""readurdu"": ""child|female|harlot|slave|strumpet|taken|war|women""}",review
491,کن,"s.m. Minute bit or portion, particle, atom, granule, grain (of corn, &c.), a single seed; grain, corn; flour;… | also: plural indirect of کْیا (kyā — what? subjective interrogative pronoun used to ref) | also: plural indirect of کَون (kaun — subjective interrogative pronoun used to refer to )",existing_candidate_fallback,3186,4.93,False,False,False,True,False,False,False,,"{""readurdu"": ""also|atom|bit|corn|flour|grain|granule|indirect|interrogative|kaun|ky|minute""}",review
498,یقین,"sure; certain; confidence, trust",kaikki,3146,5.42,False,True,False,False,False,False,False,,"{""kaikki"": ""certain|confidence|sure|trust""}",review
500,روڈ,road,existing_candidate_fallback,3145,5.06,False,False,False,True,False,False,False,,"{""readurdu"": ""road""}",review
518,تصور,concept,kaikki,3003,5.10,False,True,False,False,False,False,False,,"{""kaikki"": ""concept""}",review
520,چنانچہ,"accordingly, consequently",existing_candidate_fallback,2978,5.23,False,False,False,True,False,False,False,,"{""readurdu"": ""accord|consequently""}",review
531,سوچ,s.m. A pointed shoot or blade of kuśa grass,existing_candidate_fallback,2918,5.21,False,False,False,True,False,False,False,,"{""readurdu"": ""blade|gras|ku|point|shoot""}",review
532,دین,debt; loan; poor,kaikki,2905,5.32,False,True,False,False,False,False,False,,"{""kaikki"": ""debt|loan|poor""}",review
535,سکا,Scythian; a warlike nomadic people from Scythia; the Indo-Scythians of ancient Afghanistan and Pakistan,kaikki,2895,4.98,False,True,False,False,False,False,False,,"{""kaikki"": ""afghanistan|ancient|indo-scythian|nomadic|pakistan|people|scythia|scythian|warlike""}",review
536,ملی,national; Arabian jasmine,kaikki,2886,5.22,False,True,False,False,False,False,False,,"{""kaikki"": ""arabian|jasmine|national""}",review
539,دباؤ,power; weight; emphasis,kaikki,2862,4.80,False,True,False,False,False,False,False,,"{""kaikki"": ""emphasi|power|weight""}",review
544,ساری,feminine of سارا (sārā),kaikki,2853,5.27,False,True,False,False,False,False,False,,"{""kaikki"": ""feminine of s r""}",review
552,محکمہ,"assembly, court; tribunal, assize; department, bureau, section",kaikki,2780,5.18,False,True,False,False,False,False,False,,"{""kaikki"": ""assembly|assize|bureau|court|depart|section|tribunal""}",review
553,محض,"(inf. n. of محض 'to possess pure milk, or milk unmixed with water,' &c.), adj. & adv. Pure, unmixed,…",existing_candidate_fallback,2779,4.90,False,False,False,True,False,False,False,,"{""readurdu"": ""adj|adv|inf|milk|posses|pure|unmix|water""}",review
558,رن,"s.m. Sound, noise; battle, war, combat, fight, conflict; battle-field ( = raṇ-bhūmi);-a mosquito…",existing_candidate_fallback,2758,4.33,False,False,False,True,False,False,False,,"{""readurdu"": ""battle|battle-field|bh|combat|conflict|fight|mi|mosquito|noise|ra|sound|war""}",review
575,اپ,"An inseparable Sanskrit prefix (the reverse of अधि adhi), denoting loss, privation, negation, separation,…",existing_candidate_fallback,2694,5.13,False,False,False,True,False,False,False,,"{""readurdu"": ""adhi|denot|inseparable|loss|negation|prefix|priv|reverse|sanskrit|separ""}",review
581,چونکہ,"since, because",existing_candidate_fallback,2644,5.15,False,False,False,True,False,False,False,,"{""readurdu"": ""because|since""}",review
583,درد,pity; suffering; affliction,kaikki,2632,5.05,False,True,False,False,False,False,False,,"{""kaikki"": ""affliction|pity|suffer""}",review
588,روشنی,sight; brightness,kaikki,2619,5.06,False,True,False,False,False,False,False,,"{""kaikki"": ""brightnes|sight""}",review
590,واقعہ,episode; encounter; occurrence,kaikki,2595,5.11,False,True,False,False,False,False,False,,"{""kaikki"": ""encounter|episode|occurrence""}",review
609,لگ,"prep. To, up to, as far as; close to, near, till, until; whilst, during: — lag-bhag, adj. & adv. Close, near,…",existing_candidate_fallback,2504,5.25,False,False,False,True,False,False,False,,"{""readurdu"": ""adj|adv|close|during|far|lag-bhag|near|prep|till|until|up|whilst""}",review
628,جیسا,"pron. adj. & adv. (f. -ī), Which-like, what-like; like as, as, such as; in the manner which, according as…",existing_candidate_fallback,2430,5.35,False,False,False,True,False,False,False,,"{""readurdu"": ""accord|adj|adv|like|manner|pron|such|what-like|which-like""}",review
683,اگلے,direct masculine plural; oblique masculine singular/plural,kaikki,2184,5.10,False,True,False,False,False,False,False,,"{""kaikki"": ""direct|oblique""}",review
684,بیٹے,direct plural; oblique/vocative singular,kaikki,2178,5.19,False,True,False,False,False,False,False,,"{""kaikki"": ""direct|oblique|vocative""}",review
692,امور,plural of امر,kaikki,2149,4.99,False,True,False,False,False,False,False,,"{""kaikki"": ""plural of""}",review
709,معروف,active voice; evident; known; correct; lawful,kaikki,2080,5.17,False,True,False,False,False,False,False,,"{""kaikki"": ""active|correct|evident|known|lawful|voice""}",review
717,جنہیں,"dative plural of जो (jo, “whoever, whichever”)",existing_candidate_fallback,2066,4.94,False,False,False,True,False,False,False,,"{""readurdu"": ""dative|jo|whichever|whoever""}",review
733,مخصوص,"private, characteristic",kaikki,2009,5.06,False,True,False,False,False,False,False,,"{""kaikki"": ""characteristic|private""}",review
762,تیسرے,third (plural),existing_candidate_fallback,1899,4.72,False,False,False,True,False,False,False,,"{""readurdu"": ""third""}",review
781,روک,"s.f. = rūkhan, q.v.; — s.m. corr. of rūkh, q.v",existing_candidate_fallback,1853,5.15,False,False,False,True,False,False,False,,"{""readurdu"": ""corr|kh|khan""}",review
785,آہستہ,"slow; tardy, lazy; soft, gentle",kaikki,1840,4.84,False,True,False,False,False,True,False,,"{""kaikki"": ""gentle|lazy|slow|soft|tardy""}",review
788,امراض,Formal plural of مَرْض (marz),kaikki,1835,4.65,False,True,False,False,False,False,False,,"{""kaikki"": ""formal|marz""}",review
798,شاندار,"magnificent, excellent",kaikki,1810,4.72,False,True,False,False,False,True,False,,"{""kaikki"": ""excellent|magnificent""}",review
821,دیش,alternative form of دیس (des),kaikki,1735,4.88,False,True,False,False,False,False,False,,"{""kaikki"": ""alternative|des""}",review
831,ادائیگی,fulfilment; completion of a task; collection of levies or taxes,kaikki,1705,4.65,False,True,False,False,False,False,False,,"{""kaikki"": ""collection|completion|fulfil|levy|task|taxe""}",review
838,اکبر,"adj. compar. & superl. (of کبير kabīr), Greater; greatest; very great; — prop. n. The emperor Akbar: —…",existing_candidate_fallback,1683,5.06,False,False,False,True,False,False,False,,"{""readurdu"": ""adj|akbar|compar|emperor|great|greater|greatest|kab|prop|superl|very""}",review
846,تیسری,third (feminine),existing_candidate_fallback,1671,4.88,False,False,False,True,False,False,False,,"{""readurdu"": ""third""}",review
858,بلا,"bubble; bat, club; tomcat (male cat)",kaikki,1640,5.08,False,True,False,False,False,False,False,,"{""kaikki"": ""bat|bubble|cat|club|male|tomcat""}",review
862,عزت,"honour, esteem",kaikki,1628,5.17,False,True,False,False,False,False,False,,"{""kaikki"": ""esteem|honour""}",review
885,پس,"adv. After, behind; at length, in fine, finally; so, then, therefore, wherefore, then surely, assuredly,…",existing_candidate_fallback,1584,5.13,False,False,False,True,False,False,False,,"{""readurdu"": ""adv|after|assuredly|behind|finally|fine|length|so|surely|then|therefore|wherefore""}",review
892,کرا,"did, do",kaikki,1573,4.72,False,True,False,False,False,False,False,,"{""kaikki"": ""did|do""}",review
905,غم,concern; mourning; depression,kaikki,1538,4.90,False,True,False,False,False,False,False,,"{""kaikki"": ""concern|depression|mourn""}",review
922,خوب,bad; pious; healthy,kaikki,1509,5.14,False,True,False,False,False,False,False,,"{""kaikki"": ""bad|healthy|piou""}",review
928,مری,"s.f. A plague, pestilence, an epidemic; cholera morbus; murrain: — marī paṛnā, v.n. A plague or pestilence to… | also: perfective feminine of مَرْنا (marnā — to die, to be dead)",existing_candidate_fallback,1492,4.46,False,False,False,True,False,False,False,,"{""readurdu"": ""also|cholera|dead|die|epidemic|mar|marn|morbu|murrain|pa|perfective|pestilence""}",review
940,سود,interest (on money),existing_candidate_fallback,1464,4.56,False,False,False,True,False,False,False,,"{""readurdu"": ""interest|money""}",review
944,داد,"s.m. Ringworm, herpes; the shingles; St. Anthony's fire: — dād-mardan, dād-mār, s.m. Name of a plant used to…",existing_candidate_fallback,1449,4.51,False,False,False,True,False,False,False,,"{""readurdu"": ""anthony'|d-m|d-mardan|fire|herp|name|plant|ringworm|shingl|st""}",review
947,عدد,number,kaikki,1440,4.33,False,True,False,False,False,True,False,,"{""kaikki"": ""number""}",review
953,دم,end; puff; tail,kaikki,1426,5.02,False,True,False,False,False,False,False,,"{""kaikki"": ""end|puff|tail""}",review
960,چلی,Chile (a country in South America),kaikki,1410,4.92,False,True,False,False,False,False,False,,"{""kaikki"": ""america|chile|country|south""}",review
962,نصف,"(inf. n. of نصف 'to halve,' &c.), s.m. The half; — adj. Half; semi-; — middle-aged…",existing_candidate_fallback,1407,4.74,False,False,False,True,False,False,False,,"{""readurdu"": ""adj|half|halve|inf|middle-ag|semi""}",review
989,شکر,sugar; Venus; bright,kaikki,1353,4.88,False,True,False,False,False,False,False,,"{""kaikki"": ""bright|sugar|venu""}",review
993,رو,"s.m. Cry, clamour, din; sound, noise; voice; hum; report, fame",existing_candidate_fallback,1349,4.96,False,False,False,True,False,False,False,,"{""readurdu"": ""clamour|cry|din|fame|hum|noise|report|sound|voice""}",review
997,قبضہ,a handful; holding; grasp; hinge (of doors and boxes etc.),kaikki,1344,5.01,False,True,False,False,False,False,False,,"{""kaikki"": ""boxe|door|etc|grasp|handful|hinge|hold""}",review
