rank,front,meaning,kaikki_entry,kaikki_semantic_agreement,kaikki_overlap_terms,omw_entry,omw_semantic_agreement,omw_overlap_terms,wordfreq_attested,calima_analysis,status
377,يفكر,thinks; considers,False,False,,False,False,,True,True,explicit_review_required
392,يخبر,tells; informs,False,False,,False,False,,True,True,explicit_review_required
398,ينظر,looks; considers; examines,False,False,,False,False,,True,True,explicit_review_required
404,يعيش,lives; resides,False,False,,False,False,,True,True,explicit_review_required
417,يرجو,hopes; wishes; asks/request politely (يرجو),False,False,,False,False,,True,True,explicit_review_required
420,يفهم,understands,False,False,,False,False,,True,True,explicit_review_required
426,يتمنى,wishes; hopes,False,False,,False,False,,True,True,explicit_review_required
429,اسمع,listen!; hear!,True,False,,False,False,,True,True,explicit_review_required
441,عالمية,global; international (feminine),True,False,,False,False,,True,True,explicit_review_required
447,ينتظر,waits,False,False,,False,False,,True,True,explicit_review_required
453,يود,would like; wants,True,False,,True,False,,True,True,explicit_review_required
454,قيام,standing; undertaking; carrying out,True,False,,False,False,,True,True,explicit_review_required
468,يبحث,searches; researches; looks for,False,False,,False,False,,True,True,explicit_review_required
469,يعطي,gives,False,False,,False,False,,True,True,explicit_review_required
475,مشيرا,indicating; pointing out; noting (مشيرًا),False,False,,False,False,,True,True,explicit_review_required
477,يقصد,means; intends; aims,False,False,,False,False,,True,True,explicit_review_required
478,يذكر,mentions; remembers,False,False,,False,False,,True,True,explicit_review_required
492,جميعا,all together; altogether; everyone,False,False,,False,False,,True,True,explicit_review_required
508,وطنية,national (feminine); nationality/national character in noun use,True,False,,False,False,,True,True,explicit_review_required
520,مات,died,True,False,,True,False,,True,True,explicit_review_required
525,يعتبر,is considered; regards/considers,False,False,,False,False,,True,True,explicit_review_required
535,أعطى,gave,True,False,,True,False,,True,True,explicit_review_required
548,يدخل,enters,False,False,,False,False,,True,True,explicit_review_required
552,يترك,leaves; abandons,False,False,,False,False,,True,True,explicit_review_required
553,فهم,understood,True,False,,True,False,,True,True,explicit_review_required
555,أشخاص,people; persons,True,False,,True,False,,True,True,explicit_review_required
557,يسمع,hears; listens,False,False,,False,False,,True,True,explicit_review_required
566,ينتهي,ends; finishes,False,False,,False,False,,True,True,explicit_review_required
570,يحمل,carries; bears; loads/imposes (depending on form),False,False,,False,False,,True,True,explicit_review_required
571,يلعب,plays,False,False,,False,False,,True,True,explicit_review_required
572,يضع,puts; places,False,False,,False,False,,True,True,explicit_review_required
573,يساعد,helps; assists,False,False,,False,False,,True,True,explicit_review_required
574,يموت,dies,False,False,,False,False,,True,True,explicit_review_required
577,علاقات,relations; relationships,True,False,,True,False,,True,True,explicit_review_required
578,عرف,knew; recognized,True,False,,True,False,,True,True,explicit_review_required
587,يملك,owns; possesses,False,False,,False,False,,True,True,explicit_review_required
589,أية,any; whichever; which (feminine form أية),True,False,,False,False,,True,True,explicit_review_required
591,مرأة,woman,True,False,,True,False,,True,True,explicit_review_required
596,مشاكل,problems,True,False,,False,False,,True,True,explicit_review_required
603,أحضر,brought; prepared/presented (depending on form),True,False,,True,False,,True,True,explicit_review_required
604,سيء,bad; poor,True,False,,False,False,,True,True,explicit_review_required
606,يطلب,asks for; requests; demands,False,False,,False,False,,True,True,explicit_review_required
610,يتذكر,remembers,False,False,,False,False,,True,True,explicit_review_required
617,أحيان,times; occasions (commonly in أحيانًا = sometimes),True,False,,False,False,,True,True,explicit_review_required
619,مؤكدا,confirmed; certain; confirming/emphasizing (context-dependent),False,False,,False,False,,True,True,explicit_review_required
620,أتى,came; arrived,True,False,,True,False,,True,True,explicit_review_required
622,يدفع,pays; pushes,False,False,,False,False,,True,True,explicit_review_required
623,تالي,next; following,False,False,,False,False,,True,True,explicit_review_required
631,يتكلم,speaks; talks,False,False,,False,False,,True,True,explicit_review_required
632,إحدى,one of (feminine); one of two,True,False,,False,False,,True,True,explicit_review_required
636,وحده,alone; by himself/itself,False,False,,False,False,,True,True,explicit_review_required
637,نساء,women,True,False,,False,False,,True,True,explicit_review_required
639,خذ,take!,False,False,,False,False,,True,True,explicit_review_required
643,بأس,harm; hardship; بأس; often in لا بأس = no problem/not bad,True,False,,True,False,,True,True,explicit_review_required
646,قضاء,judgment; ruling; judiciary; judicial authority; fulfillment/performance,True,False,,False,False,,True,True,explicit_review_required
652,يقتل,kills; is killed (voice depends on vocalization/context),False,False,,False,False,,True,True,explicit_review_required
670,مصادر,sources,True,False,,True,False,,True,True,explicit_review_required
681,يمثل,represents; constitutes; acts/portrays,False,False,,False,False,,True,True,explicit_review_required
693,يتعلق,relates to; concerns; is connected with,False,False,,False,False,,True,True,explicit_review_required
700,لايزال,still is; continues to be (لا يزال),False,False,,False,False,,True,True,explicit_review_required
707,يستمر,continues; persists,False,False,,False,False,,True,True,explicit_review_required
709,يهتم,cares about; is interested in,False,False,,False,False,,True,True,explicit_review_required
711,أبناء,sons; children,True,False,,False,False,,True,True,explicit_review_required
714,يعرض,presents; displays; offers; exposes (depending on form),False,False,,False,False,,True,True,explicit_review_required
724,أهال,welcome!; hello! (أهلًا),True,False,,True,False,,True,True,explicit_review_required
732,يصدق,believes; confirms; tells the truth (depending on vocalization),False,False,,False,False,,True,True,explicit_review_required
737,يظهر,appears; shows; demonstrates (depending on form),False,False,,False,False,,True,True,explicit_review_required
740,نقاط,points; dots,True,False,,False,False,,True,True,explicit_review_required
747,إجراءات,procedures; measures; actions,False,False,,True,False,,True,True,explicit_review_required
751,يسمح,allows; permits,False,False,,False,False,,True,True,explicit_review_required
753,يسأل,asks; questions,False,False,,False,False,,True,True,explicit_review_required
755,دقائق,minutes,True,False,,True,False,,True,True,explicit_review_required
757,عسكرية,military,True,False,,False,False,,True,True,explicit_review_required
760,اتصالات,communications; contacts,False,False,,True,False,,True,True,explicit_review_required
764,يرغب,wants; desires; wishes,False,False,,False,False,,True,True,explicit_review_required
766,سالمة,safety; well-being,True,False,,False,False,,True,True,explicit_review_required
772,أصحاب,owners; companions; people of,True,False,,False,False,,True,True,explicit_review_required
780,يؤكد,confirms; affirms,False,False,,False,False,,True,True,explicit_review_required
788,يقلق,worries; becomes anxious; causes worry (depending on vocalization),False,False,,False,False,,True,True,explicit_review_required
789,يتصل,contacts; connects; calls,False,False,,False,False,,True,True,explicit_review_required
794,يتعلم,learns; studies,False,False,,False,False,,True,True,explicit_review_required
811,أرسل,sent,True,False,,True,False,,True,True,explicit_review_required
812,يضم,includes; comprises,False,False,,False,False,,True,True,explicit_review_required
816,يتوقع,expects; anticipates,False,False,,False,False,,True,True,explicit_review_required
817,يقدم,presents; offers; submits,False,False,,False,False,,True,True,explicit_review_required
821,يكفي,is enough; suffices,False,False,,False,False,,True,True,explicit_review_required
823,يهم,matters; concerns; is important to,False,False,,False,False,,True,True,explicit_review_required
824,كبرى,major; greater; largest (feminine كبرى),True,False,,True,False,,True,True,explicit_review_required
838,يبلغ,reaches; amounts to; informs/notifies (depending on form),False,False,,False,False,,True,True,explicit_review_required
841,يعاني,suffers,False,False,,False,False,,True,True,explicit_review_required
842,جاري,current; ongoing,False,False,,False,False,,True,True,explicit_review_required
843,مواد,materials; substances,True,False,,True,False,,True,True,explicit_review_required
848,أسباب,reasons; causes,True,False,,False,False,,True,True,explicit_review_required
849,يتوقف,stops; depends on,False,False,,False,False,,True,True,explicit_review_required
853,أوراق,papers; leaves; documents,True,False,,True,False,,True,True,explicit_review_required
860,يستخدم,uses; is used (voice depends on vocalization),False,False,,False,False,,True,True,explicit_review_required
862,أسواق,markets,True,False,,False,False,,True,True,explicit_review_required
863,يدعو,calls; invites; advocates,False,False,,False,False,,True,True,explicit_review_required
865,مؤخرا,recently; lately,False,False,,False,False,,True,True,explicit_review_required
876,نجح,succeeded,True,False,,True,False,,True,True,explicit_review_required
880,يقف,stands; stops,False,False,,True,False,,True,True,explicit_review_required
881,يواجه,faces; confronts,False,False,,False,False,,True,True,explicit_review_required
885,ظن,thought; belief; assumption; thought/believed,True,False,,True,False,,True,True,explicit_review_required
890,يؤدي,leads to; performs; results in,False,False,,False,False,,True,True,explicit_review_required
891,يحضر,attends; is present; prepares/brings (depending on form),False,False,,False,False,,True,True,explicit_review_required
894,يشهد,witnesses; observes,False,False,,False,False,,True,True,explicit_review_required
897,فاز,won,True,False,,True,False,,True,True,explicit_review_required
903,يدري,knows; is aware,False,False,,False,False,,True,True,explicit_review_required
920,يستحق,deserves; is worth; is entitled to,False,False,,False,False,,True,True,explicit_review_required
924,افعل,do!; act!,False,False,,False,False,,True,True,explicit_review_required
925,كبار,senior people; elders; major/important people,True,False,,False,False,,True,True,explicit_review_required
926,يتعرف,gets to know; becomes acquainted with; recognizes,False,False,,False,False,,True,True,explicit_review_required
927,وفقا,according to; in accordance with (commonly وَفْقًا لِـ),False,False,,False,False,,True,True,explicit_review_required
929,يسعى,seeks; strives,False,False,,False,False,,True,True,explicit_review_required
930,يكره,hates; dislikes,False,False,,False,False,,True,True,explicit_review_required
932,أولاد,boys; sons; children,True,False,,False,False,,True,True,explicit_review_required
935,مشاريع,projects,True,False,,False,False,,True,True,explicit_review_required
942,يطلق,launches; releases; fires; calls/names (depending on form),False,False,,False,False,,True,True,explicit_review_required
943,يقبل,approaches/comes forward; accepts (depending on vocalization),False,False,,False,False,,True,True,explicit_review_required
944,يجمع,collects; gathers,False,False,,False,False,,True,True,explicit_review_required
951,يقود,leads; drives,False,False,,False,False,,True,True,explicit_review_required
952,يتمكن,manages to; is able to,False,False,,False,False,,True,True,explicit_review_required
953,جهود,efforts,False,False,,False,False,,True,True,explicit_review_required
982,ينبغي,should; ought to; it is appropriate/necessary,False,False,,False,False,,True,True,explicit_review_required
984,قوانين,laws,True,False,,False,False,,True,True,explicit_review_required
985,يزيد,increases; adds,True,False,,False,False,,True,True,explicit_review_required
992,يقل,decreases; becomes less,False,False,,False,False,,True,True,explicit_review_required
993,اتخاذ,taking; adoption; making (as in اتخاذ قرار = making a decision),True,False,,False,False,,True,True,explicit_review_required
996,يفضل,prefers; is superior/better (depending on vocalization),False,False,,False,False,,True,True,explicit_review_required
