rank,target,english,part_of_speech
83,صدر,"president; chief, head; host (of an event etc.); Saddar (a neighbourhood of Karachi, Sindh, Pakistan)",name / noun
84,تمام,all; every,adj
85,اسی,eighty; this very; that very; the same (context-dependent),numeral / emphatic pronoun-determiner form
86,خلاف,against; contrary to; opposed to; opposition,noun / postpositional expression / adjective
87,احمد,"an epithet for Prophet Muhammad; a male surname, Ahmed or Ahmad, from Arabic; a male given name, Ahmed or Ahmad, from Arabic",name
88,طرف,side; direction,noun
89,دنیا,Earth; world; kingdom,noun
90,شروع,onset; beginning; commencement,noun
91,افراد,individuals; persons; members,noun
92,وزیر,vizier; minister; queen / fers,noun
93,جن,"whom; which; those who (plural oblique relative pronoun); jinn (noun, context-dependent)",relative pronoun / noun
94,آباد,populous; inhabited; cultivated,adj / suffix
95,دور,"far, far off; distant, remote; period, era, age",adj / adv / noun
96,آ,come; come! (stem/imperative of آنا),verb stem / imperative
97,دوست,friend,noun
98,علی,"Ali ibn Abi Talib; a male given name, Ali, from Arabic; upon, over, on (only used in borrowed Arabic phrases; see related terms below)",name / prep
99,ڈاکٹر,doctor; physician,noun
100,شامل,"associated, involved; included, comprised, incorporated",adj
101,لوگ,"people; class, caste; folk; family",noun
102,لے,take; take! (form/stem of لینا),verb
103,استعمال,"use, usage, utilisation, employment",noun
104,مدد,help; aid; assistance; relief; reinforcement (context-dependent),noun
105,میل,mile; inclination/affinity; dirt/grime (different senses),noun
106,پیدا,"born; arisen, created",adj
107,بے,without-; un-; -less; non-; name of the letter ب (context-dependent),prefix / noun
108,دوسرے,second; other (masculine plural/oblique form of دوسرا),adjective / determiner
109,روپے,rupees; rupee (oblique/vocative singular),noun
110,ضرورت,"necessity, need, requirement",noun
111,اے,O!; hey! (vocative particle),particle
112,تین,three,numeral
113,پیش,before; in front; forward; presented/offered; pesh/damma vowel mark,adverb / noun / adjective-participle
114,مختلف,different; various; differing; opposed (context-dependent),adjective
115,کیونکہ,because,conj
116,نام,name,noun
117,آئی,came (feminine singular),verb
118,ہمارے,our; ours (masculine plural/oblique form),possessive determiner / pronoun
119,صفحہ,face; page (of a book etc.),noun
120,قومی,national,adj
121,زندگی,life,noun
122,قائم,"established; unwavering, fixed, firm",adj
123,آج,today,adv / noun
124,پانی,water; liquid/moisture; tears or sweat (in compounds/context-dependent),noun
125,عوام,"crowd; public; masses, common folk, laity",noun
126,عمل,"effect; process; action, deed",noun
127,حسین,"a handsome man; beautiful, handsome; a male given name, Hussain or Husain, from Arabic",adj / name / noun
128,دوران,duration; course; period; during (in کے دوران),noun / postpositional expression
129,پاکستانی,Pakistani (person); Pakistani (of or relating to Pakistan),adj / noun
130,شاہ,king; shah,noun
131,سو,"hundred; so, hence; therefore",adv / numeral
132,بڑی,"big; large; elder/older; great (feminine form of بڑا, context-dependent)",adjective
133,خود,"reflexive pronoun: oneself, one's own",pronoun
134,مجھے,me; to me,pronoun
135,ایسے,such; like this/that; in this way,demonstrative adjective / adverbial form
136,جاری,"running, flowing; continuing, continuous, proceeding, prevailing",adj
137,فلم,"film, movie",noun
138,موجود,present; existing; available; obtainable,adjective
139,دن,day; daytime,noun
140,کھیل,"game; sport; play; fun; easy matter/task (idiomatic, context-dependent)",noun
141,بلکہ,rather; but rather; in fact; moreover,conjunction / discourse connector
142,نظر,sight; view; look; gaze; opinion; attention/supervision (context-dependent),noun
143,گھر,"house, home; place, abode",noun
144,ممالک,countries,noun
145,جہاں,where; wherever,relative/interrogative adverb
146,کہنا,to say; to tell; to speak,verb
147,میرے,my; mine (masculine plural/oblique form),possessive determiner / pronoun
148,علاقوں,areas; regions,noun
149,مگر,but; however; except; unless (context-dependent),conjunction
150,پاس,near; nearby; by; with/in someone's possession (in کے پاس),adverb / noun / postpositional expression
151,بنا,became; was made/formed (form of بننا); without,verb form / postposition
152,ہزار,thousand,numeral
153,تعلیم,"education; training, practice; teaching, instruction",noun
154,بڑے,big; large; great (masculine plural/oblique),adj
155,کرکٹ,cricket,noun
156,دیگر,other,adj
157,غیر,"other; unrelated; strange, foreign",adj / noun / prefix
158,ہلاک,killed; dead/destroyed; ruined; destruction/ruin,adjective / noun
159,یہاں,here (at this place),adv
160,کئی,many; several,determiner
161,اہم,important; significant; essential,adjective
162,ہمیں,us; to us,pronoun
163,موقع,"chance, opportunity",noun
164,فیصد,percent (%),noun
165,بچے,"children; child (oblique/vocative singular, context-dependent)",noun
166,جنرل,general,noun
167,اپنا,one's own; own (reflexive possessive agreeing with the possessed noun),reflexive possessive determiner / pronoun
168,بچوں,children,noun
169,سیاسی,political,adj
170,اضافہ,surplus; addition; increase,noun
171,ایسا,such; like this/that; of this kind,demonstrative adjective / determiner
172,خیال,thought; idea; opinion; care/attention,noun
173,ختم,depleted; finished; terminated,adj
174,شہر,town; city (urban area),noun
175,خواتین,women; ladies,noun
176,روز,day; every day; daily,noun / adverb
177,ترقی,progress; development,noun
178,ہماری,our; ours (feminine form),possessive determiner / pronoun
179,وہاں,there; over there,locative adverb
180,جانب,"direction, side",noun
181,کوشش,effort; attempt,noun
182,دوسری,second; other (feminine),adjective / determiner
183,مکمل,"entire, total; full, overflowing; finished (ie. to come to an end; concluded)",adj
184,عمر,"life; lifetime; a male given name, Umar or Omar; age (number of years one has lived)",name / noun
185,بار,"time, turn, occasion, instance, occurrence",noun
186,حصہ,"portion; part, share, piece; a share of a company",noun
187,انسان,human; person,noun
188,مزید,"greater, increased; increased, augmented, increase; more, additional, further, supplementary",adj / adv
189,نظام,"system, order; institution, foundation (network)",noun
190,بہتر,better; improved,adjective / adverb
191,کبھی,ever; sometime; sometimes; never (with negation),adverb
192,مسلم,Muslim; Islamic; a Muslim (adherent of Islam),adj / noun
193,چار,four,numeral
194,کردار,role; character; conduct / behaviour,noun
195,میری,my; mine (feminine),pronoun
196,فیصلہ,resolution; decision; judgment,noun
197,سامنے,in front; in front of; facing; opposite,locative adverb / noun / postpositional expression
198,ادا,style; manner; grace/charm; performed/paid/fulfilled (especially in ادا کرنا),noun / participial element
199,درمیان,between; middle; midst,adv / noun
200,صورت,form; shape; appearance; face; situation; case; way,noun
201,پارٹی,party; political party/group; social party/gathering,noun
202,نئی,new (feminine),adj
203,بعض,"some, certain, few, several",adj
204,دل,heart; mind/feelings; desire/wish; attention (in expressions),noun
205,اجلاس,"the sitting of a court of justice; session, official meeting, assembly session",noun
206,باہر,outside; outdoors; exterior/outside area,adverb / noun
207,قرار,"conclusion, confirmation; decision, promise, agreement; peace, tranquility, rest, calm",noun
208,عام,common; general; ordinary,adj
209,ضروری,"important; necessary, required",adj
210,حضرت,honorific for a revered/respected person; His/Her Holiness; respected sir/lady (context-dependent),honorific noun / title
211,بھارتی,Indian; an Indian person,adjective / noun
212,تاہم,however; nevertheless; nonetheless; yet,conjunction / discourse adverb
213,مسائل,problems; issues,noun
214,تاکہ,so that; in order that,subordinating conjunction
215,جگہ,place; location; space; site; position/post (context-dependent),noun
216,میرا,first-person singular possessive pronoun: mine; first-person singular possessive determiner: my,determiner / pronoun
217,بند,closed; shut; dam/barrier; band/stanza (context-dependent),adjective / noun
218,جی,"used to show agreement - yes, correct; heart, mind (in the figurative, not anatomical, sense); the honorific particle, usually appended to names (of any gender) and titles",noun / particle
219,فوجی,soldier; military; army-related,noun / adjective
220,تعداد,"quantity, amount, number",noun
221,تھیں,were (feminine plural past of ہونا),verb
222,اظہار,"indication, declaration, disclosure, manifestation, proclamation, revelation, statement, testimony, vent",noun
223,لاکھ,"myriad; lakh, lac (hundred thousand)",noun / numeral
224,کمی,lack; shortage; deficiency; decrease; deficit,noun
225,پہلی,first (feminine),adj
226,صاحب,sir; mister; gentleman,noun
227,یعنی,that is; namely; i.e.; meaning/in other words,conjunction / discourse marker
228,ہونا,to be; to exist; to become; to happen,verb
229,یہی,this very; this same; exactly this,emphatic demonstrative pronoun / determiner
230,بغیر,without; except for,postposition / preposition
231,چند,"a few, some, several",adj / adv
232,شکار,"hunt; prey, catch; victim",noun
233,تیار,ready,adj
234,وی,the letter V (especially in acronyms),letter name / noun
235,امداد,"support; aid, help, assistance",noun
236,بڑا,big; large; great; elder/older; very (intensifying use),adjective / intensifier
237,تعلق,"relationship; relation, connection",noun
238,شخص,"person, individual",noun
239,ناظم,administrator; manager; organizer; coordinator; poet/composer (literary/older),noun
240,حل,"solution, resolution",noun
241,متحدہ,"allied; united, unified",adj
242,گزشتہ,"previous; past, elapsed",adj
243,باعث,"cause, reason; root, origin, basis",noun
244,اشاعت,propagation; publication,noun
245,فراہم,provided; supplied; available; furnished,adjective / participle
246,پانچ,five,numeral
247,ابھی,"lately, recently, just, just now; currently, at present, at the moment, right now, just now; immediately, right away, shortly, at once, this instant, right now",adv
248,زلزلے,"earthquakes; earthquake (oblique/vocative singular, context-dependent)",noun
249,فوج,army (military; force); a horde (both in terms of items or people),noun
250,قبل,before; prior to; ago,adverb / postpositional expression
251,جلد,soon; quickly; skin; hide; book volume; binding/cover (depending on pronunciation/context),adverb / noun
252,آیا,"came; arrived (masculine singular perfect of آنا); ayah/nursemaid (noun, context-dependent)",verb form / noun
253,اسلامی,Islamic,adj
254,مسئلہ,"matter, affair; problem, issue; proposition, question",noun
255,کل,yesterday; tomorrow; all; total; machine/device (context-dependent),adverb / noun / adjective-quantifier
256,اعلی,high; superior; supreme,adjective
257,او,O!; oh!; the letter O (context-dependent),interjection / letter name
258,اعظم,greatest; supreme; paramount,adj
259,علاقے,"areas; regions; area/region (oblique/vocative singular, context-dependent)",noun
260,خصوصی,"personal, private; special, peculiar, particular",adj
261,صحت,health; soundness,noun
262,کس,"whom; which; whose/of whom (singular oblique interrogative, context-dependent)",interrogative pronoun
263,بڑھ,increase; grow; advance (stem/imperative base of بڑھنا),verb stem
264,خاص,special; peculiar; extraordinary,adj
265,کار,"function, duty, use; work, occupation, action; denotes a doer or agent; -er",noun / suffix
266,بیان,statement,noun
267,اختیار,authority; power; control; choice; discretion; option,noun
268,کیوں,why,adv
269,علم,knowledge; science; flag (different vocalization/sense),noun
270,انداز,"style, manner",noun
271,سطح,"level, surface",noun
272,قانون,"law; rule, statute",noun
273,سامان,"goods, chattels; luggage, baggage; equipment, apparatus",noun
274,حق,"portion, share; duty, obligation; the truth, righteousness",noun
275,پاک,"clean, pure; clipping of پاکستان (“Pakistan”)",adj / noun
276,جواب,"solution; answer, reply, response",noun
277,کمیٹی,committee; a municipality; ROSCA; a money saving scheme,noun
278,ماہ,"month; moon (literary/Persian-derived); beloved (poetic, context-dependent)",noun
279,آخری,"final, last",adj
280,رائے,opinion; view; advice; vote,noun
281,قسم,"oath, swearing; kind, type, category, brand",noun
282,معلوم,"known; evident, clear; obvious",adj
283,زمین,land; earth; ground; soil,noun
284,سابق,former; previous; ex-; past,adjective / noun (context-dependent)
285,اچھی,good; nice; well (feminine form of اچھا),adjective
286,سوال,question,noun
287,ہاتھ,hand; contribution; help; access,noun
288,ثابت,fixed; established; proven; stable,adj
289,ضلع,district,noun
290,جان,life; soul; spirit; vitality; dear/beloved (affectionate use),noun
291,بھائی,brother; bro; male cousin (context-dependent); male friend/fellow (informal),noun
292,اندر,inside; in; within; interior,adverb / noun / postpositional element
293,قریب,near; kinsman; relation,adj / adv / noun
294,طلب,demand; request; desire; yearning; requirement,noun
295,واپس,back; again; returned; restored,adverb / adjective-participle
296,قیمت,price; value; worth,noun
297,کامیاب,"prosperous, successful",adj
298,سر,head; top; sir (honorific),noun / honorific
299,انتخابات,elections,noun
300,قوم,nation; people; community; ethnic group,noun
301,تعلقات,relations; relationships; connections,noun
302,لہذا,therefore; thus; hence,conjunctive adverb / discourse connector
303,آزاد,free; independent; liberated; unrestricted,adjective
304,رات,"eve; darkness, dark; night, nighttime",noun
305,حد,"boundary, limit",noun
306,شرکت,participation; involvement; association; company/partnership (context-dependent),noun
307,تقریبا,"around, about, approximately, close to, almost, nearly",adv
308,چکی,"mill; millstone; has/had already completed (feminine completive form in verb constructions, context-dependent)",noun / auxiliary-verb form
309,رہ,remain; stay; live (stem/imperative base of رہنا),verb stem
310,جماعت,group; class; congregation; organized party/group,noun
311,آغاز,start; beginning; commencement,noun
312,ملکی,national; domestic; of the country,adjective
313,نقصان,loss; harm; damage; disadvantage; drawback,noun
314,کافی,enough; sufficient; quite/fairly; coffee (context-dependent),adjective / adverb / noun
315,اختر,"star; a surname, Akhtar, from Persian; a unisex given name, Akhtar, from Persian",name / noun
316,وغیرہ,"et cetera, and so forth",phrase
317,انسانی,human,adj
318,توجہ,"focus; regard; attention, care",noun
319,ظاہر,apparent; evident; clear; obvious; apparently/obviously (adverbial use),adjective / adverb
320,مرتبہ,"occasion, time; degree, rank, standing",noun
321,دس,ten,numeral
322,مشکل,hard; difficult; problematic,adj / noun
323,تحریک,movement; campaign; motion; stimulation; proposal/motion,noun
324,شریف,"meek, gentle, noble, upstanding",adj
325,کامیابی,"success, achievement",noun
326,ممکن,possible,adj
327,شیخ,sheikh; elder; religious leader/cleric; title/name,noun / title / name
328,تاریخ,date; history,noun
329,پور,town; city; settlement; -pur (place-name element),noun / suffix
330,غلام,"slave; knave, jack; boy, young man",noun
331,متعلق,related; connected; attached; concerning,adjective / participle
332,علاج,cure; remedy; medical treatment,noun
333,حال,condition; state; situation; present/current state,noun
334,سات,seven (۷ (7)),numeral
335,بجائے,instead; instead of; in place of (especially in کے بجائے),adverb / postpositional expression
336,بنیادی,"fundamental, primary, basic, principal",adj
337,کروڑ,crore; ten million,numeral / noun
338,مضبوط,strong; sturdy; solid; firm; secure,adjective
339,برس,year,noun
340,تم,you (familiar / informal),pronoun
341,شدید,severe; intense; strong; extreme,adjective
342,کالج,college,noun
343,تقسیم,division; distribution,noun
344,سرحد,border; frontier; boundary,noun
345,گروپ,group,noun
346,پیر,foot; Monday; spiritual guide/saint; elder,noun / title
347,واضح,"evident, manifest, elaborate, clear, apparent",adj
348,زر,gold; money; wealth,noun
349,مسلمانوں,Muslims (oblique plural),noun
350,محبت,"love; affection; dedication, attachment",noun
351,یاد,memory; recollection; reminiscence,noun
352,کتاب,"book, manuscript, volume",noun
353,باغ,"garden; land, area; orchard; grove",noun
354,سزا,penalty; punishment; retribution,noun
355,امن,"peace, tranquility",noun
356,موت,death; demise; mortality,noun
357,سمیت,including; together with; along with,postposition / particle
358,موجودہ,"at present; existing, present, current",adj
359,قتل,murder; killing; massacre,noun
360,فی,per; each; for each,postposition / distributive particle
361,آگے,ahead; forward; hereafter,adv
362,رنگ,colour,noun
363,سخت,"strict, severe, hard, tough, harsh",adj
364,زبان,tongue; language; word (i.e. a promise),noun
365,نیا,new,adj
366,کارکردگی,performance; functioning; output; efficiency,noun
367,محسوس,"felt, sensed, perceived",adj
368,ہمیشہ,always; forever; ever,adverb
369,سیاست,policy; politics; jurisdiction,noun
370,دہشت,"awe; alarm, panic; terror, fear",noun
371,فن,"art, craft, skill; trick, deception, artifice",noun
372,میاں,"person; husband; mister, sir",noun
373,آمدنی,income; earnings; revenue,noun
374,شادی,"wedding, marriage",noun
375,ضرور,certainly; definitely; surely; necessarily/must (context-dependent),adverb
376,انتہائی,extreme; utmost; extremely,adjective / adverb
377,پہلا,first,adj
378,کپتان,captain; skipper,noun
379,عدالت,justice; court; courtroom,noun
380,اچھا,good; nice; fine; well; okay; alright,adjective / adverb / interjection
381,راہ,"route; path, way; manner, mode, fashion",noun
382,مسلمان,Muslim,noun
383,ملاقات,"rendezvous; meeting, visit; encounter (an unexpected visit etc.)",noun
384,جانا,"to go, to leave",verb
385,عزیز,"dear, loved; a loved one, dear one; a male given name, Aziz",adj / name / noun
386,سفر,"travel, trip, journey, voyage",noun
387,نو,new; nine,adj / numeral
388,اول,"first; foremost, primary",adj / noun
389,اہمیت,importance,noun
390,پسند,liking; preference; choice; liked/pleasing (in compounds/context-dependent),noun / adjective element
391,جنوبی,southern,adj
392,جسم,body,noun
393,کون,who?,interrogative pronoun
394,سلسلہ,"series; way; method; chain, shackle",noun
395,یوں,thus; like this; in this way; so,adverb
396,فوری,"immediate, urgent, prompt, rapid, instantaneous, instant",adj
397,اکثر,"often, frequently; usually, for the most part",adv
398,ہدایت,"guidance; instruction; direction; Hidayat (personal name, context-dependent)",noun / name
399,زلزلہ,"earthquake, seism",noun
400,بینک,bank,noun
401,ساحل,"coast; shore; Sahil (given name, context-dependent)",noun / name
402,چیز,thing (ie. object; item),noun
403,پورا,"complete; fulfilled; whole, entire",adj
404,امیدوار,"hopeful; expectant; candidate, contestant (in an election or examination etc.)",adj / noun
405,بس,"bus; enough; that's enough; only/just; stop!; dwell/settle (verb stem, context-dependent)",noun / adverb / interjection / verb stem
406,طاقت,strength; power; ability,noun
407,ذمہ,responsibility; obligation; charge,noun
408,فائدہ,benefit; advantage; usefulness; profit; gain,noun
409,ہاں,yes,particle / interjection
410,آبادی,population; settlement,noun
411,کارروائی,"measure; management; procedure, conduct, action, process, proceeding, investigation",noun
412,آواز,"voice; report, fame; sound, noise",noun
413,حقوق,rights,noun
414,دنوں,days (oblique plural),noun
415,جدید,"modern, recent",adj
416,ارب,billion,numeral
417,ذرائع,sources; means; resources,noun
418,عرب,Arab,adj / noun
419,جاوید,"eternal, undying, everlasting, perpetual; a male given name, Javed, Jawed, or Jaweed, from Persian",adj / name
420,خدا,God; god; Lord; deity,noun
421,حملے,"attacks; attack (oblique/vocative singular, context-dependent)",noun
422,اقوام,nations; peoples,noun
423,دورہ,visit; tour; round; attack/fit (medical/context-dependent),noun
424,بالکل,"absolutely (quite, wholly, at all, clearly)",adv
425,جسے,whom; which; to whom; to which,relative pronoun
426,دینا,"to let; to deliver; to give, to grant",verb
427,محنت,"hardship; toil, labour; hard work, effort",noun
428,مرکزی,central,adj
429,بنیاد,"principle; foundation, basis",noun
430,والدین,parents,noun
431,اجازت,"leave; consent; permission, authorisation, clearance",noun
432,واقع,located; situated; occurring; actual (context-dependent),adjective / participle
433,شام,"evening; Syria / the Levant (proper name, context-dependent)",noun / proper noun
434,جیت,"victory, win",noun
435,گفتگو,conversation; discussion; dialogue,noun
436,تیل,oil,noun
437,از,"from, by",prep
438,مقدار,"amount, quantity",noun
439,ملکوں,countries (oblique plural),noun
440,عالم,world; realm; scholar; learned person (depending on vocalization/context),noun
441,عورت,woman; wife (context-dependent),noun
442,آئندہ,"the future; coming, future",adj / adv / noun
443,دوسرا,second; other; another,adjective / pronoun
444,طریقہ,"method; tariqa; manner, way",noun
445,باقی,"extra; remainder, rest; outstanding balance",adj / noun
446,قدر,"value, worth; fate, destiny",noun
447,صبح,dawn; morning,adv / noun
448,فٹ,"foot/feet (unit of measure); fit; fitted (loanword, context-dependent)",noun / adjective
449,ہمارا,our; ours (masculine singular form),possessive determiner / pronoun
450,صحیح,"right, correct, accurate",adj
451,الزام,"allegation; blame, accusation",noun
452,حالت,"state, condition",noun
453,دیکھنے,to see; to watch; to look at; seeing/watching (oblique infinitive form),verb form
454,آر,the letter R (especially in acronyms),letter name / noun
455,فون,"phone, telephone; phone call, telephone call",noun
456,بجلی,lightning; electricity,noun
457,مذاکرات,negotiations; talks,noun
458,مثلا,"for example, for instance, e.g.; namely",adv
459,خط,letter; correspondence; line; handwriting/script,noun
460,خاندان,"family; household; dynasty, lineage",noun
461,اچھے,good (masculine plural/oblique),adj
462,خارجہ,"foreign affairs; foreign, external, outer",adj / noun
463,منتخب,elected,adj
464,لگے,"seemed; began; were attached (form of لگنا, context-dependent)",verb
465,کنٹرول,"control; check, inspection (physically, by an officer)",noun
466,رسول,"Apostle; Prophet Muhammad; Messenger, prophet",noun
467,مظاہرہ,rally; demonstration,noun
468,حکم,"verdict, judgement; order, command, decree; judicial order, ordinance, statute",noun
469,اتنا,so much; this much; as much as,adj / adv
470,داخل,"inside; admitted, enrolled; intruding, penetrating",adj
471,پتہ,"address; knowledge, clue",noun
472,خون,blood; killing; relationship,noun
473,شاعر,poet,noun
474,نوجوان,young; youthful; young person; youth,adjective / noun
475,ماں,mother,noun
476,مستقبل,future,adj / noun
477,سن,"age; year/date; listen! (informal imperative of سننا, context-dependent)",noun / imperative verb form
478,خدمات,services,noun
479,ون,"one (English loan, especially in compounds); forest/wood (literary)",numeral loan / noun
480,بیماری,"illness, disease",noun
481,کیسے,how,adv
482,شاید,"maybe, perhaps",adv
483,رہنما,"guide; leader; conductor, pilot",noun
484,سائنس,science,noun
485,تبدیل,change; alteration; conversion; changed/converted (context-dependent),noun / adjective-participle
486,تحصیل,acquisition; attainment; tahsil/subdistrict,noun
487,دوبارہ,again; anew; once more; a second time,adverb
488,ہفتے,"weeks; week (oblique/vocative singular, context-dependent)",noun
489,قیادت,leadership; command; guidance,noun
490,حقیقت,reality; truth; fact,noun
491,اثر,effect; influence; impact; impression,noun
492,چین,"peace; rest; comfort; relief; China; chain (loanword, context-dependent)",noun / proper noun
493,ماہرین,experts; specialists,noun
494,غلط,false; wrong; mistaken,adj
495,فیصل,"a male given name, Faisal, from Arabic",name
496,تازہ,"new, breaking; novel, original; fresh, just made",adj
497,غریب,poor; helpless; poor (of wealth),adj
498,سامنا,front; encounter; confrontation,noun
499,دھماکہ,"explosion, boom",noun
500,بم,bomb,noun
501,درست,"correct, accurate; faultless, without defect; appropriate, fitting, proper",adj
502,آخر,end; at last; after all,adv / noun
503,داری,possession; holding; practice/state; -holding/-keeping (especially in compounds),noun / suffix
504,برابر,equal; level; abreast,adj / adv
505,ذکر,mention; remembrance; reference; discussion,noun
506,خدمت,service; assistance; employment,noun
507,جائزہ,review; assessment; survey; inspection; examination,noun
508,نائب,"naib, viceroy, deputy",noun
509,کن,"which; whom (plural/oblique interrogative, context-dependent)",interrogative pronoun / determiner
510,اصل,origin; root; basis; original; real; genuine,noun / adjective
511,صاف,clean; clear; pure; plain,adjective / adverb
512,طے,"decided, predetermined",adj
513,زور,force; strength; power; emphasis; pressure,noun
514,ادب,literature; manners; courtesy; respect; etiquette,noun
515,کالا,"black; dark; black-colored; evil/dark (figurative, context-dependent)",adjective / noun
516,یقین,certainty; belief; conviction; confidence,noun
517,بالی,an ear of corn; a kind of earring with pendants,noun
518,روڈ,road,noun
519,شاہد,witness,noun
520,امید,hope; expectation; امید سے = pregnant (idiomatic construction),noun
521,صنعت,"industry; art, skill, handicraft, workmanship",noun
522,وکٹ,wicket,noun
523,انتخاب,election,noun
524,احساس,"consciousness, emotion, feeling, perception, realisation",noun
525,مشرق,east,noun
526,موسیقی,music,noun
527,تیز,fast; quick; sharp; intense; strong; spicy/hot,adjective / adverb
528,وطن,"nation, country; homeland, motherland, fatherland",noun
529,دودھ,milk; coconut milk/liquid (context-dependent),noun
530,تنظیم,organization,noun
531,موسم,weather; season; climate,noun
532,خرچ,"expenditure, spending",noun
533,ہاتھوں,hands (oblique plural),noun
534,حمایت,"defence, protection; support, backing, aid, advocacy (of a side or cause)",noun
535,شکست,"defeat, failure; loss, deficiency; breaking, fracture",noun
536,نماز,prayer; ritual prayer; salat,noun
537,تربیت,"upbringing (ie. of a parent to a child); nurturing, discipline (ie. training; instruction)",noun
538,تصور,concept; idea; conception,noun
539,سپر,"a shield, a handheld defensive armour",noun
540,چنانچہ,therefore; consequently; accordingly,conjunctive adverb / discourse connector
541,واقعات,events; incidents,noun
542,رضا,will; accord; consent,noun
543,وہی,"that very, the same; he, she, it, they, that, those",adj / pronoun
544,اسکول,school,noun
545,معیار,standard; quality; criterion; measure; benchmark,noun
546,آزادی,"liberty, liberation; freedom, independence",noun
547,مثال,"example, instance, specimen, model, precedent",noun
548,شاعری,poetry,noun
