rank,target,english,part_of_speech
77,laisser,"to let, to allow; to leave with, to give; to forget, to leave alone",verb
78,vraiment,"really; very; really? for real?; truly, really, genuinely",adverb
79,aussi,"therefore; too, also, as well; as (used for equal comparisons)",adverb
80,pourquoi,why,adverb
81,même,even; same; very,adjective / adverb
82,autre,other; used to express the equivalence or resemblance between two or more things; second,adjective / pronoun
83,attendre,"to expect; to wait for, to await",verb
84,sa,her; his; its,adjective / noun
85,arriver,"to cope, to manage; to obtain a level of success or fame; to arrive (often followed by a location)",verb
86,maintenant,"now, currently; present participle of maintenir",adverb
87,falloir,to be necessary; must; have to (impersonal verb),verb
88,ta,your,adjective
89,appeler,call; summon,verb
90,donner,"to donate; to come across; to give, to transfer the possession/holding of something to someone else",verb
91,temps,tense; weather; time (in general),noun
92,peu,few; little,adverb / noun
93,regarder,to face; to watch; to look at,verb
94,toujours,still; always,adverb
95,petit,petty; small; little,adjective / noun
96,comment,how; in what way,adverb / noun / interjection
97,besoin,need,noun
98,encore,more; again; still,adverb
99,quelque,some (singular),adjective
100,notre,our,adjective
101,homme,husband; boyfriend; man (employee),noun
102,partir,to go; to die; to start,verb
103,mes,my,adjective
104,vie,life,noun
105,sûr,"safe; trustworthy; sure, certain",adjective
106,arrêter,"to wait; to come to a stop; to stop, to cease (an activity)",verb
107,quoi,what,pronoun
108,personne,"anyone; person; no one, nobody",noun / pronoun
109,accord,"chord; agreement; permission, consent",noun
110,tuer,to kill,verb
111,peut-être,"maybe, perhaps",adverb
112,fois,"times, multiplied by; time (an instance or repetition of something happening)",noun
113,mettre,to set; to put on; to penetrate,verb
114,sortir,go out; come out,noun / verb
115,demander,to ask; to wonder; to request,verb
116,rester,to live; to rest; to stay,verb
117,jour,day,noun
118,monde,world,noun
119,sans,without,preposition
120,vrai,"true; truth; real, proper",adjective / noun
121,connaître,"to know (sexually); to be knowledgeable (en about); to know, to experience (glory, hunger, problems etc.)",verb
122,essayer,try; test; attempt,verb
123,quelqu'un,someone; somebody,pronoun
124,mourir,to die,verb
125,comprendre,"to comprise, include; to understand, comprehend; to be comprehensible or conceivable",verb
126,avant,before; in front of,adverb / noun / preposition
127,trop,too; too much,adverb
128,an,year,noun
129,seul,only; alone; lonely,adjective
130,père,father,noun
131,aider,to use; to help; to aid,verb
132,dieu,God; god,noun
133,après,"afterwards; after, later than in time; Indicates the continuous aspect",adverb / preposition
134,ami,Citroën Ami; friend (one who is affectionately attached to another),noun
135,ses,his; her; its (before a plural noun),adjective
136,leur,their; to them,adjective / pronoun
137,entendre,hear,verb
138,mal,bad; evil; pain,adjective / adverb / noun
139,chez,"at/to the home, place, or business of; among; in the work of",preposition
140,nouveau,new; novel,adjective / noun
141,beaucoup,very,adverb
142,depuis,since; for (a duration); from,adverb / preposition
143,déjà,"already, before; for a start, firstly; again (following a question)",adverb
144,femme,wife; woman,noun
145,grand,big; tall; grand,adjective / noun
146,monsieur,"gentleman; Specifically, the brother of the French king",noun
147,chercher,seek; look for,verb
148,mieux,better,adverb / noun
149,enfant,"son, native (of a place); child (offspring of any age); child (someone who is not yet an adult)",noun
150,gens,people,noun
151,tes,your (informal singular possessor; before a plural noun),adjective
152,heure,hour; time; o'clock,noun
153,maison,house,noun
154,fait,fact; deed; done / made (past participle of faire),noun / past participle
155,problème,problem; trouble,noun
156,revenir,return; come back,verb
157,voilà,there is/are; there it is; here it is,preposition
158,cela,that,pronoun
159,écouter,listen,verb
160,fille,"girl; daughter; prostitute, wench",noun
161,soir,evening,noun
162,nom,name; noun; forms expletive interjections,noun
163,premier,first,adjective / noun
164,perdre,lose,verb
165,finir,"to end up; to finish, end, complete",verb
166,sentir,"to taste; to feel (in oneself); to smell of, taste of",verb
167,raison,reason; logical reasoning,noun
168,jouer,"to play (a role); to bid (money), gamble; to play (engage in games or play)",verb
169,nuit,night,noun
170,travailler,work,verb
171,moment,"a while; moment, momentum; moment (point in time)",noun
172,dernier,last,adjective
173,commencer,"to begin, commence",verb
174,cet,this; that (masculine singular before a vowel or mute h),adjective
175,beau,beautiful; handsome; fine; nice,adjective / adverb / noun
176,salut,"hi, hello; salvation; bye, goodbye",noun / interjection
177,rendre,to yield; to render; to call on,verb
178,truc,"trick; procedure, technique; thingamajig, thingy, thing",noun
179,désoler,to sadden; distress; upset,verb
180,argent,money; silver,noun
181,bonjour,"goodbye; good day; good afternoon; a French surname, Bonjour",noun
182,moins,minus,adverb / noun
183,plaire,please,verb
184,maman,"mummy, mommy, mom, mum",noun
185,rentrer,"to score (a goal); to go back, to re-enter; to get in, to go in, to fit in",verb
186,air,"appearance; tune, aria; air (pretension)",noun
187,mort,death,adjective / noun
188,tenir,to keep; to behave; to hold on,verb
189,affaire,"thing; case, trial; affair, scandal",noun
190,désolé,sorry; saddened; desolate,adjective
191,gars,"lad, guy; guys (usually all male)",noun
192,famille,family,noun
193,ah,ah!,interjection
194,vivre,to live; to experience,verb
195,main,hand,noun
196,mec,"pimp; guy, fellow, bloke, chap, dude, boyfriend",noun
197,peur,fear,noun
198,question,question,noun
199,devenir,future; to become; to come from,noun / verb
200,eh,eh; hey; huh (interjection),interjection
201,changer,to change; to exchange (something),verb
202,idée,idea,noun
203,travail,job; workplace; work; labor,noun
204,voiture,car; vehicle; motor car,noun
205,tête,head,noun
206,assez,to a sufficient or moderate degree; enough; sufficiently,adverb
207,fils,son,noun
208,oublier,forget,verb
209,coup,"lay; load, shot; planned action",noun
210,mère,mother,noun
211,chance,luck; chance,noun
212,minute,minute,noun
213,manger,eat,noun / verb
214,meilleur,better,adjective / noun
215,entre,among; between,preposition
216,quelle,which; what (feminine singular),adjective
217,envoyer,to send; to gulp down with relish,verb
218,prêt,ready; loan (noun),adjective / noun
219,hé,hey!; ho! (interjection),interjection
220,souvenir,souvenir; to remember; memory (mental picture),noun / verb
221,merde,shit,noun / interjection
222,occuper,occupy,verb
223,entrer,to enter,verb
224,pendant,during; for (a duration); while,adjective / noun / preposition
225,vite,quickly; quick; fast,adjective / adverb
226,tomber,"to fall; to come down; to become, to get",verb
227,aujourd'hui,today,adverb
228,elles,they (feminine),pronoun
229,hein,huh?; right?; isn't it?,interjection
230,garder,to keep; to guard; to look after,verb
231,année,year,noun
232,payer,pay,verb
233,excuser,excuse; pardon; forgive,verb
234,combien,how many; how much,adverb
235,histoire,"story; misadventure; lie, fantasy, invention",noun
236,marcher,to step; to walk; to believe,verb
237,tant,so much; so many; as much; as many,adverb
238,tirer,"to shoot; to leave a place; to draw, drag, pull",verb
239,puis,then; next; and then,adverb / conjunction
240,vieux,old; elderly; old man (noun use),adjective / noun
241,apprendre,learn; teach,verb
242,espérer,hope,verb
243,montrer,to show; to point to; to point out,verb
244,importer,import,verb
245,ensemble,together; set; ensemble,adverb / noun
246,semaine,week,noun
247,frère,brother,noun
248,tard,late,adverb
249,part,share; newborn; proportion,noun
250,contre,against; versus; in exchange for,noun / preposition
251,amour,love; an oblast in far eastern Russia; its administrative centre is Blagoveshchensk,noun
252,ouvrir,"to open; to begin, to initiate; to turn on, to switch on, to put on (of a device or an appliance)",verb
253,sang,blood,noun
254,utiliser,"to use, to utilize",verb
255,gros,"famous; coarse, rough; big, thick, fat",adjective / noun
256,cas,case,noun
257,rencontrer,to meet; to come across,verb
258,porter,wear; carry,verb
259,demain,tomorrow,adverb
260,suivre,to follow; to take / attend (a course); to understand / follow,verb
261,fou,"bishop; madman; mad, crazy",adjective / noun
262,porte,door,noun
263,genre,kind; genre; genus,noun
264,seulement,only,adverb
265,bébé,baby,noun
266,gagner,to win; to earn; to gain; to obtain,verb
267,sous,under; below; beneath,preposition
268,mauvais,"bad; wrong, incorrect",adjective
269,sembler,seem; appear; appear to be,verb
270,mois,month,noun
271,type,type,noun
272,ville,city; town,noun
273,police,police,noun
274,point,not; point; stitch pattern,adverb / noun
275,foutre,fuck; screw,noun / verb
276,droit,right angle; law (study of law); right (entitlement),adjective / adverb / noun
277,aucun,"none, no-one; no, none, not any",adjective / pronoun
278,putain,"whore, hooker; used as an intensifier; fuck, fucking hell, bloody hell",noun
279,rappeler,to remind; recall; call back,verb
280,car,"as, since, because, for; a single-decked long-distance, or privately hired, bus, a coach",conjunction / noun
281,endroit,"place, spot (specified area)",noun
282,côté,side,noun
283,jeune,young,adjective / noun
284,chaque,each; every,adjective
285,retrouver,to find again; to meet up with; to regain / rediscover,verb
286,continuer,to continue,verb
287,façon,way; manner; fashion,noun
288,longtemps,long; a long time; for a long time,adverb
289,place,"place, seat; place, space, room; place, square, plaza, piazza",noun
290,sauver,"to save; to escape, run away",verb
291,train,train,noun
292,plein,full,adjective / adverb / noun / preposition
293,retourner,to return / go back; to turn over; to flip,verb
294,asseoir,sit down,verb
295,boire,drink,verb
296,dormir,to sleep,verb
297,acheter,to purchase; buy,verb
298,arme,weapon,noun
299,dont,whose; of whom; of which; including,pronoun
300,mot,word,noun
301,corps,body,noun
302,attention,vigilance; attention (concern for); attention (interest in),noun / interjection
303,tellement,so; so much; so many,adverb
304,écrire,to write,verb
305,madame,Mrs; lady; madam,noun
306,ni,neither; nor,conjunction
307,matin,morning,noun
308,fort,very; a fort; strongly,adjective / adverb / noun
309,chéri,Shar (shari'a); cherished; beloved; past participle of chérir,adjective / noun
310,important,"important; present participle of importer; large, considerable, significant",adjective
311,aucune,no; none; not any (feminine),adjective / pronoun
312,garçon,boy; young man; man; ellipsis of garçon de café,noun
313,chambre,a room; a bedroom; a hotel room,noun
314,quitter,"to leave, to quit; to discharge somebody from an obligation; to part with somebody, to leave somebody",verb
315,heureux,"glad; happy; good, excellent",adjective / noun
316,voici,ago; here (it) is; introduces something or someone through its action,preposition
317,partie,"party; subset; part (portion, amount)",noun
318,lire,lira; read,noun / verb
319,servir,serve,verb
320,manquer,miss; be lacking; be missing,verb
321,terre,"earth; soil; the Earth (planet); land, property (delimited area)",noun
322,emmener,take away; take (with one),verb
323,adorer,adore; worship,verb
324,eau,"In particular, rain; Natural liquid quantities or expanses; Fluids such as sweat, formed and found in the body of man or animal",noun
325,là-bas,"yonder; down there; there, over there",adverb
326,voler,fly; steal,verb
327,inquiéter,to worry,verb
328,répondre,"to answer for; to reply, to answer",verb
329,suite,result; sequel; sequence,noun
330,vers,"to; verse; around, circa (with a date or time)",noun / preposition
331,battre,to fight; to thresh; to beat up,verb
332,euh,um; uh (hesitation),interjection
333,fin,"kind, nice; thin, fine; end, close, finish",adjective / noun
334,dur,"hard; harsh; firmness, solidity",adjective / adverb / noun
335,enfin,finally; at last; in the end,adverb
336,aide,"assist; aide (person); help, support",noun
337,toucher,"to affect; a way of touching; to try, to try out",noun / verb
338,mari,husband,noun
339,pardon,"sorry; excuse me; pardon, forgiveness",noun / interjection
340,super,great; super; fantastic,adjective
341,photo,photo,noun
342,devant,front; outside; present participle of devoir,adverb / noun / preposition
343,loin,"far, distant",adverb
344,prier,to pray,verb
345,docteur,doctor; physician,noun
346,papa,dad; father,noun
347,cause,cause; case (a legal proceeding); second-person singular imperative,noun
348,plutôt,"earlier, sooner; rather, instead (indicating preference); rather (introducing a correction or clarification)",adverb
349,compter,"to count; to matter; to intend, plan",verb
350,poser,"to lay, place; to install, fit; to relax, settle",verb
351,chef,"head; a boss, chief, leader; article, principal point",noun
352,bureau,desk; office (room); ticket office,noun
353,propos,"remark; aim, intention",noun
354,école,school,noun
355,boulot,job; work (informal),noun
356,celui,the one; that one (masculine singular),pronoun
357,prochain,next; nearby; upcoming,adjective / noun
358,jeu,a pipe organ stop; a hand of playing cards; manner of handling a gun,noun
359,mentir,lie; tell a lie,verb
360,hier,yesterday,adverb
361,feu,fire,adjective / noun
362,confiance,confidence,noun
363,vérité,truth,noun
364,cacher,to hide,verb
365,journée,day,noun
366,imaginer,to imagine,verb
367,reste,remainder; a trace or vestige which remains; second-person singular imperative,noun
368,fermer,to shut; to close; to mark the border of,verb
369,génial,"great, fantastic, awesome; ingenious, characteristic of a genius",adjective
370,possible,possible,adjective
371,agir,"prosecute, sue; to act, behave; to act, to do (something)",verb
372,téléphone,telephone,noun
373,équipe,team,noun
374,plan,"plan; shot; map (schematic maps of streets, subways, etc.)",adjective / noun
375,amener,bring; fetch,verb
376,film,"movie, film",noun
377,parent,parent; related; similar,adjective / noun
378,dessus,on top; above; on it; top,adverb / noun
379,passé,last; past,adjective / noun
380,monter,to edit; to ride (a horse); to mount (a horse),verb
381,propre,own; clean; eigen-,adjective
382,décider,decide,verb
383,vendre,to sell,verb
384,dehors,outside,adverb / noun
385,bouger,to budge; to move (in general),verb
386,mariage,union; wedding; marriage,noun
387,agent,agent,noun
388,choisir,"to choose; to perceive, distinguish",verb
389,exactement,exactly,adverb
390,expliquer,to explain,verb
391,recevoir,to receive; to entertain (to welcome guests),verb
392,supposer,"to suggest, to imply; to suppose, to think, to reckon, to surmise",verb
393,sécurité,safety; security,noun
394,chien,dog,noun
395,promettre,promise,verb
396,près,"near (a time or a place); close (to a time or a place); attached to, connects a person or an organisation delegated officially to a setting",adverb / preposition
397,ramener,"to draw, pull (back); to come down, be reduced (à to); to take back, bring back, restore",verb
398,cher,"super; dearly; dear, beloved",adjective / adverb / noun
399,valoir,be worth,verb
400,fête,party; birthday; name day,noun
401,long,long,adjective / noun
402,préparer,prepare,verb
403,jeter,to throw; to rush oneself,verb
404,joli,pretty,adjective
405,derrière,behind; rear; back; backside,adverb / noun / preposition
406,presque,almost; nearly,adverb
407,marier,wed; marry; be married; get married,verb
408,numéro,number; issue (of a publication),noun
409,gentil,kind; nice; gentle; sweet,adjective / noun
410,secret,secret,adjective / noun
411,capitaine,captain,noun
412,raconter,to recount; to tell; to narrate,verb
413,accepter,to accept,verb
414,service,service; department; duty,noun
415,tourner,to turn / rotate; to film / shoot,verb
416,ressembler,resemble; be similar,verb
417,guerre,war,noun
418,livre,book; pound,noun
419,moyen,means / way; average; medium,adjective / noun
420,noir,black; dark; Black person (noun use),adjective / noun
421,apporter,to take; to bring (something); to bring in (funding),verb
422,ordre,order,noun
423,lieu,place; location; site,noun
424,pied,foot; a unit of measure equal to 32.5 centimetres,noun
425,haut,top; high; tall,adjective / adverb / noun
426,protéger,to protect,verb
427,coucher,to put to bed; to lie down / go to bed,verb
428,enlever,to remove; take off; take away; kidnap/abduct,verb
429,pays,country,noun
430,retour,return,noun
431,suffire,suffice,verb
432,découvrir,uncover; discover,verb
433,bas,low; bass; stocking,adjective / adverb / noun
434,prison,prison,noun
435,bientôt,soon,adverb
436,envie,envy; hangnail; birthmark,noun
437,instant,moment; instant,adjective / noun
438,tour,turn; round; tour; tower,noun
439,ainsi,"in this way, thus",adverb
440,sérieux,serious; really? for real?,adjective / noun
441,content,pleased; contented; satisfied,adjective
442,peine,"punishment; effort, trouble; psychological pain, sorrow",noun
443,détester,dislike,verb
444,disparaître,disappear,verb
445,ignorer,to not know; be unaware of; ignore,verb
446,autant,"so much; the same, as much; just as well, might as well/may as well",adverb
447,carte,map; card; menu,noun
448,terminer,to finish; to end; to complete,verb
449,facile,easy; simple,adjective
450,difficile,"difficult; choosy, fussy, picky",adjective
451,meurtre,murder,noun
452,présenter,"to look; to be a candidate; to show, to present",verb
453,descendre,to descend; to go down; to kill (someone),verb
454,route,"route, way, path; road (sometimes route like ""Route 66"")",noun
455,frapper,to shake; to strike; to knock (e.g. on a door),verb
456,compte,account,noun
457,pièce,play; patch; piece,noun
458,offrir,to treat oneself; to give as a gift; to buy for oneself,verb
459,sujet,"subject; cause, reason; exam paper (on which the questions or tasks of an examination are written)",adjective / noun
460,faute,"fault, blame; error, mistake; wrong, misdemeanor",noun
461,conduire,"to lead, to conduct; to drive (a vehicle); to behave, to conduct oneself",verb
462,choix,"choice; pick, draft pick",noun
463,esprit,mind; spirit,noun
464,bizarre,"peculiar, quaint; bizarre, odd, strange, funny",adjective
465,vérifier,to prove; to verify; to confirm,verb
466,dollar,dollar,noun
467,parfois,sometimes,adverb
468,flic,police officer; copper; pig; rozzer,noun
469,ensuite,"in turn, subsequently, thereafter, then",adverb
470,verre,glass,noun
471,seconde,second,noun
472,plaisir,Plaisir; pleasure,noun
473,pire,worse,adjective / noun
474,d'abord,first; first of all; initially,adverb
475,état,state; condition,noun
476,lâcher,to fail; to chicken out; synonym of lâchage,noun / verb
477,réveiller,to awaken; to wake up,verb
478,humain,human,adjective / noun
479,différent,different,adjective
480,drôle,"funny, amusing; child, kid, lad; rascal, scoundrel",adjective / noun
481,l'un,one; one of them,pronoun
482,faux,false; scythe,adjective / adverb / noun
483,permettre,"to afford; to take the liberty; to permit, to allow (to grant permission or access)",verb
484,lever,"to clear, lift; to raise, lift; to rise, come up",noun / verb
485,victime,victim,noun
486,rapport,ratio; report; relationship,noun
487,appel,call; appeal,noun
488,idiot,idiot,adjective / noun
489,préférer,prefer,verb
490,erreur,"error (a failure, misfunction); mistake (an action taken in such condition of faulty belief); error (the condition of something that is not representative of reality)",noun
491,malade,ill; sick,adjective / noun
492,dîner,"to dine; lunch, midday meal; dinner, evening meal",noun / verb
493,rêve,dream; second-person singular imperative; first/third-person singular present indicative/subjunctive,noun
494,lit,bed,noun
495,preuve,"evidence, proof",noun
496,message,message,noun
497,ceci,this,pronoun
498,pauvre,"poor, pitiable; lacking, scanty; poor person; pauper",adjective / noun
499,réussir,succeed,verb
500,avocat,"avocado; lawyer, attorney",noun
501,assurer,"to belay; to insure, to give insurance to; to assure, to ensure, to make sure",verb
502,sorte,"way, manner; sort, kind, type; first/third-person singular present subjunctive of sortir",noun
503,remettre,to get back; to remember; to throw up,verb
504,tiens,here; look; hey; hold! (form of tenir),adjective / interjection
505,client,client; customer,noun
506,simple,mere; single; one-way,adjective / noun
507,impossible,impossible,adjective / noun
508,obtenir,"to get, to obtain",verb
509,café,public house; coffee colour; coffee (drink),adjective / noun
510,tôt,early,adverb
511,chemin,road,noun
512,rire,laugh,noun / verb
513,visage,face,noun
514,couper,to cut; cut off; switch off; interrupt,verb
515,détruire,to destroy; to demolish; to destruct,verb
516,dès,from; as early as; as soon as,preposition
517,salle,gym; hall; room (in a house),noun
518,président,Speaker; president; chairperson,noun
519,revoir,to see again; to re-examine,verb
520,sauf,"except, save; excluding, barring; safe (free from harm)",adjective / preposition
521,amuser,amuse,verb
522,hôpital,hospital,noun
523,abandonner,to abandon; leave; give up; quit,verb
524,force,force; strength; second-person singular imperative,adjective / noun
525,musique,music,noun
526,rue,street,noun
527,sûrement,"probably; surely, certainly",adverb
528,blanc,white meat; white wine; white color,adjective / noun
529,balle,ball; bullet,noun
530,seigneur,lord; nobleman; seigneur,noun
531,courant,"common; fluent; current, present",adjective / noun
532,sac,bag; sack,noun
533,cul,"butt, bum, ass, arse; anus, arsehole, asshole; sex (sexual intercourse)",noun
534,soirée,evening,noun
535,refuser,to refuse,verb
536,avis,notice; opinion; piece of advice,noun
537,cours,class; course,noun
538,effet,"effect; spin, bend, curl",noun
539,courir,run,verb
540,groupe,group,noun
541,roi,king,noun
542,attraper,to catch (a cold etc.); to catch (e.g. a ball); to trap (to capture in a trap),verb
543,sens,sense; meaning,noun
544,chanter,sing,verb
545,maintenir,to keep up; to persist; to maintain,verb
546,intérieur,interior,adjective / noun
547,face,face,noun
548,pleurer,"to mourn, to cry for; to cry, to weep; to shed tears",verb
549,réfléchir,to realize; to reflect; to be reflected,verb
550,gamin,kid; boy; child; mischievous child (informal),adjective / noun
551,partout,everywhere,adverb
552,bras,arm,noun
553,retard,delay,noun
554,crime,crime,noun
555,calme,"calm; quiet, peaceful; coolness (of a person)",adjective / noun
556,calmer,"to calm, pacify, soothe; to calm down, abate, subside",verb
557,lettre,letter,noun
558,général,general,adjective / noun
559,apprécier,to like; to appreciate; to evaluate or measure quantitatively; to appraise,verb
560,tromper,to deceive; mislead; be mistaken; cheat on,verb
561,blesser,hurt; wound,verb
562,patron,boss; employer; owner/manager; pattern/template,noun
563,intéresser,to interest; to make interested; to be interested; to have an interest,verb
564,certain,sure; certain,adjective
565,casser,break,verb
566,clair,light; clearly; clear (see-through),adjective / noun
567,surtout,above all; especially; surtout (overcoat),adverb / noun
568,honneur,honor; face card,noun
569,toute,all; every; whole (feminine singular),adjective
570,réponse,reply; answer,noun
571,clé,key,noun
572,ancien,ex-; old; former,adjective / noun
573,reprendre,to take back; resume; start again; retake,verb
574,déranger,to bother; to disrupt; to disarray/disarrange (throw into disorder),verb
575,grave,back; solemn; serious,adjective
576,sinon,otherwise; if not; except,adverb / conjunction
577,vivant,alive,adjective / noun
578,remercier,thank,verb
579,empêcher,prevent,verb
580,mériter,"to deserve, merit",verb
581,cadeau,gift; present,noun
582,début,"start, beginning",noun
583,médecin,doctor; physician,noun
584,jurer,swear,verb
585,libre,"freestyle; free, at liberty; clear, free, vacant",adjective
586,récupérer,"to make up (e.g. time); to reclaim, to recover; to reform, to rehabilitate",verb
587,souvent,often,adverb
588,exister,exist,verb
589,inviter,invite,verb
590,baiser,"kiss; to fuck, screw; to break, deteriorate, to fuck up",noun / verb
591,pardonner,pardon; forgive,verb
592,sale,"dirty; bad, unpleasant; vile, despicable",adjective
593,accident,accident,noun
594,taire,"to be quiet, to be silent; to keep (a matter) quiet, to keep secret, not to say; to shut up (oneself), to be quiet, to fall silent, to stop talking",verb
595,rouge,red,adjective / noun
596,normal,normal,adjective
597,probablement,probably,adverb
598,cheveu,hair; a single hair,noun
599,relation,relationship; relation; connection; account/report,noun
600,pousser,to grow; to push; to utter,verb
601,pote,friend; buddy; mate (informal),noun
602,maître,leader; master; teacher (in a primary school),noun
603,dossier,folder; dossier; embarrassing,noun
604,scène,scene,noun
605,américain,American,adjective / noun
606,ligne,line,noun
607,incroyable,incredible,adjective / noun
608,situation,situation (all meanings),noun
609,recherche,search; second-person singular imperative; first/third-person singular present indicative/subjunctive,noun
610,système,system,noun
611,avion,aeroplane,noun
612,voix,voice,noun
613,âge,age,noun
614,garde,"a watch, guard; a handle (of a weapon); a protection (act of protecting)",noun
615,créer,create,verb
616,prix,price; prize,noun
617,bateau,boat; ship; vessel,noun
618,rejoindre,to join; rejoin; reach; catch up with,verb
619,amoureux,"love; a French surname, Amoureux, transferred from the nickname",adjective / noun
620,reconnaître,"to acknowledge (a child); to acknowledge, to admit (something is true); to recognise (something or someone that one has encountered before)",verb
621,bout,"end; rope; bit, piece, scrap",noun
622,lumière,light,noun
623,cool,"cool! great!; cool (only its informal senses, mainly fashionable)",adjective
624,attaquer,to attack; to tackle / start on,verb
625,présent,present,adjective / noun
626,pareil,"such; the same; alike; like, alike, same",adjective / adverb
627,simplement,simply,adverb
628,prévenir,prevent,verb
629,prouver,prove,verb
630,patient,patient,adjective / noun
631,est,east; East,adjective / noun
632,conseil,council; piece of advice,noun
633,voyage,trip; voyage; journey,noun
634,réaliser,"to finish making; to carry out, make; to direct (a movie)",verb
635,spécial,special,adjective
636,embrasser,kiss; embrace,verb
637,arranger,to build; to adjust; to arrange,verb
638,sauter,to sauté; to explode; to jump over,verb
639,danser,dance,verb
640,stupide,stupid,adjective
641,habitude,habit (action done on a regular basis),noun
642,loi,law,noun
643,ressentir,"to suffer from the effects of; to feel (an emotion, usually strongly)",verb
644,traiter,"to process; to call, to label (someone); to render treatment (usually medical)",verb
645,craindre,to fear; to suck (to be unwanted or bad),verb
646,liste,list,noun
647,rendez-vous,date; rendezvous; appointment,noun
648,froid,"cold, chill; distance, strain; cold (temperature)",adjective / noun
649,cheval,horse,noun
650,mener,"to lead, to take; to lead, to run, to take charge; to lead, to be leading, to be in the lead",verb
651,magnifique,"magnificent, splendid, superb",adjective
652,ailleurs,elsewhere,adverb
653,hôtel,hotel,noun
654,oncle,uncle,noun
655,ferme,farm; firm; roof truss,adjective / noun
656,table,table,noun
657,complètement,completely; entirely; fully,adverb / noun
658,doute,doubt,noun
659,sympa,nice; friendly; pleasant (informal),adjective
660,signer,sign,verb
661,approcher,bring close together,verb
662,éviter,"to avert; to avoid; to dodge, to shun, to bypass",verb
663,discuter,discuss,verb
664,épouser,"to marry, to wed; to marry, to get married, wed; to cling to, hug (of tight clothes etc.)",verb
665,con,cunt; pussy,adjective / noun
666,lancer,a shot; a pitch; a throw,noun / verb
667,fier,proud,adjective / verb
668,ficher,"to file; put/stick; not care (se ficher de, informal)",verb
669,dangereux,dangerous,adjective
670,inspecteur,inspector,noun
671,dos,back,noun
672,espèce,kind; sort; species,noun
673,public,public,adjective / noun
674,bordel,"brothel; bloody hell! (UK), Christ almighty!; bloody mess (UK), goddamn mess (US)",noun
675,chanson,song,noun
676,impression,"a print, print-out; an impression, the overall effect of something; the indentation or depression made by the pressure of one object on another",noun
