rank,level,target,english,attribution
36,A,Nous y sommes.,We are here.,CC-BY 2.0 (France) Attribution: tatoeba.org #1098434 (cntrational) & #1453695 (sacredceltic)
37,A,Nous pouvons payer.,We can pay.,CC-BY 2.0 (France) Attribution: tatoeba.org #2241042 (CK) & #4777472 (sacredceltic)
38,A,Nous pouvons attendre.,We can wait.,CC-BY 2.0 (France) Attribution: tatoeba.org #2241046 (CK) & #4777478 (sacredceltic)
39,A,Nous pourrions attendre.,We could wait.,CC-BY 2.0 (France) Attribution: tatoeba.org #2241063 (CK) & #4777498 (sacredceltic)
40,A,Nous partons demain.,We're leaving tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #2241097 (CK) & #6813786 (Micsmithel) Editorially corrected after complete row-by-row linguistic audit.
41,A,Nous te connaissons.,We know you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2241141 (CK) & #6965814 (Yemana)
42,A,Il nous faut de l'aide.,We need help.,CC-BY 2.0 (France) Attribution: tatoeba.org #1893762 (CK) & #3458453 (Scorpionvenin14)
43,A,Il nous faut du temps.,We need time.,CC-BY 2.0 (France) Attribution: tatoeba.org #2241424 (CK) & #4777551 (sacredceltic)
44,A,On a besoin de toi.,We need you.,CC-BY 2.0 (France) Attribution: tatoeba.org #1797684 (Spamster) & #4321545 (gillux)
45,A,Nous comprenons pourquoi.,We understand why.,CC-BY 2.0 (France) Attribution: tatoeba.org #4502728 (CK) & #4779740 (sacredceltic)
46,A,Tu peux te joindre à nous.,You can join us.,CC-BY 2.0 (France) Attribution: tatoeba.org #1320278 (darinmex) & #1085711 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
47,A,Vous pouvez partir.,You can go.,CC-BY 2.0 (France) Attribution: tatoeba.org #1553295 (CK) & #416231 (sysko)
48,A,Tu peux aider.,You can help.,CC-BY 2.0 (France) Attribution: tatoeba.org #2254936 (CK) & #4601833 (sacredceltic)
49,A,Tu as le temps.,You have time.,CC-BY 2.0 (France) Attribution: tatoeba.org #2255000 (CK) & #4040774 (ikui)
50,A,Tu sais comment.,You know how.,CC-BY 2.0 (France) Attribution: tatoeba.org #2255019 (CK) & #7528067 (Micsmithel)
51,A,Puis-je vous aider ?,Can I help you?,CC-BY 2.0 (France) Attribution: tatoeba.org #25095 (CK) & #9656 (zmoo)
52,A,Est-ce que nous pouvons venir demain ?,Can we come tomorrow?,CC-BY 2.0 (France) Attribution: tatoeba.org #7924190 (AlanF_US) & #7967394 (Aiji)
53,A,Est-ce que tu peux venir ici ?,Can you come here?,CC-BY 2.0 (France) Attribution: tatoeba.org #5195300 (CK) & #11685510 (Aiji)
54,A,Pouvez-vous venir demain ?,Can you come tomorrow?,CC-BY 2.0 (France) Attribution: tatoeba.org #2442869 (CK) & #1538316 (GeeZ)
55,A,Pourrais-tu m'aider ?,Could you help me?,CC-BY 2.0 (France) Attribution: tatoeba.org #434410 (lukaszpp) & #452009 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
56,B,Pourrais-tu me prêter main forte ?,Could you lend me a hand?,CC-BY 2.0 (France) Attribution: tatoeba.org #64405 (CK) & #1844311 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
57,A,Avais-tu besoin de moi ?,Did you need me?,CC-BY 2.0 (France) Attribution: tatoeba.org #3333961 (CK) & #5442259 (pititnatole)
58,A,Avez-vous dit oui ?,Did you say yes?,CC-BY 2.0 (France) Attribution: tatoeba.org #1745699 (Spamster) & #3646822 (sacredceltic)
59,A,M'avez-vous compris ?,Did you understand me?,CC-BY 2.0 (France) Attribution: tatoeba.org #1003492 (wittleghoul) & #1011755 (sacredceltic)
60,A,Est-ce que je te connais ?,Do I know you?,CC-BY 2.0 (France) Attribution: tatoeba.org #1461944 (Spamster) & #1462560 (sacredceltic)
61,A,Avons-nous le temps ?,Do we have time?,CC-BY 2.0 (France) Attribution: tatoeba.org #2718501 (Hybrid) & #2721156 (Micsmithel)
62,A,Vous connaissons-nous ?,Do we know you?,CC-BY 2.0 (France) Attribution: tatoeba.org #1886115 (CK) & #4779841 (sacredceltic)
63,A,Est-ce que tu as le temps ?,Do you have time?,CC-BY 2.0 (France) Attribution: tatoeba.org #4468686 (dogcoll) & #4470887 (Petrus)
64,A,Me connaissez-vous ?,Do you know me?,CC-BY 2.0 (France) Attribution: tatoeba.org #69295 (CK) & #1159098 (sacredceltic)
65,A,Sais-tu pourquoi ?,Do you know why?,CC-BY 2.0 (France) Attribution: tatoeba.org #2891110 (CK) & #5389562 (Aiji)
66,A,Est-ce que tu m'aimes ?,Do you love me?,CC-BY 2.0 (France) Attribution: tatoeba.org #3123307 (CK) & #450947 (franzmimm) Editorially corrected after complete row-by-row linguistic audit.
67,A,Aimes-tu l'école ?,Do you like school?,CC-BY 2.0 (France) Attribution: tatoeba.org #1098292 (cntrational) & #1740120 (sacredceltic)
68,A,As-tu besoin d'aide ?,Do you need help?,CC-BY 2.0 (France) Attribution: tatoeba.org #2053918 (halfb1t) & #1168561 (sacredceltic)
69,A,Est-ce que tu as besoin de moi ?,Do you need me?,CC-BY 2.0 (France) Attribution: tatoeba.org #3333962 (CK) & #8682437 (Julien_PDC)
70,A,Vous me comprenez ?,Do you understand me?,CC-BY 2.0 (France) Attribution: tatoeba.org #403046 (Ramses) & #610259 (qdii)
71,A,Tu veux de l’aide ?,Do you want help?,CC-BY 2.0 (France) Attribution: tatoeba.org #3360549 (CK) & #4393531 (gillux)
72,A,Tu travailles ici ?,Do you work here?,CC-BY 2.0 (France) Attribution: tatoeba.org #1543661 (CK) & #1546264 (Rovo)
73,A,Comment vas-tu aujourd'hui ?,How are you today?,CC-BY 2.0 (France) Attribution: tatoeba.org #388255 (Dorenda) & #8433 (Archibald)
74,A,De quelle manière puis-je aider ?,How can I help?,CC-BY 2.0 (France) Attribution: tatoeba.org #1885951 (CK) & #4686119 (sacredceltic)
75,A,Comment puis-je payer ?,How can I pay?,CC-BY 2.0 (France) Attribution: tatoeba.org #5336536 (mailohilohi) & #5336967 (Scorpionvenin14)
76,B,Comment pouvons-nous le dire ?,How can we say it?,CC-BY 2.0 (France) Attribution: tatoeba.org #3730908 (CM) & #3979808 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
77,A,Comment pourrais-tu savoir ?,How could you know?,CC-BY 2.0 (France) Attribution: tatoeba.org #3732031 (CM) & #3797870 (sacredceltic)
78,A,Comment ai-je fait ?,How did I do?,CC-BY 2.0 (France) Attribution: tatoeba.org #2549780 (CK) & #4223289 (sacredceltic)
79,A,Comment avez-vous fait ?,How did you do?,CC-BY 2.0 (France) Attribution: tatoeba.org #2649150 (CK) & #12849 (sysko)
80,A,Comment le savais-tu ?,How did you know?,CC-BY 2.0 (France) Attribution: tatoeba.org #1885918 (CK) & #2948226 (Wakano)
81,A,Comment savez-vous ?,How do you know?,CC-BY 2.0 (France) Attribution: tatoeba.org #454417 (CM) & #454245 (mamat)
82,A,Comment le saurais-je ?,How would I know?,CC-BY 2.0 (France) Attribution: tatoeba.org #3365640 (CK) & #9723 (sacredceltic)
83,A,Comment le saurais-tu ?,How would you know?,CC-BY 2.0 (France) Attribution: tatoeba.org #1885872 (CK) & #7668601 (Rockaround)
84,B,Qu'y puis-je ?,What can I do about it?,CC-BY 2.0 (France) Attribution: tatoeba.org #408069 (Dorenda) & #5552129 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
85,A,Que puis-je manger ?,What can I eat?,CC-BY 2.0 (France) Attribution: tatoeba.org #4481667 (bandeirante) & #9557109 (Micsmithel)
86,A,Que peut-on faire ?,What can you do?,CC-BY 2.0 (France) Attribution: tatoeba.org #1476455 (Spamster) & #1476667 (sacredceltic)
87,A,Que peux-tu dire ?,What can you say?,CC-BY 2.0 (France) Attribution: tatoeba.org #2892502 (CK) & #5801825 (Toynop)
88,A,Que pouvais-je faire ?,What could I do?,CC-BY 2.0 (France) Attribution: tatoeba.org #2561173 (Hybrid) & #5549459 (sacredceltic)
89,A,Qu'ai-je fait ?,What did I do?,CC-BY 2.0 (France) Attribution: tatoeba.org #2239355 (Hybrid) & #2264047 (sacredceltic)
90,A,Qu'as-tu acheté ?,What did you buy?,CC-BY 2.0 (France) Attribution: tatoeba.org #24674 (CK) & #480408 (sacredceltic)
91,A,Qu'as-tu fait ?,What did you do?,CC-BY 2.0 (France) Attribution: tatoeba.org #1495903 (CK) & #457675 (sacredceltic)
92,A,Qu'as-tu bu ?,What did you drink?,CC-BY 2.0 (France) Attribution: tatoeba.org #619660 (ulyssemc1) & #3645633 (sacredceltic)
93,A,Qu'as-tu mangé ?,What did you eat?,CC-BY 2.0 (France) Attribution: tatoeba.org #1830499 (CK) & #824163 (sacredceltic)
94,A,Qu'ai-je ?,What do I have?,CC-BY 2.0 (France) Attribution: tatoeba.org #24844 (CM) & #817460 (sacredceltic)
95,A,Qu'est-ce que vous avez ?,What do you have?,CC-BY 2.0 (France) Attribution: tatoeba.org #69589 (CK) & #335305 (TRANG)
96,A,Que sais-tu ?,What do you know?,CC-BY 2.0 (France) Attribution: tatoeba.org #1886761 (CK) & #1996468 (sacredceltic)
97,A,Qu'est-ce que tu aimes bien ?,What do you like?,CC-BY 2.0 (France) Attribution: tatoeba.org #16274 (CK) & #120011 (TRANG)
98,A,De quoi as-tu besoin ?,What do you need?,CC-BY 2.0 (France) Attribution: tatoeba.org #464546 (lukaszpp) & #330335 (hortusdei)
99,A,Que dites-vous ?,What do you say?,CC-BY 2.0 (France) Attribution: tatoeba.org #1174872 (CK) & #889611 (sacredceltic)
100,A,Qu'en penses-tu ?,What do you think?,CC-BY 2.0 (France) Attribution: tatoeba.org #914029 (Jane_Austen) & #336986 (sysko)
101,A,Que veux-tu ?,What do you want?,CC-BY 2.0 (France) Attribution: tatoeba.org #1622 (CK) & #3439 (bourdu)
102,A,Qu'avons-nous ici ?,What have we here?,CC-BY 2.0 (France) Attribution: tatoeba.org #4297237 (Hybrid) & #2061758 (sacredceltic)
103,A,Que ferais-tu ?,What would you do?,CC-BY 2.0 (France) Attribution: tatoeba.org #1357347 (sacredceltic) & #1158559 (sacredceltic)
104,A,Qu'aimerais-tu ?,What would you like?,CC-BY 2.0 (France) Attribution: tatoeba.org #1839617 (CK) & #1847506 (sacredceltic)
105,A,Que dirais-tu ?,What would you say?,CC-BY 2.0 (France) Attribution: tatoeba.org #2892656 (CK) & #6675512 (GB3)
106,A,Quand pouvons-nous manger ?,When can we eat?,CC-BY 2.0 (France) Attribution: tatoeba.org #322004 (CK) & #458494 (sacredceltic)
107,A,Quand êtes-vous venus ?,When did you come?,CC-BY 2.0 (France) Attribution: tatoeba.org #1900777 (CK) & #763319 (sacredceltic)
108,A,Quand mangeons-nous ?,When do we eat?,CC-BY 2.0 (France) Attribution: tatoeba.org #5460868 (mailohilohi) & #6211418 (felix63)
109,A,Où es-tu aujourd'hui ?,Where are you today?,CC-BY 2.0 (France) Attribution: tatoeba.org #2647293 (CK) & #8922465 (Akenaseryan)
110,A,Où as-tu mangé ?,Where did you eat?,CC-BY 2.0 (France) Attribution: tatoeba.org #2273935 (CK) & #7373324 (felix63)
111,A,Où vous êtes-vous rendu ?,Where did you go?,CC-BY 2.0 (France) Attribution: tatoeba.org #1140034 (CK) & #1140698 (sacredceltic)
112,A,Où travailles-tu ?,Where do you work?,CC-BY 2.0 (France) Attribution: tatoeba.org #38153 (CK) & #332340 (TRANG)
113,A,Qui peut m'aider ?,Who can help me?,CC-BY 2.0 (France) Attribution: tatoeba.org #4499364 (CK) & #6860580 (GB3)
114,A,Qui as-tu appelé ?,Who did you call?,CC-BY 2.0 (France) Attribution: tatoeba.org #1886576 (CK) & #11540502 (Aiji)
115,A,Pourquoi sommes-nous ici ?,Why are we here?,CC-BY 2.0 (France) Attribution: tatoeba.org #1007438 (saiko) & #1007467 (NomadSoul)
116,A,Pourquoi es-tu ici ?,Why are you here?,CC-BY 2.0 (France) Attribution: tatoeba.org #1481997 (yethay) & #1110003 (sacredceltic)
117,A,Pourquoi es-tu à la maison ?,Why are you home?,CC-BY 2.0 (France) Attribution: tatoeba.org #1886530 (CK) & #5816607 (Aiji)
118,A,Pourquoi as-tu appelé ?,Why did you call?,CC-BY 2.0 (France) Attribution: tatoeba.org #2648607 (CK) & #4269299 (sacredceltic)
119,A,Pourquoi es-tu venu ?,Why did you come?,CC-BY 2.0 (France) Attribution: tatoeba.org #2648606 (CK) & #6324577 (Yemana)
120,A,Voudriez-vous m'excuser ?,Would you excuse me?,CC-BY 2.0 (France) Attribution: tatoeba.org #1886427 (CK) & #2036139 (sacredceltic)
121,A,Fais ce que je dis.,Do what I say.,CC-BY 2.0 (France) Attribution: tatoeba.org #3172273 (CK) & #4450530 (franlexcois)
122,A,Fais ce que tu peux.,Do what you can.,CC-BY 2.0 (France) Attribution: tatoeba.org #2798328 (Hybrid) & #8165927 (Gaeiie)
123,A,Fais ce que tu aimes.,Do what you like.,CC-BY 2.0 (France) Attribution: tatoeba.org #240656 (CK) & #8641 (Barbiche0)
124,A,Fais ce que tu veux.,Do what you want.,CC-BY 2.0 (France) Attribution: tatoeba.org #1128006 (CK) & #10274 (Apex)
125,A,Pars quand tu veux.,Go when you want.,CC-BY 2.0 (France) Attribution: tatoeba.org #241064 (CK) & #332530 (sysko)
126,A,Je peux venir demain.,I can come tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #421381 (CM) & #421763 (sysko)
127,A,Je peux t'aider.,I can help you.,CC-BY 2.0 (France) Attribution: tatoeba.org #1887107 (CK) & #3230878 (Dreamk33)
128,A,Je peux vous comprendre.,I can understand you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2301405 (CK) & #8396205 (Julien_PDC)
129,A,Je pourrais t'aider.,I could help you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2308136 (CK) & #8825073 (Rockaround)
130,A,Je vous apprécie vraiment.,I do like you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2315134 (CK) & #2399065 (sacredceltic)
131,A,Je n'ai pas d'excuse.,I have no excuse.,CC-BY 2.0 (France) Attribution: tatoeba.org #36027 (CK) & #13015 (sacredceltic)
132,A,Je suis sans abri.,I am homeless.,CC-BY 2.0 (France) Attribution: tatoeba.org #1624824 (marcelostockle) & #8624785 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
133,A,Je n'ai pas le temps.,I have no time.,CC-BY 2.0 (France) Attribution: tatoeba.org #249910 (CK) & #458027 (ajira86)
134,A,Je sais que tu comprends.,I know you understand.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376612 (CK) & #7526505 (tras)
135,A,J'aime ton travail.,I like your work.,CC-BY 2.0 (France) Attribution: tatoeba.org #1807324 (Eldad) & #5898063 (AnastasijaN)
136,A,J'ai besoin d'aide ici.,I need help here.,CC-BY 2.0 (France) Attribution: tatoeba.org #3559967 (CK) & #11621429 (Aiji)
137,A,J'ai besoin de toi ici.,I need you here.,CC-BY 2.0 (France) Attribution: tatoeba.org #1887591 (CK) & #1997641 (sacredceltic)
138,B,J'ai besoin que tu m'aides.,I need you to help me.,CC-BY 2.0 (France) Attribution: tatoeba.org #257113 (CK) & #3673 (TRANG) Editorially corrected after complete row-by-row linguistic audit.
139,A,Je crois que nous le pouvons.,I think we can.,CC-BY 2.0 (France) Attribution: tatoeba.org #2659818 (Joseph) & #5549488 (sacredceltic)
140,A,Paie ce que tu peux.,Pay what you can.,CC-BY 2.0 (France) Attribution: tatoeba.org #4501366 (CK) & #5120418 (gege_veggie) Editorially corrected after complete row-by-row linguistic audit.
141,A,Payez ce que vous voulez.,Pay what you want.,CC-BY 2.0 (France) Attribution: tatoeba.org #1636023 (Spamster) & #1638884 (sacredceltic)
142,B,Dis-moi que tu me comprends.,Tell me you understand me.,CC-BY 2.0 (France) Attribution: tatoeba.org #3722630 (CM) & #4097062 (sbamsbamsbam) Editorially corrected after complete row-by-row linguistic audit.
143,A,Il n'y a pas de lendemain.,There is no tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #5752398 (CM) & #7839635 (sacredceltic)
144,A,On a besoin d'aide ici.,We need help here.,CC-BY 2.0 (France) Attribution: tatoeba.org #3313033 (CK) & #6016187 (saraly2)
145,A,Nous avons besoin de votre aide.,We need your help.,CC-BY 2.0 (France) Attribution: tatoeba.org #410780 (CK) & #549570 (zmoo)
146,A,"Oui, je vous comprends.","Yes, I understand you.",CC-BY 2.0 (France) Attribution: tatoeba.org #8279709 (lunchmeat317) & #8278186 (felix63)
147,A,"Oui, nous pouvons partir.","Yes, we can go.",CC-BY 2.0 (France) Attribution: tatoeba.org #437862 (CM) & #3646795 (sacredceltic)
148,A,Tu peux venir à la maison.,You can come home.,CC-BY 2.0 (France) Attribution: tatoeba.org #1230453 (alec) & #1809136 (sacredceltic)
149,A,Vous pouvez rentrer chez vous.,You can go home.,CC-BY 2.0 (France) Attribution: tatoeba.org #1230452 (alec) & #1809139 (sacredceltic)
150,A,Vous pouvez vous y rendre.,You can go there.,CC-BY 2.0 (France) Attribution: tatoeba.org #3523571 (monahxo) & #3526847 (sacredceltic)
151,A,Tu peux attendre ici.,You can wait here.,CC-BY 2.0 (France) Attribution: tatoeba.org #1895802 (CK) & #4579575 (sacredceltic)
152,A,Tu pourrais m'aider.,You could help me.,CC-BY 2.0 (France) Attribution: tatoeba.org #3331020 (CK) & #3483463 (Lulantis)
153,A,Tu as besoin de moi ici.,You need me here.,CC-BY 2.0 (France) Attribution: tatoeba.org #3374124 (CK) & #3399227 (sacredceltic)
154,A,Qu'est-ce que tu es grand !,How tall you are!,CC-BY 2.0 (France) Attribution: tatoeba.org #750920 (sctld) & #8964 (Petro1) Editorially corrected after complete row-by-row linguistic audit.
155,A,Quelle chance nous avons !,How lucky we are!,CC-BY 2.0 (France) Attribution: tatoeba.org #36087 (CM) & #13012 (sacredceltic)
156,A,Quelle chance tu as !,How lucky you are!,CC-BY 2.0 (France) Attribution: tatoeba.org #16445 (CK) & #469977 (sacredceltic)
157,A,Tiens-toi là où tu es !,Stand where you are!,CC-BY 2.0 (France) Attribution: tatoeba.org #1954276 (CK) & #2036099 (sacredceltic)
158,A,Crois ce que tu veux.,Believe what you want.,CC-BY 2.0 (France) Attribution: tatoeba.org #2852132 (CK) & #5461641 (Aiji)
159,A,Offre-moi un verre !,Buy me a drink.,CC-BY 2.0 (France) Attribution: tatoeba.org #3150861 (CK) & #3645732 (sacredceltic)
160,A,Achetez tout ce que vous voulez.,Buy whatever you want.,CC-BY 2.0 (France) Attribution: tatoeba.org #7849387 (CK) & #11274408 (lbdx)
161,A,Appelle-moi à 9 h 00 demain.,Call me at 9:00 tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #2810824 (xylian) & #4550883 (Whidou)
162,A,Viens comme tu es.,Come as you are.,CC-BY 2.0 (France) Attribution: tatoeba.org #1839424 (CK) & #1849975 (sacredceltic)
163,A,Viens si tu peux !,Come if you can.,CC-BY 2.0 (France) Attribution: tatoeba.org #450074 (CK) & #804733 (sacredceltic)
164,A,"Allez, aide-moi.","Come on, help me.",CC-BY 2.0 (France) Attribution: tatoeba.org #3360600 (CK) & #5964209 (Aiji)
165,A,"Allez, dis-moi !","Come on, tell me.",CC-BY 2.0 (France) Attribution: tatoeba.org #3733009 (CK) & #4236792 (sacredceltic)
166,A,Viens quand tu veux.,Come whenever you like.,CC-BY 2.0 (France) Attribution: tatoeba.org #66082 (CK) & #10694 (sysko)
167,A,Fais comme il te plaira !,Do as you like.,CC-BY 2.0 (France) Attribution: tatoeba.org #17188 (CK) & #8637 (sacredceltic)
168,A,Fais comme bon te semble.,Do as you want.,CC-BY 2.0 (France) Attribution: tatoeba.org #2369 (Eldad) & #4245 (TRANG)
169,A,Fais ce qui te chante !,Do whatever you like.,CC-BY 2.0 (France) Attribution: tatoeba.org #1256839 (CK) & #1314974 (sacredceltic)
170,A,Mange ce qui te plaît.,Eat whatever you like.,CC-BY 2.0 (France) Attribution: tatoeba.org #24983 (CK) & #14960 (Micsmithel)
171,A,Mangez ce que vous voulez.,Eat whatever you want.,CC-BY 2.0 (France) Attribution: tatoeba.org #2951822 (CK) & #8636 (Sbgodin)
172,A,"Mange ta soupe, s'il te plaît.","Eat your soup, please.",CC-BY 2.0 (France) Attribution: tatoeba.org #5126236 (strangeanalyst) & #5124955 (nimfeo)
173,A,Tout est prêt ici.,Everything is ready here.,CC-BY 2.0 (France) Attribution: tatoeba.org #3733363 (CK) & #6914996 (Aiji)
174,A,Donne-moi mon verre !,Give me my drink.,CC-BY 2.0 (France) Attribution: tatoeba.org #2250342 (CK) & #3645673 (sacredceltic)
175,A,Va faire tes devoirs.,Go do your homework.,CC-BY 2.0 (France) Attribution: tatoeba.org #2951864 (CK) & #12431133 (lbdx)
176,B,Aide-moi à sortir de là !,Help me get out of there!,CC-BY 2.0 (France) Attribution: tatoeba.org #1850259 (CK) & #1852163 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
177,A,Voici nos livres.,Here are our books.,CC-BY 2.0 (France) Attribution: tatoeba.org #453360 (saasmath) & #458994 (sacredceltic)
178,A,Voici vos clés.,Here are your keys.,CC-BY 2.0 (France) Attribution: tatoeba.org #35586 (CK) & #13064 (mouche)
179,A,C'est mon bagage.,This is my luggage.,CC-BY 2.0 (France) Attribution: tatoeba.org #435096 (lukaszpp) & #480754 (mamat) Editorially corrected after complete row-by-row linguistic audit.
180,A,Mon vélo est ici.,My bicycle is here.,CC-BY 2.0 (France) Attribution: tatoeba.org #33141 (CK) & #13386 (Songe) Editorially corrected after complete row-by-row linguistic audit.
181,A,Voici ma clef.,Here is my key.,CC-BY 2.0 (France) Attribution: tatoeba.org #479006 (CK) & #479015 (qdii)
182,A,Voici mon billet.,Here is my ticket.,CC-BY 2.0 (France) Attribution: tatoeba.org #7465358 (deniko) & #1194960 (sacredceltic)
183,A,Voici ton sac.,Here is your bag.,CC-BY 2.0 (France) Attribution: tatoeba.org #17400 (CK) & #9032 (sacredceltic) | Editorially adapted for learner accuracy; original source attribution retained
184,A,Voici votre monnaie.,Here is your change.,CC-BY 2.0 (France) Attribution: tatoeba.org #2421 (CK) & #4298 (TRANG)
185,A,Ton chien est là.,Your dog is there.,CC-BY 2.0 (France) Attribution: tatoeba.org #61770 (CK) & #461254 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
186,C,Nous voici donc de nouveau au même point.,Here we are back at the same point again.,CC-BY 2.0 (France) Attribution: tatoeba.org #2648536 (CK) & #3451160 (Scorpionvenin14) Editorially corrected after complete row-by-row linguistic audit.
187,A,"Voilà, monsieur.","Here you go, sir.",CC-BY 2.0 (France) Attribution: tatoeba.org #11790333 (CM) & #11790334 (lbdx)
188,A,Voilà ce que je pense.,Here's what I think.,CC-BY 2.0 (France) Attribution: tatoeba.org #4971273 (CK) & #5803769 (Aiji)
