rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
961,REPAIR,J'aime ma vie telle qu'elle est à présent.,I like my life the way it is now.,ʒˈɛm ma- vˈi tɛl kɛl ɛt a pʁezˈɑ̃.,zhaym ma- vayay tayl kayl ayt a prayzan.,Keep standard /t/ link in est à; remove artifacts and mark présent nasal.,/ʒɛm ma vi tɛl kɛl ɛ ta pʁezɑ̃/,zhem mah vee tel kel eh tah pray-zahn
962,REPAIR,"J'aime ta chatte, mais elle ne m'aime pas.","I like your cat, but she doesn't like me.","ʒˈɛm ta- ʃˈat, mɛz ɛl nə- mˈɛm pˈa.","zhaym ta- shat, mayz ayl nohohh- maym pa.",Liaison after conjunction mais is not made; remove artificial stresses.,/ʒɛm ta ʃat mɛ ɛl nə mɛm pa/,zhem tah shaht meh el nuh mem pah
963,REPAIR,J'ai dû laisser mon portefeuille dans le bus.,I must have left my wallet on the bus.,ʒe dˈyː lɛsˈe mɔ̃ pɔʁtəfˈœj dɑ̃ lə- bˈys.,zhay dy laysay mohn pohrtohohhfeuy dan lohohh- bys.,Remove false /yː/ length in dû; remove artifacts and distinguish /y/ in bus.,/ʒe dy lɛse mɔ̃ pɔʁtəfœj dɑ̃ lə bys/,zhay dü leh-say mohn pawr-tuh-fuhy dahn luh büs
964,REPAIR,Je l'ai rencontré en rentrant de l'école.,I met him on my way home from school.,ʒə- le ʁɑ̃kɔ̃tʁˈe ɑ̃ ʁɑ̃tʁˈɑ̃ də- lekˈɔl.,zhohohh- lay rankohntray an rantran dohohh- laykohl.,Remove stress/hyphen artifacts; rencontrer/rentrant/en are nasal.,/ʒə le ʁɑ̃kɔ̃tʁe ɑ̃ ʁɑ̃tʁɑ̃ də lekɔl/,zhuh lay rahn-kohn-tray ahn rahn-trahn duh lay-kawl
965,REPAIR,J'ai besoin de plus de temps pour me décider.,I need more time to make up my mind.,ʒe bəzwˈɛ̃ də- ply də- tˈɑ̃ puʁ mə- desidˈe.,zhay bohohhzwayayn dohohh- ply dohohh- tan pohohr mohohh- daysayayday.,Remove stress/hyphen artifacts; besoin/temps are nasal.,/ʒe bəzwɛ̃ də ply də tɑ̃ puʁ mə deside/,zhay buh-zwehn duh plü duh tahn poor muh day-see-day
966,REPAIR,"Pour obtenir une place, il suffit de faire la queue.",All you have to do to secure a seat is to wait in line.,"puʁ ɔbtnˈiʁ yn plˈas, il syfˈi də- fˈɛʁ la- kˈø.","pohohr ohbtnayayr yn plas, ayayl syfayay dohohh- fayr la- keu.",Correct obtenir to /ɔptəniʁ/ with devoicing and medial schwa; remove artifacts.,/puʁ ɔptəniʁ yn plas il syfi də fɛʁ la kø/,poor awp-tuh-neer ün plahs eel sü-fee duh fehr lah keu
967,REPAIR,Tout ce que vous pourriez faire à l'appui de leur effort serait très apprécié.,Anything you could do in support of their effort would be very much appreciated.,tu sə- kə vu puʁjˈe fˈɛʁ a lapyˈi də- lœʁ efˈɔʁ səʁˈɛ tʁɛz apʁesjˈe.,tohoh sohohh- kohohh vohoh pohohryay fayr a lapyayay dohohh- leur ayfohr sohohhray trayz apraysyay.,Machine misses /ɥ/ in appui; keep normal /z/ link in très apprécié and remove artifacts.,/tu sə kə vu puʁje fɛʁ a lapɥi də lœʁ efɔʁ səʁɛ tʁɛ zapʁesje/,too suh kuh voo poor-yay fehr ah lah-pwee duh luhr ay-fawr suh-reh treh zah-pray-syay
968,REPAIR,"Même si elle devait passer, dis-lui que je ne suis pas à la maison.","Even if she stops by, tell her I am not at home.","mˈɛm sˈi ɛl dəvˈɛ pasˈe, dˈilyˌi kə ʒə- nə- syˌi paz a la- mɛzˈɔ̃.","maym sayay ayl dohohhvay pasay, dayaylyayay kohohh zhohohh- nohohh- syayay paz a la- mayzohn.",Machine misses /ɥ/ in lui/suis; omit optional /z/ after pas before à and remove artifacts.,/mɛm si ɛl dəvɛ pase di lɥi kə ʒə nə sɥi pa a la mɛzɔ̃/,mem see el duh-veh pah-say dee lwee kuh zhuh nuh swee pah ah lah meh-zohn
969,REPAIR,"Même si je connais un peu de français, je pense que nous devrions parler anglais.","Even though I know a little French, I think we should speak in English.","mˈɛm sˈi ʒə- kɔnˈɛz œ̃ pø də- fʁɑ̃sˈɛ, ʒə- pˈɑ̃s kə nu dəvʁiˈɔ̃ paʁlˈe ɑ̃ɡlˈɛ.","maym sayay zhohohh- kohnayz ohohn peu dohohh- fransay, zhohohh- pans kohohh nohoh dohohhvrayayohn parlay anglay.",False /z/ after finite connais before un; remove artifacts and mark nasal vowels.,/mɛm si ʒə kɔnɛ œ̃ pø də fʁɑ̃sɛ ʒə pɑ̃s kə nu dəvʁijɔ̃ paʁle ɑ̃ɡlɛ/,mem see zhuh kaw-neh uhn peu duh frahn-seh zhuh pahns kuh noo duh-vree-yohn par-lay ahn-gleh
970,REPAIR,"Franchement, je ne pense pas que tu aies ce qu'il faut pour devenir enseignant.","Frankly speaking, I don't think you have what it takes to become a teacher.","fʁɑ̃ʃmˈɑ̃, ʒə- nə- pˈɑ̃s pa kə ty ɛ sə- kil fo puʁ dəvnˈiʁ ɑ̃sɛnjˈɑ̃.","franshman, zhohohh- nohohh- pans pa kohohh ty ay sohohh- kayayl foh pohohr dohohhvnayayr ansaynyan.",Restore careful devenir /dəvəniʁ/ and palatal /ɲ/ in enseignant; remove artifacts.,/fʁɑ̃ʃmɑ̃ ʒə nə pɑ̃s pa kə ty ɛ sə kil fo puʁ dəvəniʁ ɑ̃sɛɲɑ̃/,frahnsh-mahn zhuh nuh pahns pah kuh tü eh suh keel foh poor duh-vuh-neer ahn-seh-nyahn
971,REPAIR,Sans son aide je n'aurais pas pu finir le travail.,"Had it not been for his aid, I could not have finished the work.",sɑ̃ sɔ̃n ˈɛd ʒə- noʁˈɛ pa pˈy finˈiʁ lə- tʁavˈaj.,san sohnn ayd zhohohh- nohray pa py fayaynayayr lohohh- travay.,Keep /n/ in son aide; remove artifacts and distinguish French /y/ in pu.,/sɑ̃ sɔ̃ nɛd ʒə noʁɛ pa py finiʁ lə tʁavaj/,sahn sohn ned zhuh noh-reh pah pü fee-neer luh trah-vahy
972,REPAIR,"C'est la dernière personne à qui je demanderais de l'aide, car il n'est pas du tout fiable.","He's the last person I would ask for help, because he is completely unreliable.","sɛ la- dɛʁnjˈɛʁ pɛʁsˈɔn a ki ʒə- dəmɑ̃dʁˈɛ də- lˈɛd, kaʁ il nɛ pa dy- tu fjˈabl.","say la- dayrnyayr payrsohn a kayay zhohohh- dohohhmandray dohohh- layd, kar ayayl nay pa dy- tohoh fyabl.",Remove stress/hyphen artifacts; demanderais is nasal and du uses French /y/.,/sɛ la dɛʁnjɛʁ pɛʁsɔn a ki ʒə dəmɑ̃dʁɛ də lɛd kaʁ il nɛ pa dy tu fjabl/,seh lah dehr-nyehr pehr-sawn ah kee zhuh duh-mahn-dreh duh led kahr eel neh pah dü too fyahbl
973,REPAIR,"Je ne peux pas vous dire son nom, mais je peux vous dire où il vit.","I can't tell you his name, but I can tell you where he lives.","ʒə- nə- pˈø pa vu dˈiʁ sɔ̃ nˈɔ̃, mɛ ʒə- pˈø vu dˈiʁ u il vˈi.","zhohohh- nohohh- peu pa vohoh dayayr sohn nohn, may zhohohh- peu vohoh dayayr ohoh ayayl vayay.",Remove stress/hyphen artifacts; son/nom are nasal.,/ʒə nə pø pa vu diʁ sɔ̃ nɔ̃ mɛ ʒə pø vu diʁ u il vi/,zhuh nuh peu pah voo deer sohn nohn meh zhuh peu voo deer oo eel vee
974,REPAIR,Je ne peux pas te dire à quel point je suis heureux que tu sois venu nous voir.,I can't tell you how happy I am that you've come to visit us.,ʒə- nə- pˈø pa tə- dˈiʁ a kɛl pwˌɛ̃ ʒə- syˌiz øʁˈø kə ty swˌa vənˈy nu vwˈaʁ.,zhohohh- nohohh- peu pa tohohh- dayayr a kayl pwayayn zhohohh- syayayz eureu kohohh ty swa vohohhny nohoh vwar.,Machine misses /ɥ/ in suis; keep standard liaison in suis heureux /sɥi zøʁø/. Remove artifacts.,/ʒə nə pø pa tə diʁ a kɛl pwɛ̃ ʒə sɥi zøʁø kə ty swa vəny nu vwaʁ/,zhuh nuh peu pah tuh deer ah kel pwehn zhuh swee zeu-reu kuh tü swa vuh-nü noo vwar
975,REPAIR,Je ne peux pas vous dire qui est sur la liste. Mon patron m'a dit de ne pas le dire.,I can't tell you who's on the list. My boss told me not to.,ʒə- nə- pˈø pa vu dˈiʁ ki ɛ syʁ la- lˈist. mɔ̃ patʁˈɔ̃ ma dˈi də- nə- pa lə- dˈiʁ.,zhohohh- nohohh- peu pa vohoh dayayr kayay ay syr la- layayst. mohn patrohn ma dayay dohohh- nohohh- pa lohohh- dayayr.,Remove stress/hyphen artifacts; patron/mon are nasal and sur has French /y/.,/ʒə nə pø pa vu diʁ ki ɛ syʁ la list mɔ̃ patʁɔ̃ ma di də nə pa lə diʁ/,zhuh nuh peu pah voo deer kee eh sür lah leest mohn pah-trohn mah dee duh nuh pah luh deer
976,REPAIR,Je me fiche de ce que le docteur dit. Je vais manger ce que je veux.,I don't care what the doctor says. I'm going to eat whatever I want.,ʒə- mə- fˈiʃ də- sə- kə lə- dɔktˈœʁ dˈi. ʒə- vˈɛ mɑ̃ʒˈe sə- kə ʒə- vˈø.,zhohohh- mohohh- fayaysh dohohh- sohohh- kohohh lohohh- dohkteur dayay. zhohohh- vay manzhay sohohh- kohohh zhohohh- veu.,Remove stress/hyphen artifacts; manger is nasal.,/ʒə mə fiʃ də sə kə lə dɔktœʁ di ʒə vɛ mɑ̃ʒe sə kə ʒə vø/,zhuh muh feesh duh suh kuh luh dawk-tuhr dee zhuh veh mahn-zhay suh kuh zhuh veu
977,REPAIR,Peu m'importe où je travaille tant que je peux trouver un emploi.,I don't care where I work as long as I can get a job.,pø mɛ̃pˈɔʁt u ʒə- tʁavˈaj tɑ̃ kə ʒə- pˈø tʁuvˈe œ̃n ɑ̃plwˈa.,peu mayaynpohrt ohoh zhohohh- travay tan kohohh zhohohh- peu trohohvay ohohnn anplwa.,Keep /n/ in un emploi; remove artifacts and mark nasal vowels.,/pø mɛ̃pɔʁt u ʒə tʁavaj tɑ̃ kə ʒə pø tʁuve œ̃ nɑ̃plwa/,peu mehn-pawrt oo zhuh trah-vahy tahn kuh zhuh peu troo-vay uhn nahn-plwa
978,REPAIR,Je ne sais pas si je parle assez bien français pour pouvoir expliquer ceci correctement.,I don't know if I speak French well enough to explain this properly.,ʒə- nə- sˈɛ pa sˈi ʒə- pˈaʁl asˌe bjˈɛ̃ fʁɑ̃sˈɛ puʁ puvwˈaʁ ɛksplikˈe səsˌi koʁɛktəmˈɑ̃.,zhohohh- nohohh- say pa sayay zhohohh- parl asay byayayn fransay pohohr pohohvwar ayksplayaykay sohohhsayay kohrayktohohhman.,Remove artifacts; bien/français/correctement contain nasal vowels.,/ʒə nə sɛ pa si ʒə paʁl ase bjɛ̃ fʁɑ̃sɛ puʁ puvwaʁ ɛksplike səsi koʁɛktəmɑ̃/,zhuh nuh seh pah see zhuh parl ah-say byehn frahn-seh poor poo-vwar eks-plee-kay suh-see kaw-rek-tuh-mahn
979,REPAIR,Je ne sais pas si c'est important pour vous mais c'est très important pour moi.,"I don't know whether it's important to you, but it's very important to me.",ʒə- nə- sˈɛ pa sˈi sɛt ɛ̃pɔʁtˈɑ̃ puʁ vu mɛ sɛ tʁɛz ɛ̃pɔʁtˈɑ̃ puʁ mwˈa.,zhohohh- nohohh- say pa sayay sayt ayaynpohrtan pohohr vohoh may say trayz ayaynpohrtan pohohr mwa.,Keep standard /t/ in c'est important and /z/ in très important; no liaison after mais. Remove artifacts.,/ʒə nə sɛ pa si sɛ tɛ̃pɔʁtɑ̃ puʁ vu mɛ sɛ tʁɛ zɛ̃pɔʁtɑ̃ puʁ mwa/,zhuh nuh seh pah see seh tehn-pawr-tahn poor voo meh seh treh zehn-pawr-tahn poor mwa
980,REPAIR,Je ne pense pas que j'aie envie de répondre à plus de tes questions pour l'instant.,I don't think I want to answer any more of your questions right now.,ʒə- nə- pˈɑ̃s pa kə ʒɛ ɑ̃vˈi də- ʁepˈɔ̃dʁ a ply də- te- kɛstjˈɔ̃ puʁ lɛ̃stˈɑ̃.,zhohohh- nohohh- pans pa kohohh zhay anvayay dohohh- raypohndr a ply dohohh- tay- kaystyohn pohohr layaynstan.,Remove stress/hyphen artifacts; envie/répondre/questions/instant contain nasal vowels.,/ʒə nə pɑ̃s pa kə ʒɛ ɑ̃vi də ʁepɔ̃dʁ a ply də te kɛstjɔ̃ puʁ lɛ̃stɑ̃/,zhuh nuh pahns pah kuh zheh ahn-vee duh ray-pohn-dr ah plü duh tay kes-tyohn poor lehn-stahn
981,REPAIR,Je ne pense pas que je serai capable de faire ce que tu veux que je fasse.,I don't think I'll be able to do what you want me to do.,ʒə- nə- pˈɑ̃s pa kə ʒə- səʁˈe kapˈabl də- fˈɛʁ sə- kə ty vˈø kə ʒə- fˈas.,zhohohh- nohohh- pans pa kohohh zhohohh- sohohhray kapabl dohohh- fayr sohohh- kohohh ty veu kohohh zhohohh- fas.,Remove stress/hyphen artifacts; pense is nasal.,/ʒə nə pɑ̃s pa kə ʒə səʁe kapabl də fɛʁ sə kə ty vø kə ʒə fas/,zhuh nuh pahns pah kuh zhuh suh-ray kah-pahbl duh fehr suh kuh tü veu kuh zhuh fahs
982,REPAIR,Je ne pense pas que j'aurai assez de temps pour faire tout ce que je veux faire.,I don't think I'll have enough time to do everything I want to do.,ʒə- nə- pˈɑ̃s pa kə ʒoʁˈe asˌe də- tˈɑ̃ puʁ fˈɛʁ tu sə- kə ʒə- vˈø fˈɛʁ.,zhohohh- nohohh- pans pa kohohh zhohray asay dohohh- tan pohohr fayr tohoh sohohh- kohohh zhohohh- veu fayr.,Remove stress/hyphen artifacts; pense/temps are nasal.,/ʒə nə pɑ̃s pa kə ʒoʁe ase də tɑ̃ puʁ fɛʁ tu sə kə ʒə vø fɛʁ/,zhuh nuh pahns pah kuh zhoh-ray ah-say duh tahn poor fehr too suh kuh zhuh veu fehr
983,REPAIR,Je ne pense pas que tu aies besoin d'autant d'argent pour acheter ce dont tu as besoin.,I don't think that you need that much money to buy what you need.,ʒə- nə- pˈɑ̃s pa kə ty ɛ bəzwˈɛ̃ dotˌɑ̃ daʁʒˈɑ̃ puʁ aʃtˈe sə- dɔ̃ ty a bəzwˈɛ̃.,zhohohh- nohohh- pans pa kohohh ty ay bohohhzwayayn dohtan darzhan pohohr ashtay sohohh- dohn ty a bohohhzwayayn.,Remove artifacts; besoin/autant/argent/dont are nasal.,/ʒə nə pɑ̃s pa kə ty ɛ bəzwɛ̃ dotɑ̃ daʁʒɑ̃ puʁ aʃte sə dɔ̃ ty a bəzwɛ̃/,zhuh nuh pahns pah kuh tü eh buh-zwehn doh-tahn dar-zhahn poor ahsh-tay suh dohn tü ah buh-zwehn
984,REPAIR,"Je ne voudrais pas te presser, mais essayons de prendre le prochain bus.","I wouldn't want to rush you, but let's try to catch the next bus.","ʒə- nə- vudʁˈɛ pa tə- pʁɛsˈe, mɛz esɛjˈɔ̃ də- pʁˈɑ̃dʁ lə- pʁoʃˈɛ̃ bˈys.","zhohohh- nohohh- vohohdray pa tohohh- praysay, mayz aysayyohn dohohh- prandr lohohh- prohshayayn bys.",Liaison after conjunction mais is not made; remove artifacts and mark nasal vowels.,/ʒə nə vudʁɛ pa tə pʁɛse mɛ esɛjɔ̃ də pʁɑ̃dʁ lə pʁɔʃɛ̃ bys/,zhuh nuh voo-dreh pah tuh preh-say meh ay-seh-yohn duh prahn-dr luh praw-shehn büs
985,REPAIR,Je suis triste quand je pense à toutes les personnes qui meurent au cours des guerres.,I feel sad when I think about all the people who die in wars.,ʒə- syˌi tʁˈist kɑ̃ ʒə- pˈɑ̃s a tut le- pɛʁsˈɔn ki mˈœʁt o kˈuʁ de- ɡˈɛʁ.,zhohohh- syayay trayayst kan zhohohh- pans a tohoht lay- payrsohn kayay meurt oh kohohr day- gayr.,Machine misses /ɥ/ in suis; remove artifacts and mark nasal vowels.,/ʒə sɥi tʁist kɑ̃ ʒə pɑ̃s a tut le pɛʁsɔn ki mœʁ o kuʁ de ɡɛʁ/,zhuh swee treest kahn zhuh pahns ah toot lay pehr-sawn kee muhr oh koor day gehr
986,REPAIR,Je monte sur le toit quand je veux voir le ciel bleu.,I go up to the rooftop when I want to see the blue sky.,ʒə- mˈɔ̃t syʁ lə- twˈa kɑ̃ ʒə- vˈø vwˈaʁ lə- sjˈɛl blˈø.,zhohohh- mohnt syr lohohh- twa kan zhohohh- veu vwar lohohh- syayl bleu.,Remove artifacts; monte/quand are nasal and sur uses French /y/.,/ʒə mɔ̃t syʁ lə twa kɑ̃ ʒə vø vwaʁ lə sjɛl blø/,zhuh mohnt sür luh twa kahn zhuh veu vwar luh syel bleu
987,REPAIR,Je n'arrive pas à comprendre les raisons qui poussent certaines personnes à parasiter les forums.,I can't understand what drives some people to troll forums.,ʒə- naʁˈiv paz a kɔ̃pʁˈɑ̃dʁ le- ʁɛzˈɔ̃ ki pˈus sɛʁtˈɛn pɛʁsˈɔnz a paʁazitˈe le- foʁˈɔm.,zhohohh- narayayv paz a kohnprandr lay- rayzohn kayay pohohs sayrtayn payrsohnz a parazayaytay lay- fohrohm.,Drop optional /z/ after pas before à and false plural-noun /z/ after personnes before à; normalize forums /fɔʁɔm/.,/ʒə naʁiv pa a kɔ̃pʁɑ̃dʁ le ʁɛzɔ̃ ki pus sɛʁtɛn pɛʁsɔn a paʁazite le fɔʁɔm/,zhuh nah-reev pah ah kohn-prahn-dr lay reh-zohn kee poos sehr-ten pehr-sawn ah pah-rah-zee-tay lay faw-rawm
988,REPAIR,Je voulais seulement te dire que je suis réellement désolé de ce que j'ai dit.,I just wanted to tell you that I'm really sorry for what I said.,ʒə- vulˈɛ sølmˈɑ̃ tə- dˈiʁ kə ʒə- syˌi ʁeɛlmˈɑ̃ dezolˈe də- sə- kə ʒe dˈi.,zhohohh- vohohlay seulman tohohh- dayayr kohohh zhohohh- syayay rayaylman dayzohlay dohohh- sohohh- kohohh zhay dayay.,Machine misses /ɥ/ in suis; normalize désolé /dezɔle/ and remove artifacts.,/ʒə vulɛ sœlmɑ̃ tə diʁ kə ʒə sɥi ʁeɛlmɑ̃ dezɔle də sə kə ʒe di/,zhuh voo-leh suhl-mahn tuh deer kuh zhuh swee ray-el-mahn day-zaw-lay duh suh kuh zhay dee
989,REPAIR,"Je sais que ce n'est pas ce que tu as suggéré, mais c'est tout ce que j'ai pu faire.","I know it's not what you suggested, but it was all I could do.","ʒə- sˈɛ kə sə- nɛ pa sə- kə ty a syɡʒeʁˈe, mɛ sɛ tu sə- kə ʒe pˈy fˈɛʁ.","zhohohh- say kohohh sohohh- nay pa sohohh- kohohh ty a sygzhayray, may say tohoh sohohh- kohohh zhay py fayr.",Remove stress/hyphen artifacts; pu uses French /y/.,/ʒə sɛ kə sə nɛ pa sə kə ty a syɡʒeʁe mɛ sɛ tu sə kə ʒe py fɛʁ/,zhuh seh kuh suh neh pah suh kuh tü ah süg-zhay-ray meh seh too suh kuh zhay pü fehr
990,REPAIR,J'ai besoin que quelqu'un me serre dans ses bras et me dise que tout ira bien.,I need someone to hug me and tell me everything will be all right.,ʒe bəzwˈɛ̃ kə kɛlkˌœ̃ mə- sˈɛʁ dɑ̃ se- bʁˈaz e mə- dˈiz kə tut iʁˈa bjˈɛ̃.,zhay bohohhzwayayn kohohh kaylkohohn mohohh- sayr dan say- braz ay mohohh- dayayz kohohh tohoht ayayra byayayn.,False plural-noun liaison after bras before et; keep pronounced /t/ in tout ira. Remove artifacts.,/ʒe bəzwɛ̃ kə kɛlkœ̃ mə sɛʁ dɑ̃ se bʁa e mə diz kə tu tiʁa bjɛ̃/,zhay buh-zwehn kuh kel-kuhn muh sehr dahn say brah ay muh deez kuh too tee-rah byehn
991,REPAIR,Je me rappelle quand nous ne mangions jamais de légumes que nous n'avions pas cultivés nous-mêmes.,I remember when we never ate vegetables that we hadn't grown ourselves.,ʒə- mə- ʁapˈɛl kɑ̃ nu nə- mɑ̃ʒjˈɔ̃ ʒamˌɛ də- leɡˈym kə nu navjˈɔ̃ pa kyltivˈe numˈɛm.,zhohohh- mohohh- rapayl kan nohoh nohohh- manzhyohn zhamay dohohh- laygym kohohh nohoh navyohn pa kyltayayvay nohohmaym.,Remove artifacts; légumes/cultivés use French /y/ and nasal vowels remain.,/ʒə mə ʁapɛl kɑ̃ nu nə mɑ̃ʒjɔ̃ ʒamɛ də leɡym kə nu navjɔ̃ pa kyltive nu mɛm/,zhuh muh rah-pel kahn noo nuh mahn-zhyohn zhah-meh duh lay-güm kuh noo nah-vyohn pah kül-tee-vay noo mem
992,REPAIR,Je pense qu'il est temps de changer nos façons de gérer les déchets.,I think it is about time we changed our ways of managing waste.,ʒə- pˈɑ̃s kil ɛ tˈɑ̃ də- ʃɑ̃ʒˈe no fasˈɔ̃ də- ʒeʁˈe le- deʃˈɛ.,zhohohh- pans kayayl ay tan dohohh- shanzhay noh fasohn dohohh- zhayray lay- dayshay.,Remove stress/hyphen artifacts; pense/temps/changer/façons are nasal.,/ʒə pɑ̃s kil ɛ tɑ̃ də ʃɑ̃ʒe no fasɔ̃ də ʒeʁe le deʃɛ/,zhuh pahns keel eh tahn duh shahn-zhay noh fah-sohn duh zhay-ray lay day-sheh
993,REPAIR,Je pense que ce serait une bonne idée pour toi d'étudier le français.,I think that it would be a good idea for you to study French.,ʒə- pˈɑ̃s kə sə- səʁˈɛt yn bˈɔn idˈe puʁ twˌa detydjˈe lə- fʁɑ̃sˈɛ.,zhohohh- pans kohohh sohohh- sohohhrayt yn bohn ayayday pohohr twa daytydyay lohohh- fransay.,Keep standard /t/ liaison in serait une; remove artifacts and distinguish /y/ in étudier.,/ʒə pɑ̃s kə sə səʁɛ tyn bɔn ide puʁ twa detydje lə fʁɑ̃sɛ/,zhuh pahns kuh suh suh-reh tün bawn ee-day poor twa day-tü-dyay luh frahn-seh
994,REPAIR,Je pensais que les choses allaient s'améliorer mais en fait elles ne font qu'empirer.,"I thought things would get better, but in fact they are only getting worse.",ʒə- pɑ̃sˈɛ kə le- ʃˈozz alˈɛ sameljoʁˈe mɛz ɑ̃ fˈɛt ɛl nə- fˈɔ̃ kɑ̃piʁˈe.,zhohohh- pansay kohohh lay- shohzz alay samaylyohray mayz an fayt ayl nohohh- fohn kanpayayray.,Remove false plural-noun liaison after choses and forbidden liaison after mais; remove artifacts.,/ʒə pɑ̃sɛ kə le ʃoz alɛ sameljoʁe mɛ ɑ̃ fɛt ɛl nə fɔ̃ kɑ̃piʁe/,zhuh pahn-seh kuh lay shohz ah-leh sah-may-lyaw-ray meh ahn feh el nuh fohn kahn-pee-ray
