rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
267,REPAIR,Puis-je te parler ?,Can I speak to you?,pyˈiʒ tə- paʁlˈe ?,pyayayzh tohohh- parlay ?,Machine misses /ɥ/ in puis-je; remove machine hyphen/artificial stresses.,/pɥiʒ tə paʁle/,pweezh tuh par-lay
268,REPAIR,"Quelqu'un peut-il m'aider, je vous prie ?",Can somebody please help me?,"kɛlkˌœ̃ pˈøtil mɛdˈe, ʒə- vu pʁˈi ?","kaylkohohn peutayayl mayday, zhohohh- vohoh prayay ?",Peut-il correctly has pronounced /t/, but m'aider is /mede/, not /mɛde/. Remove artificial stresses/hyphen and cue quelqu'un nasal vowel.,/kɛlkœ̃ pø til mede ʒə vu pʁi/,kel-kuhn peu teel may-day zhuh voo pree (kuhn nasal)
269,REPAIR,Pouvons-nous venir avec vous ?,Can we come with you?,puvˈɔ̃nu vənˈiʁ avˌɛk vˈu ?,pohohvohnnohoh vohohhnayayr avayk vohoh ?,Remove artificial stresses; pouvons-nous is /puvɔ̃ nu/ and avec has /ɛ/.,/puvɔ̃ nu vəniʁ avɛk vu/,poo-vohn noo vuh-neer ah-vek voo (vohn nasal)
270,REPAIR,Pouvons-nous faire ça ici ?,Can we do that here?,puvˈɔ̃nu fˈɛʁ sa isˈi ?,pohohvohnnohoh fayr sa ayaysayay ?,Remove artificial stresses; learner hint is corrupted.,/puvɔ̃ nu fɛʁ sa isi/,poo-vohn noo fehr sah ee-see (vohn nasal)
271,REPAIR,On peut rentrer à la maison ?,Can we go back home?,ɔ̃ pˈø ʁɑ̃tʁˈe a la- mɛzˈɔ̃ ?,ohn peu rantray a la- mayzohn ?,Remove artificial stresses/machine hyphen; mark nasal vowels in on/rentrer/maison.,/ɔ̃ pø ʁɑ̃tʁe a la mɛzɔ̃/,ohn peu rahn-tray ah lah meh-zohn (nasal vowels)
272,REPAIR,Pouvons-nous juste rentrer chez nous ?,Can we just go home?,puvˈɔ̃nu ʒˈyst ʁɑ̃tʁˈe ʃe nˈu ?,pohohvohnnohoh zhyst rantray shay nohoh ?,Remove artificial stresses; distinguish /y/ in juste and mark nasal vowels.,/puvɔ̃ nu ʒyst ʁɑ̃tʁe ʃe nu/,poo-vohn noo zhüst rahn-tray shay noo (nasal vowels)
273,REPAIR,Pouvez-vous venir avec moi ?,Can you come with me?,puvˈevu vənˈiʁ avˌɛk mwˈa ?,pohohvayvohoh vohohhnayayr avayk mwa ?,Pouvez-vous is /puve vu/ without /z/ liaison; remove artificial stresses and cue avec /ɛ/.,/puve vu vəniʁ avɛk mwa/,poo-vay voo vuh-neer ah-vek mwa
274,REPAIR,Peux-tu le faire demain ?,Can you do it tomorrow?,pˈøty lə- fˈɛʁ dəmˈɛ̃ ?,peuty lohohh- fayr dohohhmayayn ?,Peux-tu is /pø ty/; remove hyphen/stresses and mark demain nasal.,/pø ty lə fɛʁ dəmɛ̃/,peu tü luh fehr duh-mehn (mehn nasal)
275,REPAIR,Est-ce que tu peux faire ça ici ?,Can you do that here?,ɛs kə ty pˈø fˈɛʁ sa isˈi ?,ays kohohh ty peu fayr sa ayaysayay ?,Remove artificial stresses; learner hint is corrupted and /y/ should be distinguished.,/ɛs kə ty pø fɛʁ sa isi/,es kuh tü peu fehr sah ee-see
276,REPAIR,Est-ce que tu peux faire ça aujourd'hui ?,Can you do that today?,ɛs kə ty pˈø fˈɛʁ sa oʒuʁdyˈi ?,ays kohohh ty peu fayr sa ohzhohohrdyayay ?,Machine misses /ɥ/ in aujourd'hui; remove artificial stresses and distinguish /y/.,/ɛs kə ty pø fɛʁ sa oʒuʁdɥi/,es kuh tü peu fehr sah oh-zhoor-dwee
277,REPAIR,Pouvez-vous me conduire chez moi ?,Can you drive me home?,puvˈevu mə- kɔ̃dyˈiʁ ʃe mwˈa ?,pohohvayvohoh mohohh- kohndyayayr shay mwa ?,Pouvez-vous is /puve vu/ without /z/; machine misses /ɥ/ in conduire. Remove hyphen/stresses.,/puve vu mə kɔ̃dɥiʁ ʃe mwa/,poo-vay voo muh kohn-dweer shay mwa (kohn nasal)
278,REPAIR,Peut-on y manger quelque chose ?,Can you eat something there?,pˈøtɔ̃n i mɑ̃ʒˈe kˌɛlkə ʃˈɔz ?,peutohnn ayay manzhay kaylkohohh shohz ?,Peut-on has /t/ and the subject clitic on links naturally to y with /n/: /pø tɔ̃ ni/. Chose is /ʃoz/, not /ʃɔz/.,/pø tɔ̃ ni mɑ̃ʒe kɛlk ʃoz/,peu tohn nee mahn-zhay kelk shohz (nasal vowels)
279,REPAIR,"Pouvez-vous m'aider, s'il vous plaît ?","Can you help me, please?","puvˈevu mɛdˈe, sil vu plˈɛ ?","pohohvayvohoh mayday, sayayl vohoh play ?",Pouvez-vous is /puve vu/ without /z/ liaison; m'aider is /mede/, not /mɛde/. Remove stresses.,/puve vu mede sil vu plɛ/,poo-vay voo may-day seel voo pleh
280,REPAIR,Peux-tu juste rentrer chez toi ?,Can you just go home?,pˈøty ʒˈyst ʁɑ̃tʁˈe ʃe twˈa ?,peuty zhyst rantray shay twa ?,Peux-tu is /pø ty/; remove artificial stresses and mark rentrer nasal.,/pø ty ʒyst ʁɑ̃tʁe ʃe twa/,peu tü zhüst rahn-tray shay twa (rahn nasal)
281,REPAIR,"Pouvez-vous parler plus lentement, s'il vous plaît ?","Can you speak more slowly, please?","puvˈevu paʁlˈe ply lɑ̃tmˈɑ̃, sil vu plˈɛ ?","pohohvayvohoh parlay ply lantman, sayayl vohoh play ?",Pouvez-vous is /puve vu/ without /z/; remove stresses and cue French /y/ plus nasal vowels in lentement.,/puve vu paʁle ply lɑ̃tmɑ̃ sil vu plɛ/,poo-vay voo par-lay plü lahn-tmahn seel voo pleh (nasal vowels)
282,REPAIR,Peux-tu me conduire chez moi ?,Can you take me home?,pˈøty mə- kɔ̃dyˈiʁ ʃe mwˈa ?,peuty mohohh- kohndyayayr shay mwa ?,Peux-tu is /pø ty/ and machine misses /ɥ/ in conduire; remove machine hyphen/stresses.,/pø ty mə kɔ̃dɥiʁ ʃe mwa/,peu tü muh kohn-dweer shay mwa (kohn nasal)
283,REPAIR,Peux-tu me dire comment ?,Can you tell me how?,pˈøty mə- dˈiʁ kɔmˈɑ̃ ?,peuty mohohh- dayayr kohman ?,Peux-tu is /pø ty/; remove hyphen/stresses and mark comment nasal.,/pø ty mə diʁ kɔmɑ̃/,peu tü muh deer koh-mahn (mahn nasal)
284,REPAIR,"Pourrais-je dire quelque chose, s'il vous plaît ?","Could I say something, please?","puʁˈɛʒ dˈiʁ kˌɛlkə ʃˈɔz, sil vu plˈɛ ?","pohohrayzh dayayr kaylkohohh shohz, sayayl vohoh play ?",Remove artificial stresses; quelque is /kɛlk/ and chose is /ʃoz/.,/puʁɛʒ diʁ kɛlk ʃoz sil vu plɛ/,poo-rehzh deer kelk shohz seel voo pleh
285,REPAIR,Pourrais-je travailler à temps partiel ?,Could I work part-time?,puʁˈɛʒ tʁavajˈe a tˈɑ̃ paʁsjˈɛl ?,pohohrayzh travayay a tan parsyayl ?,Remove artificial stresses; travailler contains /j/ and temps is nasal /ɑ̃/.,/puʁɛʒ tʁavaje a tɑ̃ paʁsjɛl/,poo-rehzh trah-vah-yay ah tahn par-syel (tahn nasal)
286,REPAIR,Pourriez-vous m'appeler plus tard ?,Could you call me later?,puʁjˈevu maplˈe ply tˈaʁ ?,pohohryayvohoh maplay ply tar ?,Pourriez-vous is /puʁje vu/ without /z/ liaison; remove stresses and distinguish /y/ in plus.,/puʁje vu maple ply taʁ/,poor-yay voo mah-play plü tahr
287,REPAIR,Pourriez-vous m'aider s'il vous plaît ?,Could you please help me?,puʁjˈevu mɛdˈe sil vu plˈɛ ?,pohohryayvohoh mayday sayayl vohoh play ?,Pourriez-vous is /puʁje vu/ without /z/; m'aider is /mede/. Remove artificial stresses.,/puʁje vu mede sil vu plɛ/,poor-yay voo may-day seel voo pleh
288,REPAIR,"Pouvez-vous signer ici, s'il vous plaît ?","Could you sign here, please?","puvˈevu sinjˈe isˈi sil vu plˈɛ ?","pohohvayvohoh sayaynyay ayaysayay sayayl vohoh play ?",Canonical v1.0 row confirms the full sentence and English text; normalize pouvez-vous without /z/, signer with /ɲ/, and remove artificial stresses.,/puve vu siɲe isi sil vu plɛ/,poo-vay voo see-nyay ee-see seel voo pleh
289,REPAIR,Vous ai-je dit cela ?,Did I tell you that?,vuz ɛʒ dˈi səlˈa ?,vohohz ayzh dayay sohohhla ?,Keep mandatory /z/ from object clitic vous before vowel-initial ai-je; remove artificial stresses.,/vu zɛʒ di səla/,voo zehzh dee suh-lah
290,REPAIR,Est-ce que je t'ai bien compris ?,Did I understand you correctly?,ɛs kə ʒə- te bjˈɛ̃ kɔ̃pʁˈi ?,ays kohohh zhohohh- tay byayayn kohnprayay ?,Remove machine hyphen/artificial stresses; bien and compris begin/end with nasal sequences as shown.,/ɛs kə ʒə te bjɛ̃ kɔ̃pʁi/,es kuh zhuh tay byehn kohn-pree (nasal vowels)
291,REPAIR,Tu l'as acheté ici ?,Did you buy it here?,ty laz aʃtˈe isˈi ?,ty laz ashtay ayaysayay ?,Machine incorrectly inserts /z/ after finite auxiliary l'as before acheté. No liaison is made here; remove stresses.,/ty la aʃte isi/,tü lah ahsh-tay ee-see
292,REPAIR,Êtes-vous venu seul ici ?,Did you come here alone?,ˈɛtvu vənˈy sˈœl isˈi ?,aytvohoh vohohhny seul ayaysayay ?,Êtes-vous is /ɛt vu/ without additional liaison; remove stresses and distinguish French /y/ plus rounded /œ/.,/ɛt vu vəny sœl isi/,et voo vuh-nü suhl ee-see
293,REPAIR,As-tu fait tes devoirs ?,Did you do your homework?,atˈy fˈɛ te- dəvwˈaʁ ?,aty fay tay- dohohhvwar ?,As-tu is /a ty/; remove machine hyphen/artificial stresses.,/a ty fɛ te dəvwaʁ/,ah tü feh tay duh-vwar
294,REPAIR,As-tu fait ton travail ?,Did you do your work?,atˈy fˈɛ tɔ̃ tʁavˈaj ?,aty fay tohn travay ?,As-tu is /a ty/; remove stresses and mark ton nasal.,/a ty fɛ tɔ̃ tʁavaj/,ah tü feh tohn trah-vahy (tohn nasal)
295,REPAIR,Connaissiez-vous mon père ?,Did you know my father?,kɔnɛsjˈevu mɔ̃ pˈɛʁ ?,kohnaysyayvohoh mohn payr ?,Connaissiez-vous is /kɔnɛsje vu/ without /z/ liaison; remove stresses and cue mon/père accurately.,/kɔnɛsje vu mɔ̃ pɛʁ/,kaw-neh-syay voo mohn pehr (mohn nasal)
296,REPAIR,Dois-je y aller ?,Do I have to go?,dwˈaʒ i alˈe ?,dwazh ayay alay ?,Remove artificial stresses; dois-je is /dwaʒ/.,/dwaʒ i ale/,dwazh ee ah-lay
297,REPAIR,Tu viens souvent ici ?,Do you come here often?,ty vjˈɛ̃ suvˈɑ̃ isˈi ?,ty vyayayn sohohvan ayaysayay ?,Remove artificial stresses; viens/souvent contain nasal vowels and learner hint is corrupted.,/ty vjɛ̃ suvɑ̃ isi/,tü vyehn soo-vahn ee-see (nasal vowels)
298,REPAIR,Te sens-tu mieux aujourd'hui ?,Do you feel better today?,tə- sˈɑ̃ty mjˌø oʒuʁdyˈi ?,tohohh- santy myeu ohzhohohrdyayay ?,Sens-tu is /sɑ̃ ty/ and aujourd'hui requires /ɥ/; remove machine hyphen/stresses.,/tə sɑ̃ ty mjø oʒuʁdɥi/,tuh sahn tü myuh oh-zhoor-dwee (sahn nasal)
299,REPAIR,As-tu envie de manger ?,Do you feel like eating?,atˈy ɑ̃vˈi də- mɑ̃ʒˈe ?,aty anvayay dohohh- manzhay ?,As-tu is /a ty/; remove machine hyphen/stresses and mark envie/manger nasal vowels.,/a ty ɑ̃vi də mɑ̃ʒe/,ah tü ahn-vee duh mahn-zhay (nasal vowels)
300,REPAIR,Veux-tu te reposer ?,Do you want to rest?,vˈøty tə- ʁəpozˈe ?,veuty tohohh- rohohhpohzay ?,Veux-tu is /vø ty/; remove machine hyphen/artificial stresses.,/vø ty tə ʁəpoze/,veu tü tuh ruh-poh-zay
