rank,target,english,pos,ipa_candidate,learner_hint_candidate,source_sha256
21,کیا,what?; did/done (depending on context),particle / pronoun / verb,kjˈaː,kya,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
22,تو,then; so; you (informal),conj / pronoun,tˈoː,toh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
23,وہ,that; those; he/she/it/they (distal),determiner / pronoun,woː,woh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
24,لئے,taken; for (in کے لیے),verb form / compound-postposition component,lˌiːeː,layayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
25,تھا,was (masculine singular),verb,tʰaː,tʰa,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
26,گیا,"went; gone/left (masculine singular perfect of جانا); Gaya (proper noun, context-dependent)",verb / proper noun,ɡˌajaː,gaya,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
27,جو,who; which; that (relative pronoun),relative pronoun,ɟˈoː,gyoh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
28,و,and,conjunction,ˈoː,oh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
29,گا,will (masculine singular future marker),future marker / suffix,ɡaː,ga,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
30,ہی,only; just; emphatic particle,particle,hˈiː,hayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
31,نہ,not; neither; do not,adv / conj / particle,nˈa,na,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
32,جب,when,adverb / conjunction,ɟˈʌb,gyʌb,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
33,اپنے,one's own; own (masculine plural/oblique form of اپنا),reflexive possessive determiner / adjective,ˈapnˌeː,apnay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
34,آپ,you (formal/honorific); oneself,pronoun,ˌaːp,ap,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
35,جس,whom/which/that (oblique singular relative pronoun),relative pronoun,ɟɪs,gyayays,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
36,دیا,gave; given (masculine singular form of دینا); lamp,noun / verb form,dˈiːaː,dayaya,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
37,تھے,were (masculine plural/honorific),verb,tʰeː,tʰay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
38,ہوئے,became; happened; were (plural/honorific form),verb,hˈuːeː,hohohay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
39,تک,until; up to; as far as,postposition / particle,tˈʌk,tʌk,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
40,بعد,after; afterwards,noun / postposition / prep,bˈaːd,bad,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
41,ساتھ,with; together; alongside,adv / noun,sˈaːtʰ,satʰ,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
42,لیکن,but; however,conj,lˈeːkɪn,laykayayn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
43,گی,will (feminine future marker),suffix,ɡi,gayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
44,کوئی,someone; anyone; some; any,adj / pronoun,kˈoːi,kohayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
45,گے,will (masculine plural/honorific future marker),future marker / suffix,ɡeː,gay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
46,اپنی,one's own; own (feminine form of اپنا),reflexive possessive determiner / adjective,ˈapnˌiː,apnayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
47,وقت,"time; turn; era, duration",noun,ʋˈaqt,ʋaqt,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
48,بہت,very; much; many; a lot,adverb / quantifier / adjective,bˈahʊt,bahohoht,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
49,کسی,"oblique of کوئی (koī): anyone, someone; oblique of کوئی (koī): some, a certain, a given",adj / pronoun,kˈɪsi,kayaysayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
50,تھی,was (feminine singular),verb,tʰi,tʰayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
51,یا,or; O!/oh! (vocative in some contexts),conj / interjection,jˈaː,ya,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
52,ہم,we; us,pronoun,ham,ham,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
53,ہوں,"am; be/may be (subjunctive, context-dependent)",verb,huːn,hohohn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
54,زیادہ,"more, very many, excessive; more, much, a lot, excessively",adj / adv,zjˈaːda,zyada,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
55,ملک,"realm; country, land",noun,mˈʊlk,mohohlk,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
56,بات,talk; conversation; thing; point; matter; saying,noun,bˈaːt,bat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
57,طرح,way; manner; method; type; kind,noun,tˌərˈah,tohohhrah,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
58,اگر,if; agarwood,conj / noun,aɡˈar,agar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
59,اب,now; at present,adverb,ˈab,ab,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
60,حکومت,"government; power, reign, rule; jurisdiction; authority",noun,hˌʊkuːmˈat,hohohkohohmat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
61,دو,two; give! (informal imperative of دینا),numeral / imperative verb form,dˈoː,doh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
62,ہوا,air; wind; breeze; happened; became; was (masculine singular form of ہونا),noun / verb form,hˈuːaː,hohoha,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
63,دی,gave (feminine singular form of دینا),verb form,dˈiː,dayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
64,ہوتا,is/becomes/happens habitually; would be (masculine singular),verb,hˈoːtaː,hohta,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
65,کام,work; task; job; use,noun,kˈaːm,kam,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
66,حاصل,result; outcome; obtained; acquired; achieved,noun / adjective / participial form,hˈaːʂɪl,haʂayayl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
67,سب,all; every,adj / determiner / pronoun,sˈʌb,sʌb,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
68,کرنا,to do; to make; to cause,verb,kˌarnaː,karna,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
69,ہر,each; every,determiner,hˈʌr,hʌr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
70,سی,like; as; -like (feminine resemblance/comparative form),resemblance/comparative particle,sˈiː,sayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
71,طور,"hill, mount; manner, way; state, condition",noun,tˈɔːr,tohr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
72,خان,khan,name / noun,xˈaːn,khan,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
73,پہلے,before; earlier; previously; first,adverb / adjective,pˈɛhleː,payhlay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
74,کچھ,some; something; a little; any (context-dependent),quantifier / pronoun / adverb,kʊcʰ,kohohcʰ,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
75,صرف,"only; just; solely; expenditure/spending; morphology (grammar, specialized)",adverb / noun,ʂˈɪrf,ʂayayrf,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
76,انہیں,them; to them,pronoun,ˌʊnhˌeːn,ohohnhayn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
77,سال,year,noun,sˈaːl,sal,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
78,وجہ,reason; cause,noun,ʋˈʌɟˌa,ʋʌgya,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
79,کم,few; little (not much); less (in lower degree; to smaller extent),adj / adv / determiner,kˈʌm,kʌm,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
80,جنگ,war; fight; battle,noun,ɟˈʌnɡ,gyʌng,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
81,اسے,him; her; it; to him/her/it,pronoun,ˌɪseː,ayaysay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
82,لیے,"for; for the sake of (in کے لیے); taken (form of لینا, context-dependent)",verb form / compound-postposition component,lˈiːeː,layayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
83,صدر,"president; chief, head; host (of an event etc.); Saddar (a neighbourhood of Karachi, Sindh, Pakistan)",name / noun,ʂˈʌdər,ʂʌdohohhr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
84,تمام,all; every,adj,təmˈaːm,tohohhmam,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
85,اسی,eighty; this very; that very; the same (context-dependent),numeral / emphatic pronoun-determiner form,ˈɪsi,ayaysayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
86,خلاف,against; contrary to; opposed to; opposition,noun / postpositional expression / adjective,xɪlˈaːf,khayaylaf,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
87,احمد,"an epithet for Prophet Muhammad; a male surname, Ahmed or Ahmad, from Arabic; a male given name, Ahmed or Ahmad, from Arabic",name,ˈɛhməd,ayhmohohhd,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
88,طرف,side; direction,noun,tarˈaf,taraf,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
89,دنیا,Earth; world; kingdom,noun,dʊnˈiːaː,dohohnayaya,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
90,شروع,onset; beginning; commencement,noun,ʃˈʊruː,shohohrohoh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
91,افراد,individuals; persons; members,noun,ˌafrˈaːd,afrad,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
92,وزیر,vizier; minister; queen / fers,noun,ʋəzˈiːr,ʋohohhzayayr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
93,جن,"whom; which; those who (plural oblique relative pronoun); jinn (noun, context-dependent)",relative pronoun / noun,ɟɪn,gyayayn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
94,آباد,populous; inhabited; cultivated,adj / suffix,aːbˈaːd,abad,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
95,دور,"far, far off; distant, remote; period, era, age",adj / adv / noun,dˈuːr,dohohr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
96,آ,come; come! (stem/imperative of آنا),verb stem / imperative,ˈaː,a,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
97,دوست,friend,noun,dˈoːst,dohst,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
98,علی,"Ali ibn Abi Talib; a male given name, Ali, from Arabic; upon, over, on (only used in borrowed Arabic phrases; see related terms below)",name / prep,ˈali,alayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
99,ڈاکٹر,doctor; physician,noun,ɖˌaːkʈˈar,daktar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
100,شامل,"associated, involved; included, comprised, incorporated",adj,ʃˈaːmɪl,shamayayl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
101,لوگ,"people; class, caste; folk; family",noun,lˈoːɡ,lohg,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
102,لے,take; take! (form/stem of لینا),verb,lˈeː,lay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
103,استعمال,"use, usage, utilisation, employment",noun,ˌɪsteːmˈaːl,ayaystaymal,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
104,مدد,help; aid; assistance; relief; reinforcement (context-dependent),noun,mˈʌdəd,mʌdohohhd,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
105,میل,mile; inclination/affinity; dirt/grime (different senses),noun,mˈeːl,mayl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
106,پیدا,"born; arisen, created",adj,pˈeːdaː,payda,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
107,بے,without-; un-; -less; non-; name of the letter ب (context-dependent),prefix / noun,beː,bay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
108,دوسرے,second; other (masculine plural/oblique form of دوسرا),adjective / determiner,dˈuːsreː,dohohsray,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
109,روپے,rupees; rupee (oblique/vocative singular),noun,rˈʊpeː,rohohpay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
110,ضرورت,"necessity, need, requirement",noun,zˌaruːrˈat,zarohohrat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
111,اے,O!; hey! (vocative particle),particle,ˈeː,ay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
112,تین,three,numeral,tˈiːn,tayayn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
113,پیش,before; in front; forward; presented/offered; pesh/damma vowel mark,adverb / noun / adjective-participle,pˈeːʃ,paysh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
114,مختلف,different; various; differing; opposed (context-dependent),adjective,mˌʊxtˈalɪf,mohohkhtalayayf,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
115,کیونکہ,because,conj,kjˌuːnkˈɛh,kyohohnkayh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
116,نام,name,noun,nˈaːm,nam,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
117,آئی,came (feminine singular),verb,ˈaːi,aayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
118,ہمارے,our; ours (masculine plural/oblique form),possessive determiner / pronoun,həmˈaːreː,hohohhmaray,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
119,صفحہ,face; page (of a book etc.),noun,ʂˈafhˌaː,ʂafha,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
120,قومی,national,adj,qˈoːmi,qohmayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
121,زندگی,life,noun,zˌɪndˈaɡi,zayayndagayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
122,قائم,"established; unwavering, fixed, firm",adj,qˈaɪm,qaayaym,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
123,آج,today,adv / noun,ˈaːɟ,agy,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
124,پانی,water; liquid/moisture; tears or sweat (in compounds/context-dependent),noun,pˈaːni,panayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
125,عوام,"crowd; public; masses, common folk, laity",noun,aʋˈaːm,aʋam,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
126,عمل,"effect; process; action, deed",noun,ˈaməl,amohohhl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
127,حسین,"a handsome man; beautiful, handsome; a male given name, Hussain or Husain, from Arabic",adj / name / noun,həsˈiːn,hohohhsayayn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
128,دوران,duration; course; period; during (in کے دوران),noun / postpositional expression,doːrˈaːn,dohran,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
129,پاکستانی,Pakistani (person); Pakistani (of or relating to Pakistan),adj / noun,pˌaːkɪstˈaːni,pakayaystanayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
130,شاہ,king; shah,noun,ʃˈaːh,shah,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
131,سو,"hundred; so, hence; therefore",adv / numeral,sˈoː,soh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
132,بڑی,"big; large; elder/older; great (feminine form of بڑا, context-dependent)",adjective,bˈʌr.i,bʌr.ayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
133,خود,"reflexive pronoun: oneself, one's own",pronoun,xˈʊd,khohohd,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
134,مجھے,me; to me,pronoun,mˌʊɟʰeː,mohohgyʰay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
135,ایسے,such; like this/that; in this way,demonstrative adjective / adverbial form,ˈeːseː,aysay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
136,جاری,"running, flowing; continuing, continuous, proceeding, prevailing",adj,ɟˈaːri,gyarayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
137,فلم,"film, movie",noun,fˈɪlm,fayaylm,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
138,موجود,present; existing; available; obtainable,adjective,moːɟˈuːd,mohgyohohd,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
139,دن,day; daytime,noun,dˈɪn,dayayn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
140,کھیل,"game; sport; play; fun; easy matter/task (idiomatic, context-dependent)",noun,kʰˈeːl,kʰayl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
141,بلکہ,rather; but rather; in fact; moreover,conjunction / discourse connector,bˌalkˈeːh,balkayh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
142,نظر,sight; view; look; gaze; opinion; attention/supervision (context-dependent),noun,naʐˈar,naʐar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
143,گھر,"house, home; place, abode",noun,ɡʰˈʌr,gʰʌr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
144,ممالک,countries,noun,mʊmˈaːlɪk,mohohmalayayk,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
145,جہاں,where; wherever,relative/interrogative adverb,ɟˈʌhãː,gyʌhã,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
146,کہنا,to say; to tell; to speak,verb,kˈɛhnaː,kayhna,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
147,میرے,my; mine (masculine plural/oblique form),possessive determiner / pronoun,mˈeːreː,mayray,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
148,علاقوں,areas; regions,noun,ɪlˈaːqõː,ayaylaqõ,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
149,مگر,but; however; except; unless (context-dependent),conjunction,maɡˈar,magar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
150,پاس,near; nearby; by; with/in someone's possession (in کے پاس),adverb / noun / postpositional expression,pˈaːs,pas,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
151,بنا,became; was made/formed (form of بننا); without,verb form / postposition,bˈʌnaː,bʌna,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
152,ہزار,thousand,numeral,həzˈaːr,hohohhzar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
153,تعلیم,"education; training, practice; teaching, instruction",noun,tˈaːlim,talayaym,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
154,بڑے,big; large; great (masculine plural/oblique),adj,bˈʌr.eː,bʌr.ay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
155,کرکٹ,cricket,noun,krˈɪkˌɪʈ,krayaykayayt,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
156,دیگر,other,adj,diɡˈar,dayaygar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
157,غیر,"other; unrelated; strange, foreign",adj / noun / prefix,ɣˈɛːr,ghayr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
158,ہلاک,killed; dead/destroyed; ruined; destruction/ruin,adjective / noun,həlˈaːk,hohohhlak,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
159,یہاں,here (at this place),adv,jˈʌhãː,yʌhã,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
160,کئی,many; several,determiner,kˈʌi,kʌayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
161,اہم,important; significant; essential,adjective,ˈɛhɛm,ayhaym,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
162,ہمیں,us; to us,pronoun,hˈʌmẽː,hʌmẽ,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
163,موقع,"chance, opportunity",noun,mˈoːqeː,mohqay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
164,فیصد,percent (%),noun,fiʂˈad,fayayʂad,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
165,بچے,"children; child (oblique/vocative singular, context-dependent)",noun,bˈʌceː,bʌcay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
166,جنرل,general,noun,ɟˈanral,gyanral,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
167,اپنا,one's own; own (reflexive possessive agreeing with the possessed noun),reflexive possessive determiner / pronoun,ˈapnˌaː,apna,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
168,بچوں,children,noun,bˈʌcõː,bʌcõ,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
169,سیاسی,political,adj,sjˈaːsi,syasayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
170,اضافہ,surplus; addition; increase,noun,ɪzˈaːfa,ayayzafa,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
171,ایسا,such; like this/that; of this kind,demonstrative adjective / determiner,ˈeːsaː,aysa,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
172,خیال,thought; idea; opinion; care/attention,noun,xˈajaːl,khayal,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
173,ختم,depleted; finished; terminated,adj,xˈatm,khatm,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
