rank,target,english,pos,ipa_candidate,learner_hint_candidate,source_sha256
38,mon,my (masculine singular; also before vowel-initial feminine nouns),adjective,mɔ̃,mohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
39,voir,see,verb,vwˈaʁ,vwar,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
40,te,you; yourself (object/reflexive pronoun),pronoun,tə-,tohohh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
41,moi,me; myself,noun / pronoun,mwˈa,mwa,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
42,oui,yes,adverb,wˈi,wayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
43,tout,all; everything; however; no matter how,adjective / adverb / noun / pronoun,tˈu,tohoh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
44,sur,on; upon; about,adjective / preposition,sˈyʁ,syr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
45,ils,they (masculine or mixed group),pronoun,ˈil,ayayl,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
46,se,oneself; himself; herself; themselves; each other (reflexive/reciprocal use),reflexive / reciprocal pronoun,sə-,sohohh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
47,venir,come,verb,vənˈiʁ,vohohhnayayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
48,ici,here,adverb / noun,isˈi,ayaysayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
49,toi,"you; yourself (informal singular, stressed/disjunctive form)",pronoun,twˈa,twa,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
50,comme,like; as; such as; how,conjunction / comparative marker / adverbial expression,kˈɔm,kohm,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
51,bon,good; correct; fine/okay; voucher/coupon (noun),adjective / noun / interjection,bˈɔ̃,bohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
52,lui,him; her; to him; to her,pronoun,lyˈi,lyayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
53,votre,your,adjective,votʁ,vohtr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
54,chose,thing; matter; something; affair,noun,ʃˈɔz,shohz,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
55,penser,to think; to consider; to think about,verb,pɑ̃sˈe,pansay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
56,parler,to talk; to speak; speech; way of speaking; dialect,verb / noun,paʁlˈe,parlay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
57,là,there,adverb,lˈa,la,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
58,cette,this; that (feminine singular),adjective,sɛt,sayt,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
59,rien,nothing; anything,noun / pronoun,ʁiˈɛ̃,rayayayayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
60,prendre,to gain; to make; to take,verb,pʁˈɑ̃dʁ,prandr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
61,quand,when,adverb / conjunction,kˈɑ̃,kan,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
62,son,his / her / its (masculine singular possessive); sound; bran,determiner / noun,sˈɔ̃,sohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
63,alors,"so, well, well then; then (at that time); so, hence (as a consequence)",adverb,alˈɔʁ,alohr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
64,ton,tone; your,adjective / noun,tɔ̃,tohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
65,croire,"to believe (someone); to believe, to have faith; to believe, to accept as true",verb,kʁwˈaʁ,krwar,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
66,par,by; through; per,noun / preposition,pˈaʁ,par,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
67,aimer,"to like (often with bien); to love (usually of a person, otherwise the meaning is closer to English like)",verb,ɛmˈe,aymay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
68,ou,or,conjunction,u,ohoh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
69,juste,just; only; exactly; correct; fair; just,adverb / adjective / noun,ʒˈyst,zhyst,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
70,passer,to pass; to go/come by; to spend (time); to take (an exam); to hand/pass; to put on,verb,pasˈe,pasay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
71,des,of the; from the; some (plural article),article / determiner,de-,day,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
72,trouver,find,verb,tʁuvˈe,trohohvay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
73,merci,thanks; thank you,noun / interjection,mɛʁsˈi,mayrsayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
74,très,very,adverb,tʁˈɛ,tray,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
75,jamais,never; ever,adverb,ʒamˈɛ,zhamay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
76,oh,oh,interjection,ˈɔ,oh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
77,laisser,"to let, to allow; to leave with, to give; to forget, to leave alone",verb,lɛsˈe,laysay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
78,vraiment,"really; very; really? for real?; truly, really, genuinely",adverb,vʁɛmˈɑ̃,vrayman,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
79,aussi,"therefore; too, also, as well; as (used for equal comparisons)",adverb,osˈi,ohsayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
80,pourquoi,why,adverb,puʁkwˈa,pohohrkwa,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
81,même,even; same; very,adjective / adverb,mˈɛm,maym,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
82,autre,other; another; else,adjective / pronoun,ˈotʁ,ohtr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
83,attendre,"to expect; to wait for, to await",verb,atˈɑ̃dʁ,atandr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
84,sa,her; his; its,adjective / noun,sa-,sa,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
85,arriver,"to cope, to manage; to obtain a level of success or fame; to arrive (often followed by a location)",verb,aʁivˈe,arayayvay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
86,maintenant,"now; currently; maintaining (present participle of maintenir, context-dependent)",adverb / present participle,mɛ̃tnˈɑ̃,mayayntnan,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
87,falloir,to be necessary; must; have to (impersonal verb),verb,falwˈaʁ,falwar,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
88,ta,your,adjective,ta-,ta,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
89,appeler,call; summon,verb,aplˈe,aplay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
90,donner,to give; to provide; to donate; to produce/yield; to face/open onto (donner sur),verb,dɔnˈe,dohnay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
91,temps,tense; weather; time (in general),noun,tˈɑ̃,tan,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
92,peu,few; little,adverb / noun,pˈø,peu,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
93,regarder,to face; to watch; to look at,verb,ʁəɡaʁdˈe,rohohhgarday,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
94,toujours,still; always,adverb,tuʒˈuʁ,tohohzhohohr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
95,petit,small; little; petty; small child; little one; young one,adjective / noun,pətˈi,pohohhtayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
96,comment,how; in what way,adverb / noun / interjection,kɔmˈɑ̃,kohman,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
97,besoin,need,noun,bəzwˈɛ̃,bohohhzwayayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
98,encore,more; again; still,adverb,ɑ̃kˈɔʁ,ankohr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
99,quelque,some (singular),adjective,kˈɛlkə,kaylkohohh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
100,notre,our,adjective,notʁ,nohtr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
101,homme,man; adult male; husband (context-dependent),noun,ˈɔm,ohm,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
102,partir,to leave; to depart; to go away; to start/set off; to die (context-dependent),verb,paʁtˈiʁ,partayayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
103,mes,my,adjective,me-,may,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
104,vie,life,noun,vˈi,vayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
105,sûr,"safe; trustworthy; sure, certain",adjective,sˈyːʁ,syr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
106,arrêter,to stop; to halt; to arrest; to detain; to stop/cease doing something,verb,aʁɛtˈe,araytay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
107,quoi,what,pronoun,kwˈa,kwa,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
108,personne,"anyone; person; no one, nobody",noun / pronoun,pɛʁsˈɔn,payrsohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
109,accord,"chord; agreement; permission, consent",noun,akˈɔʁ,akohr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
110,tuer,to kill,verb,tyˈe,tyay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
111,peut-être,"maybe, perhaps",adverb,pˈøtˈɛtʁ,peutaytr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
112,fois,"times, multiplied by; time (an instance or repetition of something happening)",noun,fwˈa,fwa,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
113,mettre,"to put; to place; to put on; to set; to take (time, in constructions)",verb,mˈɛtʁ,maytr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
114,sortir,to go out; to come out; to leave; to take out (transitive use),verb,sɔʁtˈiʁ,sohrtayayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
115,demander,to ask; to request; to ask for; to wonder (se demander),verb,dəmɑ̃dˈe,dohohhmanday,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
116,rester,to stay; to remain; to live/reside (context-dependent),verb,ʁɛstˈe,raystay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
117,jour,day,noun,ʒˈuʁ,zhohohr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
118,monde,world,noun,mˈɔ̃d,mohnd,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
119,sans,without,preposition,sˈɑ̃,san,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
120,vrai,true; real; genuine; the true/the real (noun use),adjective / noun,vʁˈɛ,vray,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
121,connaître,to know; to be acquainted/familiar with; to experience; to know about,verb,kɔnˈɛtʁ,kohnaytr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
122,essayer,try; test; attempt,verb,esɛjˈe,aysayyay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
123,quelqu'un,someone; somebody,pronoun,kɛlkˈœ̃,kaylkohohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
124,mourir,to die,verb,muʁˈiʁ,mohohrayayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
125,comprendre,"to comprise, include; to understand, comprehend; to be comprehensible or conceivable",verb,kɔ̃pʁˈɑ̃dʁ,kohnprandr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
126,avant,before; in front of,adverb / noun / preposition,avˈɑ̃,avan,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
127,trop,too; too much,adverb,tʁˈo,troh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
128,an,year,noun,ˈɑ̃,an,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
129,seul,only; alone; lonely,adjective,sˈœl,seul,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
130,père,father,noun,pˈɛʁ,payr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
131,aider,to help; to aid; to assist; to make use of (s'aider de),verb,ɛdˈe,ayday,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
132,dieu,God; god,noun,djˈø,dyeu,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
133,après,after; afterwards; later,adverb / preposition,apʁˈɛ,apray,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
134,ami,friend; male friend,noun,amˈi,amayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
135,ses,his; her; its (before a plural noun),adjective,se-,say,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
136,leur,their; to them,adjective / pronoun,lœʁ,leur,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
137,entendre,hear,verb,ɑ̃tˈɑ̃dʁ,antandr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
138,mal,badly; wrong; ill; bad; pain; harm; evil,adverb / adjective / noun,mˈal,mal,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
139,chez,"at/to the home, place, or business of; among; in the work of",preposition,ʃˈe,shay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
140,nouveau,new; novel,adjective / noun,nuvˈo,nohohvoh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
141,beaucoup,a lot; much; many; very much,adverb / quantifier,bokˈu,bohkohoh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
142,depuis,since; for (a duration); from,adverb / preposition,dəpyˈi,dohohhpyayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
143,déjà,"already, before; for a start, firstly; again (following a question)",adverb,deʒˈa,dayzha,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
144,femme,wife; woman,noun,fˈam,fam,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
145,grand,big; tall; grand,adjective / noun,ɡʁˈɑ̃,gran,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
146,monsieur,Mr.; Mister; sir; gentleman,noun / title / form of address,məsjˈø,mohohhsyeu,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
147,chercher,seek; look for,verb,ʃɛʁʃˈe,shayrshay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
148,mieux,better,adverb / noun,mjˈø,myeu,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
149,enfant,child; kid; offspring,noun,ɑ̃fˈɑ̃,anfan,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
150,gens,people,noun,ʒˈɑ̃,zhan,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
151,tes,your (informal singular possessor; before a plural noun),adjective,te-,tay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
152,heure,hour; time; o'clock,noun,ˈœʁ,eur,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
153,maison,house; home,noun,mɛzˈɔ̃,mayzohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
154,fait,fact; deed; done / made (past participle of faire),noun / past participle,fˈɛ,fay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
155,problème,problem; trouble,noun,pʁɔblˈɛm,prohblaym,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
156,revenir,return; come back,verb,ʁəvnˈiʁ,rohohhvnayayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
157,voilà,there is/are; there it is; here it is; there you are,presentative / interjection-like expression,vwalˈa,vwala,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
158,cela,that,pronoun,səlˈa,sohohhla,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
159,écouter,listen,verb,ekutˈe,aykohohtay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
160,fille,girl; daughter; female child; young woman (context-dependent),noun,fˈij,fayayy,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
161,soir,evening,noun,swˈaʁ,swar,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
162,nom,name; noun; forms expletive interjections,noun,nˈɔ̃,nohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
163,premier,first,adjective / noun,pʁəmjˈe,prohohhmyay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
164,perdre,lose,verb,pˈɛʁdʁ,payrdr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
165,finir,"to end up; to finish, end, complete",verb,finˈiʁ,fayaynayayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
166,sentir,to feel; to smell; to smell of; to sense,verb,sɑ̃tˈiʁ,santayayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
167,raison,reason; logical reasoning,noun,ʁɛzˈɔ̃,rayzohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
168,jouer,"to play (a role); to bid (money), gamble; to play (engage in games or play)",verb,ʒwˈe,zhway,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
169,nuit,night,noun,nyˈi,nyayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
170,travailler,work,verb,tʁavajˈe,travayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
171,moment,moment; point in time; a while; moment/torque (physics),noun,momˈɑ̃,mohman,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
172,dernier,last,adjective,dɛʁnjˈe,dayrnyay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
173,commencer,"to begin, commence",verb,kɔmɑ̃sˈe,kohmansay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
174,cet,this; that (masculine singular before a vowel or mute h),adjective,sɛt,sayt,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
175,beau,beautiful; handsome; fine; nice,adjective / adverb / noun,bˈo,boh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
176,salut,"hi, hello; salvation; bye, goodbye",noun / interjection,salˈy,saly,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
177,rendre,to return; to give back; to make; to render; to yield; to visit (rendre visite),verb,ʁˈɑ̃dʁ,randr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
